Position,Pool,shRNA,GeoMean
10_E03,2,Mta2.2,280.1745423
10_E04,2,Mll1.4,902.2714238
10_E05,2,Myst2.3,771.2003217
10_E06,2,Mtf2.3,784.7989996
10_E07,2,Morf4l1.2,850.6543216
10_E08,2,Mll2.3,1102.151026
10_E09,2,Myst3.3,779.3056135
10_E10,2,Myst1.3,406.7107544
10_E11,2,Msl3.3,257.1007211
10_F02,2,Mll3.3,557.711574
10_F03,2,Nap1l1.3,608.5181573
10_F04,2,Mtf2.4,512.7700939
10_F05,2,Morf4l1.3,412.4844529
10_F06,2,Mll5.3,885.1686957
10_F07,2,Myst2.4,532.7732575
10_F08,2,Mta2.3,637.4052671
10_F09,2,Mta1.3,306.6496366
10_F10,2,Mll5.4,582.1477894
10_F11,2,Myst3.4,314.2173111
10_G02,2,Myst1.4,498.873569
10_G03,2,Mta1.4,204.2177074
10_G04,2,Mll2.4,431.822135
10_G05,2,Nap1l1.4,652.1875939
10_G06,2,Myst4.4,138.2955042
10_G07,2,Morf4l1.4,428.8919915
10_G08,2,Mll3.4,258.5228899
10_G09,2,Mta3.4,179.2896933
10_G10,2,Msl3.4,316.0936956
10_G11,2,Mta2.4,612.5323209
8_B02,2,Jmjd5.1,453.6760597
8_B03,2,Kdm2b.1,350.6690302
8_B04,2,Kdm3a.1,678.628229
8_B05,2,Kdm2a.1,700.2066531
8_B06,2,Kat2a.1,707.834028
8_B07,2,Kdm5a.1,312.7984558
8_B08,2,Kdm4a.1,684.9422089
8_B09,2,Kdm1a.1,886.9502801
8_B10,2,Jmjd6.1,427.5461349
8_B11,2,Kdm4c.1,398.3040156
8_C02,2,Kdm4a.2,167.2188918
8_C03,2,Kat2b.1,112.6499368
8_C04,2,Jmjd5.2,359.0885893
8_C05,2,Kdm4c.2,375.6386819
8_C06,2,Kdm3b.1,442.4612647
8_C07,2,Kdm3a.2,298.3626608
8_C08,2,Kat2a.2,408.6507631
8_C09,2,Kdm4d.1,237.6543699
8_C10,2,Kdm2b.2,849.6944861
8_C11,2,Kdm1b.1,307.330695
8_D02,2,Jmjd6.2,577.0968946
8_D03,2,Kdm4d.2,1022.540233
8_D04,2,Kdm2b.3,436.6580469
8_D05,2,Kat5.1,728.4095412
8_D06,2,Kat2b.2,1346.12438
8_D07,2,Kdm4d.3,549.3423586
8_D08,2,Kdm3b.2,496.2288644
8_D09,2,Kdm1a.2,429.7034433
8_D10,2,Jmjd5.3,806.9745774
8_D11,2,Kdm5a.2,495.0521577
8_E02,2,Kdm1b.2,445.2255062
8_E03,2,Kdm2a.2,441.6273545
8_E04,2,Jmjd5.4,365.2907673
8_E05,2,Kdm4a.3,382.9836043
8_E06,2,Kdm3a.3,537.2030699
8_E07,2,Kat5.2,642.4387962
8_E08,2,Jmjd6.3,322.7381328
8_E09,2,Kdm4c.3,237.9621525
8_E10,2,Kdm3b.3,739.2052795
8_E11,2,Kdm1a.3,330.0435473
8_F02,2,Kat2a.3,433.5168985
8_F03,2,Kdm5a.3,639.5051421
8_F04,2,Kdm3a.4,637.315374
8_F05,2,Kat5.3,534.457795
8_F06,2,Kat2b.3,730.3257607
8_F07,2,Kdm4a.4,311.4859326
8_F08,2,Kdm2a.3,320.5080646
8_F09,2,Kdm1b.3,434.0201596
8_F10,2,Kat2b.4,493.0858122
8_F11,2,Kdm4c.4,709.4050797
8_G02,2,Kdm3b.4,445.3298165
8_G03,2,Kdm1b.4,305.7701012
8_G04,2,Jmjd6.4,354.7066686
8_G05,2,Kdm5a.4,410.6892142
8_G06,2,Kdm4d.4,426.8267802
8_G07,2,Kat5.4,622.4920855
8_G08,2,Kat2a.4,458.8424014
8_G09,2,Kdm2b.4,820.7210348
8_G10,2,Kdm1a.4,1219.333132
8_G11,2,Kdm2a.4,410.6263547
control2_B02,2,Bptf.1,207.133158
control2_B03,2,Bptf.2,585.526717
control2_B04,2,Bptf.3,647.1069869
control2_B05,2,Bptf.4,550.9449048
control2_B06,2,Whsc1.1,634.8324009
control2_B07,2,Whsc1.2,569.5034445
control2_B08,2,Whsc1.3,688.0874028
control2_B09,2,Whsc1.4,564.6607545
control2_B10,2,Cd4.1,705.8807646
control2_B11,2,Cd4.1,468.863285
control2_C02,2,Mll2.1,656.0313479
control2_C03,2,Mll2.2,685.8907729
control2_C04,2,Mll2.3,1350.420338
control2_C05,2,Mll2.4,397.4594906
control2_C06,2,Brd8.1,845.6677242
control2_C07,2,Brd8.2,631.7448214
control2_C08,2,Brd8.3,885.2630378
control2_C09,2,Brd8.4,552.5078367
control2_C10,2,Cd4.2,978.0985899
control2_C11,2,Cd4.2,693.8493455
control2_D02,2,Ncor1.1,149.4588596
control2_D03,2,Ncor1.2,31.89581932
control2_D04,2,Ncor1.3,217.9618621
control2_D05,2,Ncor1.4,218.2119284
control2_D06,2,Cxxcl.1,824.2244708
control2_D07,2,Cxxcl.2,1855.723549
control2_D08,2,Cxxcl.3,893.8930682
control2_D09,2,Cxxcl.4,1029.345045
control2_D10,2,Cd4.3,692.8876464
control2_D11,2,Cd4.3,445.0514733
control2_E02,2,Smarca4.1,201.0278285
control2_E03,2,Smarca4.2,237.5920653
control2_E04,2,Smarca4.3,423.3971301
control2_E05,2,Smarca4.4,516.6389102
control2_E06,2,Klf2.1,598.1075306
control2_E07,2,Klf2.2,769.2942771
control2_E08,2,Klf2.3,606.3704507
control2_E09,2,Klf2.4,1228.508597
control2_E10,2,Cd4.4,798.557601
control2_E11,2,Cd4.4,484.4148827
control2_F02,2,Runx3.1,67.00221549
