"Experiment: 100U p2","Analysis: Analysis 2","User: Admin","Plate: 18","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 7:37:54 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+","GeoMean PerCP-Cy5-5-A - LAG3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - LAG3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"B02","Sample",21169,6032,1881,685,513.201293521095,939.145789442242,1165.52159646697,3681.24311628908,5788.01048920127,5327.96723085155,65.0364721485411,91.812865497076,105.873261205564,94.4525547445255,467.179893406039,2176.16487343247,2941.59991810427
"B03","Sample",21030,6942,2512,484,647.48500712821,1739.55060894088,1338.82868198984,3422.99846997008,4974.32812881197,4778.21611025617,65.9320080668395,91.8391719745223,108.2774049217,92.3553719008264,475.561538083069,2328.55140095597,2198.65067342151
"B04","Sample",21568,1226,659,2388,900.057526968425,1725.12665249589,1545.84144948054,3729.12498069272,6002.14984982196,5600.58516024495,73.4910277324633,96.5098634294385,105.523641184269,94.7654941373534,754.437065545158,3704.94524008629,2698.35220455228
"B05","Sample",22158,5492,2087,1046,483.635057485717,1424.59598814231,1409.98753680015,4275.2930186046,5246.15647256249,5818.81211817764,65.0218499635834,91.5668423574509,108.50622406639,92.1606118546845,457.264601770312,1960.20870815827,2314.51144912562
"B06","Sample",18836,3709,1530,1108,423.685210984007,1150.43940634844,1343.13211009096,3855.06423684401,4905.69608071529,5231.97352695612,70.5850633593961,93.921568627451,106.743737957611,93.6823104693141,562.294240380537,2640.55161341843,2529.15554920968
"B07","Sample",26004,4989,2047,1812,664.370086308577,1659.58986495101,1393.756951417,4179.80614415994,6084.36312291734,5755.43374453665,73.5017037482461,94.5774303859306,106.52557319224,93.8741721854305,711.623401731948,2981.36844719002,2618.40722779245
"B08","Sample",21317,3994,1220,1352,322.195965048307,730.468366329511,1319.6988186963,4795.52006108183,4090.21064088865,5355.53024902671,91.0866299449174,97.2131147540984,105.378020265004,94.896449704142,2294.84177604079,4342.93931067755,2787.76500357545
"B09","Sample",22861,3603,1723,1573,620.145746965664,1649.21370554234,1183.97372011331,3532.40690120608,6235.31421051785,5638.54920952026,60.3941160144324,92.7452118398143,104.796802131912,95.4227590591227,368.774146636437,2797.89369643024,2964.5201433277
"B10","Sample",23929,5601,1792,1350,598.194426426477,1195.46077068719,958.3012741414,3148.33247554114,4177.70470210477,5256.02903635266,83.0208891269416,96.2611607142857,106.048703849175,94.2962962962963,1168.63672112921,3479.80933320141,2827.76043304348
"B11","Sample",22048,5802,2183,918,464.739279857251,1165.80101268948,971.152697315782,2291.27827350093,3651.6936554184,4245.37240213228,64.4088245432609,94.1365093907467,108.639053254438,92.0479302832244,457.801672012772,2733.75619027175,2363.44919093985
