Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,2022.7616443893,6704.63807817331,87.5,1786.2353042108
B03,1106.53096378415,4795.9302535867,93.3705512909979,2877.30007494113
B04,1615.55962568174,5820.36247537223,94.8603804127883,3292.49273304917
B05,1253.97186707142,5256.04453942584,93.2111142938986,2570.20309358916
B06,1610.08741331898,5050.25643886574,95.6054230949042,3885.55191215177
B07,1154.49785459638,4842.09169768365,94.6475195822454,3166.05557474329
B08,1609.77410033102,5502.94612890356,94.5324881141046,3411.90019731102
B09,1633.23667811299,3202.28406500962,92.8104575163399,2276.61784231777
B10,1132.48359067468,2375.38612517856,90.9090909090909,2032.94148424317
B11,476.085342394381,821.13862386702,58.8138113332232,312.426431437782
C02,504.995511107496,1900.27272338674,91.5986557849256,2820.34946716846
C03,431.778352065476,1411.65426045112,91.7670029287341,3452.77485760494
C04,1100.71973175975,3605.82075731745,93.8823529411765,2730.53090642304
C05,987.472987211221,3861.3661585165,95.9578207381371,3761.17415468689
C06,1038.53752080532,5725.89365050008,94.4954128440367,2760.13995887206
C07,966.579059428952,4641.60499836487,95.4473475851148,3325.87735326197
C08,815.873581671125,4606.82308844432,92.2401847575058,2866.80753460782
C09,1347.19208917632,5358.91745125423,89.9466869763899,1883.40222414863
C10,719.803041871826,3995.6282523495,94.0397350993377,2733.80639701306
C11,418.902859522079,2805.17993509166,63.9758030871923,410.318372912265
D02,887.575691285162,2762.60496695328,91.8680023571008,3172.77624823436
D03,1138.59178729718,540.805193943663,61.5384615384615,597.400609482543
D04,2616.04251677237,5533.34852502179,95.59902200489,3887.86490691314
D05,1824.00626737087,4010.15342638005,92.8518791451732,2143.68412560037
D06,1011.04338215396,5309.44475061916,92.7896394819741,2261.9970720893
D07,2066.10686109193,4545.20168420614,82.4801950030469,1297.62642378238
D08,1370.22241053184,5772.43436307417,89.3710385177962,1831.25759643909
D09,1226.33515717567,4413.3227114211,87.4327628361858,1414.16088397555
D10,1227.08038681942,3392.07313547133,91.3166588013214,2230.64683205923
D11,572.237279727908,1638.13154659123,64.6012451823303,432.693300594604
E02,170.411704935494,530.953032267852,71.0659898477157,718.376796157143
E03,196.887019794059,571.429679341701,57.522895769734,355.760428626615
E04,287.552441095581,1070.25188360466,76.0414158439682,887.930144865222
E05,378.735180824101,2928.14496387512,88.4805266044981,1853.60045195952
E06,1627.59609662268,4009.31254863624,92.9583512237011,2321.29840527026
E07,1126.36454541771,3280.88361933415,93.4819897084048,2381.65597060732
E08,958.930037684483,3689.75129641175,93.7122128174123,2254.78363615223
E09,796.918300149777,3224.21331062433,90.3833658219623,1830.33330707814
E10,984.166241733141,2820.97365611088,92.6339285714286,2219.12639282494
E11,816.20993597041,1673.1584789215,64.410480349345,399.499864127619
F02,897.959566198315,1484.42326634741,80.3929121725732,836.243730993636
F03,776.908229490559,2219.77583133707,80.0988875154512,1104.55149174612
F04,641.096803588934,1394.2558405338,77.8110944527736,844.112678282045
F05,867.815322129162,1566.47135509504,60,344.527985313622
F06,1245.29467717165,3257.88244564806,93.4752747252747,2496.0023642755
F07,958.228873827227,3111.50778504806,93.4250251593425,2238.46707626568
F08,1157.1777026986,3445.30216528112,93.4237995824635,2470.7058451769
F09,1972.62333322534,3421.13764436104,93.2622394571013,2651.48975548259
F10,1253.30956561609,1837.87827981339,90,2115.95037095241
F11,318.357149640824,2134.38884190162,53.5714285714286,145.194131123328
G02,1592.81306321139,1762.94897317783,89.7959183673469,1202.49880269787
G03,205.422353105873,227.387321814859,70.6225165562914,661.721575760525
G04,218.50625098668,115.915932986266,59.6741798705646,354.33506893923
G05,415.570746999515,948.381980873098,85.3093316780468,1524.80809473988
G06,1501.81480592577,3459.4893348139,81.4309120699072,872.005110341659
G07,1985.62762211925,5504.67712239228,85.6666666666667,1116.68054498034
G08,1005.47465045641,3860.17693133597,83.5845896147404,1048.47228356705
G09,2228.08485825174,3137.25756120887,88.3495145631068,1424.21912838855
G10,641.551636488186,1765.91581753272,78.5714285714286,1595.0564652099
G11,3523.80294490384,3177.77855573373,100,3509.86377633625
