Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,705.6222947664,3297.45207518137,61.5384615384615,726.619868092669
B03,781.516382430065,3481.43949303022,63.5862913096695,478.576730385356
B04,923.920491392108,4376.92009592388,72.0125083761447,698.697679276442
B05,850.755740889178,3863.00112762604,65.5139679956604,512.616313840578
B06,825.308935810551,4105.73671769098,78.2324058919804,1186.92510667847
B07,538.9555900472,3820.42265441892,76.193139448173,848.645382512562
B08,893.272975876693,4447.08238422886,76.4070146818923,902.823064501369
B09,724.828779922529,2613.91910216378,68.150042625746,543.844920317472
B10,553.726922788345,2086.12080230648,61.7331105275722,411.051268497281
B11,387.612695556469,1166.54119670348,54.0342298288509,299.662164012804
C02,238.35439698917,984.538670249171,61.0204935173567,456.187923834646
C03,191.4183049817,771.280129198405,62.8521126760563,499.226522468625
C04,494.807575646678,2357.08832562203,63.9597171630598,462.110135350395
C05,391.474743786882,2372.16303388582,78.4681516217272,1058.55738973527
C06,631.417072729225,4184.69632924401,72.6129032258064,745.806125744851
C07,507.891817444596,3453.56235140894,75.2851091560769,887.141901368017
C08,636.180875624251,3405.84572501185,69.4732297063903,640.366015853682
C09,560.2340522983,3120.94714608478,61.073032380052,400.863281415114
C10,392.901685439864,3519.53356598458,67.3490276356192,528.154863987641
C11,389.441326471927,3349.13358359551,60.2573807721423,383.450346766488
D02,495.714814627865,2504.84390998807,67.5269949960495,599.926046985039
D03,520.391903054483,2237.37498065525,68.75,492.332921270971
D04,1173.42303678999,4825.66993178815,74.6256895193065,777.895307740099
D05,522.945067560379,2220.44331946497,47.2830665543387,229.028461553733
D06,498.082350791484,2996.7203249523,66.4089151694337,491.706083790634
D07,869.824910181966,2596.92511285832,51.2393944435202,252.42287414469
D08,631.181240000789,3598.10737742234,61.8173474070675,398.202064476147
D09,701.962504746286,2761.70707780198,57.1086435880688,308.006547603663
D10,578.077729900578,2569.48208490282,64.8994840775663,466.001295317638
D11,481.126325850294,2172.69265681389,61.4203454894434,437.152262788917
E02,106.572460127634,357.154736826658,35.89001447178,148.322798793052
E03,126.727953830158,450.704258629561,24.7017892644135,86.0846924009185
E04,240.375037407091,1120.63558859881,49.5207120849024,247.536943076633
E05,231.158210740803,2063.01603507153,59.2425888561229,379.306283171247
E06,707.134383684422,3294.31851493023,67.0708470465962,524.106896936703
E07,591.831220837637,3395.83265488396,67.1712006545306,516.658162736947
E08,516.736602757963,3342.82507433969,66.6452579747377,487.652921403407
E09,364.789464267268,2888.34604276808,59.443402126329,357.108603233537
E10,788.099584881182,2408.54861295187,67.6217097600745,525.151649142667
E11,617.268141418667,1992.75111771219,58.675305975522,378.311072383551
F02,145.384912553615,820.434061458851,12.6734747316051,41.8116877817562
F03,251.653018357528,1327.33501495554,31.4024390243902,97.189334672045
F04,220.727801984628,695.202539950954,23.2872928176796,68.179944043525
F05,304.558712543371,493.273484853811,30.4347826086957,109.06132037128
F06,524.435385177617,3369.2573560823,71.1571976298362,596.80625396923
F07,507.221484082877,3011.11477021931,64.4295302013423,447.386440246375
F08,512.192074798445,2912.10283407346,62.7038626609442,406.005898280164
F09,597.611510344249,2733.25111084238,64.6945954589063,454.278853490182
F10,832.739193937222,1741.30400354095,64.2857142857143,635.081488055826
F11,686.461863119062,2407.3735071117,40,297.332847442465
G02,301.913894225717,2504.58874039128,52,277.532302799076
G03,139.120868579027,221.300684975245,35.5736040609137,134.300565883861
G04,184.075536683502,311.361383976614,36.2054681027341,133.900416838484
G05,229.829620606201,634.61403720268,49.0961538461538,250.35871468516
G06,1022.99462709989,2464.28239563238,55.8648584344516,309.227410868355
G07,1407.15766523936,3517.38807662454,59.6042471042471,358.895159701992
G08,570.202947104459,3604.94274385025,60.1015931655507,358.885637279552
G09,1114.14733653352,1500.87296548815,63.1605691056911,435.458550231189
G10,2053.85102099925,3205.9237613994,42.8571428571429,248.211941890549
G11,334.86662738026,2180.94465608957,50,109.485057693291
