Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,381.6330832,3380.237931,70.6920904,608.5073111
B03,388.1283451,1666.518984,73.24819908,749.6103172
B04,430.5671033,2892.560644,72.467903,675.2931235
B05,1751.081807,1818.145341,48.24212779,202.5663047
B06,1282.750452,4203.501913,60.13561742,366.7195977
B07,441.5775997,3915.792249,73.29529244,674.7051865
B08,397.5181691,3185.833513,61.89533239,393.1286072
B09,518.3243819,2633.130438,65.02762431,503.4684309
B10,304.6865296,2834.013972,70.70800555,642.8415088
B11,808.1475278,3376.920455,44.75103734,201.9604982
C02,478.2500776,2655.457137,76.68009328,776.3777452
C03,600.4621419,2644.703549,76.65031222,877.8786204
C04,461.2262692,4185.823826,70.24695031,565.5991508
C05,876.4947981,4272.907105,58.35435669,340.4560795
C06,821.233374,4352.844755,72.6685611,704.7042694
C07,566.0683205,4680.540752,69.69409533,589.6714594
C08,1329.972136,4014.755771,55.4304103,296.3982259
C09,652.3154403,4162.163353,70.10263275,607.9826649
C10,356.7434477,3398.356537,60.34583822,383.8705797
C11,508.7585282,2197.953709,62.97117517,426.8273981
D02,426.7132606,2687.526387,60.03649635,437.7335512
D03,268.2376429,2501.290773,67.79422128,541.6259009
D04,318.9265083,2635.27471,64.39456913,448.6039111
D05,241.0970768,4651.152813,60,216.1602509
D06,315.8224867,3593.087597,79.31034483,881.4132766
D07,889.2666509,2562.241625,73.07692308,848.1045535
D08,701.7272328,3168.473842,68.15725731,556.2029278
D09,528.8985297,3518.621433,71.51093439,631.2597227
D10,537.0588371,4130.189246,68.84400516,613.5879884
D11,452.7200927,1970.827555,63.4416826,438.8725769
E02,513.400723,3245.143692,67.65258216,520.6026369
E03,332.148629,176.2942943,41.8746196,169.7188236
E04,498.7064556,3551.896594,66.14131862,459.0819285
E05,340.233783,3472.088434,68.79460745,529.6691128
E06,575.411734,3547.537865,63.72595026,438.9774282
E07,388.217095,2786.169581,68.57451404,526.9475451
E08,485.837471,3102.042866,61.77715092,410.8361572
E09,536.8058456,3753.627488,64.11159263,470.4307079
E10,431.7420313,2960.35794,64.2316879,470.0567938
E11,418.3973922,3023.059167,70.4688154,589.2691379
F02,537.6659526,5905.324749,65.53773024,456.5656025
F03,409.2378901,2414.458413,64.6307725,403.6447002
F04,435.749758,2289.823122,46.75603217,213.7377141
F05,719.508911,4207.179233,61.98801199,405.2842728
F06,941.6568809,5859.822081,74.24108459,784.3730648
F07,1107.652665,3966.762494,41.51741294,165.4220762
F08,447.8015171,4205.812167,70.76889567,638.5620861
F09,737.0031433,4798.7688,70.10641728,556.0617475
F10,782.1555883,4816.565928,73.02481084,696.2727505
F11,498.6935347,3947.118183,70.47720798,598.2531105
G02,400.0162513,2589.509321,69.46714032,574.1097023
G03,396.7918869,3623.011544,66.70886076,485.7087833
G04,691.6830736,4373.93773,76.12491605,902.5797334
G05,424.2235509,3107.478535,68.10494363,490.8622893
G06,385.8657869,2436.351735,67.0605613,498.535549
G07,567.0557872,3817.339095,66.62850601,484.9823183
G08,1202.673483,1759.485136,62.75092937,422.1312881
G09,467.6911136,3336.316002,74.23871194,764.9412262
G10,408.4204755,2694.068486,67.65027322,496.9324959
G11,94.78485638,229.7670581,32.54582485,123.4614949
