Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - LAG3 of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,773.916062517862,208.035415773434,0,5.50949895488879
B03,430.66206926945,179.543056903475,0.225952227243383,14.034524010797
B04,601.372567960425,2547.81734320716,66.93359375,515.166269049367
B05,387.845561554203,3049.58790609181,70.1415701415701,601.577677728903
B06,330.86987756058,3523.91052589232,72.2453222453222,651.26079849887
B07,257.333812568445,2832.30158860784,64.4853283651607,437.646854014505
B08,376.586111050839,4805.56627751687,63.5550181378476,421.899367660076
B09,339.54170862458,3767.69137543403,70.5189941144997,643.202920622699
B10,325.726597686882,3278.62237040088,70.158511371468,626.960102567758
B11,237.024813517621,2113.19819041742,65.7340597850096,496.612003733063
C02,511.687802135256,5232.92741629988,61.523953225198,401.645462013538
C03,401.288062825486,3249.26879715428,60.2957723838611,385.411800837256
C04,535.430809962426,3232.60205972817,62.1767970759442,404.627424884962
C05,240.265861292722,3522.49466511698,53.6722257857601,290.085261556749
C06,660.22303348059,3281.67537199274,66.9006280014777,498.120307485624
C07,403.763536910354,3075.57701920228,67.9844845591526,518.785801657619
C08,791.341424192117,1960.1469511509,45.3707188558525,187.241866298692
C09,232.836180552989,5339.52488846915,59.4313453536755,330.154501723507
C10,610.604769849878,4660.34852883896,71.8436344426836,589.373052832298
C11,393.488898512124,4044.55355083232,74.184433598767,724.50052355706
D02,341.69007062436,2371.2222019911,76.017130620985,812.664561956739
D03,437.971895076019,4033.71085456319,64.0767824497258,424.822804934182
D04,873.611108427636,3885.90151248802,69.6637608966376,533.938266356205
D05,485.909060374632,3951.37847504966,66.5452890304961,504.044954939114
D06,361.108510461424,5008.99139972737,66.652977412731,514.945278195602
D07,194.066153377305,4446.29861373288,53.3426183844011,276.38089178963
D08,521.545489310155,4625.48041240293,71.3421342134213,664.486846161821
D09,284.769941942148,3523.09484298971,80.2631578947368,1137.58830674604
D10,393.180158673877,3914.31095636212,74.1662638956017,727.422751281896
D11,352.090832041602,2085.72939344372,60.5743243243243,369.162138744116
E02,421.720121793677,3256.58763514588,73.3419188667096,773.692772075627
E03,385.618209882429,2746.36223179275,73.9795918367347,743.691561251172
E04,417.132225240347,2435.56024980434,51.2744413407821,271.179676689712
E05,353.318080722255,3471.1732219475,70.2225633154259,585.70279597941
E06,529.603194755164,3859.01591714983,69.7059550284161,539.269089681676
E07,388.988638078253,4027.01004784878,69.778607628701,589.604999774107
E08,384.947447033459,4323.29072502669,70.1988251242657,627.234492946957
E09,170.466128870873,2607.80111633875,44.3959877889228,191.280556498457
E10,443.22307187335,3001.00466018318,68.8205355167072,536.102030285984
E11,238.796646008385,3051.59368316667,58.8235294117647,386.271264406305
F02,776.988577355951,3171.8054370015,72.5675675675676,645.724933227124
F03,464.367058601798,3354.12781669482,67.6070528967254,458.809580701842
F04,739.896023708209,4705.46931959717,70.2954269526507,594.298671083823
F05,405.94484638729,3393.96514628133,65.7971578742457,450.86566958898
F06,531.180755190923,5736.58889772098,72.4546172059984,659.936270266658
F07,349.326175706816,3069.15892730596,61.7210682492582,375.347988794165
F08,519.130049649275,4061.35820373445,71.8698742482231,620.873751231194
F09,548.686046762087,3999.55174143141,75.1376868607396,722.945287466704
F10,593.282314083619,3698.53463114896,72.7272727272727,487.474435681826
F11,274.418836458446,2414.71345420305,54.7914317925592,282.875085678239
G02,525.878264996046,2165.56147148491,66.6280417149479,484.738345044434
G03,356.397754000194,2262.03039099188,68.984591070723,519.780052423664
G04,500.413943616029,2744.63335665361,64.6625070901872,448.455966082012
G05,357.004591712735,3180.15964523322,62.3198677061186,382.974625567273
G06,217.753595819349,3742.70138497162,58.1962218159659,338.431676836741
G07,423.224822060656,2499.89725165169,62.7360663288807,357.626423480618
G08,391.432470815093,3114.72613914875,68.6330935251799,543.399539447106
G09,332.947953236133,4002.29216880624,74.7179693795326,667.744125646196
G10,425.978154686284,3796.71000827391,76.9949066213922,820.534161232274
G11,314.748346029545,2504.33411785485,72.5474364150182,703.550913648096
