gene_name,gene_name2,interation
CHD7,SMARCC2,pp
CBX7,PHC3,pp
HDAC1,PRDM4,pp
CREBBP,CREBBP,pp
KDM5B,RBBP7,pp
UHRF1,UHRF1,pp
DNMT3L,HDAC1,pp
DPY30,WDR5,pp
CHAF1A,SMARCD1,pp
CBX7,SUV39H2,pp
CBX3,WDR5,pp
KAT2A,TAF3,pp
CHD3,CHD5,pp
HDAC2,TET1,pp
ARID1B,SMARCD3,pp
BAZ1B,SMARCC2,pp
SETDB1,SUZ12,pp
GTF2F1,TAF1,pp
EZH2,HDAC8,pp
L3MBTL1,SETD7,pp
MTA1,MTA2,pp
HDAC10,TRIM28,pp
BRCA1,NCOA3,pp
MECP2,SMARCB1,pp
EP300,PRKCD,pp
PAF1,SMARCD3,pp
BRDT,SMARCE1,pp
KDM4A,NCOR1,pp
PHF19,SUV39H2,pp
PBRM1,SUZ12,pp
CBX2,DNMT3B,pp
PRDM1,PRDM1,pp
CBX2,KDM3A,pp
CBX6,ELP4,pp
BRD3,BRD4,pp
CHD7,SMARCA4,pp
BAZ1B,SMARCA4,pp
H2AFZ,UBE2E1,pp
HDAC1,PCGF6,pp
KDM6B,SMARCC1,pp
CHD3,PARP1,pp
KMT2E,SIN3A,pp
HDAC1,KDM5B,pp
EPC1,KAT7,pp
MBD3,SMARCA5,pp
KDM4C,SMARCA4,pp
HELLS,L3MBTL2,pp
EP400,KDM1A,pp
EED,PCGF2,pp
CBX1,CBX1,pp
ATRX,SETDB1,pp
SMARCB1,SMARCD1,pp
TRIM33,UBE2E1,pp
KAT5,PSIP1,pp
KAT6B,UBE2I,pp
USP22,USP27X,pp
EED,SMARCA1,pp
DPY30,KMT2C,pp
EZH2,TRIM28,pp
BRD7,EZH2,pp
RNF2,UBE2E1,pp
KDM1A,POLR2B,pp
SMARCB1,SMARCD3,pp
CHD4,PAF1,pp
HDAC2,SMYD1,pp
CXXC1,WDR5,pp
SUPT16,UHRF1,pp
BAZ1A,MECP2,pp
BRCA1,HDAC2,pp
ELP3,PCGF1,pp
MTA2,MTA2,pp
BRPF1,ING4,pp
CBX1,PCGF6,pp
BMI1,SMARCA2,pp
BRCA1,WDR5,pp
USP22,USP22,pp
HDAC1,MECP2,pp
NAP1L1,SSRP1,pp
SUV39H1,UHRF1,pp
HDAC11,POLR2B,pp
BMI1,PCGF2,pp
SMARCA4,SMARCD3,pp
GADD45A,ING4,pp
PBRM1,SMARCC1,pp
PRDM10,PRDM5,pp
AURKB,PARP1,pp
KDM2B,RNF2,pp
KMT2E,RBBP4,pp
BMI1,HDAC2,pp
PAF1,SSRP1,pp
RBBP5,SMARCC1,pp
EED,SMARCA4,pp
EP400,HCFC1,pp
CHD3,MTA1,pp
BRWD1,SMARCA4,pp
HDAC5,HDAC5,pp
ING2,PRMT5,pp
BAZ1B,EED,pp
KDM4A,SMARCA4,pp
ACTL6A,EPC1,pp
RPA3,SMARCC2,pp
SIRT3,SIRT5,pp
SMARCB1,SMARCB1,pp
AURKB,UBE2I,pp
CBX4,PCGF2,pp
PCGF2,PCGF2,pp
HDAC1,ING2,pp
BMI1,PARP1,pp
DNMT3L,EHMT2,pp
HCFC1,RBBP5,pp
KAT2A,PPARGC1A,pp
KMT2D,PAXIP1,pp
CBX8,PAXIP1,pp
MTA2,PHF20L1,pp
PRMT2,SETD1A,pp
TRIM28,UBE2I,pp
EHMT2,JARID2,pp
EPC2,EZH2,pp
DOT1L,SIRT1,pp
EP300,NCOA1,pp
SMARCD1,SUZ12,pp
CHD5,MTA2,pp
EED,RNF2,pp
BAZ1A,BAZ1B,pp
EZH2,KMT2C,pp
KAT2B,KAT2B,pp
CECR2,SUZ12,pp
EP300,MECP2,pp
HDAC3,HDAC7,pp
ASH2L,KMT2C,pp
KMT2B,WDR5,pp
SETD2,SETD2,pp
CREBBP,KMT2A,pp
ACTB,SMARCA4,pp
BMI1,KAT5,pp
KDM3B,SMYD3,pp
KDM5C,RING1,pp
DPY30,SETD7,pp
HDAC5,RBBP7,pp
SMARCA5,SMARCA5,pp
MORF4L1,SIN3A,pp
KDM6A,RNF2,pp
CBX1,HDAC2,pp
HDAC1,TRIM28,pp
EZH1,RBBP7,pp
CREBBP,SETD1A,pp
CLOCK,SIRT1,pp
PHC1,PHC3,pp
HDAC4,MECOM,pp
MBD4,UHRF1,pp
ATM,MTA3,pp
CBX3,KDM2B,pp
KAT2A,SIRT1,pp
HDAC2,SMARCB1,pp
KMT2A,WDR82,pp
HDAC2,SUV39H1,pp
DMAP1,KAT5,pp
MEN1,RNF20,pp
NAP1L2,NAP1L3,pp
SMARCA4,TRIM28,pp
KDM1A,SMARCD1,pp
CHD3,SIRT6,pp
CBX8,PCGF2,pp
HDAC2,MBD2,pp
CHAF1A,EZH2,pp
EHMT2,SIRT6,pp
EZH2,NCOR1,pp
CHD3,MTA2,pp
PCGF6,WDR5,pp
KDM1A,SFMBT1,pp
EED,SMARCD1,pp
BAZ1A,EZH2,pp
SP100,UBE2I,pp
CHAF1B,SUZ12,pp
KAT2B,WDR5,pp
EZH2,SMARCC2,pp
DNMT3B,HDAC1,pp
KDM4A,PBRM1,pp
HDAC6,SMARCC1,pp
HDAC3,L3MBTL2,pp
DMAP1,EPC1,pp
HDAC2,PRDM1,pp
KAT8,PAF1,pp
NCOA1,NCOR1,pp
RBBP5,RBBP5,pp
KAT2A,USP22,pp
MTA2,RNF2,pp
HCFC1,KMT2E,pp
CBX6,PCGF6,pp
CBX3,KDM5C,pp
CBX1,SUV39H1,pp
MTA3,SUZ12,pp
HDAC1,HDAC5,pp
HDAC1,SUV39H1,pp
CBX7,PCGF5,pp
MBD1,PRMT5,pp
DNMT3A,EED,pp
BRD8,DMAP1,pp
PPARGC1A,UBE2I,pp
EAF1,GTF2F1,pp
CHD3,SMARCA1,pp
PHF20,RBBP5,pp
KDM1A,MBD4,pp
BRPF1,KAT6A,pp
ATAD2,HDAC11,pp
HDAC2,RNF2,pp
MEN1,SIN3A,pp
RBBP7,SUZ12,pp
ACTL6A,EP400,pp
PHC1,SP100,pp
EHMT2,KAT2B,pp
CBX5,UBE2B,pp
SIRT1,SIRT7,pp
CHD8,SUZ12,pp
BAZ2A,SMARCA5,pp
CHD3,SMARCC1,pp
PHC2,RNF2,pp
CBX4,PHC1,pp
CREBBP,RBBP5,pp
EP300,SMARCA2,pp
KDM2B,KDM2B,pp
EZH2,PBRM1,pp
CHD3,CHD3,pp
BRCA1,HDAC1,pp
CBX7,PCGF2,pp
CHAF1A,SMARCA4,pp
RBBP4,SIN3B,pp
BRD4,KAT8,pp
CHD4,RBBP4,pp
BMI1,CHD4,pp
HDAC9,NCOR1,pp
EZH2,HCFC1,pp
DPY30,SETD1A,pp
ELP3,SMARCB1,pp
HDAC4,HDAC9,pp
ARID1B,HDAC3,pp
EED,EPC2,pp
SMARCA4,SUZ12,pp
HDAC1,MTA1,pp
CHD3,CHD4,pp
ARID1A,SMARCA2,pp
DNMT3B,RBBP7,pp
RNF20,SIRT6,pp
HDAC3,RBBP4,pp
HDAC1,SMARCB1,pp
L3MBTL1,L3MBTL1,pp
GTF2F1,GTF2H1,pp
EPC2,RNF2,pp
NCOA3,SIRT1,pp
CHD1L,TRIM33,pp
PRDM1,PRMT5,pp
KAT2B,MECOM,pp
EZH2,SUV39H1,pp
SIN3A,TET1,pp
HDAC3,KDM1A,pp
EP300,PAXIP1,pp
RBBP7,TET2,pp
DPY30,SUZ12,pp
KDM6A,WDR82,pp
AURKB,FKBP5,pp
RBBP4,SMARCA2,pp
CHD4,SIN3A,pp
HCFC1,SMARCB1,pp
CBX1,RNF2,pp
EZH2,EZH2,pp
EZH2,SMARCA5,pp
EP300,WDR5,pp
ASH2L,PHF8,pp
KAT8,KAT8,pp
KDM5C,KDM5C,pp
PHF8,PRMT5,pp
ACTB,EED,pp
SIN3A,TET2,pp
HIRA,UBE2I,pp
ARID1A,SMARCC2,pp
KDM6B,PRMT5,pp
SMARCA4,SMARCC1,pp
PCGF2,PHC3,pp
PAXIP1,RBBP7,pp
KDM5C,ZMYND8,pp
SMARCD2,SMARCE1,pp
CBX8,PHC2,pp
EPC2,KAT7,pp
EED,SIRT2,pp
RNF2,SCMH1,pp
ATR,BRCA1,pp
PRMT5,PRMT5,pp
PRKAA1,PRKAA2,pp
RBBP4,RNF2,pp
EZH2,ZMYND11,pp
ASH1L,MORF4L1,pp
ELP3,EPC1,pp
CBX7,EED,pp
HDAC2,SIRT1,pp
PBRM1,PHIP,pp
NCOR1,RBBP4,pp
KAT2B,SMARCA2,pp
AURKB,HDAC5,pp
HDAC2,SIN3A,pp
PAXIP1,SUZ12,pp
PHC2,PHC2,pp
CBX3,CHD3,pp
KDM1A,KDM2B,pp
EED,GTF3C4,pp
HDAC7,UBE2I,pp
HDAC5,PRMT1,pp
KAT2A,WDR5,pp
HDAC5,KDM5B,pp
EZH1,EZH1,pp
DNMT1,HDAC2,pp
HCFC1,RBBP4,pp
HDAC2,KDM1A,pp
CBX7,PCGF6,pp
DNMT3B,DNMT3L,pp
KDM1A,SIRT7,pp
CHD1,HDAC1,pp
KMT2D,SUZ12,pp
BMI1,KDM2B,pp
EP300,PPARGC1A,pp
ASH2L,PRMT1,pp
L3MBTL2,RING1,pp
EP300,HDAC6,pp
ARID2,SMARCA4,pp
EP300,MTA1,pp
PHC2,RING1,pp
ATAD2,SIRT7,pp
HDAC2,PRDM4,pp
ATR,HDAC1,pp
SETD1A,WDR5,pp
ACTL6A,KAT5,pp
KDM1A,PHC2,pp
ACTL6A,CXXC1,pp
PCGF5,RING1,pp
EHMT2,MTA1,pp
PCGF1,PHC2,pp
HDAC2,KMT2A,pp
CHD1L,HLTF,pp
KDM1A,TRIM28,pp
MBD1,SETDB1,pp
SIN3A,TAF1,pp
EZH2,HDAC5,pp
L3MBTL2,RBBP4,pp
EZH2,SUZ12,pp
EED,SMYD3,pp
SMARCA2,SMARCB1,pp
EPC1,EZH2,pp
BMI1,PCGF6,pp
DNMT1,HDAC3,pp
KDM5C,NCOR1,pp
HDAC6,SIRT2,pp
KDM1A,MTF2,pp
SMARCC2,SMARCE1,pp
KAT5,SIRT1,pp
KMT2A,RBBP7,pp
CBX2,L3MBTL1,pp
EZH2,SETD1A,pp
AFF4,EAF1,pp
RBBP7,SMARCA5,pp
KDM1A,SMARCC1,pp
DNMT3B,HDAC2,pp
KAT2A,KAT2A,pp
SATB1,SIRT1,pp
HDAC1,SMYD1,pp
RNF2,SUZ12,pp
CBX8,EED,pp
BMI1,MBD2,pp
CARM1,SMARCD1,pp
CBX5,EZH2,pp
HDAC4,SIN3A,pp
EZH2,SIN3A,pp
EHMT2,SUV39H2,pp
SIN3A,SIN3B,pp
ARID1A,EZH2,pp
HDAC2,SIRT7,pp
BRD1,CHD5,pp
CREBBP,NCOA1,pp
MTF2,RBBP7,pp
BRCA1,EED,pp
KAT8,RNF2,pp
CBX5,CHD1L,pp
EHMT2,L3MBTL2,pp
BRD8,ING3,pp
EP300,TDG,pp
PHF20,WDR5,pp
PCGF5,RNF2,pp
BRD4,KDM6B,pp
ERCC5,GTF2H1,pp
L3MBTL2,PARP1,pp
RNF2,WDR5,pp
EZH2,SMARCD2,pp
BRD1,KAT7,pp
CHD1L,SSRP1,pp
SIN3A,SMARCB1,pp
HDAC5,SUV39H1,pp
CBX3,MECP2,pp
KAT5,MORF4L1,pp
HDAC9,HDAC9,pp
ARID2,SMARCD1,pp
ACTL6B,SMARCA2,pp
HCFC1,TRIM28,pp
MBD2,MTA3,pp
HDAC10,HDAC3,pp
AURKB,SUZ12,pp
EED,MTA3,pp
ATM,BRCA1,pp
HDAC2,MEN1,pp
MBD3,RBBP4,pp
KDM5A,RBBP7,pp
CHD4,SSRP1,pp
SETDB1,TRIM28,pp
CHD4,MBD2,pp
CBX4,MBD1,pp
BRD8,EP400,pp
BRCA1,CBX3,pp
CHD5,RBBP4,pp
BRD7,SMARCD1,pp
H2AFZ,MORF4L1,pp
HDAC3,SUV39H1,pp
EP300,PRKAA1,pp
ASXL2,SUZ12,pp
CBX7,HDAC2,pp
BRD9,SMARCC2,pp
CREBBP,NCOA3,pp
CXXC1,SETD1A,pp
ARID2,SMARCE1,pp
EP400,H2AFZ,pp
ING5,SMARCE1,pp
CHAF1A,RBBP4,pp
MTA1,RBBP7,pp
KMT2A,MBD3,pp
DNMT1,KAT5,pp
PADI1,PADI3,pp
EHMT1,SIRT6,pp
ARID1B,SMARCC2,pp
HDAC5,UBE2I,pp
BRD2,CARM1,pp
DNMT1,MTA2,pp
PADI3,PADI4,pp
CREBBP,HDAC1,pp
DNMT3B,MTA2,pp
EZH1,PHF1,pp
BMI1,NSD1,pp
HDAC3,NCOR1,pp
JARID2,MTF2,pp
ATAD2B,SIRT7,pp
GTF2F1,PARP1,pp
BRD3,H2AFZ,pp
BRCA1,FBXO44,pp
DNMT1,SUZ12,pp
EHMT1,EZH2,pp
L3MBTL3,SFMBT1,pp
HDAC3,NCOR2,pp
CBX5,DNMT3A,pp
CREBBP,KAT5,pp
RING1,WDR5,pp
ASH2L,KMT2A,pp
DNMT1,KDM1A,pp
BRPF1,ING5,pp
CHD4,RNF2,pp
NAP1L1,SIRT7,pp
BMI1,CBX6,pp
ING2,SMARCC2,pp
HCFC1,KMT2A,pp
HDAC1,KDM5C,pp
DNMT3A,DNMT3L,pp
EZH2,HELLS,pp
CBX1,TRIM28,pp
MTF2,SUZ12,pp
CHD4,SMARCC1,pp
KDM6B,PHF20,pp
SMARCD1,SMARCE1,pp
ARID2,SMARCA2,pp
ARID1A,SMARCB1,pp
CBX5,HDAC9,pp
ASH2L,DNMT3L,pp
EP300,ING2,pp
EP400,RNF2,pp
KAT8,RBBP5,pp
POLR2B,RNF2,pp
EZH2,MBD3,pp
BRD2,BRPF1,pp
BPTF,BRCA1,pp
NCOA1,SMARCC1,pp
CXXC1,PRMT2,pp
CBX5,UBE2A,pp
KMT2A,SMARCC2,pp
CHD4,DNMT1,pp
SIRT1,SUZ12,pp
POLR2B,POLR2B,pp
BPTF,EZH2,pp
MTA1,RBBP4,pp
PHF19,PHF19,pp
L3MBTL3,PRKAA2,pp
GTF2B,MECP2,pp
BAZ1B,SIRT7,pp
CARM1,KAT2B,pp
SIRT1,SIRT2,pp
BRD1,PBRM1,pp
MBD2,MBD2,pp
EZH2,UHRF1,pp
HDAC2,SUZ12,pp
EHMT1,EZH1,pp
PHC3,RNF2,pp
IWS1,RNF40,pp
TRIM28,UBE2E1,pp
CBX5,RBBP7,pp
SMARCC2,SMARCD3,pp
BRCA1,CBX1,pp
MBD3,MTA1,pp
EED,NAP1L1,pp
KDM2B,WDR5,pp
KDM5B,MBD3,pp
EZH2,SIRT1,pp
CBX3,EHMT1,pp
SMARCA4,ZMYND8,pp
MORF4L1,RNF2,pp
ASH2L,KMT2D,pp
HDAC1,MTA3,pp
CHD3,RBBP7,pp
BRCA1,EZH2,pp
DNMT1,PRMT5,pp
MORF4L1,SIN3B,pp
BRD8,MORF4L1,pp
EED,KDM2B,pp
CHD3,CHD6,pp
BRD4,KDM2B,pp
BMI1,BMI1,pp
TRIM28,TRIM28,pp
BRCA1,MORF4L1,pp
HDAC2,SATB1,pp
HDAC2,ZMYND8,pp
BRCA1,CHAF1A,pp
L3MBTL3,L3MBTL3,pp
CHD3,HDAC1,pp
JADE1,KAT7,pp
MTA2,SIRT7,pp
CHAF1A,SMARCC1,pp
CBX7,PHC2,pp
EZH2,GTF3C4,pp
ACTL6A,SMARCE1,pp
ASH2L,HCFC1,pp
CBX5,HDAC2,pp
L3MBTL3,L3MBTL4,pp
RNF20,UBE2A,pp
RBBP7,SIRT6,pp
CBX3,DNMT3B,pp
EED,FKBP1A,pp
EED,PCGF6,pp
HCFC1,HDAC5,pp
HDAC2,MORF4L1,pp
PAF1,RNF20,pp
ASH2L,CXXC1,pp
EZH2,NCOA3,pp
ATR,CHD4,pp
HDAC2,HDAC2,pp
CBX1,TRIM24,pp
HDAC4,HDAC4,pp
HDAC3,HDAC5,pp
HDAC2,PCGF6,pp
ING2,SIN3B,pp
KDM1A,UBE2I,pp
ING2,SMARCC1,pp
KDM2B,PCGF1,pp
CBX1,DNMT3B,pp
CHD3,RNF2,pp
KMT2D,WDR5,pp
CBX3,CHAF1A,pp
HDAC3,PRDM6,pp
DNMT3B,SIN3A,pp
CHD7,EZH2,pp
KMT2B,WDR82,pp
NCOA1,TRIM24,pp
BRPF1,GTF2H1,pp
AFF4,KMT2A,pp
CARM1,SMARCC2,pp
CBX5,SMARCA2,pp
ASH2L,SETD1A,pp
BRD7,SMARCA2,pp
ARID1A,SIN3A,pp
MTA3,PARP1,pp
RPA3,UBE2A,pp
HDAC5,NCOR2,pp
DPY30,PCGF1,pp
EHMT2,EZH1,pp
BMI1,SMARCD2,pp
CHD3,MBD3,pp
CARM1,SMARCC1,pp
HAT1,RBBP4,pp
PCGF1,SUZ12,pp
PHF1,PHF19,pp
HDAC2,PADI4,pp
BMI1,CBX8,pp
CHD4,KDM1A,pp
CBX5,SP100,pp
CBX2,PHC1,pp
BRCA1,SMARCB1,pp
EED,SSRP1,pp
PCGF2,RNF2,pp
CBX3,TRIM28,pp
ARID1A,SMARCE1,pp
CBX3,TRIM24,pp
EZH2,JARID2,pp
GTF2B,NCOA1,pp
ASH2L,ASH2L,pp
MEN1,TAF1,pp
HDAC3,PRDM4,pp
HDAC9,PARP1,pp
HDAC3,TRIM28,pp
TRIM24,TRIM33,pp
PARP2,PARP2,pp
NCOA3,NCOR1,pp
BAZ2A,KAT8,pp
HCFC1,SIRT7,pp
BMI1,UBE2I,pp
ACTB,SMARCC2,pp
DMAP1,ING3,pp
EP400,SMARCA4,pp
CREBBP,WDR5,pp
HDAC7,KDM5B,pp
SMARCD3,SMARCE1,pp
EP400,EPC1,pp
KDM5B,SIN3A,pp
CHD3,SMARCC2,pp
CHD3,PHF20L1,pp
RBBP4,TRIM28,pp
BRD9,SMARCA4,pp
ATR,MTA2,pp
AFF1,AFF4,pp
PRMT6,SMARCD1,pp
CREBBP,TRIM28,pp
MECP2,NCOR1,pp
CBX7,PCGF1,pp
CREBBP,GTF2B,pp
DNMT1,UHRF1,pp
CBX8,KMT2A,pp
NCOR1,SMARCC1,pp
CXXC1,DPY30,pp
SUZ12,TRIM28,pp
EHMT2,MTF2,pp
EHMT2,PRDM1,pp
CXXC1,HCFC1,pp
CBX4,PCGF1,pp
HDAC2,NCOR2,pp
CBX2,RNF2,pp
CBX4,KDM5B,pp
L3MBTL2,MTA3,pp
EED,SMARCA2,pp
HCFC1,RPA3,pp
CHAF1B,EZH2,pp
ACTL6A,SMARCD3,pp
MBD2,PRMT5,pp
EPC1,H2AFZ,pp
BAZ1A,SMARCA5,pp
L3MBTL2,SMARCA5,pp
PRMT8,PRMT8,pp
ATM,HDAC4,pp
EED,KDM2A,pp
EZH2,RBBP7,pp
CREBBP,JADE1,pp
CBX1,MECP2,pp
PHC1,SFMBT1,pp
BMI1,CBX3,pp
KAT2B,NCOA3,pp
KDM6A,SUZ12,pp
HDAC2,SMARCE1,pp
ACTL6B,SMARCD1,pp
HDAC3,PARP1,pp
ACTL6A,SMARCA2,pp
KMT2A,WDR5,pp
CHD4,MBD3,pp
BRPF1,KAT7,pp
KDM1A,RPA3,pp
ATRX,MECP2,pp
ELP3,ELP4,pp
MTA3,PHF20L1,pp
KDM4A,KDM4A,pp
HDAC2,KDM5C,pp
RNF2,SMARCD2,pp
KAT2B,SIRT1,pp
CBX8,SCML2,pp
ACTL6A,RNF2,pp
PHC2,SCML2,pp
CBX6,PCGF5,pp
HDAC2,RBBP4,pp
BRCA1,TRIM28,pp
HDAC5,PRKCD,pp
BRCA1,NAP1L1,pp
HDAC1,WDR5,pp
CARM1,WDR5,pp
SMARCA2,SMARCA4,pp
CBX8,RING1,pp
ACTL6B,SMARCA4,pp
CHD1,SIRT7,pp
PAF1,RNF40,pp
HLTF,HLTF,pp
CARM1,EZH2,pp
BMI1,PRMT6,pp
BPTF,RBBP7,pp
EP300,RBBP5,pp
CBX5,EHMT2,pp
HDAC2,SIN3B,pp
NCOR2,SIN3A,pp
BAZ2A,CBX8,pp
RNF40,UBE2E1,pp
HDAC7,HDAC7,pp
RBBP4,SMARCB1,pp
HDAC3,HDAC3,pp
EHMT2,MECOM,pp
CBX8,PCGF1,pp
PBRM1,SMARCE1,pp
SMARCC1,SMARCD1,pp
KDM6B,SMARCA4,pp
MTA1,TRIM33,pp
KDM1A,RBBP4,pp
CREBBP,UBE2I,pp
PARP1,PARP2,pp
CHD3,PSIP1,pp
CBX5,SUV39H1,pp
DNMT3B,SMARCA5,pp
PCGF6,PCGF6,pp
BRCA1,SMARCC1,pp
POLR2B,TCEA1,pp
GTF2B,GTF2F1,pp
CHD3,HDAC3,pp
GADD45A,TDG,pp
SETD7,SETD7,pp
KDM6A,KMT2C,pp
CBX3,EZH1,pp
KAT2B,SMARCB1,pp
ACTB,RPA3,pp
ACTL6A,BRD9,pp
KDM2B,PRMT5,pp
BRD7,PBRM1,pp
CBX8,SETDB1,pp
KDM4D,KDM4D,pp
PHC1,PHC1,pp
RNF40,UBE2I,pp
EZH2,SMARCA4,pp
ASXL1,RNF2,pp
EP300,PRDM2,pp
CHD4,HELLS,pp
HDAC1,SETDB1,pp
PAXIP1,RBBP5,pp
H2AFZ,PHIP,pp
PSIP1,RPA3,pp
KDM5D,KMT2A,pp
RNF20,RNF40,pp
BRD2,EZH2,pp
KAT5,KAT5,pp
KDM5B,NCOR1,pp
PAXIP1,RNF2,pp
HDAC2,PARP1,pp
ING2,RBBP7,pp
PRMT5,SMARCC1,pp
BAZ2A,HDAC1,pp
ASH2L,WDR82,pp
HDAC5,WDR5,pp
GTF2H1,TCEA1,pp
FKBP5,KDM6B,pp
L3MBTL2,PCGF6,pp
EHMT1,EHMT1,pp
KMT2E,SMYD3,pp
EZH2,MORF4L1,pp
BRCA1,UBE2E1,pp
AFF1,NSD1,pp
ARID2,SMARCB1,pp
EED,PHF1,pp
KDM4C,KDM4C,pp
CTSL,EED,pp
RBBP5,WDR82,pp
ASH2L,KMT2B,pp
EED,EHMT2,pp
HDAC1,SMARCC2,pp
DPY30,RBBP5,pp
CBX6,PHC1,pp
CBX6,RNF2,pp
PHF10,SETDB1,pp
BMI1,DNMT3B,pp
CBX6,NCOR2,pp
PHF10,SMARCC1,pp
SIN3A,SMARCE1,pp
CHD3,MBD2,pp
SMARCA1,SMARCC2,pp
EED,PBRM1,pp
CHD3,PBRM1,pp
ASH2L,RBBP5,pp
NCOR2,SMARCA4,pp
CBX1,SUV39H2,pp
EED,PARP1,pp
BRD4,SIRT5,pp
RBBP5,WDR5,pp
BRD7,TRIM24,pp
EZH2,PRMT5,pp
BMI1,TRIM28,pp
CBX4,DNMT3A,pp
BPTF,EED,pp
RBBP7,SMARCA2,pp
BRD7,SUZ12,pp
CBX3,CBX3,pp
DNMT3B,MTA1,pp
BRD9,INO80,pp
PRDM4,PRDM4,pp
ASXL2,KDM1B,pp
HCFC1,PAF1,pp
KDM5B,MBD2,pp
KMT2A,RBBP5,pp
SIRT1,USP22,pp
RING1,RNF2,pp
EHMT2,TRIM28,pp
RPA3,RPA3,pp
TRIM28,UHRF1,pp
GADD45A,JMJD1C,pp
BAZ1B,ING3,pp
CHD4,CXXC1,pp
EP300,NCOA3,pp
ACTL6A,SMARCA4,pp
PHF10,SMARCB1,pp
DNMT1,SETD7,pp
CHD4,PSIP1,pp
CBX1,CBX5,pp
BMI1,PHC3,pp
PCGF2,PHC2,pp
HIRA,SMARCB1,pp
EP400,MEN1,pp
PRDM9,PRDM9,pp
BRCA1,KAT5,pp
CBX8,PHC3,pp
MSL3,PAF1,pp
CBX5,DNMT3B,pp
ARID1A,SMARCA4,pp
AURKB,CBX3,pp
RBBP4,SUV39H1,pp
MTA1,MTA3,pp
BRCA1,SMARCA2,pp
PBRM1,SMARCB1,pp
CHD4,SMARCA5,pp
HDAC5,RBBP4,pp
CBX1,WDR5,pp
KDM4C,PRMT5,pp
BRD2,BRD4,pp
HDAC4,HDAC5,pp
PARP1,TRIM33,pp
HDAC1,HDAC9,pp
KDM5B,MTA3,pp
RBBP5,UBE2I,pp
ING4,KMT2A,pp
ATRX,MEN1,pp
CBX8,EP300,pp
ATM,KAT5,pp
SUZ12,UBE2I,pp
CBX1,CHAF1A,pp
INO80,SMARCA5,pp
PAF1,TCEA1,pp
EP300,UBE2I,pp
CREBBP,KAT2B,pp
BOP1,SIRT7,pp
BRD7,SMARCC2,pp
EED,EP400,pp
SUZ12,SUZ12,pp
DNMT3A,UHRF1,pp
CHD4,DNMT3B,pp
RNF20,UBE2B,pp
PCGF5,PHC2,pp
AFF1,AFF1,pp
GTF3C4,RNF2,pp
EED,NCOR1,pp
PBRM1,SMARCA4,pp
ACTB,BRDT,pp
DMAP1,EPC2,pp
SMARCA2,SMARCD2,pp
CARM1,PARP1,pp
INO80,MBD3,pp
RBBP4,SMARCA5,pp
BRCA1,DPY30,pp
BRPF3,KAT7,pp
ING2,SMARCB1,pp
MTA2,ZMYND8,pp
ASH2L,MEN1,pp
EZH2,IWS1,pp
RPA3,TRIM28,pp
BRD7,SMARCE1,pp
PRDM2,PRDM2,pp
MBD1,SUV39H1,pp
ASH2L,DPY30,pp
PRMT5,SMARCE1,pp
EP300,HDAC1,pp
ARID1A,PBRM1,pp
RNF40,UBE2B,pp
EZH2,RBBP4,pp
SETD1A,SUZ12,pp
ASH2L,RNF2,pp
