gene_name,gene_name2,interation
HDAC1,KMT2E,pp
UBE2E1,UBE2I,pp
AFF1,HDAC1,pp
KMT2C,WDR82,pp
EP300,SATB1,pp
ACTB,CARM1,pp
EZH2,SMYD3,pp
CHD4,L3MBTL2,pp
KDM5B,KMT2A,pp
DNMT3B,MBD4,pp
CBX3,CHAF1B,pp
RNF2,SMARCA4,pp
NCOA3,SETDB1,pp
EZH2,L3MBTL3,pp
MBD1,RNF2,pp
MECOM,SIRT1,pp
CHD9,PRKCD,pp
ATM,DNMT1,pp
L3MBTL2,RBBP7,pp
HDAC1,HELLS,pp
SETMAR,SETMAR,pp
SIN3B,SMARCA4,pp
GTF2F1,PHF19,pp
BRCA1,CBX5,pp
HDAC2,TET2,pp
EP300,ING5,pp
EHMT1,L3MBTL1,pp
ACTB,RNF2,pp
CLOCK,KAT2B,pp
BRD9,WDR5,pp
SMARCA4,SMARCB1,pp
MECP2,SUV39H1,pp
ASH2L,CHD8,pp
CHAF1B,SETDB1,pp
CHAF1A,CHAF1A,pp
MECP2,PRMT6,pp
BRCA1,PCMT1,pp
AURKB,AURKB,pp
PAXIP1,WDR5,pp
GTF2B,NAP1L1,pp
MTA1,SUZ12,pp
BRCA1,UBE2I,pp
EP300,KAT6A,pp
L3MBTL2,PHF10,pp
HDAC9,SIN3B,pp
BRCA1,ERCC5,pp
ARID1A,SMARCD1,pp
CBX4,KDM2B,pp
PHC3,SCMH1,pp
CHAF1A,MBD1,pp
EPC2,MORF4L1,pp
EPC1,RNF2,pp
PCGF1,PCMT1,pp
EED,MTA1,pp
ACTB,EPC1,pp
EZH2,SMARCC1,pp
CARM1,EED,pp
CBX3,CHD1L,pp
RBBP5,SMARCD1,pp
PCGF2,PHC1,pp
CREBBP,MECOM,pp
HDAC4,UBE2I,pp
EP300,EP300,pp
BMI1,EZH2,pp
BAZ1B,SMARCA5,pp
HDAC3,SMARCD1,pp
BRCA1,PARP1,pp
EED,PHF19,pp
CHD1,PAF1,pp
PRMT5,SIN3A,pp
CBX4,EED,pp
EZH2,PHF1,pp
CBX8,SETD2,pp
CBX1,CBX3,pp
KMT2A,KMT2A,pp
PHC1,SFMBT2,pp
BRCA1,GTF3C4,pp
PBRM1,SMARCA2,pp
