type,shRNA,count
target,Arid1a.1,3118
target,Arid1a.2,605381
target,Arid1b.1,11720
target,Arid1b.2,880
target,Arid1b.3,93
control,Bcl6.2,4236
control,Bcl6.3,666
target,Brd7.1,54857
target,Brd7.2,0
target,Brd7.3,18444
target,Brdt.1,3344
target,Brdt.2,912
target,Brdt.3,457
control,CD4.1,23
control,CD4.2,126
control,CD4.3,775
control,CD4.4,5679
control,CDK9.1,12974
control,CDK9.2,2198
control,CDK9.3,4337
target,Cbx2.1,61885
target,Cbx2.2,1825
target,Cbx2.3,17424
control,Ccnt1.2,12148
control,Ccnt1.3,25348
control,Ccnt1.4,30186
control,Cd14.2,18967
control,Cd19.3,419
control,Cd19.4,8852
control,Cd4.5,114078
target,Cecr2.1,1695
target,Cecr2.2,2705
target,Cecr2.3,361
target,Chd7.1,3992
target,Chd7.2,31310
target,Chd7.3,6092
target,Clock.1,8419
target,Clock.2,3051
target,Clock.3,0
target,Dpy30.1,4321
target,Dpy30.2,883
target,Dpy30.3,2235
target,Eaf1.1,14132
target,Eaf1.2,28418
target,Eaf1.3,0
target,Fbxo17.1,4716
target,Fbxo17.2,5510
target,Fbxo17.3,45467
target,Fkbp2.1,612
target,Fkbp2.2,3885
target,Fkbp2.3,855
target,Fkbp5.1,73696
target,Fkbp5.2,11900
target,Fkbp5.3,4
control,Fosb.2,0
target,Gtf2h1.1,55493
target,Gtf2h1.2,14530
target,Gtf2h1.3,191737
target,H2afz.1,1691
target,H2afz.2,79
target,H2afz.3,3708
target,Hdac11.1,38856
target,Hdac11.2,1155
target,Hdac11.3,108
target,Hdac5.1,118528
target,Hdac5.2,404
target,Hdac5.3,10
control,Hes1.2,156
control,Hes1.3,412
control,Hes6.3,2866
control,Id2.2,2814
control,Id2.3,1030
control,Id2.4,2127
control,Id2.5,3188
control,Id3.2,0
control,Id3.3,90
control,Id3.4,2172
control,Id3.5,553
target,Iws1.1,401
target,Iws1.2,2229
target,Iws1.3,446
target,Jmjd8.1,727
target,Jmjd8.2,473
