type,shRNA,count
target,Arid1a.1,10137
target,Arid1a.2,3042
target,Arid1b.1,149
target,Arid1b.2,6806
target,Arid1b.3,8434
control,Bcl6.2,68038
control,Bcl6.3,9079
target,Brd7.1,144
target,Brd7.2,0
target,Brd7.3,183
target,Brdt.1,22488
target,Brdt.2,1954
target,Brdt.3,21982
control,CD4.1,2932
control,CD4.2,4951
control,CD4.3,13402
control,CD4.4,164880
control,CDK9.1,17026
control,CDK9.2,0
control,CDK9.3,11393
target,Cbx2.1,22703
target,Cbx2.2,28676
target,Cbx2.3,3412
control,Ccnt1.2,28818
control,Ccnt1.3,27486
control,Ccnt1.4,2092
control,Cd14.2,10249
control,Cd19.3,98
control,Cd19.4,0
control,Cd4.5,935
target,Cecr2.1,8048
target,Cecr2.2,2851
target,Cecr2.3,3969
target,Chd7.1,44513
target,Chd7.2,5639
target,Chd7.3,11397
target,Clock.1,49856
target,Clock.2,45316
target,Clock.3,0
target,Dpy30.1,38713
target,Dpy30.2,2
target,Dpy30.3,0
target,Eaf1.1,21449
target,Eaf1.2,118
target,Eaf1.3,1
target,Fbxo17.1,1455
target,Fbxo17.2,0
target,Fbxo17.3,1551
target,Fkbp2.1,87
target,Fkbp2.2,4341
target,Fkbp2.3,575
target,Fkbp5.1,10110
target,Fkbp5.2,28965
target,Fkbp5.3,0
control,Fosb.2,0
target,Gtf2h1.1,10622
target,Gtf2h1.2,8303
target,Gtf2h1.3,120
target,H2afz.1,1166
target,H2afz.2,4138
target,H2afz.3,16388
target,Hdac11.1,1291
target,Hdac11.2,10219
target,Hdac11.3,5266
target,Hdac5.1,855
target,Hdac5.2,9
target,Hdac5.3,473
control,Hes1.2,7307
control,Hes1.3,10
control,Hes6.3,282
control,Id2.2,42
control,Id2.3,49583
control,Id2.4,439
control,Id2.5,3
control,Id3.2,0
control,Id3.3,0
control,Id3.4,11
control,Id3.5,0
target,Iws1.1,279
target,Iws1.2,4856
target,Iws1.3,255
target,Jmjd8.1,10716
target,Jmjd8.2,4351
target,Jmjd8.3,4128
target,Kdm4b.1,6351
target,Kdm4b.2,4213
target,Kdm4b.3,817
control,Klf12.4,3
control,Klf12.5,31497
control,Klf2.2,0
control,Klf2.3,0
control,Klf2.4,1
control,Klf2.5,1
control,Klf2.6,213
control,Klf2.7,0
target,Mecp2.1,604
target,Mecp2.2,4
target,Mecp2.3,15400
control,Ms4a1.2,1868
control,Nfatc3.2,137909
control,Nfatc3.3,2
control,Nfatc3.7,0
control,Nfatc3.8,0
target,Padi2.1,0
target,Padi2.2,59246
target,Padi2.3,2166
target,Paf1.1,3
target,Paf1.2,0
target,Paf1.3,78288
target,Parp2.1,62327
target,Parp2.2,2982
target,Parp2.3,9263
target,Phc2.1,10842
target,Phc2.2,1402
target,Phc3.1,0
target,Phc3.2,1458
target,Phc3.3,3364
target,Phf10.1,2845
target,Phf10.2,12368
target,Phf10.3,1356
target,Phf17.1,563
target,Phf17.2,19960
target,Prdm16.1,4563
target,Prdm16.2,223
target,Prdm16.3,6816
target,Rnf2.1,6689
target,Rnf2.2,46024
target,Rnf2.3,6711
target,Rpa3.1,15
target,Rpa3.2,1709
target,Rpa3.3,18
target,Rpa3.4,8993
control,Runx3.2,0
control,Runx3.3,12999
target,Satb1.1,1494
target,Satb1.2,41484
target,Satb1.3,31253
target,Scmh1.1,2096
target,Scmh1.2,3391
target,Scmh1.3,26496
target,Scml2.1,1396
target,Scml2.2,29133
target,Scml2.3,4787
target,Scml2.4,1515
target,Scml4.1,5295
target,Scml4.2,3124
target,Scml4.3,696
target,Setd1a.1,0
target,Setd1a.2,17798
target,Setd1a.3,405
target,Setd1a.4,5215
target,Setd2.1,115
target,Setd2.2,19303
target,Setd2.3,8512
target,Setd2.4,49431
target,Setd3.1,3053
target,Setd3.2,441
target,Setd3.3,11634
target,Setd4.1,0
target,Setd4.2,6079
target,Setd4.3,994
target,Setd4.4,9761
target,Setd5.1,0
target,Setd5.2,232439
target,Setd5.3,0
target,Setd5.4,78892
target,Setd7.1,0
target,Setd7.2,24
target,Setd8.1,72
target,Setd8.2,3058
target,Setd8.3,2999
target,Setd8.4,893
target,Setdb1.1,62456
target,Setdb1.2,111934
target,Setdb1.3,9090
target,Setdb1.4,1752
target,Setdb2.1,2164
target,Setdb2.2,9693
target,Setdb2.3,5700
target,Setdb2.4,1357
target,Setmar.1,4254
target,Setmar.2,29506
target,Setmar.3,325
target,Setmar.4,1586
target,Sfmbt1.1,5151
target,Sfmbt1.2,1
target,Sfmbt1.3,8001
target,Sfmbt1.4,21955
target,Sfmbt2.1,0
target,Sfmbt2.2,711
target,Sfmbt2.3,62
control,Sgk1.1,7593
target,Sin3a.1,402
target,Sin3a.2,101104
target,Sin3a.3,0
target,Sin3a.4,998
target,Sin3b.1,159
target,Sin3b.2,144
target,Sin3b.3,768
target,Sin3b.4,41
target,Sirt1.1,17724
target,Sirt1.2,4950
target,Sirt1.3,3867
target,Sirt1.4,1628
target,Sirt3.1,187
