shRNA,count
Bcl6,6569
Bcl6.2,12958
Bcl6.3,3590
CD4.1,2857
CD4.2,7619
CD4.3,6824
CD4.4,13996
Cd14,121604
Cd14.2,11974
Fosb,100191
Fosb.2,1724
Hes1,8196
Hes1.2,7613
Hes1.3,4020
Id2,25032
Id2.2,2007
Id2.3,6076
Id2.4,20385
Id2.5,5562
Id3,9276
Id3.2,11167
Id3.3,17649
Id3.5,17191
Jmjd5.1,20828
Jmjd5.2,2447
Jmjd5.3,26412
Jmjd5.4,106132
Jmjd6.1,1430
Jmjd6.2,49180
Jmjd6.3,7144
Jmjd6.4,44851
Jmjd8.1,2
Jmjd8.2,1
Jmjd8.3,11
Kat2a.1,3
Kat2a.2,0
Kat2a.3,75844
Kat2b.1,4507
Kat2b.3,86592
Kat2b.4,8770
Kat5.1,7135
Kat5.3,6109
Kat5.4,108208
Kdm1a.1,25817
Kdm1a.2,23562
Kdm1a.3,87625
Kdm1a.4,46780
Kdm1b.1,48383
Kdm1b.2,8976
Kdm1b.3,2436
Kdm1b.4,19071
Kdm2a.1,3705
Kdm2a.3,5731
Kdm2a.4,81104
Kdm2b.1,33164
Kdm2b.2,42720
Kdm2b.3,43247
Kdm2b.4,98003
Kdm3a.1,34216
Kdm3a.2,37155
Kdm3a.3,199060
Kdm3a.4,13432
Kdm3b.2,12155
Kdm3b.3,19922
Kdm3b.4,7917
Kdm4a.1,20994
Kdm4a.2,20885
Kdm4a.3,18783
Kdm4a.4,3273
Kdm4b.1,2
Kdm4b.2,996
Kdm4b.3,25
Kdm4c.1,107704
Kdm4c.2,13914
Kdm4c.3,6048
Kdm4c.4,40218
Kdm4d.1,22152
Kdm4d.2,14423
Kdm4d.3,8073
Kdm4d.4,12853
Kdm5a.1,22131
Kdm5a.2,81918
Kdm5a.3,46196
Kdm5a.4,1980
Kdm5b.1,4550
Kdm5b.2,19506
Kdm5b.3,98750
Kdm5b.4,3485
Kdm5c.1,60023
Kdm5c.3,6934
Kdm5c.4,15961
Kdm5d.1,111130
Kdm5d.2,5620
Kdm5d.3,3023
Kdm5d.4,88
Kdm6a.1,3454
Kdm6a.2,56936
Kdm6a.3,6674
Kdm6a.4,1169
Kdm6b.1,4638
Kdm6b.2,19387
Kdm6b.3,17582
Kdm6b.4,13755
Klf12,55746
Klf12.4,16999
Klf12.5,55593
Klf2,80795
Klf2.2,12919
Klf2.3,6197
Klf2.4,2610
Klf2.5,339
Klf2.6,24795
Klf2.7,55790
L3mbtl1.1,8801
L3mbtl1.2,26932
L3mbtl1.3,82884
L3mbtl1.4,8460
L3mbtl2.1,2126
L3mbtl2.3,3407
L3mbtl2.4,8037
L3mbtl3.1,59813
L3mbtl3.2,7819
L3mbtl3.3,7013
L3mbtl3.4,20306
L3mbtl4.1,19676
L3mbtl4.2,16538
L3mbtl4.3,10794
L3mbtl4.4,4500
Mbd1.1,72643
Mbd1.2,38945
Mbd1.3,27052
Mbd1.4,24725
Mbd2.2,81629
Mbd2.3,38290
Mbd2.4,22549
Mbd3.1,11468
Mbd3.2,36011
Mbd3.3,7571
Mbd3.4,7087
Mbd4.1,40836
Mbd4.2,6865
Mbd4.3,35675
Mbd4.4,8205
Mecom.1,7316
Mecom.2,18489
Mecom.3,7448
Mecom.4,8291
Mecp2.1,0
Mecp2.2,0
Mecp2.3,3
Men1.1,50740
Men1.3,18736
Men1.4,21610
Mll1.1,6899
Mll1.2,156740
Mll1.3,43784
Mll1.4,5610
Mll2.1,26242
Mll2.2,70239
Mll2.3,6936
Mll2.4,25404
Mll3.3,7118
Mll3.4,10428
Mll5.2,95657
Mll5.3,3856
Mll5.4,34112
Morf4l1.2,95499
Morf4l1.3,4322
Morf4l1.4,39485
Ms4a1,40956
Ms4a1.2,10517
Msl3.1,488
Msl3.2,1598
Msl3.3,15397
Msl3.4,3280
Mta1.1,10813
Mta1.2,23303
Mta1.3,11061
Mta1.4,40041
Mta2.1,27951
Mta2.3,7469
Mta2.4,5027
Mta3.1,41474
Mta3.2,3103
Mta3.3,5179
Mta3.4,5719
Mtf2.1,28246
Mtf2.3,39415
Mtf2.4,9530
Myst1.1,4950
Myst1.2,20106
Myst1.3,36897
Myst1.4,12954
Myst2.1,5011
Myst2.2,10287
Myst2.3,10201
Myst2.4,16038
Myst3.1,9088
Myst3.2,24280
Myst3.3,15100
Myst3.4,231
Myst4.1,13362
Myst4.3,50692
Myst4.4,39099
Nap1l1.1,1960
Nap1l1.2,11057
Nap1l1.3,2952
Nap1l1.4,43176
Nap1l2.1,14915
Nap1l2.2,8510
Nap1l2.3,7696
Nap1l2.4,7850
Nap1l3.1,173323
Nap1l3.2,30317
Nap1l3.3,52688
Nap1l3.4,8155
Ncoa1.1,51672
Ncoa1.2,36580
Ncoa1.3,21936
Ncoa1.4,49836
Ncoa3.1,3096
Ncoa3.2,17679
Ncoa3.3,2589
Ncoa3.4,29446
Ncor1.1,27383
Ncor1.3,3309
Ncor1.4,43723
Ncor2.1,3838
Ncor2.2,6839
Ncor2.3,1597
Ncor2.4,8472
Nfatc3.2,15344
Nfatc3.3,3330
Nfatc3.7,4902
Nfatc3.8,61211
Nsd1.1,3991
Nsd1.2,12651
Nsd1.3,2770
Nsd1.4,19143
Orc1.1,5280
Orc1.2,7207
Orc1.3,891
Orc1.4,41069
Padi1.1,17405
Padi1.2,2690
Padi1.4,53726
Padi2.1,0
Padi2.2,53
Padi2.3,2
Padi3,3948
Padi4.1,14837
Padi4.2,2533
Padi4.3,23434
Padi4.4,6158
Padi6.1,18557
Padi6.2,0
Padi6.3,7539
Padi6.4,27322
Paf1.1,0
Paf1.2,0
Paf1.3,7481
Parp1.1,6464
Parp1.2,52241
Parp1.3,23584
Parp1.4,10269
Parp2.1,29
Parp2.2,2
Parp2.3,24
Paxip1.1,5393
Paxip1.2,1470
Paxip1.3,2382
Paxip1.4,20724
Pbrm1.1,9872
Pbrm1.3,0
Pbrm1.4,5729
Pcgf1.1,38724
Pcgf1.2,4647
Pcgf1.3,2652
Pcgf1.4,2107
Pcgf2.2,18060
Pcgf2.3,78261
Pcgf2.4,145139
Pcgf5.1,23820
Pcgf5.2,2362
Pcgf5.3,14136
Pcgf5.4,25132
Pcgf6.1,1557
Pcgf6.2,7131
Pcgf6.3,54150
Pcgf6.4,2282
Pcmt1.1,7242
Pcmt1.3,10076
Pcmt1.4,173324
Phc1.1,101627
Phc1.2,39473
Phc1.3,3102
Phc1.4,30094
Phc2.1,1
Phc2.2,43
Phc3.1,1
Phc3.2,2
Phc3.3,0
Phf1.1,4461
Phf1.2,5492
Phf1.3,18524
Phf1.4,7595
Phf10.1,1
Phf10.2,10
Phf10.3,55
Phf17.1,0
Phf17.2,43715
Phf19.1,27526
Phf19.2,18000
Phf19.3,48605
Phf19.4,14614
Phf2.1,8811
Phf2.2,13203
Phf2.3,8945
Phf2.4,554
Phf20.1,0
Phf20.2,53320
Phf20.3,41203
Phf20.4,8271
Phf20l1.1,15006
Phf20l1.2,6856
Phf20l1.4,34413
Phf8.1,11064
Phf8.2,50790
Phf8.3,33924
Phip.1,20552
Phip.2,131204
Phip.3,0
Phip.4,12371
Polr2b.1,20294
Polr2b.2,80516
Polr2b.3,15831
Polr2b.4,8836
Ppargc1a.1,8503
Ppargc1a.2,9085
Ppargc1a.3,11578
Ppargc1a.4,82224
Prdm1.1,7674
Prdm1.2,29350
Prdm1.3,11925
Prdm1.4,15263
Prdm10.1,14768
Prdm10.2,17896
Prdm10.3,22322
Prdm10.4,10679
Prdm11.2,19543
Prdm11.3,4088
Prdm11.4,1798
Prdm12.1,4627
Prdm12.2,5519
Prdm12.3,3607
Prdm12.4,18167
Prdm13.1,28500
Prdm13.2,9067
Prdm13.4,1316
Prdm14.1,29665
Prdm14.2,6368
Prdm14.3,1548
Prdm14.4,956
Prdm15.1,0
Prdm15.2,6145
Prdm15.3,7233
Prdm15.4,34847
Prdm16.1,24911
Prdm16.2,0
Prdm16.3,0
Prdm2.1,4154
Prdm2.2,3702
Prdm2.3,24493
Prdm2.4,20668
Prdm4.1,8
Prdm4.2,41051
Prdm4.3,4453
Prdm4.4,22187
Prdm5.1,214475
Prdm5.2,6855
Prdm5.3,5639
Prdm5.4,132207
Prdm6.1,7352
Prdm6.2,14080
Prdm6.3,14244
Prdm6.4,29109
Prdm8.1,32595
Prdm8.2,36370
Prdm8.3,4513
Prdm8.4,4411
Prdm9.1,5017
Prdm9.2,1062
Prdm9.3,0
Prdm9.4,45320
Prkaa1.1,8778
Prkaa1.2,24054
Prkaa1.3,10525
Prkaa1.4,2353
Prkaa2.1,91402
Prkaa2.2,4381
Prkaa2.3,16303
Prkaa2.4,3452
Prkcd.1,209196
Prkcd.2,1066
Prkcd.4,1814
Prmt1.1,4722
Prmt1.2,4737
Prmt1.3,8136
Prmt1.4,20859
Prmt2.1,9880
Prmt2.2,19370
Prmt2.3,16105
