shRNA,count,pctg
Actb,4,7.097931041825447e-05
Actl6a,818,0.014515268980533038
Actl6b.1,16347,0.29007469685180143
Actl6b.2,5284,0.09376366906251414
Actl6b.3,1575,0.027948103477187694
Actl6b.4,7636,0.13549950358844776
Aff1.1,1214,0.021542220711940226
Aff1.2,13105,0.23254596575780617
Aff1.3,362576,6.433848613552256
Aff1.4,2356,0.04180681383635188
Aff4.1,55967,0.9931247665446119
Aff4.2,2267,0.04022752417954571
Aff4.3,2608,0.04627851039270191
Aff4.4,1329,0.023582875886465043
Arid1a.1,0,0.0
Arid1a.2,73,0.001295372415133144
Arid1b.1,0,0.0
Arid1b.2,0,0.0
Arid1b.3,4,7.097931041825447e-05
Arid2.1,73322,1.3010862496218134
Arid2.2,13100,0.23245724161978337
Arid2.3,1392,0.02470080002555255
Arid2.4,914,0.016218772430571144
Ash1l.1,8269,0.14673197946213654
Ash1l.2,10565,0.1874741036422146
Ash1l.3,419,0.007435082766312154
Ash1l.4,2005,0.035578379347150045
Ash2l.1,4083,0.07245213110943324
Ash2l.2,4942,0.08769493802175338
Ash2l.3,991,0.017585124156122543
Ash2l.4,0,0.0
Asxl1.1,1679,0.029793565548062312
Asxl1.2,4325,0.07674637938973763
Asxl1.3,325,0.005767068971483175
Asxl1.4,7235,0.12838382771901774
Asxl2.1,96060,1.7045681396943808
Asxl2.2,3778,0.06703995869004134
Asxl2.3,3639,0.064573427653007
Asxl3.2,9826,0.1743606760424421
Asxl3.3,2367,0.04200200694000208
Asxl3.4,6013,0.10669964838624102
Atad2.1,10711,0.19006484847248087
Atad2.2,3485,0.061840724201904194
Atad2.3,9402,0.1668368691381071
Atad2.4,7417,0.13161338634304834
Atad2b.1,19409,0.3444093589769752
Atad2b.2,1868,0.03314733796532483
Atad2b.3,4506,0.07995819318616365
Atad2b.4,6204,0.11008891045871266
Atm.1,1240,0.022003586229658884
Atm.2,5421,0.09619471044433936
Atm.3,7078,0.12559788978510125
Atm.4,2923,0.05186813108813944
Atr.1,19886,0.35287364174435204
Atr.2,115738,2.0537508572969836
Atr.3,8218,0.1458269932543038
Atr.4,2736,0.04854984832608605
Atrx.1,52,0.0009227310354373079
Atrx.2,2051,0.03639464141695997
Atrx.3,28423,0.5043612350045117
Atrx.4,5898,0.1046589932117162
Aurkb.1,26451,0.4693684349683122
Aurkb.2,73988,1.3129043048064528
Aurkb.3,2004,0.035560634519545484
Aurkb.4,2772,0.04918866211985034
Baz1a.1,1,1.7744827604563617e-05
Baz1a.2,187514,3.327403603442142
Baz1a.3,0,0.0
Baz1a.4,9369,0.1662512898271565
Baz1b.1,4809,0.08533487595034642
Baz1b.2,54370,0.9647862768601236
Baz1b.3,8576,0.15217964153673758
Baz1b.4,222,0.003939351728213122
Baz2a.1,3207,0.05690766212783551
Baz2a.3,0,0.0
Baz2a.4,1264,0.02242946209216841
Baz2b.1,38328,0.6801237524277143
Baz2b.2,6262,0.11111811045977735
Baz2b.3,875,0.015526724153993164
Baz2b.4,2904,0.05153097936365274
Bcl6,14501,0.257317745093777
Bcl6.2,15471,0.2745302278702037
Bcl6.3,150,0.002661724140684542
Bmi1.1,3423,0.06074054489042125
Bmi1.2,4113,0.07298447593757014
Bmi1.3,1619,0.028728875891788495
Bmi1.4,499732,8.867658188483784
Bop1.1,1263,0.022411717264563844
Bop1.2,2371,0.04207298625042033
Bop1.3,416,0.007381848283498463
Bop1.4,9,0.00015970344844107252
Bptf.1,1443,0.025605786233385296
Bptf.2,2021,0.03586229658882307
Bptf.3,629,0.011161496563270513
Bptf.4,854,0.015154082774297327
Brd1.1,2909,0.05161970350167556
Brd1.2,17701,0.3141011934283805
Brd1.3,533,0.009457993113232407
Brd1.4,151,0.002679468968289106
Brd2.1,401,0.00711567586943001
Brd2.2,47055,0.8349828629327409
Brd2.3,1620,0.02874662071939306
Brd2.4,281,0.0049862965568823765
Brd3.1,2087,0.037033455210724264
Brd3.2,18875,0.3349336210361382
Brd3.3,2324,0.04123897935300584
Brd3.4,786,0.013947434497187
Brd4.1,3440,0.061042206959698836
Brd4.2,42301,0.7506239525006455
Brd4.3,2660,0.04720124142813921
Brd4.4,10335,0.18339279329316496
Brd7.1,11766,0.20878564159529547
Brd7.2,0,0.0
Brd7.3,76,0.0013486068979468348
Brd8.1,65974,1.1706972563834799
Brd8.2,1188,0.021080855194221575
Brd8.3,5133,0.09108420009422503
Brd8.4,7462,0.1324119035852537
Brd9.2,23410,0.4154064142228342
Brd9.3,3002,0.05326997246889997
Brd9.4,377,0.0066898000069204825
Brdt.1,39,0.000692048276577981
Brdt.2,0,0.0
Brdt.3,0,0.0
Brpf1.1,773,0.013716751738327673
Brpf1.2,8003,0.14201185531932262
Brpf1.3,8489,0.15063584153514054
Brpf1.4,640,0.011356689666920713
Brpf3.1,2951,0.052364986261067226
Brpf3.2,2067,0.03667855865863299
Brpf3.3,2257,0.04005007590350008
Brpf3.4,1014,0.017993255191027506
Brwd1.1,17506,0.31064095204549064
Brwd1.2,1674,0.029704841410039495
Brwd1.3,3026,0.053695848331409494
Brwd1.4,3031,0.053784572469432315
Brwd3.1,6384,0.11328297942753411
Brwd3.2,14126,0.25066343474206565
Brwd3.3,3035,0.05385555177985057
CD4.1,8727,0.15485911050502665
CD4.2,159,0.0028214275891256147
