type,shRNA,count,nbRawCount
target,Nap1l3.3,69829,99.86551437652626
target,Pcgf6.3,67656,99.8425377433938
target,Morf4l1.2,67415,99.83975401255073
target,Prmt3.2,65058,99.80973063439403
target,Mll5.1,49587,99.40169836731785
target,Prdm8.1,47423,99.29550230998268
target,L3mbtl1.3,40120,98.76789757290945
target,Phf8.2,38087,98.5569428744471
target,Pcmt1.4,33425,97.9164332942781
target,Prdm4.2,30290,97.3205838986623
target,Mbd4.1,29501,97.14359833885702
target,Phf20.3,28440,96.88559272384057
target,Rbbp4.3,27795,96.71659503215542
target,Kdm4a.3,25132,95.90636941282736
target,Parp1.3,25050,95.87820393745834
target,Prdm9.4,24408,95.6502514769796
target,Nap1l3.1,23143,95.15970841190537
target,Prdm15.4,22797,95.01519000679271
target,Kdm1a.1,22070,94.69580488269857
target,Ncoa1.2,20953,94.16009387873122
target,Prdm6.4,20409,93.87764328354892
target,Nap1l1.4,20218,93.77488792428083
target,Ncor1.4,20029,93.67130873082652
target,Prmt5.3,19453,93.34354673349063
target,Kdm5b.3,18940,93.03552380802958
target,Mta1.4,18940,93.03552380802958
target,Kdm3a.3,18855,92.98295268242771
target,Prmt5.2,18659,92.86001481014975
target,Kdm4d.1,18016,92.43927047587128
target,Jmjd6.2,17726,92.24036022195448
target,Prmt2.4,17443,92.04049035793349
target,Mll2.2,17380,91.99520149418446
target,Kat2b.3,17308,91.94308218631699
target,Psip1.1,16306,91.17586443302376
target,Phf20l1.4,15664,90.6400772820586
target,Mta3.1,15550,90.54104433092017
target,Phc1.2,15358,90.37148526437798
target,Ppargc1a.4,15249,90.27365130532634
target,L3mbtl3.4,15153,90.18652463109879
target,Phip.1,15130,90.16551550245269
target,Kdm5a.3,14980,90.02720359470196
target,Kat2a.3,14710,89.77246378553953
target,Jmjd5.4,14609,89.6752168692981
target,Phf19.3,14496,89.5651255999977
target,Kdm4c.1,14409,89.47942362376101
target,Nap1l3.2,14180,89.24984576487908
target,Phf1.3,14067,89.13438399218424
target,Mll1.3,14023,89.08902921911489
target,Padi1.4,13993,89.05797704879421
target,Myst1.2,13982,89.04656504961497
target,Prmt3.4,13972,89.03617827443567
target,Mbd1.4,13644,88.68892640592588
target,Paxip1.4,13491,88.52248344187174
target,Pbrm1.1,13159,88.15115553017017
target,Prdm1.4,12556,87.4391811903402
target,Mbd1.1,12472,87.33595658657866
target,Mbd3.2,12252,87.06069829071788
target,Kdm5a.2,12086,86.8481847990229
target,Phc1.1,11801,86.47331459668264
target,Kdm5c.2,11657,86.27893974262409
target,Kdm6a.3,11630,86.24211409684537
target,Kdm4c.2,11399,85.9220320882532
target,Rbbp7.4,11271,85.7407188431854
target,Myst3.2,11210,85.65329713532903
target,Prmt3.1,10892,85.18664627632386
target,Kdm5a.1,10864,85.14466011732624
target,Prkaa2.2,10809,85.06175475944086
target,Prkcd.3,10719,84.92484261553817
target,Ncor1.1,10483,84.55830234670886
target,Nap1l2.1,10416,84.45221043553236
