gene_name,Alternative
Actb,
Actl6a,
Actl6b,
Aff1,
Aff4,
Arid1a,
Arid1b,
Arid2,
Ash1l,
Ash2l,
Asxl1,
Asxl2,
Asxl3,
Atad2,
Atad2b,
Atm,
Atr,
Atrx,
Aurkb,
Baz1a,
Baz1b,
Baz2a,
Baz2b,
Bmi1,
Bop1,
Bptf,
Brd1,
Brd2,
Brd3,
Brd4,
Brd7,
Brd8,
Brd9,
Brdt,
Brpf1,
Brpf3,
Brwd1,
Brwd3,
Carm1,
Cbx1,
Cbx2,
Cbx3,
Cbx4,
Cbx5,
Cbx6,
Cbx7,
Cbx8,
Cecr2,
Chaf1a,
Chaf1b,
Chd1,
Chd1l,
Chd2,
Chd3,
Chd4,
Chd5,
Chd6,
Chd7,
Chd8,
Chd9,
Clock,
Crebbp,
Ctsl,
Cxxc1,
Dmap1,
Dnmt1,
Dnmt3a,
Dnmt3b,
Dnmt3l,
Dot1l,
Dpy30,
Brca1,Dub2a
Eaf1,
Eed,
Ehmt1,
Ehmt2,
Elp3,
Elp4,
Ep300,
Ep400,
Epc1,
Epc2,
Ercc5,
Ezh1,
Ezh2,
Fbxl19,
Fbxo17,
Fbxo44,
Fbxw9,
Fkbp1a,
Fkbp2,
Fkbp5,
Gadd45a,
Gadd45b,
Gtf2b,
Gtf2f1,
Gtf2h1,
Gtf3c4,
H2afz,
Hat1,
Hcfc1,
Hdac1,
Hdac10,
Hdac11,
Hdac2,
Hdac3,
Hdac4,
Hdac5,
Hdac6,
Hdac7,
Hdac8,
Hdac9,
Hells,
Hira,
Hltf,
Ing2,
Ing3,
Ing4,NA
Ing5,
Ino80,
Iws1,
Jarid2,
Kdm7a,Jhdm1d
Jmjd1c,
Jmjd4,
Kdm8,Jmjd5
Jmjd6,
Jmjd8,
Kat2a,
Kat2b,
Kat5,
Kdm1a,
Kdm1b,
Kdm2a,
Kdm2b,
Kdm3a,
Kdm3b,
Kdm4a,
Kdm4b,
Kdm4c,
Kdm4d,
Kdm5a,
Kdm5b,
Kdm5c,
Kdm5d,
Kdm6a,
Kdm6b,
L3mbtl1,
L3mbtl2,
L3mbtl3,
L3mbtl4,NA
Mbd1,
Mbd2,
Mbd3,
Mbd4,
Mecom,NA
Mecp2,
Men1,
Kmt2a,Mll1
Kmt2d,Mll2
Kmt2c,Mll3
Kmt2e,Mll5
Morf4l1,
Msl3,
Mta1,
Mta2,
Mta3,
Mtf2,
Kat8,Myst1
Kat7,Myst2
Kat6a,Myst3
Kat6b,Myst4
Nap1l1,
Nap1l2,NA
Nap1l3,NA
Ncoa1,
Ncoa3,
Ncor1,
Ncor2,
Nsd1,
Orc1,
Padi1,
Padi2,
Padi3,
Padi4,
Padi6,
Paf1,
Parp1,
Parp2,
Paxip1,
Pbrm1,
Pcgf1,
Pcgf2,
Pcgf5,
Pcgf6,
Pcmt1,
Phc1,
Phc2,
Phc3,
Phf1,
Phf10,
Jade1,Phf17
Phf19,
Phf2,
Phf20,
Phf20l1,
Phf8,
Phip,
Polr2b,
Ppargc1a,NA
Prdm1,
Prdm10,
Prdm11,
Prdm12,NA
Prdm13,NA
Prdm14,
Prdm15,
Prdm16,
Prdm2,
Prdm4,
Prdm5,
Prdm6,NA
Prdm8,NA
Prdm9,
Prkaa1,
Prkaa2,NA
Prkcd,
Prmt1,NA
Prmt2,
Prmt3,
Prmt5,
Prmt6,
Prmt7,
Prmt8,
Psip1,
Rbbp4,
Rbbp5,
Rbbp7,
Ring1,
Rnf2,
Rnf20,
Rnf217,
Rnf40,
Rpa3,
Satb1,
Scmh1,
Scml2,
Scml4,
Setd1a,
Setd2,
Setd3,
Setd4,
Setd5,
Setd7,
Kmt5a,Setd8
Setdb1,
Setdb2,
Setmar,
Sfmbt1,
Sfmbt2,
Sin3a,
Sin3b,
Sirt1,
Sirt2,
Sirt3,
Sirt4,
Sirt5,
Sirt6,
Sirt7,
Smarca1,NA
Smarca2,
Smarca4,
Smarca5,
Smarcb1,
Smarcc1,
Smarcc2,
Smarcd1,
Smarcd2,
Smarcd3,
Smarce1,
Smyd1,
Smyd2,
Smyd3,
Smyd4,
Smyd5,
Sp100,
Sp110,
Sp140,
Ssrp1,
Supt16,Supt16h
Suv39h1,
Suv39h2,
Kmt5b,Suv420h1
Kmt5c,Suv420h2
Suz12,
Taf1,
Taf3,
Tcea1,
Tdg,
Tet1,
Tet2,
Tet3,
Trim24,
Trim28,
Trim33,
Trim66,
Ube2a,
Ube2b,
Ube2e1,
Ube2i,
Uhrf1,
Usp22,
Usp27x,NA
Usp51,NA
Kmt2b,Wbp7
Wdr5,
Wdr82,
Nsd2,Whsc1
Nsd3,Whsc1l1
Zmynd11,
Zmynd8,
