"Position","Pool","shRNA","GeoMean","precentile","z"
"7_B02",1,"Hdac7.1",145.737574037995,84.4666879598424,1.0138250483466
"7_B03",1,"Ing4.1",88.4654955418551,48.6146972681958,-0.0347313712592183
"7_B04",1,"Ing5.1",115.483135630391,67.721197351421,0.459916643992111
"7_B05",1,"Ing3.1",156.735839359263,88.7852225779612,1.2151849781756
"7_B06",1,"Hdac9.1",184.136676566353,95.6996589455719,1.71684869478063
"7_B07",1,"Jmjd4.1",140.497232168572,82.0659968015423,0.917883112024475
"7_B08",1,"Jarid2.1",84.4178042467347,45.666554675898,-0.108837860905253
"7_B09",1,"Hltf.1",82.9392340446543,44.5946997627795,-0.135908020011384
"7_B10",1,"Hdac8.1",112.065466084972,65.4443393841048,0.39734480382078
"7_B11",1,"Jhdm1d.1",167.986427427315,92.2365531331164,1.42116451747051
"7_C02",1,"Jarid2.2",106.032633678496,61.290313700546,0.286893684980335
"7_C03",1,"Hells.1",61.2673764167644,29.7126290485068,-0.532683657236405
"7_C04",1,"Hdac7.2",75.8781788684855,39.5433788283996,-0.265184186139381
"7_C05",1,"Jhdm1d.2",99.4755112434204,56.625347899228,0.166843688472817
"7_C06",1,"Ino80.1",76.4314154691812,39.9340176649901,-0.255055344922985
"7_C07",1,"Ing5.2",88.5757909930414,48.6952109195725,-0.032712045150729
"7_C08",1,"Hdac9.2",65.2809512647048,32.304463517044,-0.459201782946475
"7_C09",1,"Jmjd1c.1",136.42819028233,80.0493624543071,0.84338572859615
"7_C10",1,"Ing4.2",148.382048951839,85.5936850273469,1.0622409819081
"7_C11",1,"Ing2.1",110.335035343313,64.2691906370751,0.365663497493263
"7_D02",1,"Hdac8.2",100.364105527268,57.2645075231824,0.183112370616354
"7_D03",1,"Jmjd1c.2",74.291242791197,38.4287891237381,-0.294238344029899
"7_D04",1,"Ing4.3",47.6623804486886,21.7175322364033,-0.781768485928256
"7_D05",1,"Hira.1",86.4164434547072,47.1203027647899,-0.072246104031322
"7_D06",1,"Hells.2",75.2205943301457,39.0804261730892,-0.277223464391806
"7_D07",1,"Jmjd1c.3",160.984143488004,90.1988306160263,1.29296435485615
"7_D08",1,"Ino80.2",48.3743178448504,22.1025589383756,-0.768734097327304
"7_D09",1,"Hltf.2",64.2724064582939,31.6443774548491,-0.477666559483152
"7_D10",1,"Hdac7.3",111.410546885936,65.0012540549364,0.385354323494165
"7_D11",1,"Jmjd4.2",118.367983058535,69.5931088011911,0.512733398155619
"7_E02",1,"Ing2.2",134.64783999371,79.1256998320502,0.810790478462083
"7_E03",1,"Ing3.2",67.2876115941691,33.6343487943943,-0.422463172690346
"7_E04",1,"Hdac7.4",78.1992483295821,41.1888677245789,-0.222689268062541
"7_E05",1,"Jarid2.3",58.7507132830746,28.1375707444962,-0.578759569864469
"7_E06",1,"Ing5.3",100.079039283195,57.0596606644695,0.177893282221373
"7_E07",1,"Hira.2",57.0047369733046,27.0690664139084,-0.610725489666252
"7_E08",1,"Hdac8.3",80.7561592566619,43.0195489677384,-0.17587648533578
"7_E09",1,"Jhdm1d.3",72.0566547547213,36.875599451944,-0.335149931182771
"7_E10",1,"Ino80.3",90.4818447375393,50.0871538988556,0.00218462600887815
"7_E11",1,"Hltf.3",120.85347422445,71.1659268389361,0.558238603943975
"7_F02",1,"Hdac9.3",93.401596438193,52.2185867791108,0.0556404192988282
"7_F03",1,"Jmjd4.3",115.27725290349,67.5857961236583,0.456147273984131
"7_F04",1,"Ing5.4",56.0223265787035,26.4768879471861,-0.6287117886272
"7_F05",1,"Hira.3",107.880318932693,62.5789359391272,0.320721726245327
"7_F06",1,"Hells.3",105.093255327622,60.6302635162828,0.269695231106969
"7_F07",1,"Jarid2.4",87.3875137015784,47.8281380845894,-0.0544674242979922
"7_F08",1,"Ing3.3",118.081348916778,69.4092932623383,0.507485604164036
"7_F09",1,"Ing2.3",73.5463825483289,37.9088536368228,-0.307875495149202
"7_F10",1,"Hells.4",138.889876225225,81.2852001214114,0.888455100378247
"7_F11",1,"Jhdm1d.4",86.6835989062853,47.3149573189304,-0.0673549324318178
"7_G02",1,"Ino80.4",53.4623830542004,24.9653641992866,-0.675580093164585
"7_G03",1,"Ing2.4",99.9290167629117,56.9517786381897,0.17514661960917
"7_G04",1,"Hdac8.4",75.7481487365737,39.4517156170551,-0.267564821400725
"7_G05",1,"Jmjd4.4",107.333918114969,62.1992507943976,0.310718036835993
"7_G06",1,"Jmjd1c.4",87.7436927529148,48.0879488474549,-0.0479463787795715
"7_G07",1,"Hira.4",81.1411369403869,43.2965894137341,-0.168828184797813
"7_G08",1,"Hdac9.4",340.632965449565,99.9997697638572,4.58203523352375
"7_G09",1,"Ing4.4",109.0821686739,63.4097546944069,0.342725594354097
"7_G10",1,"Hltf.4",117.83459387443,69.2506590103404,0.502967930098103
"7_G11",1,"Ing3.4",95.8790217135565,54.0223957057215,0.100997952058028
"4_B02",1,"Chd3.1",112.679715894153,65.8579969918078,0.408590695319231
"4_B03",1,"Cxxc1.1",124.760843018319,73.557943218393,0.629776022179196
"4_B04",1,"Dmap1.1",133.208446821794,78.3608304249423,0.78443758556243
"4_B05",1,"Ctsl.1",237.549791426944,99.6477968317332,2.69475391402268
"4_B06",1,"Chd5.1",102.526740229641,58.8118072516012,0.222706611998538
"4_B07",1,"Dot1l.1",145.46093523366,84.3455186132637,1.00876025234453
