shRNA_names,Q4,Q1,Q2,Q3
Asxl2.1_repP1-7_rep2,46.19,60.23,46.56,68.18
Asxl2.2_repP1-7_rep2,46.61,46.85,45.96,52.89
Asxl2.3_repP1-7_rep2,49.28,70.48,46.56,46.28
Asxl2.4_repP1-7_rep2,47.40,50.23,48.59,20.33
Asxl3.1_repP1-7_rep2,47.86,20.08,45.30,59.03
Asxl3.2_repP1-7_rep2,47.40,45.26,44.77,46.71
Asxl3.3_repP1-7_rep2,47.39,45.57,54.10,49.06
Asxl3.4_repP1-7_rep2,46.65,45.48,45.77,51.50
Atad2.1_repP1-7_rep2,49.24,44.47,57.11,49.54
Atad2.2_repP1-7_rep2,54.98,61.55,45.98,69.80
Atad2.3_repP1-7_rep2,73.19,50.53,49.35,48.02
Atad2.4_repP1-7_rep2,48.89,44.04,48.37,46.90
Atad2b.1_repP1-7_rep2,66.09,55.71,61.53,58.22
Atad2b.2_repP1-7_rep2,47.94,45.48,44.77,61.13
Atad2b.3_repP1-7_rep2,62.00,60.96,49.32,46.84
Atad2b.4_repP1-7_rep2,47.44,53.06,46.25,45.71
Atm.1_repP1-7_rep2,47.69,45.50,41.85,47.36
Atm.2_repP1-7_rep2,43.50,53.39,51.19,74.90
Atm.3_repP1-7_rep2,46.30,45.27,53.13,71.70
Atm.4_repP1-7_rep2,46.89,63.84,46.32,55.19
Atr.1_repP1-7_rep2,47.44,55.94,24.39,51.38
Atr.2_repP1-7_rep2,47.45,45.48,46.56,47.85
Atr.3_repP1-7_rep2,48.96,72.81,50.49,41.75
Atr.4_repP1-7_rep2,45.89,51.49,67.75,51.07
Atrx.1_repP1-7_rep2,49.10,45.48,46.54,48.72
Atrx.2_repP1-7_rep2,47.23,61.57,47.43,48.19
Atrx.3_repP1-7_rep2,46.11,58.38,54.18,58.88
Atrx.4_repP1-7_rep2,47.82,55.19,46.38,54.54
Aurkb.1_repP1-7_rep2,48.64,15.35,48.95,53.24
Aurkb.2_repP1-7_rep2,47.50,48.49,52.82,45.95
Aurkb.3_repP1-7_rep2,54.78,75.89,49.33,47.08
Aurkb.4_repP1-7_rep2,47.42,66.40,80.10,63.28
Baz1a.1_repP1-7_rep2,51.16,45.01,68.13,60.50
Baz1a.2_repP1-7_rep2,46.40,59.05,46.57,52.19
Baz1a.3_repP1-7_rep2,47.39,76.14,46.56,56.37
Baz1a.4_repP1-7_rep2,48.25,41.00,52.28,66.40
Baz1b.1_repP1-7_rep2,45.59,76.78,54.86,57.07
Baz1b.2_repP1-7_rep2,53.26,56.24,46.30,46.25
Baz1b.3_repP1-7_rep2,57.35,73.50,49.71,48.07
Baz1b.4_repP1-7_rep2,72.64,45.38,54.33,46.50
Baz2a.1_repP1-7_rep2,47.57,55.53,49.05,75.78
Baz2a.3_repP1-7_rep2,46.53,51.30,42.97,48.20
Baz2a.4_repP1-7_rep2,46.97,52.53,62.61,51.86
Baz2b.1_repP1-7_rep2,48.62,60.81,54.29,47.19
Baz2b.2_repP1-7_rep2,54.67,47.64,55.99,46.53
Baz2b.3_repP1-7_rep2,45.84,45.48,44.26,63.07
Baz2b.4_repP1-7_rep2,47.39,43.24,46.58,65.29
Bcl6.2_repP1-7_rep2,47.39,45.31,50.12,61.14
Bcl6.3_repP1-7_rep2,75.44,50.08,62.21,74.08
Bcl6_repP1-7_rep2,51.85,71.91,47.60,46.54
Bmi1.1_repP1-7_rep2,49.93,45.61,46.40,45.41
Bmi1.2_repP1-7_rep2,55.42,57.75,48.55,46.67
Bmi1.3_repP1-7_rep2,57.89,68.15,46.31,35.13
Bmi1.4_repP1-7_rep2,43.53,52.93,52.28,48.65
Bop1.1_repP1-7_rep2,47.42,52.30,48.77,63.07
Bop1.2_repP1-7_rep2,78.70,48.44,48.80,45.55
Bop1.3_repP1-7_rep2,47.38,45.43,47.27,55.19
Bop1.4_repP1-7_rep2,48.12,41.67,46.56,46.15
Bptf.1_repP1-7_rep2,56.64,75.36,48.76,46.13
Bptf.2_repP1-7_rep2,52.26,66.76,63.56,47.17
Bptf.3_repP1-7_rep2,50.91,19.90,48.69,50.55
Bptf.4_repP1-7_rep2,53.43,48.00,21.88,45.98
Brd1.1_repP1-7_rep2,57.38,70.90,45.77,54.28
Brd1.2_repP1-7_rep2,72.90,72.40,49.19,61.13
Brd1.3_repP1-7_rep2,36.27,45.32,57.19,71.21
Brd1.4_repP1-7_rep2,48.71,45.48,45.74,63.20
Brd2.1_repP1-7_rep2,47.39,46.59,47.87,56.63
Brd2.2_repP1-7_rep2,50.12,45.37,46.54,48.19
Brd2.3_repP1-7_rep2,41.94,51.18,47.17,46.59
Brd2.4_repP1-7_rep2,50.84,50.29,50.53,54.22
Brd3.1_repP1-7_rep2,47.55,44.97,45.88,59.48
Brd3.2_repP1-7_rep2,62.03,71.03,46.56,57.51
Brd3.3_repP1-7_rep2,52.31,48.13,48.59,50.89
Brd3.4_repP1-7_rep2,46.92,58.54,67.15,52.21
Brd4.1_repP1-7_rep2,49.77,77.36,44.89,59.61
Brd4.2_repP1-7_rep2,68.25,46.58,53.76,46.60
Brd4.3_repP1-7_rep2,46.91,61.63,44.76,52.17
Brd4.4_repP1-7_rep2,25.97,45.64,46.31,70.28
Brd7.1_repP1-7_rep2,47.56,46.51,17.54,50.76
Brd7.2_repP1-7_rep2,47.39,53.70,45.37,53.70
Brd7.3_repP1-7_rep2,58.08,48.29,41.44,46.85
Brd8.1_repP1-7_rep2,50.75,44.92,50.06,46.38
Brd8.2_repP1-7_rep2,47.39,74.14,48.61,30.73
Brd8.3_repP1-7_rep2,50.53,44.95,53.45,46.44
Brd8.4_repP1-7_rep2,47.39,44.70,60.35,46.54
Brd9.2_repP1-7_rep2,65.61,45.48,49.90,64.91
Brd9.3_repP1-7_rep2,55.19,56.31,51.52,65.15
Brd9.4_repP1-7_rep2,55.68,45.58,48.11,58.05
Brdt.1_repP1-7_rep2,46.19,65.03,50.62,46.73
Brdt.2_repP1-7_rep2,47.16,45.22,45.86,46.71
Brdt.3_repP1-7_rep2,62.60,73.44,46.90,52.36
Brpf1.1_repP1-7_rep2,47.97,45.48,47.75,47.20
Brpf1.2_repP1-7_rep2,49.99,62.03,42.48,52.33
Brpf1.3_repP1-7_rep2,54.21,59.89,45.85,46.71
Brpf1.4_repP1-7_rep2,52.48,52.69,46.92,46.71
Brpf3.1_repP1-7_rep2,53.42,45.73,47.23,49.30
Brpf3.2_repP1-7_rep2,47.39,45.91,55.71,46.71
Brpf3.3_repP1-7_rep2,52.92,36.81,57.67,50.11
Brpf3.4_repP1-7_rep2,66.41,46.95,45.64,47.07
Brwd1.1_repP1-7_rep2,51.16,45.42,51.34,68.46
Brwd1.2_repP1-7_rep2,47.39,71.31,51.58,70.62
Brwd1.3_repP1-7_rep2,47.28,44.94,47.47,66.49
Brwd1.4_repP1-7_rep2,60.92,50.36,46.56,46.01
Brwd3.1_repP1-7_rep2,66.56,49.05,32.98,46.62
Brwd3.2_repP1-7_rep2,72.16,45.48,68.19,16.65
Brwd3.3_repP1-7_rep2,61.64,45.46,31.94,46.71
CD4.1_repP1-7_rep2,48.54,70.12,46.46,49.98
CD4.2_repP1-7_rep2,49.20,49.20,48.55,46.75
CD4.3_repP1-7_rep2,66.90,49.85,60.39,61.52
CD4.4_repP1-7_rep2,71.14,74.83,50.83,60.82
CDK9.1_repP1-7_rep2,54.55,50.66,57.40,46.71
CDK9.2_repP1-7_rep2,48.21,63.48,49.85,46.71
CDK9.3_repP1-7_rep2,58.46,66.24,54.17,71.20
Carm1.1_repP1-7_rep2,52.82,72.47,44.84,46.86
Carm1.2_repP1-7_rep2,53.14,55.39,57.21,20.72
Carm1.3_repP1-7_rep2,47.39,45.61,46.44,74.01
Carm1.4_repP1-7_rep2,34.41,49.23,45.50,54.90
Cbx1.1_repP1-7_rep2,41.09,58.02,46.56,57.36
Cbx1.2_repP1-7_rep2,54.40,51.40,45.36,46.36
Cbx1.3_repP1-7_rep2,47.08,49.98,47.01,31.72
Cbx1.4_repP1-7_rep2,50.06,44.35,49.10,73.61
Cbx2.1_repP1-7_rep2,44.65,45.48,59.46,47.44
Cbx2.2_repP1-7_rep2,63.67,47.73,47.93,46.90
Cbx2.3_repP1-7_rep2,47.39,45.85,46.56,51.56
Cbx3.1_repP1-7_rep2,44.49,45.08,45.09,45.99
Cbx3.2_repP1-7_rep2,47.77,76.26,45.71,49.70
Cbx3.3_repP1-7_rep2,47.13,45.51,46.52,62.02
Cbx3.4_repP1-7_rep2,51.90,74.84,47.87,50.13
Cbx4.1_repP1-7_rep2,50.34,50.49,46.22,68.12
Cbx4.2_repP1-7_rep2,47.13,62.69,53.36,45.96
Cbx4.3_repP1-7_rep2,51.53,73.06,55.14,65.83
Cbx4.4_repP1-7_rep2,48.07,45.48,46.56,52.75
