shRNA_names,Q4,Q1,Q2,Q3
Hdac2.4_repP1-7_rep2,47.16,42.89,55.18,55.08
Hdac3.1_repP1-7_rep2,47.39,70.30,47.62,50.70
Hdac3.2_repP1-7_rep2,49.75,45.77,46.56,60.68
Hdac3.3_repP1-7_rep2,70.11,78.53,46.56,44.21
Hdac3.4_repP1-7_rep2,48.87,48.83,46.56,47.32
Hdac4.1_repP1-7_rep2,50.18,47.99,45.93,75.41
Hdac4.2_repP1-7_rep2,47.39,43.81,63.16,52.05
Hdac4.3_repP1-7_rep2,51.31,44.41,50.18,35.22
Hdac4.4_repP1-7_rep2,47.53,46.82,56.15,47.13
Hdac5.1_repP1-7_rep2,66.84,45.46,45.73,46.59
Hdac5.2_repP1-7_rep2,47.37,16.74,50.24,46.49
Hdac5.3_repP1-7_rep2,47.54,57.87,67.43,72.84
Hdac6.1_repP1-7_rep2,44.90,48.23,39.52,47.07
Hdac6.2_repP1-7_rep2,47.03,54.72,48.85,50.72
Hdac6.3_repP1-7_rep2,48.17,45.18,51.20,47.13
Hdac6.4_repP1-7_rep2,47.54,38.64,46.58,33.68
Hdac7.1_repP1-7_rep2,53.04,35.51,48.30,60.61
Hdac7.2_repP1-7_rep2,57.11,69.25,53.68,47.24
Hdac7.3_repP1-7_rep2,47.46,21.03,53.65,45.13
Hdac7.4_repP1-7_rep2,55.63,71.03,50.88,47.91
Hdac8.1_repP1-7_rep2,46.82,62.38,44.33,60.79
Hdac8.2_repP1-7_rep2,52.60,45.32,46.56,48.37
Hdac8.3_repP1-7_rep2,47.38,75.29,46.55,47.53
Hdac8.4_repP1-7_rep2,47.17,45.48,46.56,45.64
Hdac9.2_repP1-7_rep2,55.19,46.18,78.81,51.92
Hdac9.3_repP1-7_rep2,50.25,45.48,46.81,46.71
Hells.1_repP1-7_rep2,45.93,52.44,46.56,51.96
Hells.2_repP1-7_rep2,60.67,41.08,46.34,47.89
Hells.3_repP1-7_rep2,47.17,45.53,46.56,51.74
Hells.4_repP1-7_rep2,51.16,51.64,44.49,43.97
Hes1.2_repP1-7_rep2,51.12,53.33,61.94,49.91
Hes1.3_repP1-7_rep2,62.75,59.33,43.75,46.33
Hes1_repP1-7_rep2,52.57,45.16,79.99,47.77
Hes6.3_repP1-7_rep2,67.01,77.77,53.70,59.32
Hes6_repP1-7_rep2,72.34,44.34,49.81,46.71
Hira.1_repP1-7_rep2,47.39,45.49,60.40,58.32
Hira.2_repP1-7_rep2,49.60,76.49,46.43,45.41
Hira.3_repP1-7_rep2,48.46,47.78,55.35,47.89
Hira.4_repP1-7_rep2,67.69,50.00,50.09,47.08
Hltf.1_repP1-7_rep2,51.24,72.42,47.45,73.41
Hltf.2_repP1-7_rep2,48.53,46.61,46.85,46.11
Hltf.3_repP1-7_rep2,21.07,45.48,47.09,46.90
Hltf.4_repP1-7_rep2,53.36,52.72,46.56,47.84
Id2.2_repP1-7_rep2,47.12,70.84,46.44,55.85
Id2.3_repP1-7_rep2,76.26,59.86,49.50,56.78
Id2.4_repP1-7_rep2,56.72,45.54,46.82,46.72
Id2.5_repP1-7_rep2,47.39,44.38,73.38,47.14
Id2_repP1-7_rep2,45.49,45.13,79.51,49.66
Id3.2_repP1-7_rep2,49.31,45.48,46.68,55.69
Id3.3_repP1-7_rep2,48.17,48.49,46.40,49.05
Id3.4_repP1-7_rep2,47.13,53.38,47.20,61.66
Id3.5_repP1-7_rep2,54.85,45.27,46.58,49.66
Id3_repP1-7_rep2,47.39,57.19,57.06,46.74
Ing2.1_repP1-7_rep2,68.50,51.75,47.31,54.71
Ing2.2_repP1-7_rep2,53.85,44.94,49.89,72.48
Ing2.3_repP1-7_rep2,52.28,50.06,46.60,66.94
Ing2.4_repP1-7_rep2,70.28,58.58,38.98,26.97
Ing3.1_repP1-7_rep2,48.21,48.96,49.12,44.70
Ing3.2_repP1-7_rep2,52.00,45.48,52.58,61.17
Ing3.3_repP1-7_rep2,55.70,44.42,47.98,51.50
Ing3.4_repP1-7_rep2,68.46,46.33,52.60,46.63
Ing4.1_repP1-7_rep2,51.81,57.11,45.54,54.45
Ing4.2_repP1-7_rep2,47.76,40.26,46.17,46.72
Ing4.3_repP1-7_rep2,56.29,53.05,64.95,49.18
Ing4.4_repP1-7_rep2,55.20,53.28,46.56,51.11
Ing5.1_repP1-7_rep2,52.05,60.62,54.59,47.31
Ing5.2_repP1-7_rep2,64.98,45.71,61.57,48.02
Ing5.3_repP1-7_rep2,47.39,45.48,60.04,46.59
Ing5.4_repP1-7_rep2,47.25,65.17,47.69,49.19
Ino80.1_repP1-7_rep2,49.26,45.78,46.30,61.36
Ino80.2_repP1-7_rep2,52.52,67.65,45.56,46.85
Ino80.3_repP1-7_rep2,48.69,50.53,43.69,48.83
Ino80.4_repP1-7_rep2,44.88,45.71,50.00,73.06
Iws1.1_repP1-7_rep2,59.96,47.43,50.41,50.22
Iws1.2_repP1-7_rep2,46.37,42.96,47.76,46.04
Iws1.3_repP1-7_rep2,54.79,50.21,46.33,46.80
Jarid2.1_repP1-7_rep2,54.15,67.15,49.81,59.96
Jarid2.2_repP1-7_rep2,47.70,50.11,45.59,51.21
Jarid2.3_repP1-7_rep2,47.98,44.45,46.47,46.74
Jarid2.4_repP1-7_rep2,68.13,50.46,48.95,57.44
Jhdm1d.1_repP1-7_rep2,72.59,48.07,68.66,62.51
Jhdm1d.2_repP1-7_rep2,68.98,51.55,47.53,46.88
Jhdm1d.3_repP1-7_rep2,47.38,61.12,50.07,72.27
Jhdm1d.4_repP1-7_rep2,47.42,46.94,29.79,51.30
Jmjd1c.2_repP1-7_rep2,49.13,48.41,44.35,60.24
Jmjd1c.3_repP1-7_rep2,68.76,45.48,68.55,46.83
Jmjd1c.4_repP1-7_rep2,50.22,58.56,70.52,64.17
Jmjd4.1_repP1-7_rep2,46.04,48.35,47.69,49.92
Jmjd4.2_repP1-7_rep2,57.50,45.48,45.25,50.29
Jmjd4.3_repP1-7_rep2,47.42,74.27,52.87,47.17
Jmjd4.4_repP1-7_rep2,55.39,46.17,50.25,46.71
Klf12.4_repP1-7_rep2,69.08,45.20,46.32,46.71
Klf12.5_repP1-7_rep2,46.88,45.34,50.23,67.13
Klf12_repP1-7_rep2,44.58,54.86,46.57,46.27
Klf2.2_repP1-7_rep2,53.70,41.12,46.56,42.54
Klf2.3_repP1-7_rep2,47.98,50.20,46.89,62.25
Klf2.4_repP1-7_rep2,49.71,74.15,50.67,48.28
Klf2.5_repP1-7_rep2,48.71,46.45,46.64,46.55
Klf2.6_repP1-7_rep2,47.33,45.48,66.43,52.75
Klf2.7_repP1-7_rep2,54.16,47.88,46.30,71.41
Klf2_repP1-7_rep2,47.39,45.65,50.35,64.82
Ms4a1.2_repP1-7_rep2,67.03,48.72,57.74,46.59
Ms4a1_repP1-7_rep2,49.10,55.64,65.28,66.33
Nfatc3.2_repP1-7_rep2,47.39,45.24,53.01,61.56
Nfatc3.3_repP1-7_rep2,47.23,45.03,46.56,43.90
Nfatc3.7_repP1-7_rep2,47.14,45.24,46.59,48.25
Nfatc3.8_repP1-7_rep2,46.82,45.48,46.00,46.15
Runx3.2_repP1-7_rep2,50.63,45.22,46.26,47.44
Runx3.3_repP1-7_rep2,49.17,68.21,46.13,46.48
Runx3_repP1-7_rep2,65.01,42.67,51.60,46.71
Tbx21.3_repP1-7_rep2,73.63,45.48,49.10,66.21
Tbx21.4_repP1-7_rep2,47.73,71.42,71.20,46.97
Tbx21_repP1-7_rep2,48.32,73.11,51.62,48.80
Actb_repP1-7_rep1,51.07,50.17,54.98,56.15
Actl6a_repP1-7_rep1,49.86,48.95,53.77,55.91
Actl6b.1_repP1-7_rep1,41.78,42.23,46.00,54.99
Actl6b.2_repP1-7_rep1,52.87,59.14,50.86,53.51
Actl6b.3_repP1-7_rep1,50.10,54.46,53.45,49.29
Actl6b.4_repP1-7_rep1,42.73,50.28,53.96,52.33
Aff1.1_repP1-7_rep1,50.75,49.41,55.63,47.23
Aff1.2_repP1-7_rep1,29.78,28.87,33.69,52.89
Aff1.3_repP1-7_rep1,26.58,31.71,26.58,54.14
Aff1.4_repP1-7_rep1,50.38,49.09,54.98,53.64
Aff4.1_repP1-7_rep1,15.05,14.13,18.97,47.23
Aff4.2_repP1-7_rep1,50.93,50.03,54.85,49.10
Aff4.3_repP1-7_rep1,57.30,53.86,55.59,20.01
Aff4.4_repP1-7_rep1,53.80,54.15,61.70,55.81
Arid1a.1_repP1-7_rep1,51.07,50.17,54.99,55.17
Arid1a.2_repP1-7_rep1,51.07,50.17,54.99,55.81
Arid1b.1_repP1-7_rep1,51.07,50.17,54.99,54.11
Arid1b.2_repP1-7_rep1,51.07,50.17,54.99,51.73
Arid1b.3_repP1-7_rep1,51.09,50.22,54.99,55.47
Arid2.1_repP1-7_rep1,30.94,25.83,24.62,51.89
Arid2.2_repP1-7_rep1,64.21,79.37,59.02,55.92
Arid2.3_repP1-7_rep1,54.92,49.49,53.73,52.16
Arid2.4_repP1-7_rep1,56.26,65.22,58.26,55.92
Ash1l.1_repP1-7_rep1,58.40,50.32,59.03,50.84
Ash1l.2_repP1-7_rep1,40.97,46.48,42.01,54.21
Ash1l.3_repP1-7_rep1,51.56,54.69,55.56,55.92
Ash1l.4_repP1-7_rep1,58.65,50.06,57.41,52.46
Ash2l.1_repP1-7_rep1,52.42,70.66,56.99,45.27
Ash2l.2_repP1-7_rep1,48.81,61.07,50.54,51.56
Ash2l.3_repP1-7_rep1,52.56,49.79,54.69,55.77
Ash2l.4_repP1-7_rep1,51.07,50.17,54.99,54.68
Asxl1.1_repP1-7_rep1,49.81,52.06,54.05,55.90
Asxl1.2_repP1-7_rep1,59.61,47.98,56.18,37.87
Asxl1.3_repP1-7_rep1,51.95,50.07,54.78,50.87
Asxl1.4_repP1-7_rep1,45.00,58.97,50.42,40.91
Asxl2.1_repP1-7_rep1,40.88,36.13,25.94,55.92
Asxl2.2_repP1-7_rep1,50.53,50.11,52.98,20.26
Asxl2.3_repP1-7_rep1,55.75,51.91,52.23,53.85
Asxl2.4_repP1-7_rep1,50.00,50.00,50.00,54.63
Asxl3.1_repP1-7_rep1,50.00,50.00,50.00,34.62
Asxl3.2_repP1-7_rep1,58.96,75.26,58.17,26.46
Asxl3.3_repP1-7_rep1,52.92,63.03,67.38,53.71
Asxl3.4_repP1-7_rep1,59.97,53.07,51.43,46.52
Atad2.1_repP1-7_rep1,56.17,42.64,48.30,55.26
Atad2.2_repP1-7_rep1,46.42,51.97,56.51,26.48
Atad2.3_repP1-7_rep1,52.71,50.00,49.19,50.97
Atad2.4_repP1-7_rep1,49.53,63.00,53.44,50.40
Atad2b.1_repP1-7_rep1,38.83,51.85,42.87,55.92
Atad2b.2_repP1-7_rep1,51.29,49.92,54.23,50.49
Atad2b.3_repP1-7_rep1,54.23,54.45,57.65,41.32
Atad2b.4_repP1-7_rep1,55.78,53.69,59.17,47.80
Atm.1_repP1-7_rep1,49.41,62.72,58.18,54.83
Atm.2_repP1-7_rep1,55.88,51.76,54.34,53.65
Atm.3_repP1-7_rep1,49.18,75.97,54.08,53.51
Atm.4_repP1-7_rep1,50.22,47.36,55.49,50.92
Atr.1_repP1-7_rep1,36.86,25.87,30.60,55.71
Atr.2_repP1-7_rep1,25.97,26.17,29.50,26.33
Atr.3_repP1-7_rep1,53.67,62.65,56.23,52.16
Atr.4_repP1-7_rep1,47.46,55.60,59.30,51.08
Atrx.1_repP1-7_rep1,51.07,50.21,54.99,54.15
Atrx.2_repP1-7_rep1,55.74,57.84,54.39,45.86
Atrx.3_repP1-7_rep1,45.88,51.65,35.28,55.18
Atrx.4_repP1-7_rep1,52.52,57.79,47.63,46.18
Aurkb.1_repP1-7_rep1,30.34,49.53,36.89,50.01
Aurkb.2_repP1-7_rep1,15.06,14.18,18.95,28.97
Aurkb.3_repP1-7_rep1,48.20,46.96,51.78,37.99
Aurkb.4_repP1-7_rep1,52.16,48.97,53.30,52.28
Baz1a.1_repP1-7_rep1,53.66,54.41,55.41,54.83
Baz1a.2_repP1-7_rep1,17.91,19.57,19.75,55.91
Baz1a.3_repP1-7_rep1,51.07,50.17,54.99,54.59
Baz1a.4_repP1-7_rep1,58.86,60.39,48.51,44.79
Baz1b.1_repP1-7_rep1,54.32,61.86,60.87,55.92
Baz1b.2_repP1-7_rep1,50.00,50.00,50.00,20.12
Baz1b.3_repP1-7_rep1,47.88,56.82,48.24,55.92
Baz1b.4_repP1-7_rep1,51.12,50.81,55.03,55.92
Baz2a.1_repP1-7_rep1,54.52,47.27,53.56,55.91
Baz2a.3_repP1-7_rep1,51.07,50.17,54.99,55.92
Baz2a.4_repP1-7_rep1,54.29,54.68,53.93,55.59
Baz2b.1_repP1-7_rep1,50.10,50.10,49.93,55.92
Baz2b.2_repP1-7_rep1,67.75,63.84,55.77,48.50
Baz2b.3_repP1-7_rep1,52.15,75.33,54.77,22.37
Baz2b.4_repP1-7_rep1,62.56,61.86,59.73,53.10
Bcl6.2_repP1-7_rep1,56.79,55.02,43.65,53.73
Bcl6.3_repP1-7_rep1,51.07,50.16,54.98,55.78
Bcl6_repP1-7_rep1,68.38,67.34,60.57,51.41
Bmi1.1_repP1-7_rep1,56.67,47.57,63.10,39.40
Bmi1.2_repP1-7_rep1,46.73,47.61,50.20,39.31
Bmi1.3_repP1-7_rep1,48.92,49.96,56.13,49.75
Bmi1.4_repP1-7_rep1,48.70,50.00,35.83,55.40
Bop1.1_repP1-7_rep1,49.25,48.83,54.95,40.68
Bop1.2_repP1-7_rep1,49.32,50.36,55.18,47.63
Bop1.3_repP1-7_rep1,51.03,50.32,54.94,55.89
Bop1.4_repP1-7_rep1,51.06,50.17,54.98,54.42
Bptf.1_repP1-7_rep1,49.30,49.84,53.70,54.35
Bptf.2_repP1-7_rep1,53.59,55.68,52.66,55.90
Bptf.3_repP1-7_rep1,53.70,58.03,56.07,51.17
Bptf.4_repP1-7_rep1,56.03,51.47,54.92,45.75
Brd1.1_repP1-7_rep1,55.36,55.08,55.41,48.31
Brd1.2_repP1-7_rep1,58.71,56.74,58.71,55.86
Brd1.3_repP1-7_rep1,51.14,53.50,54.87,47.71
Brd1.4_repP1-7_rep1,53.09,50.46,54.75,54.36
Brd2.1_repP1-7_rep1,51.24,52.36,54.46,48.45
Brd2.2_repP1-7_rep1,15.15,17.35,19.03,52.67
Brd2.3_repP1-7_rep1,50.71,58.55,52.47,54.57
Brd2.4_repP1-7_rep1,51.76,52.84,58.04,53.14
Brd3.1_repP1-7_rep1,56.33,50.66,53.84,51.21
Brd3.2_repP1-7_rep1,42.18,58.57,51.37,21.15
Brd3.3_repP1-7_rep1,48.95,51.94,52.36,54.76
Brd3.4_repP1-7_rep1,51.28,48.94,53.77,55.34
Brd4.1_repP1-7_rep1,51.42,45.18,50.29,29.78
Brd4.2_repP1-7_rep1,19.17,14.67,19.95,39.46
Brd4.3_repP1-7_rep1,47.23,46.80,50.97,54.02
Brd4.4_repP1-7_rep1,62.36,34.86,46.20,54.09
Brd7.1_repP1-7_rep1,31.36,30.78,36.01,54.98
Brd7.2_repP1-7_rep1,51.07,50.17,54.99,22.35
Brd7.3_repP1-7_rep1,51.07,50.17,54.99,52.60
Brd8.1_repP1-7_rep1,31.78,17.72,21.28,55.92
Brd8.2_repP1-7_rep1,49.48,52.57,57.73,19.88
Brd8.3_repP1-7_rep1,56.53,60.11,48.04,53.48
Brd8.4_repP1-7_rep1,55.92,55.02,50.19,55.92
Brd9.2_repP1-7_rep1,19.79,25.59,22.75,47.88
Brd9.3_repP1-7_rep1,53.05,53.09,54.18,20.04
Brd9.4_repP1-7_rep1,51.77,50.23,55.85,54.61
Brdt.1_repP1-7_rep1,51.08,50.18,55.00,46.69
Brdt.2_repP1-7_rep1,51.07,50.17,54.99,49.59
Brdt.3_repP1-7_rep1,51.07,50.17,54.99,55.91
Brpf1.1_repP1-7_rep1,50.33,49.43,54.26,53.03
Brpf1.2_repP1-7_rep1,44.71,45.28,48.21,24.73
Brpf1.3_repP1-7_rep1,52.56,41.57,44.35,55.89
Brpf1.4_repP1-7_rep1,51.36,55.39,57.36,55.91
Brpf3.1_repP1-7_rep1,53.67,56.80,55.82,23.89
Brpf3.2_repP1-7_rep1,48.26,47.35,52.17,48.88
Brpf3.3_repP1-7_rep1,56.69,51.74,56.70,49.38
Brpf3.4_repP1-7_rep1,50.51,51.14,55.86,54.82
Brwd1.1_repP1-7_rep1,57.30,54.21,52.35,22.38
Brwd1.2_repP1-7_rep1,49.82,48.24,52.90,54.53
Brwd1.3_repP1-7_rep1,66.83,48.15,51.02,22.43
Brwd1.4_repP1-7_rep1,56.49,55.25,53.41,56.12
Brwd3.1_repP1-7_rep1,63.13,73.57,60.50,19.89
Brwd3.2_repP1-7_rep1,42.78,64.40,48.46,55.91
Brwd3.3_repP1-7_rep1,46.72,49.12,52.02,44.94
CD4.1_repP1-7_rep1,37.89,34.98,39.66,55.91
CD4.2_repP1-7_rep1,51.06,50.15,55.02,54.74
CD4.3_repP1-7_rep1,39.34,39.52,42.60,21.76
CD4.4_repP1-7_rep1,77.22,74.00,62.00,49.00
CDK9.1_repP1-7_rep1,45.56,44.32,50.50,52.96
CDK9.2_repP1-7_rep1,38.02,40.84,37.71,50.91
CDK9.3_repP1-7_rep1,59.03,71.74,46.69,55.89
Carm1.1_repP1-7_rep1,50.13,49.54,55.15,42.55
Carm1.2_repP1-7_rep1,63.87,61.82,49.00,39.26
Carm1.3_repP1-7_rep1,51.01,68.11,55.43,54.95
Carm1.4_repP1-7_rep1,44.53,48.27,48.19,50.77
Cbx1.1_repP1-7_rep1,48.79,58.49,56.57,53.37
Cbx1.2_repP1-7_rep1,51.95,57.85,47.46,55.92
Cbx1.3_repP1-7_rep1,50.81,48.08,58.56,55.92
Cbx1.4_repP1-7_rep1,51.07,65.82,55.20,49.64
Cbx2.1_repP1-7_rep1,47.56,46.89,50.66,51.29
Cbx2.2_repP1-7_rep1,50.61,66.23,44.54,50.78
Cbx2.3_repP1-7_rep1,50.11,49.20,54.18,55.95
Cbx3.1_repP1-7_rep1,50.04,50.04,50.04,50.22
Cbx3.2_repP1-7_rep1,49.09,52.08,53.14,37.70
Cbx3.3_repP1-7_rep1,44.17,49.55,37.09,19.88
Cbx3.4_repP1-7_rep1,51.15,51.18,51.12,46.63
Cbx4.1_repP1-7_rep1,47.80,49.54,54.34,51.13
Cbx4.2_repP1-7_rep1,50.04,50.03,50.04,22.05
Cbx4.3_repP1-7_rep1,49.99,52.58,54.03,52.59
Cbx4.4_repP1-7_rep1,44.88,50.10,52.10,54.32
Cbx5.1_repP1-7_rep1,77.83,74.39,66.42,51.08
Cbx5.2_repP1-7_rep1,68.65,67.38,55.80,30.05
Cbx5.3_repP1-7_rep1,52.06,51.02,55.52,40.78
Cbx5.4_repP1-7_rep1,15.19,14.18,19.79,51.97
Cbx6.1_repP1-7_rep1,53.29,50.11,55.14,54.48
Cbx6.2_repP1-7_rep1,49.72,56.17,51.41,55.92
Cbx6.3_repP1-7_rep1,46.44,46.58,50.28,36.31
Cbx6.4_repP1-7_rep1,51.07,50.17,54.99,26.73
Cbx7.1_repP1-7_rep1,49.30,76.86,62.16,49.52
Cbx7.2_repP1-7_rep1,55.16,50.55,64.06,53.21
Cbx7.3_repP1-7_rep1,58.43,71.03,59.73,45.58
Cbx7.4_repP1-7_rep1,51.26,49.23,56.96,42.29
Cbx8.1_repP1-7_rep1,56.27,53.97,55.08,38.56
Cbx8.2_repP1-7_rep1,31.99,38.89,28.88,51.63
Cbx8.3_repP1-7_rep1,49.44,56.65,58.42,52.32
Cbx8.4_repP1-7_rep1,37.54,38.06,37.25,42.84
Ccnt1.2_repP1-7_rep1,42.19,49.99,30.85,55.02
Ccnt1.3_repP1-7_rep1,62.53,73.33,50.62,53.45
Ccnt1.4_repP1-7_rep1,27.59,40.69,22.65,30.39
Ccnt1_repP1-7_rep1,55.98,28.81,34.41,46.11
Cd14.2_repP1-7_rep1,48.79,69.41,53.02,53.44
Cd14_repP1-7_rep1,50.18,49.28,54.10,55.92
Cd19.3_repP1-7_rep1,48.83,48.88,53.35,19.93
Cd19.4_repP1-7_rep1,56.02,65.16,66.04,52.21
Cd19_repP1-7_rep1,50.45,54.52,52.45,51.75
Cd4.5_repP1-7_rep1,52.73,50.47,54.98,55.84
Cecr2.1_repP1-7_rep1,51.07,50.17,54.99,55.78
Cecr2.2_repP1-7_rep1,51.07,50.27,54.99,54.91
Cecr2.3_repP1-7_rep1,51.07,50.16,54.99,50.44
Chaf1a.1_repP1-7_rep1,44.42,57.07,54.51,49.23
Chaf1a.2_repP1-7_rep1,51.06,50.16,54.98,54.29
Chaf1a.3_repP1-7_rep1,44.19,40.85,45.65,54.69
Chaf1a.4_repP1-7_rep1,44.86,41.50,44.85,54.44
Chaf1b.1_repP1-7_rep1,50.76,64.32,58.04,54.59
Chaf1b.2_repP1-7_rep1,50.81,51.80,56.77,51.06
Chaf1b.3_repP1-7_rep1,42.06,40.49,45.42,55.92
Chaf1b.4_repP1-7_rep1,33.33,21.47,28.87,55.92
Chd1.1_repP1-7_rep1,55.51,43.15,48.07,55.91
Chd1.2_repP1-7_rep1,54.58,50.72,54.41,19.97
Chd1.3_repP1-7_rep1,50.15,50.15,50.13,54.69
Chd1.4_repP1-7_rep1,20.42,36.38,23.19,52.33
Chd1l.1_repP1-7_rep1,52.60,46.27,59.66,52.39
Chd1l.2_repP1-7_rep1,46.51,45.80,52.45,51.75
Chd1l.3_repP1-7_rep1,29.42,19.43,20.98,55.91
Chd2.1_repP1-7_rep1,52.14,51.46,50.30,55.83
Chd2.2_repP1-7_rep1,58.03,62.96,64.60,55.92
Chd2.3_repP1-7_rep1,45.17,47.06,49.65,19.89
Chd2.4_repP1-7_rep1,53.28,46.71,52.70,55.91
Chd3.1_repP1-7_rep1,35.51,49.98,36.27,52.24
Chd3.2_repP1-7_rep1,50.88,50.00,54.95,55.92
Chd3.3_repP1-7_rep1,50.17,48.34,52.81,52.58
Chd3.4_repP1-7_rep1,52.44,54.80,56.23,55.92
Chd4.1_repP1-7_rep1,48.60,46.92,53.00,55.92
Chd4.2_repP1-7_rep1,55.23,52.34,61.34,19.88
Chd4.3_repP1-7_rep1,57.29,49.19,52.31,19.97
Chd4.4_repP1-7_rep1,63.55,48.45,53.26,54.15
Chd5.1_repP1-7_rep1,58.07,54.47,52.83,55.90
Chd5.2_repP1-7_rep1,52.13,48.81,53.16,21.76
Chd5.3_repP1-7_rep1,52.08,50.42,61.62,48.94
Chd5.4_repP1-7_rep1,47.37,46.46,52.98,54.17
Chd6.1_repP1-7_rep1,52.30,51.21,55.33,56.00
Chd6.2_repP1-7_rep1,51.10,53.67,56.60,51.58
Chd6.3_repP1-7_rep1,45.22,57.22,56.08,21.01
Chd6.4_repP1-7_rep1,50.89,50.00,54.79,55.85
Chd7.1_repP1-7_rep1,51.07,50.17,54.99,55.99
Chd7.2_repP1-7_rep1,51.64,50.17,54.99,52.40
Chd7.3_repP1-7_rep1,51.07,50.17,54.99,55.92
Chd8.1_repP1-7_rep1,34.53,36.65,36.78,29.52
Chd8.2_repP1-7_rep1,75.12,76.40,73.68,55.78
Chd8.3_repP1-7_rep1,53.14,45.77,51.59,19.90
Chd8.4_repP1-7_rep1,52.60,51.87,52.15,50.50
Chd9.1_repP1-7_rep1,71.87,53.07,59.68,54.64
Chd9.2_repP1-7_rep1,50.29,49.31,54.06,55.87
Chd9.3_repP1-7_rep1,66.70,56.03,53.95,51.73
Chd9.4_repP1-7_rep1,52.64,51.55,43.58,45.93
Clock.1_repP1-7_rep1,51.07,50.17,54.99,54.37
Clock.2_repP1-7_rep1,51.07,50.17,54.99,54.38
Clock.3_repP1-7_rep1,51.07,50.17,54.99,20.60
Crebbp.1_repP1-7_rep1,21.87,26.30,25.31,48.20
Crebbp.2_repP1-7_rep1,51.61,51.35,56.64,22.95
Crebbp.3_repP1-7_rep1,52.88,57.83,40.11,22.29
Crebbp.4_repP1-7_rep1,49.28,48.54,53.21,55.92
Ctsl.1_repP1-7_rep1,48.34,41.71,46.58,47.30
Ctsl.2_repP1-7_rep1,39.87,42.02,45.67,55.58
Ctsl.3_repP1-7_rep1,51.53,45.18,51.15,55.92
Ctsl.4_repP1-7_rep1,16.10,17.51,23.60,55.57
Cxxc1.1_repP1-7_rep1,47.05,50.41,53.34,24.62
Cxxc1.2_repP1-7_rep1,45.64,45.83,52.47,30.80
Cxxc1.3_repP1-7_rep1,52.45,49.96,53.10,53.28
Cxxc1.4_repP1-7_rep1,58.15,63.40,45.39,54.45
Dmap1.1_repP1-7_rep1,47.77,47.47,50.98,21.45
Dmap1.2_repP1-7_rep1,50.04,49.40,59.01,54.72
Dmap1.3_repP1-7_rep1,57.81,51.41,56.46,55.18
Dmap1.4_repP1-7_rep1,53.35,51.48,54.88,55.03
Dnmt1.1_repP1-7_rep1,51.07,50.17,54.99,19.88
Dnmt1.2_repP1-7_rep1,65.89,66.74,62.35,54.52
Dnmt1.3_repP1-7_rep1,50.92,50.08,54.84,24.47
Dnmt1.4_repP1-7_rep1,34.47,33.57,38.39,51.45
Dnmt3a.1_repP1-7_rep1,64.35,60.37,57.10,55.68
Dnmt3a.2_repP1-7_rep1,63.93,51.45,54.73,53.24
Dnmt3a.3_repP1-7_rep1,51.13,75.89,61.38,54.04
Dnmt3a.4_repP1-7_rep1,60.02,72.01,52.30,50.84
Dnmt3b.1_repP1-7_rep1,21.50,17.80,25.17,20.36
Dnmt3b.2_repP1-7_rep1,68.08,50.35,54.59,50.95
Dnmt3b.3_repP1-7_rep1,55.02,61.92,59.02,41.87
Dnmt3b.4_repP1-7_rep1,64.76,43.12,45.57,51.20
Dnmt3l.1_repP1-7_rep1,23.13,16.16,21.64,55.33
Dnmt3l.2_repP1-7_rep1,47.76,47.83,53.44,55.92
Dnmt3l.3_repP1-7_rep1,43.73,43.99,47.36,54.84
Dnmt3l.4_repP1-7_rep1,53.48,50.75,54.40,52.01
Dot1l.1_repP1-7_rep1,65.01,51.63,56.59,48.44
Dot1l.2_repP1-7_rep1,51.16,52.55,52.91,54.09
Dot1l.3_repP1-7_rep1,59.88,51.30,53.94,53.54
Dot1l.4_repP1-7_rep1,60.50,50.17,54.99,54.88
Dpy30.1_repP1-7_rep1,51.07,50.17,54.99,55.47
Dpy30.2_repP1-7_rep1,51.07,50.31,55.72,43.89
Dpy30.3_repP1-7_rep1,51.07,50.17,54.99,55.89
Dub2a.1_repP1-7_rep1,59.72,50.62,56.13,39.32
Dub2a.2_repP1-7_rep1,51.06,50.25,55.09,55.92
Dub2a.3_repP1-7_rep1,51.44,51.24,50.76,54.13
Dub2a.4_repP1-7_rep1,46.96,43.77,47.02,53.42
Eaf1.1_repP1-7_rep1,51.79,48.71,53.18,51.97
Eaf1.2_repP1-7_rep1,51.07,50.17,54.99,55.92
Eaf1.3_repP1-7_rep1,51.07,50.17,54.99,55.99
Eed.1_repP1-7_rep1,51.07,50.16,55.00,42.26
Eed.2_repP1-7_rep1,56.21,77.36,60.05,54.74
Eed.3_repP1-7_rep1,35.16,35.58,39.41,56.20
Eed.4_repP1-7_rep1,32.30,26.90,32.35,20.37
Ehmt1.1_repP1-7_rep1,54.49,56.29,57.10,29.95
Ehmt1.2_repP1-7_rep1,21.84,22.21,21.17,48.28
Ehmt1.3_repP1-7_rep1,51.02,50.16,54.89,54.65
Ehmt1.4_repP1-7_rep1,18.20,14.42,19.00,53.40
Ehmt2.1_repP1-7_rep1,46.74,52.36,51.62,51.34
Ehmt2.2_repP1-7_rep1,60.87,54.67,57.53,55.00
Ehmt2.3_repP1-7_rep1,70.14,80.57,67.18,52.93
Ehmt2.4_repP1-7_rep1,53.50,62.89,55.12,46.24
