gene_name,Q4,Q1,Q2,Q3,Q1-Q2,Q1-Q3,Q1-Q4,Q2-Q3,Q2-Q4,Q3-Q4
Id3,52.8683042410947,55.23619340694324,51.97369749193498,49.46237155467549,3.2624959150082757,5.77382185226773,2.3678891658485464,2.5113259372594525,-0.8946067491597297,-3.4059326864191832
Klf12,47.85894234865599,48.03395804708639,48.08716901281299,50.83215140977939,-0.05321096572657878,-2.7981933626929965,0.1750156984304222,-2.7449823969664178,0.22822666415700096,2.973209061123418
Asxl2,48.33117817911267,51.992303778833104,46.103967907195255,46.54189342378943,5.8883358716378424,5.450410355043665,3.661125599720438,-0.43792551659417756,-2.227210271917405,-1.7892847553232274
Epc1,52.628717223530955,45.687611066550346,52.04629874782903,52.97520343728965,-6.358687681278685,-7.28759237073931,-6.9411061569806245,-0.9289046894606252,-0.5824184757019393,0.34648621375868593
Hells,53.31160908379287,46.12895583667621,47.19327971442652,49.816373786758966,-1.0643238777502977,-3.687417950082752,-7.182653247116654,-2.6230940723324543,-6.118329369366356,-3.4952352970339025
Suv39h2,42.2428635815193,41.47327478996225,44.462309397137076,48.011142541831546,-2.989034607174841,-6.537867751869304,-0.7695887915570538,-3.548833144694464,2.2194458156177865,5.768278960312251
Wdr5,38.636309505174815,44.657608504639015,44.21243062379882,50.95644117571967,0.4451778808401947,-6.29883267108065,6.0212989994642045,-6.744010551920844,5.576121118624009,12.320131670544853
L3mbtl4,58.464658275078705,53.93051512506297,52.8425159136072,48.52389617695528,1.0879992114557808,5.406618948107694,-4.534143150015714,4.318619736651913,-5.622142361471495,-9.940762098123407
Nfatc3,52.29338500406924,50.943138475791905,53.88771831700743,47.62532454464509,-2.9445798412155213,3.3178139311468104,-1.3502465282773428,6.262393772362333,1.5943333129381783,-4.668060459424152
Kdm5a,55.57343796595876,48.421306423562946,51.64368313238738,49.01953411847466,-3.2223767088244335,-0.5982276949117162,-7.1521315423958125,2.6241490139127173,-3.929754833571379,-6.553903847484096
Prdm9,56.451363323258086,54.75664605618205,56.24183446235153,54.33016310922462,-1.485188406169482,0.4264829469574325,-1.6947172670760393,1.9116713531269145,-0.2095288609065573,-2.121200214033472
Polr2b,51.01648172224191,45.67814207982266,45.81107752854016,47.71531285230503,-0.13293544871748697,-2.0371707724823676,-5.338339642419245,-1.9042353237648806,-5.205404193701757,-3.3011688699368777
Id2,51.75434270924,51.99014006907104,52.73755244762443,50.04646984244091,-0.7474123785533858,1.943670226630151,0.23579735983105293,2.6910826051835386,0.9832097383844389,-1.7078728667990986
Chd9,54.51199622504978,50.06788316324057,52.73982157056403,49.14208183228711,-2.671938407323454,0.9258013309534592,-4.444113061809203,3.597739738276913,-1.7721746544857488,-5.369914392762662
Sfmbt2,49.38369140160924,49.70097190973658,47.52367568689133,44.32846650550317,2.177296222845252,5.3725054042334115,0.3172805081273437,3.1952091813881585,-1.8600157147179086,-5.055224896106068
Morf4l1,57.943825145361096,54.82424531633533,58.493831383122576,52.51020705916278,-3.669586066787229,2.31403825717256,-3.1195798290257506,5.983624323959789,0.5500062377614784,-5.433618086198311
Hira,56.182207880191875,56.870088372419545,55.07062641747418,51.03682079201164,1.79946195494536,5.833267580407897,0.6878804922276611,4.033805625462537,-1.111581462717699,-5.145387088180236
