GeneName,inputMinusAvg_nbPctg
Bcl6,-15.436669758356961
CD4,6.653540749577967
CDK9,-0.6040791861707149
Ccnt1,3.4110081604981275
Cd14,48.44067749287442
Cd19,34.689562345917906
Fosb,48.289874890525326
Hes1,10.298423124955479
Id2,40.74945288419277
Id3,22.739639469227534
Jmjd5,5.082103458093034
Jmjd6,7.8289098420593835
Jmjd8,-2.8782781726098867
Kat2a,-0.3285104912899435
Kat2b,2.0293926582834576
Kat5,0.018942869195868184
Kdm1a,-2.3835936819963983
Kdm1b,3.000017431377172
Kdm2a,8.947760404920135
Kdm2b,33.300893437684195
Kdm3a,6.50253359456055
Kdm3b,7.4804580713280115
Kdm4a,2.9629893603941095
Kdm4b,3.54964223285428
Kdm4c,-3.497891614576549
Kdm4d,-2.3211353912802917
Kdm5a,-3.129570263501181
Kdm5b,-1.0846659498004367
Kdm5c,5.713805324673178
Kdm5d,2.1647151227164816
Kdm6a,0.5035210827478576
Kdm6b,18.473492932373993
Klf12,50.874496440581076
Klf2,40.88502057001285
L3mbtl1,3.317754406504635
L3mbtl2,4.2215706570094484
L3mbtl3,5.60774902260065
L3mbtl4,3.233799554184513
Mbd1,17.51900208115569
Mbd2,17.259317516850913
Mbd3,10.95277842965392
Mbd4,-6.399169899962047
Mecom,-1.74096134821289
Mecp2,-8.327821618474816
Men1,11.924986883555265
Mll1,8.465785911362662
Mll2,7.2308220941486265
Mll3,-3.941337422034169
Mll5,-2.303241869060768
Morf4l1,-12.77141920412879
Ms4a1,28.357702923215925
Msl3,-4.298560956066934
Mta1,11.506046082962122
Mta2,-4.398322166803588
Mta3,0.926611266715696
Mtf2,4.61745198051748
Myst1,0.33170428207776226
Myst2,16.701887601365833
Myst3,-0.8471374616089857
Myst4,8.976484438855538
Nap1l1,-2.2185967929438544
Nap1l2,0.7036854549567924
Nap1l3,-3.0354530378365077
Ncoa1,10.261110155923948
Ncoa3,-2.9191871978191504
Ncor1,-1.536295644284851
Ncor2,-2.8327199882953913
Nfatc3,29.723696778963543
Nsd1,2.148838848528241
Orc1,4.141121038810784
Padi1,18.849982973094676
Padi2,-1.5546276871603457
Padi3,31.61255449423558
Padi4,3.0550225373349402
Padi6,0.4997177817220262
Paf1,2.7266295635968447
Parp1,2.8233009099691433
Parp2,-0.30297096973048926
Paxip1,-6.890690469802825
Pbrm1,-6.526989408888943
Pcgf1,-2.21419988012396
Pcgf2,34.27533310934593
Pcgf5,5.744759912829549
Pcgf6,-10.313558704956941
Pcmt1,-5.95420288675201
Phc1,10.59694937301991
Phc2,-4.098931746692671
Phc3,-2.139218408881979
Phf1,12.07704526293686
Phf10,0.6648021390602921
Phf17,7.539489340258335
Phf19,3.090532924667457
Phf2,6.834957769774558
Phf20,-1.9635417378725357
Phf20l1,14.44947247909792
Phf8,6.895186627316622
Phip,-0.8179118009760202
Polr2b,16.609878482801122
Ppargc1a,-2.83601517837217
Prdm1,-1.4960715948570034
Prdm10,-0.9593147572418665
Prdm11,10.98326049702313
Prdm12,-1.4349340961787735
Prdm13,15.839060776489061
Prdm14,7.268300240171708
Prdm15,1.9482490652793452
Prdm16,8.942818394503938
Prdm2,12.049462596431004
Prdm4,1.992371991604049
Prdm5,15.766480051612776
Prdm6,16.37078738865816
Prdm8,5.199714465419653
Prdm9,-2.108812855049205
Prkaa1,14.186230860860679
Prkaa2,-1.79823572141742
Prkcd,-0.09746165025930154
Prmt1,4.988964780246322
Prmt2,-1.1699799690382235
Prmt3,9.591240767319215
Prmt5,3.6435127575739354
Prmt6,-1.3088022780548947
Prmt7,10.954340373434004
Prmt8,0.7179588666554171
Psip1,-4.618153149636527
Rbbp4,5.086015175704631
Rbbp5,-7.824501412276634
Rbbp7,-10.084340558440214
Ring1,17.566769078788997
Rnf2,-0.18478194604222864
Rnf20,-5.9863737408576
Rnf217,5.508643052934845
Rnf40,7.778067770057644
Runx3,32.249211951357516
Tbx21,37.176166243168815
