Position,Pool,shRNA,Percentage
6_E05,1,Hdac2.3,0.942126514
6_E06,1,Hdac1.3,3.455083909
6_E07,1,Gtf2b.2,17.98063624
6_E08,1,Fkbp1a.3,0.932066679
6_E09,1,Hdac3.3,0.725426188
6_E10,1,Hdac10.3,1.213389121
6_E11,1,Gtf2f1.3,0.745434215
6_F02,1,Gadd45a.3,0.803858521
6_F03,1,Hdac6.3,0.576368876
6_F04,1,Hdac1.4,3.280067283
6_F05,1,Gtf2b.3,0.692041522
6_F06,1,Gadd45b.3,2.786624204
6_F07,1,Hdac2.4,1.591674319
6_F08,1,Hat1.3,0.801644399
6_F09,1,Gtf3c4.3,1.740740741
6_F10,1,Gadd45b.4,1.197080292
6_F11,1,Hdac3.4,0.838769804
6_G02,1,Hdac10.4,0.854700855
6_G03,1,Gtf3c4.4,1.029269862
6_G04,1,Fkbp1a.4,1.167315175
6_G05,1,Hdac6.4,0.900900901
6_G06,1,Hdac4.4,1.072858287
6_G07,1,Gtf2b.4,0.708215297
6_G08,1,Gadd45a.4,1.178451178
6_G09,1,Hcfc1.4,6.516853933
6_G10,1,Gtf2f1.4,0.340136054
6_G11,1,Hat1.4,0.233535731
2_B02,1,Baz1a.1,1.01010101
2_B03,1,Brd2.1,0.554715078
2_B04,1,Brd3.1,1.785714286
2_B05,1,Brd1.1,0.779816514
2_B06,1,Baz2a.1,1.007705987
2_B07,1,Brpf3.1,0.307692308
2_B08,1,Brd8.1,0
2_B09,1,Bop1.1,0.220264317
2_B10,1,Baz1b.1,0.55157198
2_B11,1,Brd9.1,0
2_C02,1,Brd8.2,1.094890511
2_C03,1,Baz2b.1,0.526513727
2_C04,1,Baz1a.2,0.791556728
2_C05,1,Brd9.2,0.303720577
2_C06,1,Brd4.1,3.58974359
2_C07,1,Brd3.2,0.416493128
2_C08,1,Baz2a.2,0
2_C09,1,Brpf1.1,0.532978015
2_C10,1,Brd2.2,0.53667263
2_C11,1,Bptf.1,0
2_D02,1,Baz1b.2,2.276707531
2_D03,1,Brpf1.2,0.986500519
2_D04,1,Brd2.3,0.325027086
2_D05,1,Bmi1.1,1.240694789
2_D06,1,Baz2b.2,1.162790698
2_D07,1,Brpf1.3,0.88691796
2_D08,1,Brd4.2,2.083333333
2_D09,1,Bop1.2,0.397088021
2_D10,1,Baz1a.3,0.292275574
2_D11,1,Brpf3.2,0.636132316
2_E02,1,Bptf.2,2.857142857
2_E03,1,Brd1.2,2.067183463
2_E04,1,Baz1a.4,0.823045267
