gene_name,gene_name2,cluster,interation,source_appearance,source_appearance_sqrt
AFF1,HDAC1,4,pp,7,2.6457513110645907
ATM,DNMT1,1,pp,9,3.0
MECP2,SUV39H1,4,pp,13,3.605551275463989
MECP2,PRMT6,4,pp,13,3.605551275463989
HDAC3,SMARCD1,4,pp,16,4.0
CBX7,PHC3,1,pp,8,2.8284271247461903
CBX3,WDR5,2,pp,20,4.47213595499958
PAF1,SMARCD3,4,pp,13,3.605551275463989
BRPF1,ING4,2,pp,4,2.0
HDAC1,MECP2,2,pp,47,6.855654600401044
SUV39H1,UHRF1,4,pp,21,4.58257569495584
HDAC1,SUV39H1,2,pp,47,6.855654600401044
HDAC1,RUNX3,2,pp,47,6.855654600401044
GTF2F1,GTF2H1,2,pp,4,2.0
DNMT1,HDAC3,4,pp,22,4.69041575982343
CARM1,SMARCD1,1,pp,12,3.4641016151377544
CBX3,MECP2,2,pp,20,4.47213595499958
HDAC3,SUV39H1,4,pp,16,4.0
BRD2,CARM1,2,pp,6,2.449489742783178
HDAC3,NCOR1,4,pp,16,4.0
HDAC3,NCOR2,4,pp,16,4.0
BRD2,BRPF1,2,pp,6,2.449489742783178
DNMT1,PRMT5,4,pp,22,4.69041575982343
PAF1,RNF20,4,pp,13,3.605551275463989
BRPF1,GTF2H1,2,pp,4,2.0
PRMT6,SMARCD1,4,pp,6,2.449489742783178
MECP2,NCOR1,4,pp,13,3.605551275463989
DNMT1,UHRF1,4,pp,22,4.69041575982343
MBD2,PRMT5,4,pp,11,3.3166247903554
ACTL6B,SMARCD1,4,pp,4,2.0
KMT2A,WDR5,4,pp,20,4.47213595499958
HDAC1,WDR5,2,pp,47,6.855654600401044
CARM1,WDR5,1,pp,12,3.4641016151377544
BAZ1B,ING3,1,pp,8,2.8284271247461903
DNMT1,SETD7,4,pp,22,4.69041575982343
RUNX3,SUV39H1,4,pp,2,1.4142135623730951
ING4,KMT2A,1,pp,4,2.0
RNF20,UBE2B,1,pp,8,2.8284271247461903
PRMT6,SUV39H1,4,pp,6,2.449489742783178
DNMT1,SUV39H1,4,pp,22,4.69041575982343
HDAC1,KMT2A,2,pp,47,6.855654600401044
DNMT1,MECP2,4,pp,22,4.69041575982343
FKBP5,PRKAA1,2,pp,3,1.7320508075688772
DNMT1,MBD2,4,pp,22,4.69041575982343
SIRT3,SIRT4,4,pp,2,1.4142135623730951
BAZ1B,HDAC11,1,pp,8,2.8284271247461903
SMARCD1,SMARCD3,2,pp,16,4.0
CARM1,PRMT5,1,pp,12,3.4641016151377544
HDAC3,WDR5,4,pp,16,4.0
KDM3A,PRMT5,4,pp,4,2.0
PRMT5,WDR5,4,pp,26,5.0990195135927845
CBX4,SUV39H1,1,pp,15,3.872983346207417
ATM,HDAC1,1,pp,9,3.0
CBX3,SUV39H1,2,pp,20,4.47213595499958
EP400,HDAC1,2,pp,11,3.3166247903554
MBD2,PAF1,4,pp,11,3.3166247903554
NCOR1,SMARCD1,2,pp,14,3.7416573867739413
PRMT5,UHRF1,4,pp,26,5.0990195135927845
CBX4,KMT2A,1,pp,15,3.872983346207417
HDAC1,UHRF1,2,pp,47,6.855654600401044
CBX4,PHC3,1,pp,15,3.872983346207417
NCOR1,NCOR2,2,pp,14,3.7416573867739413
HDAC1,NCOR2,2,pp,47,6.855654600401044
BPTF,NCOR1,1,pp,6,2.449489742783178
PAF1,PHC3,4,pp,13,3.605551275463989
ING4,SUV39H1,1,pp,4,2.0
ACTL6B,EP400,4,pp,4,2.0
DNMT1,HDAC1,4,pp,22,4.69041575982343
HDAC1,MBD2,2,pp,47,6.855654600401044
HDAC1,PRMT5,2,pp,47,6.855654600401044
EP400,ING3,2,pp,11,3.3166247903554
AFF1,KMT2A,4,pp,7,2.6457513110645907
CBX4,KDM3A,1,pp,15,3.872983346207417
ATM,UHRF1,1,pp,9,3.0
ATM,RNF20,1,pp,9,3.0
CBX3,UHRF1,2,pp,20,4.47213595499958
PRMT5,PRMT6,4,pp,26,5.0990195135927845
AFF1,CARM1,4,pp,7,2.6457513110645907
RNF20,UBE2E1,1,pp,8,2.8284271247461903
ACTL6B,ATM,4,pp,4,2.0
HDAC1,SMARCD1,2,pp,47,6.855654600401044
KMT2A,PAF1,4,pp,20,4.47213595499958
PAF1,UBE2E1,4,pp,13,3.605551275463989
