Position,Pool,shRNA,Percentage
11_B02,2,Nap1l2.1,69.8839907192575
11_B03,2,Padi1.1,65.8978228066394
11_B04,2,Padi4.1,70.1732673267327
11_B05,2,Orc1.1,68.0169971671388
11_B06,2,Ncoa1.1,69.85559566787
11_B07,2,Pcgf1.1,68.1664028939634
11_B08,2,Parp1.1,64.5425867507886
11_B09,2,Ncor2.1,69.7840172786177
11_B10,2,Nap1l3.1,66.9811320754717
11_B11,2,Paxip1.1,56.7580684299927
11_C02,2,Parp1.2,66.9941060903733
11_C03,2,Ncoa3.1,65.3696498054475
11_C04,2,Nap1l2.2,40.4145077720207
11_C05,2,Paxip1.2,55.9126365054602
11_C06,2,Padi6.1,60.4507451835696
11_C07,2,Padi4.2,57.514450867052
11_C08,2,Ncoa1.2,59.0334420880914
11_C09,2,Pbrm1.1,64.334085778781
11_C10,2,Padi1.2,58.3000210393436
11_C11,2,Nsd1.1,53.8435940099834
11_D02,2,Nap1l3.2,73.0630268968286
11_D03,2,Pbrm1.2,67.2970843183609
11_D04,2,Padi1.3,55.7944156165061
11_D05,2,Ncor1.1,56.2209602478059
11_D06,2,Ncoa3.2,62.7508361204013
11_D07,2,Pbrm1.3,67.5828970331588
11_D08,2,Padi6.2,65.3299916457811
11_D09,2,Ncor2.2,62.559456398641
11_D10,2,Nap1l2.3,61.8048268625393
11_D11,2,Pcgf1.2,57.3772714944399
11_E02,2,Nsd1.2,62.3927309439677
11_E03,2,Orc1.2,64.6383110835144
11_E04,2,Nap1l2.4,58.9929360623076
11_E05,2,Parp1.3,57.1978133225349
11_E06,2,Padi4.3,57.7661431064572
11_E07,2,Ncor1.2,51.5151515151515
11_E08,2,Nap1l3.3,56.3022157646204
11_E09,2,Paxip1.3,62.6440922190202
11_E10,2,Padi6.3,68.8394276629571
11_E11,2,Ncor2.3,74.5728130578934
11_F02,2,Ncoa1.3,64.1397690257625
11_F03,2,Pcgf1.3,63.7282652648605
11_F04,2,Padi4.4,64.056875449964
11_F05,2,Ncor1.3,59.4945355191257
11_F06,2,Ncoa3.3,59.1918294849023
11_F07,2,Parp1.4,63.2488158261354
11_F08,2,Orc1.3,56.0876369327074
11_F09,2,Nsd1.3,39.252928141817
11_F10,2,Ncoa3.4,67.1592775041051
11_F11,2,Paxip1.4,59.1877764374749
11_G02,2,Padi6.4,68.1036694893508
11_G03,2,Nsd1.4,65.839243498818
11_G04,2,Nap1l3.4,61.2615587846764
11_G05,2,Pcgf1.4,61.9153365718251
11_G06,2,Pbrm1.4,69.8619917941067
11_G07,2,Ncor1.4,41.8963337547408
11_G08,2,Ncoa1.4,65.2627189324437
11_G09,2,Padi1.4,63.5924932975871
11_G10,2,Ncor2.4,71.7687074829932
11_G11,2,Orc1.4,66.9081425673718
14_B02,2,Prmt1.1,57.898516036381
14_B03,2,Rbbp4.1,71.5317919075144
14_B04,2,Rbbp5.1,52.9706693406869
14_B05,2,Psip1.1,71.393384940183
14_B06,2,Prmt3.1,69.8152666434298
14_B07,2,Rnf40.1,73.9747634069401
14_B08,2,Ring1.1,70.3592814371257
14_B09,2,Prmt7.1,58.3849728892332
14_B10,2,Prmt2.1,66.3287316652286
14_B11,2,Rnf20.1,75.1511294941139
14_C02,2,Ring1.2,14.8148148148148
14_C03,2,Prmt5.1,63.4387777060469
14_C04,2,Prmt1.2,59.6786341953301
14_C05,2,Rnf20.2,66.4969450101833
14_C06,2,Rbbp7.1,64.9115590292061
14_C07,2,Rbbp5.2,71.3955637707948
14_C08,2,Prmt3.2,67.6833122629583
14_C09,2,Rnf217.1,68.4854497354497
14_C10,2,Rbbp4.2,75.4908835904628
14_C11,2,Prmt8.1,72.4137931034483
14_D02,2,Prmt2.2,65.1877133105802
14_D03,2,Rnf217.2,59.7035303296275
14_D04,2,Rbbp4.3,72.6590957788729
14_D05,2,Prmt6.1,67.2332635983264
14_D06,2,Prmt5.2,69.4453725359171
14_D07,2,Rnf217.3,52.5939177101968
14_D08,2,Rbbp7.2,67.1575846833579
14_D09,2,Prmt7.2,65.7398212512413
14_D10,2,Prmt1.3,52.4613220815752
14_D11,2,Rnf40.2,77.6790381599582
14_E02,2,Prmt8.2,64.4979778442061
14_E03,2,Psip1.2,66.7540296160398
14_E04,2,Prmt1.4,67.333495974628
14_E05,2,Ring1.3,58.4880830530779
14_E06,2,Rbbp5.3,64.1080869394948
14_E07,2,Prmt6.2,59.7685265158058
14_E08,2,Prmt2.3,66.6036844591403
14_E09,2,Rnf20.3,64.0395220588235
14_E10,2,Rbbp7.3,76.3475264582821
14_E11,2,Prmt7.3,68.8838498362308
14_F02,2,Prmt3.3,63.2107023411371
14_F03,2,Rnf40.3,78.6744315030505
14_F04,2,Rbbp5.4,70.4
14_F05,2,Prmt6.3,68.4118236472946
14_F06,2,Prmt5.3,72.027373823781
14_F07,2,Ring1.4,73.2306210881079
14_F08,2,Psip1.3,71.3342668533707
14_F09,2,Prmt8.3,67.3821745216986
14_F10,2,Prmt5.4,73.2270478284772
14_F11,2,Rnf20.4,71.4029697900666
14_G02,2,Rbbp7.4,71.7967599410898
14_G03,2,Prmt8.4,71.7560975609756
14_G04,2,Prmt2.4,58.6367260164762
14_G05,2,Rnf40.4,74.2558139534884
14_G06,2,Rnf217.4,71.7644424540976
14_G07,2,Prmt6.4,73.2543158979644
14_G08,2,Prmt3.4,70.4756543765832
14_G09,2,Rbbp4.4,60.0
14_G10,2,Prmt7.4,72.2900215362527
14_G11,2,Psip1.4,71.3442743868707
10_B02,2,Mll1.1,80.0024137098721
10_B03,2,Mta3.1,64.8458904109589
10_B04,2,Mtf2.1,60.4096283783784
10_B05,2,Mta2.1,54.4549266247379
10_B06,2,Mll3.1,48.6486486486486
10_B07,2,Nap1l1.1,61.3915797317437
10_B08,2,Myst2.1,71.2806539509537
10_B09,2,Msl3.1,58.4715025906736
10_B10,2,Mll2.1,61.4970382337103
10_B11,2,Myst3.1,75.8293838862559
10_C02,2,Myst2.2,71.5811965811966
10_C03,2,Mll5.1,60.6382978723404
10_C04,2,Mll1.2,60.6963087248322
10_C05,2,Myst3.2,71.9318557724115
10_C06,2,Myst1.1,54.996934396076
10_C07,2,Mtf2.2,60.6990166737922
10_C08,2,Mll3.2,29.5032614149523
10_C09,2,Myst4.1,58.8370856231165
10_C10,2,Mta3.2,66.5326633165829
10_C11,2,Mta1.1,73.5086962771309
10_D02,2,Mll2.2,57.9153094462541
10_D03,2,Myst4.2,61.5384615384615
10_D04,2,Mta3.3,63.7281910009183
10_D05,2,Morf4l1.1,50.0
10_D06,2,Mll5.2,55.2458725368365
10_D07,2,Myst4.3,63.3317676530452
10_D08,2,Myst1.2,61.7545957256016
10_D09,2,Msl3.2,58.5228215767635
10_D10,2,Mll1.3,79.95960502693
10_D11,2,Nap1l1.2,57.9203727234223
10_E02,2,Mta1.2,72.7691127588852
10_E03,2,Mta2.2,52.2199217851392
10_E04,2,Mll1.4,80.1541741840249
10_E05,2,Myst2.3,65.3110730593607
10_E06,2,Mtf2.3,56.9084423305589
10_E07,2,Morf4l1.2,45.3574807406406
10_E08,2,Mll2.3,52.286282306163
10_E09,2,Myst3.3,71.9837439674879
10_E10,2,Myst1.3,55.4562127464466
10_E11,2,Msl3.3,58.5235794034328
10_F02,2,Mll3.3,23.7161376101047
10_F03,2,Nap1l1.3,62.7082670062613
10_F04,2,Mtf2.4,59.5419847328244
10_F05,2,Morf4l1.3,53.0107654087306
10_F06,2,Mll5.3,49.1525423728813
10_F07,2,Myst2.4,58.8427438170789
10_F08,2,Mta2.3,59.1798536668368
10_F09,2,Mta1.3,58.8483146067416
10_F10,2,Mll5.4,70.8455762324518
10_F11,2,Myst3.4,80.5464391204463
10_G02,2,Myst1.4,70.4115226337449
10_G03,2,Mta1.4,55.041782729805
10_G04,2,Mll2.4,71.690294438386
10_G05,2,Nap1l1.4,64.6452051688959
10_G06,2,Myst4.4,64.6266142616508
10_G07,2,Morf4l1.4,62.5568181818182
10_G08,2,Mll3.4,35.1818416301264
10_G09,2,Mta3.4,58.3383287375614
10_G10,2,Msl3.4,63.1402922020771
10_G11,2,Mta2.4,45.3559171925163
control2_B02,2,Bptf.1,64.7936085219707
control2_B03,2,Bptf.2,61.1039794608472
control2_B04,2,Bptf.3,67.7794141711667
control2_B05,2,Bptf.4,61.0157699443414
control2_B06,2,Whsc1.1,76.9745142568761
control2_B07,2,Whsc1.2,70.5730606228119
control2_B08,2,Whsc1.3,73.4521575984991
control2_B09,2,Whsc1.4,70.6330669944684
control2_B10,2,Cd4.1,67.3188789000529
control2_B11,2,Cd4.1,67.4878836833603
control2_C02,2,Mll2.1,64.3927200693327
control2_C03,2,Mll2.2,61.1875165300185
control2_C04,2,Mll2.3,53.3949801849406
control2_C05,2,Mll2.4,73.4025872206978
control2_C06,2,Brd8.1,59.9867724867725
control2_C07,2,Brd8.2,70.2475618904726
control2_C08,2,Brd8.3,61.708173157279
control2_C09,2,Brd8.4,58.7369969528213
control2_C10,2,Cd4.2,64.4758215669124
control2_C11,2,Cd4.2,65.9344262295082
control2_D02,2,Ncor1.1,65.3837209302326
control2_D03,2,Ncor1.2,63.6363636363636
control2_D04,2,Ncor1.3,67.3723783142066
control2_D05,2,Ncor1.4,40.2897624374134
control2_D06,2,Cxxcl.1,58.9209726443769
control2_D07,2,Cxxcl.2,46.6255185672367
control2_D08,2,Cxxcl.3,56.0452335658423
control2_D09,2,Cxxcl.4,55.5475355743452
control2_D10,2,Cd4.3,69.6509733299031
control2_D11,2,Cd4.3,67.5592417061611
control2_E02,2,Smarca4.1,38.6515697375193
control2_E03,2,Smarca4.2,26.2388591800357
control2_E04,2,Smarca4.3,46.375996249414
control2_E05,2,Smarca4.4,58.5966441490521
control2_E06,2,Klf2.1,69.9699919490595
control2_E07,2,Klf2.2,70.9808219178082
control2_E08,2,Klf2.3,70.9286165508528
control2_E09,2,Klf2.4,66.25656167979
control2_E10,2,Cd4.4,74.9285270354257
control2_E11,2,Cd4.4,71.2051190899396
control2_F02,2,Runx3.1,14.3669509951497
control2_F03,2,Runx3.2,34.5950882890197
control2_F04,2,Runx3.3,22.7773372103269
control2_F05,2,Empty,46.9387755102041
control2_F06,2,Sp140.1,74.1803594846872
control2_F07,2,Sp140.2,70.9268221146796
control2_F08,2,Sp140.3,69.2905289614989
control2_F09,2,Sp140.4,65.8614739955632
control2_F10,2,Empty,40.625
control2_F11,2,Empty,75.0
control2_G02,2,Smarce1.1,66.516290726817
control2_G03,2,Smarce1.2,38.1176135554606
control2_G04,2,Smarce1.3,40.4303942106266
control2_G05,2,Smarce1.4,47.6440891880522
control2_G06,2,Wdr82.1,55.2917903066271
control2_G07,2,Wdr82.2,54.7101449275362
control2_G08,2,Wdr82.3,60.6019841937111
control2_G09,2,Wdr82.4,60.3420969274628
control2_G10,2,Empty,42.1052631578947
control2_G11,2,Empty,80.0
8_B02,2,Jmjd5.1,63.5729058945191
8_B03,2,Kdm2b.1,57.286432160804
8_B04,2,Kdm3a.1,67.0418006430868
8_B05,2,Kdm2a.1,65.7122405153901
8_B06,2,Kat2a.1,62.9418695993716
8_B07,2,Kdm5a.1,66.6815144766147
8_B08,2,Kdm4a.1,60.7043815862451
8_B09,2,Kdm1a.1,58.6369770580297
8_B10,2,Jmjd6.1,62.549141320091
8_B11,2,Kdm4c.1,65.7607811228641
8_C02,2,Kdm4a.2,75.2646638054363
8_C03,2,Kat2b.1,65.2957069948964
8_C04,2,Jmjd5.2,55.5897633249952
8_C05,2,Kdm4c.2,56.2940778668728
8_C06,2,Kdm3b.1,32.8125
8_C07,2,Kdm3a.2,55.8107577542207
8_C08,2,Kat2a.2,72.5490196078431
8_C09,2,Kdm4d.1,68.9402538437726
8_C10,2,Kdm2b.2,74.545665007524
8_C11,2,Kdm1b.1,66.6739750054813
8_D02,2,Jmjd6.2,71.4807863281636
8_D03,2,Kdm4d.2,59.3029350104822
8_D04,2,Kdm2b.3,59.2103033384172
8_D05,2,Kat5.1,57.2131365509906
8_D06,2,Kat2b.2,60.5364705882353
8_D07,2,Kdm4d.3,60.4910418049104
8_D08,2,Kdm3b.2,61.8760973162779
8_D09,2,Kdm1a.2,64.4331935764576
8_D10,2,Jmjd5.3,63.9646145513631
8_D11,2,Kdm5a.2,63.3022774327122
8_E02,2,Kdm1b.2,61.4334982756035
8_E03,2,Kdm2a.2,59.5424631776872
8_E04,2,Jmjd5.4,65.267210560088
8_E05,2,Kdm4a.3,67.4109837054919
8_E06,2,Kdm3a.3,55.1716715100635
8_E07,2,Kat5.2,65.9355416293644
8_E08,2,Jmjd6.3,62.3537391894183
8_E09,2,Kdm4c.3,38.4319472430848
8_E10,2,Kdm3b.3,61.2241349330551
8_E11,2,Kdm1a.3,47.72109387494
8_F02,2,Kat2a.3,71.2196395925829
8_F03,2,Kdm5a.3,68.5535248041775
8_F04,2,Kdm3a.4,65.7003851611595
8_F05,2,Kat5.3,63.7213378121805
8_F06,2,Kat2b.3,65.2931529315293
8_F07,2,Kdm4a.4,56.7252880533657
8_F08,2,Kdm2a.3,58.8997555012225
8_F09,2,Kdm1b.3,62.7927812619992
8_F10,2,Kat2b.4,68.7
8_F11,2,Kdm4c.4,65.8961272891024
8_G02,2,Kdm3b.4,63.5320742937412
8_G03,2,Kdm1b.4,65.9079151577858
8_G04,2,Jmjd6.4,66.3398692810458
8_G05,2,Kdm5a.4,63.7336024217962
8_G06,2,Kdm4d.4,65.6419213973799
8_G07,2,Kat5.4,59.9730276466622
8_G08,2,Kat2a.4,57.1428571428571
8_G09,2,Kdm2b.4,66.6545454545455
8_G10,2,Kdm1a.4,63.3281168492436
8_G11,2,Kdm2a.4,58.005994636378
13_B02,2,Prdm10.1,67.4922600619195
13_B03,2,Prdm5.1,60.7645875251509
13_B04,2,Prdm6.1,56.0375146541618
13_B05,2,Prdm4.1,61.6686343959071
13_B06,2,Prdm12.1,64.0758873929009
13_B07,2,Prkcd.1,62.8361858190709
13_B08,2,Prdm9.1,60.7050452781371
13_B09,2,Prdm15.1,58.2942830365511
13_B10,2,Prdm11.1,17.0212765957447
13_B11,2,Prkaa1.1,61.9087136929461
13_C02,2,Prdm9.2,56.7955997161107
13_C03,2,Prdm13.1,65.7772877618523
13_C04,2,Prdm10.2,34.9617422012949
13_C05,2,Prkaa1.2,63.3637548891786
13_C06,2,Prdm8.1,65.7608695652174
13_C07,2,Prdm6.2,54.8076923076923
13_C08,2,Prdm12.2,68.7196601941748
13_C09,2,Prkaa2.1,54.6623093681917
13_C10,2,Prdm5.2,57.7242762969332
13_C11,2,Prdm2.1,48.6685032139578
13_D02,2,Prdm11.2,45.474060822898
13_D03,2,Prkaa2.2,57.646420824295
13_D04,2,Prdm5.3,48.6136783733826
13_D05,2,Prdm14.1,65.4239019407559
13_D06,2,Prdm13.2,50.7751937984496
13_D07,2,Prkaa2.3,62.8179650238474
13_D08,2,Prdm8.2,66.5257223396758
13_D09,2,Prdm15.2,59.0909090909091
13_D10,2,Prdm10.3,51.9049283467319
13_D11,2,Prkcd.2,62.1676300578035
13_E02,2,Prdm2.2,62.6552053486151
13_E03,2,Prdm4.2,68.5490196078431
13_E04,2,Prdm10.4,59.8823529411765
13_E05,2,Prdm9.3,69.375560203167
13_E06,2,Prdm6.3,73.0790802019069
13_E07,2,Prdm14.2,68.7265917602996
13_E08,2,Prdm11.3,66.1074705111402
13_E09,2,Prkaa1.3,57.2410632447296
13_E10,2,Prdm8.3,58.4018801410106
13_E11,2,Prdm15.3,63.7999390057944
13_F02,2,Prdm12.3,53.5407286123619
13_F03,2,Prkcd.3,52.283341982356
13_F04,2,Prdm6.4,54.8952380952381
13_F05,2,Prdm14.3,62.5559765759559
13_F06,2,Prdm13.3,38.6363636363636
13_F07,2,Prdm9.4,66.3726993865031
13_F08,2,Prdm4.3,62.6650366748166
13_F09,2,Prdm2.3,59.9813866914844
13_F10,2,Prdm13.4,42.1656050955414
13_F11,2,Prkaa1.4,57.5098296199214
13_G02,2,Prdm8.4,61.0945273631841
13_G03,2,Prdm2.4,59.3648736228127
13_G04,2,Prdm11.4,52.3379554982264
13_G05,2,Prkcd.4,59.1091091091091
13_G06,2,Prkaa2.4,57.0643642072214
13_G07,2,Prdm14.4,44.201861130995
13_G08,2,Prdm12.4,55.5745721271394
13_G09,2,Prdm5.4,49.5117748420448
13_G10,2,Prdm15.4,69.3450742982939
13_G11,2,Prdm4.4,59.5929136826234
9_B02,2,Kdm5b.1,67.0542635658915
9_B03,2,L3mbtl4.1,58.5871799663614
9_B04,2,Mbd1.1,64.5104381064393
9_B05,2,L3mbtl3.1,62.4293785310734
9_B06,2,Kdm5d.1,62.5094482237339
9_B07,2,Men1.1,73.5276136132056
9_B08,2,Mbd3.1,61.1241217798595
9_B09,2,L3mbtl1.1,61.6806722689076
9_B10,2,Kdm5c.1,63.5942668136714
9_B11,2,Mbd4.1,61.5692554043235
9_C02,2,Mbd3.2,65.2073732718894
9_C03,2,Kdm6a.1,60.0085178875639
9_C04,2,Kdm5b.2,70.1427323041072
9_C05,2,Mbd4.2,63.9586410635155
9_C06,2,Mbd2.1,61.7647058823529
9_C07,2,Mbd1.2,71.2092926778677
9_C08,2,Kdm5d.2,70.1945345067161
9_C09,2,Mecom.1,67.4537583628493
9_C10,2,L3mbtl4.2,71.9385026737968
9_C11,2,L3mbtl2.1,72.5982172334104
9_D02,2,Kdm5c.2,61.522633744856
9_D03,2,Mecom.2,62.3595505617978
9_D04,2,L3mbtl4.3,52.8424153166421
9_D05,2,Kdm6b.1,59.3123209169054
9_D06,2,Kdm6a.2,44.9398650630683
9_D07,2,Mecom.3,61.8941255304892
9_D08,2,Mbd2.2,69.8564593301435
9_D09,2,L3mbtl1.2,57.571242317005
9_D10,2,Kdm5b.3,64.5786963434022
9_D11,2,Men1.2,59.6153846153846
9_E02,2,L3mbtl2.2,52.9411764705882
9_E03,2,L3mbtl3.2,66.5384615384615
9_E04,2,Kdm5b.4,65.4816513761468
9_E05,2,Mbd3.3,53.3557046979866
9_E06,2,Mbd1.3,55.8380414312618
9_E07,2,Kdm6b.2,62.5366999412801
9_E08,2,Kdm5c.3,61.6434108527132
9_E09,2,Mbd4.3,63.9526911210147
9_E10,2,Mbd2.3,73.856598380181
9_E11,2,L3mbtl1.3,63.0673222390318
9_F02,2,Kdm5d.3,69.9633027522936
9_F03,2,Men1.3,79.3130366900859
9_F04,2,Mbd1.4,72.2532314923619
9_F05,2,Kdm6b.3,65.3519417475728
9_F06,2,Kdm6a.3,48.6342943854325
9_F07,2,Mbd3.4,67.906517445688
9_F08,2,L3mbtl3.3,67.4289245982695
9_F09,2,L3mbtl2.3,69.456289978678
9_F10,2,Kdm6a.4,66.0850599781897
9_F11,2,Mbd4.4,70.5990322042383
9_G02,2,Mbd2.4,74.6913580246914
9_G03,2,L3mbtl2.4,74.3068783068783
9_G04,2,Kdm5c.4,73.9070662634039
9_G05,2,Men1.4,81.4824057898677
9_G06,2,Mecom.4,71.3935431140172
9_G07,2,Kdm6b.4,63.9442231075697
9_G08,2,Kdm5d.4,64.7585424284453
9_G09,2,L3mbtl4.4,75.0285062713797
9_G10,2,L3mbtl1.4,57.8910856746445
9_G11,2,L3mbtl3.4,76.8438003220612
12_B02,2,Pcgf2.1,33.3333333333333
12_B03,2,Phf20.1,58.3603656738425
12_B04,2,Phf20l1.1,66.474278544542
12_B05,2,Phf2.1,65.1819322459222
12_B06,2,Pcgf6.1,59.5123900879297
12_B07,2,Prdm1.1,77.552973342447
12_B08,2,Phip.1,66.6264187394349
12_B09,2,Phf1.1,65.1866151866152
12_B10,2,Pcgf5.1,55.1087673038893
12_B11,2,Polr2b.1,71.5066621113768
12_C02,2,Phip.2,65.1672862453532
12_C03,2,Pcmt1.1,58.1582313173762
12_C04,2,Pcgf2.2,58.7550054605024
12_C05,2,Polr2b.2,56.7619047619048
12_C06,2,Phf8.1,63.8221768012264
12_C07,2,Phf20l1.2,63.4589196550159
12_C08,2,Pcgf6.2,68.116554054054
12_C09,2,Ppargc1a.1,69.7729769315269
12_C10,2,Phf20.2,66.726368159204
12_C11,2,Phf19.1,70.5590330239586
12_D02,2,Pcgf5.2,53.9897755056679
12_D03,2,Ppargc1a.2,59.8275862068966
12_D04,2,Phf20.3,68.1609195402299
12_D05,2,Phc1.1,60.2754237288136
12_D06,2,Pcmt1.2,62.5
12_D07,2,Ppargc1a.3,63.1882941855988
12_D08,2,Phf8.2,60.6255749770009
12_D09,2,Phf1.2,68.0088659032139
12_D10,2,Pcgf2.3,70.4634721131186
12_D11,2,Prdm1.2,63.2060632060632
12_E02,2,Phf19.2,63.8899359215982
12_E03,2,Phf2.2,67.2413793103448
12_E04,2,Pcgf2.4,52.7656187823319
12_E05,2,Phip.3,64.3674403399804
12_E06,2,Phf20l1.3,58.6723768736617
12_E07,2,Phc1.2,64.5387149917628
12_E08,2,Pcgf5.3,62.3211446740859
12_E09,2,Polr2b.3,67.4969623329283
12_E10,2,Phf8.3,66.0350877192982
12_E11,2,Phf1.3,73.4909244406923
12_F02,2,Pcgf6.3,68.0816057913787
12_F03,2,Prdm1.3,60.0815418828762
12_F04,2,Phf20l1.4,63.2497761862131
12_F05,2,Phc1.3,79.1549295774648
12_F06,2,Pcmt1.3,73.6682808716707
12_F07,2,Phip.4,74.5098039215686
12_F08,2,Phf2.3,69.8649278062413
12_F09,2,Phf19.3,70.1241642788921
12_F10,2,Pcmt1.4,74.1425928561264
12_F11,2,Polr2b.4,53.4146341463415
12_G02,2,Phf8.4,20.4545454545455
12_G03,2,Phf19.4,73.2234809474768
12_G04,2,Pcgf5.4,65.6560756730536
12_G05,2,Prdm1.4,60.7038123167155
12_G06,2,Ppargc1a.4,62.8383921246924
12_G07,2,Phc1.4,70.5114013725924
12_G08,2,Pcgf6.4,73.8935852809547
12_G09,2,Phf20.4,68.6283668067881
12_G10,2,Phf1.4,78.752107925801
12_G11,2,Phf2.4,67.4374831944071
1_B02,1,Actl6b.1,64.3145161290323
1_B03,1,Asxl3.1,65.30931871574
1_B04,1,Atad2.1,69.6270348238203
1_B05,1,Asxl2.1,57.098121085595
1_B06,1,Aff4.1,61.7886178861789
1_B07,1,Aurkb.1,66.4450977885722
1_B08,1,Atm.1,62.0884699057288
1_B09,1,A2l.1,61.4330526663365
1_B10,1,Aff1.1,74.4016893477241
1_B11,1,Atr.1,72.7766990291262
1_C02,1,Atm.2,68.3231173380035
1_C03,1,Arid2.1,67.9241941197308
1_C04,1,Actl6b.2,65.1798225128445
1_C05,1,Atr.2,65.7142857142857
1_C06,1,Atad2b.1,64.9830089589126
1_C07,1,Atad2.2,62.5525040387722
1_C08,1,Aff4.2,71.105978958173
1_C09,1,Atrx.1,64.8860398860399
1_C10,1,Asxl3.2,70.0666473485946
1_C11,1,Asxl1.1,67.6359600443951
1_D02,1,Aff1.2,69.4202154951257
1_D03,1,Atrx.2,64.9134199134199
1_D04,1,Asxl3.3,59.2605390463027
1_D05,1,A1l.1,60.0
1_D06,1,Arid2.2,70.6382001836547
1_D07,1,Atrx.3,67.007382169222
1_D08,1,Atad2b.2,62.4605678233439
1_D09,1,A2l.2,67.6083313382811
1_D10,1,Actl6b.3,71.6515766468935
1_D11,1,Aurkb.2,72.4063710718898
1_E02,1,Asxl1.2,52.4073432629027
1_E03,1,Asxl2.2,50.0
1_E04,1,Actl6b.4,67.3857868020305
1_E05,1,Atm.3,63.360433604336
1_E06,1,Atad2.3,64.7959183673469
1_E07,1,A1l.2,56.4200680272109
1_E08,1,Aff1.3,66.3342830009497
1_E09,1,Atr.3,60.0
1_E10,1,Atad2b.3,76.1255115961801
1_E11,1,A2l.3,65.0931677018634
1_F02,1,Aff4.3,65.0292839599471
1_F03,1,Aurkb.3,68.4804928131417
1_F04,1,Atad2.4,80.0
1_F05,1,A1l.3,66.0714285714286
1_F06,1,Arid2.3,64.8956356736243
1_F07,1,Atm.4,58.5987261146497
1_F08,1,Asxl2.3,55.1085230280572
1_F09,1,Asxl1.3,40.0
1_F10,1,Arid2.4,74.7973470891673
1_F11,1,Atr.4,72.9537366548043
1_G02,1,Atad2b.4,59.8776871756857
1_G03,1,Asxl1.4,65.8788774002954
1_G04,1,Aff1.4,66.1450924608819
1_G05,1,Aurkb.4,63.2748538011696
1_G06,1,Atrx.4,63.9819909954978
1_G07,1,A1l.4,71.8225419664269
1_G08,1,Aff4.4,49.6098562628337
1_G09,1,Asxl3.4,74.0576496674058
1_G10,1,A2l.4,70.4134366925065
1_G11,1,Asxl2.4,55.2129817444219
5_B02,1,Dub2a.1,64.0550555849656
5_B03,1,Epc1.1,41.5097755249819
5_B04,1,Epc2.1,55.4833874594054
5_B05,1,Ep400.1,53.3514001806685
5_B06,1,Ehmt1.1,62.1239290695358
5_B07,1,Fbxo44.1,51.8087855297158
5_B08,1,Ezh1.1,54.5454545454545
5_B09,1,Elp4.1,69.9830220713073
5_B10,1,Eed.1,62.7927146574154
5_B11,1,Ezh2.1,70.873786407767
5_C02,1,Ezh1.2,51.9870672234945
5_C03,1,Ehmt2.1,54.0651929561634
5_C04,1,Dub2a.2,53.6585365853659
5_C05,1,Ezh2.2,58.6833533344763
5_C06,1,Ercc5.1,59.7659107534748
5_C07,1,Epc2.2,56.8778280542986
5_C08,1,Ehmt1.2,60.2075226977951
5_C09,1,Fbxl19.1,64.6848381601363
5_C10,1,Epc1.2,68.7393040501997
5_C11,1,Ep300.1,35.2941176470588
