Position,Pool,shRNA,GeoMean
18_B02,3,Tdg.1,4421.497283
18_B03,3,Ube2b.1,3607.315333
18_B04,3,Ube2e1.1,6458.80917
18_B05,3,Trim66.1,3204.205078
18_B06,3,Tet2.1,3817.213907
18_B07,3,Usp51.1,4130.479268
18_B08,3,Uhrf1.1,4573.798844
18_B09,3,Trim28.1,5182.654398
18_B10,3,Tet1.1,4314.134848
18_B11,3,Usp22.1,3500.880758
18_C02,3,Uhrf1.2,3943.861083
18_C03,3,Tet3.1,4657.48222
18_C04,3,Tdg.2,3677.327534
18_C05,3,Usp22.2,4619.906633
18_C06,3,Ube2i.1,3454.955801
18_C07,3,Ube2e1.2,3573.32786
18_C08,3,Tet2.2,4221.186436
18_C09,3,Usp27x.1,4060.1531
18_C10,3,Ube2b.2,2552.912578
18_C11,3,Trim33.1,4425.395347
18_D02,3,Tet1.2,4563.985916
18_D03,3,Usp27x.2,4960.547795
18_D04,3,Ube2b.3,5111.125905
18_D05,3,Trim24.1,3894.494141
18_D06,3,Tet3.2,4065.276927
18_D07,3,Usp27x.3,4607.220457
18_D08,3,Ube2i.2,4710.319484
18_D09,3,Trim28.2,4052.807904
18_D10,3,Tdg.3,4667.031582
18_D11,3,Usp51.2,3680.68982
18_E02,3,Trim33.2,4665.85124
18_E03,3,Trim66.2,5201.23201
18_E04,3,Tdg.4,4447.414954
18_E05,3,Uhrf1.3,3793.259717
18_E06,3,Ube2e1.3,4978.703156
18_E07,3,Trim24.2,3837.939149
18_E08,3,Tet1.3,4575.781275
18_E09,3,Usp22.3,5178.89484
18_E10,3,Ube2i.3,4225.223237
18_E11,3,Trim28.3,4578.100372
18_F02,3,Tet2.3,5552.511379
18_F03,3,Usp51.3,5286.557221
18_F04,3,Ube2e1.4,5915.01337
18_F05,3,Trim24.3,4545.104783
18_F06,3,Tet3.3,4973.70461
18_F07,3,Uhrf1.4,5327.254987
18_F08,3,Trim66.3,4829.868408
18_F09,3,Trim33.3,5471.602875
18_F10,3,Tet3.4,5241.795036
18_F11,3,Usp22.4,3616.289813
18_G02,3,Ube2i.4,5111.803831
18_G03,3,Trim33.4,4303.71267
18_G04,3,Tet1.4,4846.022193
18_G05,3,Usp51.4,4879.20543
18_G06,3,Usp27x.4,4930.516496
18_G07,3,Trim24.4,3759.947586
18_G08,3,Tet2.4,4218.554132
18_G09,3,Ube2b.4,4184.075193
18_G10,3,Trim28.4,4860.267872
18_G11,3,Trim66.4,4154.3848
17_B02,3,Smyd4.1,4570.55601
17_B03,3,Suv39h2.1,3737.45667
17_B04,3,Suv420h1.1,3626.023192
17_B05,3,Suv39h1.1,4330.128318
17_B06,3,Sp100.1,4029.557512
17_B07,3,Tcea1.1,4446.9328
