Position,Pool,shRNA,Percentage
18_B02,3,Tdg.1,35.79612801
18_B03,3,Ube2b.1,35.51528879
18_B04,3,Ube2e1.1,26.9493844
18_B05,3,Trim66.1,37.13395639
18_B06,3,Tet2.1,30.25522042
18_B07,3,Usp51.1,23.04063861
18_B08,3,Uhrf1.1,24.92253209
18_B09,3,Trim28.1,20.94040459
18_B10,3,Tet1.1,24.13526071
18_B11,3,Usp22.1,28.82933709
18_C02,3,Uhrf1.2,44.12532637
18_C03,3,Tet3.1,43.22508399
18_C04,3,Tdg.2,42.24733208
18_C05,3,Usp22.2,30.63754427
18_C06,3,Ube2i.1,38.45500849
18_C07,3,Ube2e1.2,30.0
18_C08,3,Tet2.2,33.09027778
18_C09,3,Usp27x.1,47.36842105
18_C10,3,Ube2b.2,34.31855501
18_C11,3,Trim33.1,32.80467446
18_D02,3,Tet1.2,32.68955651
18_D03,3,Usp27x.2,38.58114674
18_D04,3,Ube2b.3,38.24884793
18_D05,3,Trim24.1,0.0
18_D06,3,Tet3.2,37.92735043
18_D07,3,Usp27x.3,35.2073085
18_D08,3,Ube2i.2,39.48387097
18_D09,3,Trim28.2,38.88458559
18_D10,3,Tdg.3,33.47873501
18_D11,3,Usp51.2,34.44860814
18_E02,3,Trim33.2,42.37700925
18_E03,3,Trim66.2,41.66666667
18_E04,3,Tdg.4,32.82977155
18_E05,3,Uhrf1.3,37.83891547
18_E06,3,Ube2e1.3,24.16856492
18_E07,3,Trim24.2,35.34460995
18_E08,3,Tet1.3,30.03896564
18_E09,3,Usp22.3,30.79282681
18_E10,3,Ube2i.3,39.28571429
18_E11,3,Trim28.3,31.18081181
18_F02,3,Tet2.3,46.44473174
18_F03,3,Usp51.3,31.81041845
18_F04,3,Ube2e1.4,29.7761194
18_F05,3,Trim24.3,43.09041427
18_F06,3,Tet3.3,30.40421793
18_F07,3,Uhrf1.4,28.93175074
18_F08,3,Trim66.3,26.26615438
18_F09,3,Trim33.3,29.86685858
18_F10,3,Tet3.4,30.96551724
18_F11,3,Usp22.4,33.09927361
18_G02,3,Ube2i.4,63.67389061
18_G03,3,Trim33.4,52.07311636
18_G04,3,Tet1.4,28.81040892
18_G05,3,Usp51.4,26.69962917
18_G06,3,Usp27x.4,38.15844048
18_G07,3,Trim24.4,39.79455114
18_G08,3,Tet2.4,31.26361656
18_G09,3,Ube2b.4,33.24538259
18_G10,3,Trim28.4,26.82248191
18_G11,3,Trim66.4,32.35502122
17_B02,3,Smyd4.1,23.38549075
17_B03,3,Suv39h2.1,40.48073254
17_B04,3,Suv420h1.1,18.35891381
17_B05,3,Suv39h1.1,27.12384852
17_B06,3,Sp100.1,23.19729979
17_B07,3,Tcea1.1,24.97949139
17_B08,3,Suz12.1,32.5045045
17_B09,3,Ssrp1.1,25.61688312
17_B10,3,Smyd5.1,18.54689564
17_B11,3,Taf1.1,25.39619651
17_C02,3,Suz12.2,33.86759582
17_C03,3,Sp110.1,24.82581591
17_C04,3,Smyd4.2,29.04191617
17_C05,3,Taf1.2,30.17793594
17_C06,3,Suv420h2.1,17.47709655
17_C07,3,Suv420h1.2,31.41747573
17_C08,3,Sp100.2,37.92282039
17_C09,3,Taf3.1,38.05612594
17_C10,3,Suv39h2.2,22.91169451
17_C11,3,Supt16h.1,19.45736434
17_D02,3,Smyd5.2,17.33158927
17_D03,3,Taf3.2,28.81570614
17_D04,3,Suv39h2.3,38.4375
17_D05,3,Sp140.1,30.64445419
17_D06,3,Sp110.2,24.21428571
17_D07,3,Taf3.3,27.69176636
17_D08,3,Suv420h2.2,38.49431818
17_D09,3,Ssrp1.2,23.85844749
17_D10,3,Smyd4.3,24.12587413
17_D11,3,Tcea1.2,36.66823974
17_E02,3,Supt16h.2,21.6507177
17_E03,3,Suv39h1.2,25.50200803
17_E04,3,Smyd4.4,32.38283456
17_E05,3,Suz12.3,21.59672467
17_E06,3,Suv420h1.3,29.65015587
17_E07,3,Sp140.2,19.76413176
17_E08,3,Smyd5.3,19.20428462
17_E09,3,Taf1.3,45.88045234
17_E10,3,Suv420h2.3,28.04273178
17_E11,3,Ssrp1.3,42.85714286
17_F02,3,Sp100.3,29.63194011
17_F03,3,Tcea1.3,41.05263158
17_F04,3,Suv420h1.4,26.30972942
17_F05,3,Sp140.3,37.40783857
17_F06,3,Sp110.3,26.6442953
17_F07,3,Suz12.4,47.79270633
17_F08,3,Suv39h1.3,31.12226605
17_F09,3,Supt16h.3,36.87845304
17_F10,3,Sp110.4,50.0
17_F11,3,Taf1.4,30.8690013
17_G02,3,Suv420h2.4,24.76262818
17_G03,3,Supt16h.4,26.81498829
17_G04,3,Smyd5.4,32.20022413
17_G05,3,Tcea1.4,25.67417806
17_G06,3,Taf3.4,47.34898444
17_G07,3,Sp140.4,33.37620579
17_G08,3,Sp100.4,30.83723349
17_G09,3,Suv39h2.4,26.38200534
17_G10,3,Ssrp1.4,24.57317073
17_G11,3,Suv39h1.4,25.13894827
19_B02,3,Wbp7.1,23.5636646
19_B03,3,Arid1b.1,21.81175715
19_B04,3,Brd7.2,26.4051759
19_B05,3,Actb,58.75758991
19_B06,3,Wdr82.1,27.25012432
19_B07,3,Eaf1.1,35.68824066
19_B08,3,Cecr2.1,40.97951024
19_B09,3,Zmynd11.1,30.88235294
19_B10,3,Wdr5.1,42.88793103
19_B11,3,Chd7.2,25.87141751
19_C02,3,Cecr2.2,20.07615092
19_C03,3,Whsc1.1,29.98405104
19_C04,3,Wbp7.2,37.17720392
19_C05,3,Chd7.3,25.32322782
19_C06,3,Brdt.3,31.01750547
19_C07,3,Brd7.3,30.4180418
19_C08,3,Wdr82.2,24.68427095
19_C09,3,Clock.3,29.12264584
19_C10,3,Arid1b.2,29.99424295
19_C11,3,Zmynd8.1,42.53910951
19_D02,3,Wdr5.2,43.79562044
19_D03,3,Dpy30.1,32.87037037
19_D04,3,Arid1b.3,28.81355932
19_D05,3,Whsc1l1.1,33.33333333
19_D06,3,Whsc1.2,22.72727273
19_D07,3,Dpy30.2,42.85714286
19_D08,3,Cbx2.1,30.74010327
19_D09,3,Zmynd11.2,31.68061816
19_D10,3,Wbp7.3,24.5912361
19_D11,3,Eaf1.2,38.0260818
19_E02,3,Zmynd8.2,45.79510703
19_E03,3,Actl6a,64.86662329
19_E04,3,Wbp7.4,37.55199049
19_E05,3,Cecr2.3,41.06910039
19_E06,3,Brdt.1,34.32021815
19_E07,3,Whsc1l1.2,41.2397541
19_E08,3,Wdr5.3,53.48314607
19_E09,3,Clock.1,36.86458778
19_E10,3,Cbx2.2,36.14976806
19_E11,3,Zmynd11.3,31.70470756
19_F02,3,Wdr82.3,15.14928124
19_F03,3,Eaf1.3,35.64762971
19_F04,3,Brdt.2,52.60192244
19_F05,3,Whsc1l1.3,39.23120407
19_F06,3,Whsc1.3,26.91190707
19_F07,3,Chd7.1,29.86330179
19_F08,3,Arid1a.1,25.88809947
19_F09,3,Zmynd8.3,39.45068664
19_F10,3,Whsc1.4,31.15024766
19_F11,3,Clock.2,28.49127182
19_G02,3,Cbx2.3,23.30683625
19_G03,3,Zmynd8.4,29.57467854
19_G04,3,Wdr5.4,31.09859155
19_G05,3,Fbxo17.1,31.13590264
19_G06,3,Dpy30.3,21.71016102
19_G07,3,Whsc1l1.4,31.31217432
19_G08,3,Wdr82.4,20.03012048
19_G09,3,Brd7.1,32.25078935
19_G10,3,Zmynd11.4,6.934476377
19_G11,3,Arid1a.2,8.433987406
16_B02,3,Sirt1.1,30.96716948
16_B03,3,Smarca5.1,56.33802817
16_B04,3,Smarcc2.1,24.38848921
16_B05,3,Smarca4.1,60.18223235
16_B06,3,Sirt4.1,34.26086957
16_B07,3,Smyd3.1,34.4548034
16_B08,3,Smarcd3.1,19.56342669
16_B09,3,Sirt7.1,38.29842932
16_B10,3,Sirt3.1,41.16394606
16_B11,3,Smarce1.1,24.55254704
16_C02,3,Smarcd3.2,37.82080144
16_C03,3,Sirt5.1,36.60840812
16_C04,3,Sirt1.2,30.07662835
16_C05,3,Smarce1.2,50.19585898
16_C06,3,Smarcd1.1,30.71648954
16_C07,3,Smarcc2.2,21.53846154
16_C08,3,Sirt4.2,32.0754717
16_C09,3,Smyd2.1,30.30148186
16_C10,3,Smarca5.2,38.75862069
16_C11,3,Smarca1.1,24.47345001
16_D02,3,Sirt3.2,49.1255144
16_D03,3,Smyd2.2,32.16855087
16_D04,3,Smarca5.3,47.7443609
16_D05,3,Sirt6.1,37.6109215
16_D06,3,Sirt5.2,35.8922009
16_D07,3,Smyd2.3,64.28571429
16_D08,3,Smarcd1.2,35.72216097
16_D09,3,Sirt7.2,53.63773206
16_D10,3,Sirt1.3,33.8905277
16_D11,3,Smyd3.2,20.19230769
16_E02,3,Smarca1.2,33.19327731
16_E03,3,Smarca4.2,66.87279152
16_E04,3,Sirt1.4,36.52297489
16_E05,3,Smarcd3.3,23.75
16_E06,3,Smarcc2.3,21.40921409
16_E07,3,Sirt6.2,24.69592808
16_E08,3,Sirt3.3,15.6219865
16_E09,3,Smarce1.3,42.99591002
16_E10,3,Smarcd1.3,29.205807
16_E11,3,Sirt7.3,16.0
16_F02,3,Sirt4.3,39.48106592
16_F03,3,Smyd3.3,27.696793
16_F04,3,Smarcc2.4,44.71122648
16_F05,3,Sirt6.3,30.6156406
16_F06,3,Sirt5.3,27.00523982
16_F07,3,Smarcd3.4,23.07692308
16_F08,3,Smarca4.3,42.32578025
16_F09,3,Smarca1.3,29.84389348
16_F10,3,Sirt5.4,29.18340027
16_F11,3,Smarce1.4,46.9924812
16_G02,3,Smarcd1.4,29.77988779
16_G03,3,Smarca1.4,28.47565279
16_G04,3,Sirt3.4,25.15119175
16_G05,3,Smyd3.4,25.79320642
16_G06,3,Smyd2.4,24.58333333
16_G07,3,Sirt6.4,26.13311556
16_G08,3,Sirt4.4,28.78552972
16_G09,3,Smarca5.4,72.30499562
16_G10,3,Sirt7.4,27.75119617
16_G11,3,Smarca4.4,28.42543528
15_B02,3,Rpa3.1,40.46610169
15_B03,3,Setdb1.1,43.33333333
15_B04,3,Setdb2.1,22.46949031
15_B05,3,Setd8.1,21.25249833
15_B06,3,Scml4.1,29.33035714
15_B07,3,Sin3b.1,29.50819672
15_B08,3,Sfmbt1.1,28.57938719
15_B09,3,Setd4.1,32.63621354
15_B10,3,Scml2.1,26.8258427
15_B11,3,Sfmbt2.1,34.07917384
15_C02,3,Sfmbt1.2,22.76964048
15_C03,3,Setd1a.1,30.78682525
15_C04,3,Rpa3.2,50.23364486
15_C05,3,Sfmbt2.2,25.6557377
15_C06,3,Setmar.1,46.31790744
15_C07,3,Setdb2.2,24.97643732
15_C08,3,Scml4.2,38.38841105
15_C09,3,Sin3a.1,25.06361323
15_C10,3,Setdb1.2,39.66509681
15_C11,3,Setd5.1,53.81355932
15_D02,3,Scml2.2,30.22884513
15_D03,3,Sin3a.2,33.05736251
15_D04,3,Setdb1.3,45.8469588
15_D05,3,Setd2.1,24.18397626
15_D06,3,Setd1a.2,27.58329819
15_D07,3,Sin3a.3,25.84407612
15_D08,3,Setmar.2,23.39696525
15_D09,3,Setd4.2,39.81072555
15_D10,3,Rpa3.3,62.85714286
15_D11,3,Sin3b.2,21.17141322
15_E02,3,Setd5.2,31.87628866
15_E03,3,Setd8.2,37.53581662
15_E04,3,Rpa3.4,42.35474006
15_E05,3,Sfmbt1.3,21.21431153
15_E06,3,Setdb2.3,38.75903102
15_E07,3,Setd2.2,22.02223399
15_E08,3,Scml2.3,35.88709677
15_E09,3,Sfmbt2.3,32.57978723
15_E10,3,Setmar.3,29.63615023
15_E11,3,Setd4.3,16.80376028
15_F02,3,Scml4.3,28.60175918
15_F03,3,Sin3b.3,35.46099291
15_F04,3,Setdb2.4,25.44505832
15_F05,3,Setd2.3,39.09541512
15_F06,3,Setd1a.3,22.54869594
15_F07,3,Sfmbt1.4,25.69875776
15_F08,3,Setd8.3,43.37899543
15_F09,3,Setd5.3,25.02822732
15_F10,3,Setd1a.4,29.8503861
15_F11,3,Sfmbt2.4,45.45454545
15_G02,3,Setmar.4,36.80241327
15_G03,3,Setd5.4,27.91878173
15_G04,3,Scml2.4,30.04926108
15_G05,3,Sin3b.4,32.06073753
15_G06,3,Sin3a.4,31.85785536
15_G07,3,Setd2.4,25.37829658
15_G08,3,Scml4.4,0.0
15_G09,3,Setdb1.4,30.32458871
15_G10,3,Setd4.4,26.28458498
15_G11,3,Setd8.4,30.01119821
20_B02,3,Fbxo17.2,31.88302425
20_B03,3,Padi2.1,34.78532722
20_B04,3,Paf1.1,60.18518519
20_B05,3,Kdm4b.3,42.09795068
20_B06,3,Gtf2h1.1,42.37864078
20_B07,3,Rnf2.2,32.79082177
20_B08,3,Phc3.1,28.54881266
20_B09,3,Iws1.1,52.53682488
20_B10,3,Fkbp2.3,32.74461321
20_B11,3,Phf10.2,33.72669342
20_C02,3,Phc3.2,26.11788618
20_C03,3,H2afz.2,25.56794713
20_C04,3,Fbxo17.3,32.5760823
20_C05,3,Phf10.3,24.9382716
20_C06,3,Parp2.2,28.27004219
20_C07,3,Paf1.2,55.09518477
20_C08,3,Gtf2h1.2,30.95975232
20_C09,3,Prdm16.1,35.36345776
20_C10,3,Padi2.2,33.28488372
20_C11,3,Jmjd8.2,23.6443576
20_D02,3,Fkbp5.1,33.51671604
20_D03,3,Prdm16.2,30.72354212
20_D04,3,Padi2.3,44.39461883
20_D05,3,Hdac11.3,37.88634098
20_D06,3,H2afz.3,58.37353549
