Position,Pool,shRNA,GeoMean
1_B02,1,Actl6b.1,520.008544354289
1_B03,1,Asxl3.1,875.223576674805
1_B04,1,Atad2.1,773.597527223139
1_B05,1,Asxl2.1,784.12861411984
1_B06,1,Aff4.1,847.294640535943
1_B07,1,Aurkb.1,541.653283133531
1_B08,1,Atm.1,659.146409264617
1_B09,1,A2l.1,403.157067656466
1_B10,1,Aff1.1,782.798654317113
1_B11,1,Atr.1,720.717098630064
1_C02,1,Atm.2,808.49444526161
1_C03,1,Arid2.1,734.837745435132
1_C04,1,Actl6b.2,668.794876970285
1_C05,1,Atr.2,694.301729767163
1_C06,1,Atad2b.1,750.631895890673
1_C07,1,Atad2.2,662.753755046323
1_C08,1,Aff4.2,762.273010691923
1_C09,1,Atrx.1,765.875492566171
1_C10,1,Asxl3.2,1102.40612334612
1_C11,1,Asxl1.1,755.758958200908
1_D02,1,Aff1.2,786.743438006821
1_D03,1,Atrx.2,1268.36750734116
1_D04,1,Asxl3.3,891.865497614539
1_D05,1,A1l.1,755.390722788106
1_D06,1,Arid2.2,861.036607881932
1_D07,1,Atrx.3,1090.80163490948
1_D08,1,Atad2b.2,925.582841847361
1_D09,1,A2l.2,1126.58587088836
1_D10,1,Actl6b.3,1039.04727088857
1_D11,1,Aurkb.2,927.28096976854
1_E02,1,Asxl1.2,549.762190504793
1_E03,1,Asxl2.2,1289.49383681551
1_E04,1,Actl6b.4,625.195964545099
1_E05,1,Atm.3,1052.52537266135
1_E06,1,Atad2.3,769.535875584652
1_E07,1,A1l.2,1038.73708657171
1_E08,1,Aff1.3,957.764399384378
1_E09,1,Atr.3,1119.33050089332
1_E10,1,Atad2b.3,1030.20328078289
1_E11,1,A2l.3,655.678603505323
1_F02,1,Aff4.3,613.200065972129
1_F03,1,Aurkb.3,883.015762804803
1_F04,1,Atad2.4,313.37639633234
1_F05,1,A1l.3,947.673798947047
1_F06,1,Arid2.3,958.070230491429
1_F07,1,Atm.4,718.967074470223
1_F08,1,Asxl2.3,826.200543066627
1_F09,1,Asxl1.3,1674.83973232659
1_F10,1,Arid2.4,1168.39492945524
1_F11,1,Atr.4,729.613503979136
1_G02,1,Atad2b.4,714.446990953269
1_G03,1,Asxl1.4,541.230335063848
1_G04,1,Aff1.4,580.474093194595
1_G05,1,Aurkb.4,718.518566356386
1_G06,1,Atrx.4,757.031799407884
1_G07,1,A1l.4,1032.36522845084
1_G08,1,Aff4.4,654.555712232626
1_G09,1,Asxl3.4,932.517365333857
1_G10,1,A2l.4,1037.28374474629
1_G11,1,Asxl2.4,623.736857212514
2_B02,1,Baz1a.1,833.296064574506
2_B03,1,Brd2.1,562.554584694273
2_B04,1,Brd3.1,519.059426844027
2_B05,1,Brd1.1,624.202005753211
2_B06,1,Baz2a.1,604.5117557176
2_B07,1,Brpf3.1,672.983883496
2_B08,1,Brd8.1,121.702227584317
2_B09,1,Bop1.1,700.56417058247
2_B10,1,Baz1b.1,647.275469183522
2_B11,1,Brd9.1,1799.45585643344
2_C02,1,Brd8.2,893.17094029083
2_C03,1,Baz2b.1,1073.49047658499
2_C04,1,Baz1a.2,1012.2551130494
2_C05,1,Brd9.2,926.24392427984
2_C06,1,Brd4.1,210.572995113444
2_C07,1,Brd3.2,796.574862322562
2_C08,1,Baz2a.2,591.741794772253
2_C09,1,Brpf1.1,973.263380658029
2_C10,1,Brd2.2,786.472168925861
2_C11,1,Bptf.1,642.627148175205
2_D02,1,Baz1b.2,676.044135689267
2_D03,1,Brpf1.2,719.052695252729
2_D04,1,Brd2.3,615.616575991388
2_D05,1,Bmi1.1,677.483468519855
2_D06,1,Baz2b.2,792.916231868493
2_D07,1,Brpf1.3,644.650814883206
2_D08,1,Brd4.2,361.884865921829
