Position,Pool,shRNA,GeoMean
3_D10,1,Brwd1.3,180.786194363706
3_D11,1,Chd2.2,286.93769642386
3_E02,1,Cbx5.2,233.092451822067
3_E03,1,Cbx6.2,170.600856876039
3_E04,1,Brwd1.4,302.262235505432
3_E05,1,Chaf1b.3,311.125523582413
3_E06,1,Cbx8.3,284.440882776264
3_E07,1,Cbx3.2,256.170572789236
3_E08,1,Brwd3.3,293.521842063567
3_E09,1,Chd1.3,329.748933948665
3_E10,1,Chaf1a.3,334.729925715408
3_E11,1,Cbx4.3,424.987458002476
3_F02,1,Carm1.3,257.144775519244
3_F03,1,Chd2.3,190.749238201472
3_F04,1,Cbx8.4,257.039399815887
3_F05,1,Cbx3.3,230.115278287621
3_F06,1,Cbx1.3,208.545495134631
3_F07,1,Chaf1b.4,248.738986237171
3_F08,1,Cbx6.3,269.199069501509
3_F09,1,Cbx5.3,254.58153498466
3_F10,1,Cbx1.4,304.256382896265
3_F11,1,Chd1.4,317.884022944625
3_G02,1,Chaf1a.4,235.074882540816
3_G03,1,Cbx5.4,288.64572463595
3_G04,1,Brwd3.4,223.965755774271
3_G05,1,Chd2.4,217.29805836814
3_G06,1,Chd1l.4,472.172150439888
3_G07,1,Cbx3.4,338.832509212461
3_G08,1,Carm1.4,299.553058537947
3_G09,1,Cbx7.4,355.738997179969
3_G10,1,Cbx4.4,476.491852258554
3_G11,1,Cbx6.4,312.039679699104
4_B02,1,Chd3.1,335.262115695195
4_B03,1,Cxxc1.1,320.921221283107
4_B04,1,Dmap1.1,362.488536827312
4_B05,1,Ctsl.1,386.900574438349
4_B06,1,Chd5.1,300.103678810609
4_B07,1,Dot1l.1,395.003268448137
4_B08,1,Dnmt3a.1,350.963144463273
4_B09,1,Chd9.1,348.618343354651
4_B10,1,Chd4.1,255.257876302522
4_B11,1,Dnmt3b.1,276.629677649085
4_C02,1,Dnmt3a.2,396.830812015801
4_C03,1,Chd6.1,395.411169162093
4_C04,1,Chd3.2,410.739621542067
4_C05,1,Dnmt3b.2,167.815138181642
4_C06,1,Dnmt1.1,322.35470661554
4_C07,1,Dmap1.2,296.348484031142
4_C08,1,Chd5.2,314.8270758358
4_C09,1,Dnmt3l.1,300.732391004777
4_C10,1,Cxxc1.2,517.558575759585
4_C11,1,Crebbp.1,300.584478485055
4_D02,1,Chd4.2,260.114801129331
4_D03,1,Dnmt3l.2,363.508706900366
4_D04,1,Cxxc1.3,270.826559517666
4_D05,1,Chd8.1,501.609136268471
4_D06,1,Chd6.2,459.168373926594
4_D07,1,Dnmt3l.3,270.667249508195
4_D08,1,Dnmt1.2,392.825823114236
4_D09,1,Chd9.2,388.94793453917
4_D10,1,Chd3.3,240.212932497029
4_D11,1,Dot1l.2,255.617393450616
4_E02,1,Crebbp.2,377.611929456658
4_E03,1,Ctsl.2,251.232104285374
4_E04,1,Chd3.4,372.622540501518
4_E05,1,Dnmt3a.3,328.437475992461
4_E06,1,Dmap1.3,278.986791280478
4_E07,1,Chd8.2,447.248134581827
4_E08,1,Chd4.3,293.110643841268
4_E09,1,Dnmt3b.3,294.703602525322
4_E10,1,Dnmt1.3,526.853893820867
4_E11,1,Chd9.3,391.208429972495
4_F02,1,Chd5.3,512.071715102733
4_F03,1,Dot1l.3,477.690604433569
4_F04,1,Dmap1.4,384.7136782743
4_F05,1,Chd8.3,391.071569639675
4_F06,1,Chd6.3,245.208062019254
4_F07,1,Dnmt3a.4,359.062688898026
4_F08,1,Ctsl.3,401.036362522636
4_F09,1,Crebbp.3,346.356997862425
4_F10,1,Chd6.4,378.526989926537
4_F11,1,Dnmt3b.4,399.647860175146
4_G02,1,Dnmt1.4,816.562106213411
4_G03,1,Crebbp.4,567.470935180722
4_G04,1,Chd4.4,337.400044034106
4_G05,1,Dot1l.4,235.641312545443
4_G06,1,Dnmt3l.4,393.097203848466
4_G07,1,Chd8.4,461.284768031262
4_G08,1,Chd5.4,404.48132942216
4_G09,1,Cxxc1.4,221.54504438244
4_G10,1,Chd9.4,303.671209633468
4_G11,1,Ctsl.4,735.805241459601
5_B02,1,Dub2a.1,402.249732806521
5_B03,1,Epc1.1,154.013404621391
5_B04,1,Epc2.1,287.420294702059
5_B05,1,Ep400.1,286.523456601921
5_B06,1,Ehmt1.1,380.703849511013
5_B07,1,Fbxo44.1,270.938819234615
5_B08,1,Ezh1.1,363.408934583844
5_B09,1,Elp4.1,521.002443123684
5_B10,1,Eed.1,403.786395168939
5_B11,1,Ezh2.1,615.742878605113
5_C02,1,Ezh1.2,247.185362640895
5_C03,1,Ehmt2.1,267.240853262549
5_C04,1,Dub2a.2,275.93853564149
5_C05,1,Ezh2.2,328.613192974907
5_C06,1,Ercc5.1,347.136197991604
5_C07,1,Epc2.2,309.272153262405
5_C08,1,Ehmt1.2,358.409175638
5_C09,1,Fbxl19.1,429.937272722662
5_C10,1,Epc1.2,568.498565692811
5_C11,1,Ep300.1,120.451864312553
5_D02,1,Eed.2,272.494152168531
5_D03,1,Fbxl19.2,401.110231117376
