Position,Pool,shRNA,GeoMean
12_B02,2,Pcgf2.1,721.819896834724
12_B03,2,Phf20.1,610.108761708276
12_B04,2,Phf20l1.1,432.757827875877
12_B05,2,Phf2.1,720.880409949149
12_B06,2,Pcgf6.1,351.95841638144
12_B07,2,Prdm1.1,593.201286432876
12_B08,2,Phip.1,411.243897235175
12_B09,2,Phf1.1,354.684365122614
12_B10,2,Pcgf5.1,278.779410432081
12_B11,2,Polr2b.1,608.865258739416
12_C02,2,Phip.2,480.058926918324
12_C03,2,Pcmt1.1,535.781348057729
12_C04,2,Pcgf2.2,537.980566618455
12_C05,2,Polr2b.2,866.592771037537
12_C06,2,Phf8.1,510.235329879052
12_C07,2,Phf20l1.2,459.13193863887
12_C08,2,Pcgf6.2,637.717147986718
12_C09,2,Ppargc1a.1,524.164382350454
12_C10,2,Phf20.2,580.505688548275
12_C11,2,Phf19.1,633.135142850088
12_D02,2,Pcgf5.2,616.753840276892
12_D03,2,Ppargc1a.2,487.502257800127
12_D04,2,Phf20.3,775.436248269644
12_D05,2,Phc1.1,553.04024518496
12_D06,2,Pcmt1.2,595.560630919279
12_D07,2,Ppargc1a.3,484.313833304137
12_D08,2,Phf8.2,518.872116796968
12_D09,2,Phf1.2,555.02517458546
12_D10,2,Pcgf2.3,480.106070568088
12_D11,2,Prdm1.2,531.329733588
12_E02,2,Phf19.2,465.37053595518
12_E03,2,Phf2.2,586.501384621714
12_E04,2,Pcgf2.4,462.449008260719
12_E05,2,Phip.3,527.195132848408
12_E06,2,Phf20l1.3,437.907377173696
12_E07,2,Phc1.2,620.023331454335
12_E08,2,Pcgf5.3,561.335949164858
12_E09,2,Polr2b.3,609.444292472068
12_E10,2,Phf8.3,519.807273374886
12_E11,2,Phf1.3,476.289246280219
12_F02,2,Pcgf6.3,520.155701858375
12_F03,2,Prdm1.3,624.509112638046
12_F04,2,Phf20l1.4,626.128180727561
12_F05,2,Phc1.3,673.158448389892
12_F06,2,Pcmt1.3,734.835548496356
12_F07,2,Phip.4,668.570657544445
12_F08,2,Phf2.3,621.806877793791
12_F09,2,Phf19.3,456.789829070147
12_F10,2,Pcmt1.4,607.199738305714
12_F11,2,Polr2b.4,1003.12455962125
12_G02,2,Phf8.4,1607.43462230126
12_G03,2,Phf19.4,311.279503128754
12_G04,2,Pcgf5.4,735.85514231903
12_G05,2,Prdm1.4,461.560553464489
12_G06,2,Ppargc1a.4,434.634328855997
12_G07,2,Phc1.4,563.984915213415
12_G08,2,Pcgf6.4,450.708493578473
12_G09,2,Phf20.4,524.919251352683
12_G10,2,Phf1.4,535.646584028054
12_G11,2,Phf2.4,499.506231291118
13_B02,2,Prdm10.1,590.542530538868
13_B03,2,Prdm5.1,877.222916582483
13_B04,2,Prdm6.1,525.11384566821
13_B05,2,Prdm4.1,627.669670317423
