type,shRNA,count,ZScore,nbRawCount
control,Nfatc3.2,9303,-0.20349181454788867,74.54250946925771
control,Nfatc3.3,2186,-0.2974872348883401,64.07518786656513
control,Nfatc3.7,4139,-0.2716936342244506,68.52734771745132
control,Nfatc3.8,57500,0.43305410004375633,88.81472892267304
target,Nsd1.1,1,-0.3263448987135314,29.680816114241992
target,Nsd1.2,1623,-0.3049228709220164,62.089750579003166
target,Nsd1.3,14,-0.3261732055191481,37.60437131793532
target,Nsd1.4,16155,-0.1129962939390966,78.83618390874307
target,Orc1.1,2823,-0.28907426836355893,65.82669990205507
target,Orc1.2,946,-0.31386412419874615,58.638657089088554
target,Orc1.3,522,-0.3194639637694011,55.05276977967335
target,Orc1.4,40345,0.20648511930180827,86.0839221736654
target,Padi1.1,14875,-0.12990147000145122,78.18644769113564
target,Padi1.2,2574,-0.29236285339443885,65.18929745827208
target,Padi1.3,316105,3.8484939872353316,98.51394617680388
target,Padi1.4,46069,0.2820829535056503,87.11764251077855
target,Padi2.1,0,-0.3263581058823301,26.82382128284564
target,Padi2.2,1,-0.3263448987135314,29.680816114241992
target,Padi2.3,1,-0.3263448987135314,29.680816114241992
target,Padi3,3946,-0.2742426178026025,68.1851657067341
target,Padi4.1,8007,-0.22060830531102274,73.39978782542
target,Padi4.2,1904,-0.3012116564895776,63.14710231124672
target,Padi4.3,21833,-0.03800598949999542,81.22121054188722
target,Padi4.4,4701,-0.26427120535957305,69.44679348888525
target,Padi6.1,10687,-0.18521309293046775,75.60912814605992
target,Padi6.2,0,-0.3263581058823301,26.82382128284564
target,Padi6.3,4644,-0.26502401398109976,69.35825415179457
target,Padi6.4,25204,0.006515376520471321,82.36243322138829
target,Paf1.1,0,-0.3263581058823301,26.82382128284564
target,Paf1.2,0,-0.3263581058823301,26.82382128284564
target,Paf1.3,3805,-0.2761048286032213,67.92540692153655
target,Parp1.1,3162,-0.28459703814079473,66.61715645452333
target,Parp1.2,50909,0.34600565049142873,87.88789510213071
target,Parp1.3,14767,-0.1313278442317124,78.12919647235492
target,Parp1.4,10155,-0.1922393067313839,75.21534202548276
target,Parp2.1,21,-0.3260807553375571,39.21008334313258
target,Parp2.2,0,-0.3263581058823301,26.82382128284564
target,Parp2.3,24,-0.32604113383116096,39.75798362250108
target,Paxip1.1,2678,-0.29098930783937255,65.4620279745853
target,Paxip1.2,293,-0.32248840542430673,51.7780450136622
target,Paxip1.3,11,-0.3262128270255442,36.69153579766111
target,Paxip1.4,13689,-0.14556517219672668,77.53474019588309
target,Pbrm1.1,480,-0.32001866485894714,54.56459515598612
target,Pbrm1.2,69518,0.5917778546667077,90.22687901782683
target,Pbrm1.3,0,-0.3263581058823301,26.82382128284564
target,Pbrm1.4,1277,-0.3094925513263716,60.533491425656784
target,Pcgf1.1,35054,0.1366059891878096,84.97851198591938
target,Pcgf1.2,4360,-0.26877484991993467,68.90175367149158
target,Pcgf1.3,1009,-0.3130320725644271,59.04094243548615
target,Pcgf1.4,705,-0.3170470518792364,56.837512994526286
target,Pcgf2.2,9259,-0.20407292997503212,74.50621791629604
target,Pcgf2.3,69091,0.5861383935896566,90.18176863523708
target,Pcgf2.4,143755,1.5722384447768796,95.03871599769528
target,Pcgf5.1,19993,-0.06230718008963018,80.52229137737487
target,Pcgf5.2,330,-0.3219997401787543,52.436060818101474
target,Pcgf5.3,12870,-0.1563818434428739,77.05249655901905
target,Pcgf5.4,21465,-0.042866227617922366,81.0861878166692
target,Pcgf6.1,1485,-0.306745460216239,61.50858425196266
target,Pcgf6.2,3004,-0.2866837708109916,66.25882100572923
target,Pcgf6.3,29535,0.06371562458770402,83.62228240012571
target,Pcgf6.4,791,-0.3159112353625469,57.53601848980172
target,Pcmt1.1,5592,-0.2525036179599184,70.71649113458976
target,Pcmt1.3,5640,-0.2518696738575801,70.77949567456075
target,Pcmt1.4,162063,1.8140352911437456,95.70518297285044
target,Phc1.1,92017,0.8889259454689863,92.21572402931889
target,Phc1.2,16166,-0.11285101508231075,78.84155015554903
target,Phc1.3,1164,-0.31098496140062637,59.94213954732282
target,Phc1.4,28593,0.05127447157931492,83.36496683686099
target,Phc2.1,0,-0.3263581058823301,26.82382128284564
target,Phc2.2,0,-0.3263581058823301,26.82382128284564
target,Phc3.1,1,-0.3263448987135314,29.680816114241992
target,Phc3.2,1,-0.3263448987135314,29.680816114241992
target,Phc3.3,0,-0.3263581058823301,26.82382128284564
target,Phf1.1,1940,-0.3007361984128239,63.27223127812177
target,Phf1.2,3224,-0.2837781936752744,66.75334710649096
target,Phf1.3,2953,-0.28735733641972605,66.13950342785269
target,Phf1.4,6990,-0.23403999597931543,72.37568524011873
target,Phf10.1,0,-0.3263581058823301,26.82382128284564
target,Phf10.2,0,-0.3263581058823301,26.82382128284564
target,Phf10.3,55,-0.3256317115984008,43.36953249948341
target,Phf17.1,0,-0.3263581058823301,26.82382128284564
target,Phf17.2,41829,0.22608455779910067,86.36642387658063
target,Phf19.1,10891,-0.18251883049552997,75.75526242016728
target,Phf19.2,15048,-0.1276166297992736,78.27733132466336
target,Phf19.3,38252,0.1788425150060987,85.66606331248909
target,Phf19.4,10762,-0.18422255527056416,75.66315636480718
target,Phf2.1,4509,-0.2668069817689262,69.14453077266789
target,Phf2.2,10970,-0.18147546416043153,75.81116327819774
target,Phf2.3,7482,-0.22754206893034787,72.88721161867394
target,Phf2.4,4,-0.32630527720713526,33.23328366732301
target,Phf20.1,0,-0.3263581058823301,26.82382128284564
target,Phf20.2,11903,-0.16915317567123087,76.44412863347108
target,Phf20.3,11638,-0.1726530754028902,76.26924431822253
target,Phf20.4,7223,-0.23096272564921494,72.62194636206296
target,Phf20l1.1,12258,-0.1644646307476872,76.67272933780329
target,Phf20l1.2,3773,-0.2765274580047801,67.86523668002474
target,Phf20l1.3,295464,3.575884816061065,98.30482821879049
target,Phf20l1.4,7871,-0.22240448026764792,73.27006598124787
target,Phf8.1,7964,-0.22117621356936745,73.35899524227023
target,Phf8.2,41597,0.22302049463779888,86.32297397167454
target,Phf8.3,28443,0.04929339625950774,83.32319807150714
target,Phip.1,5408,-0.25493373701888183,70.47028630805605
target,Phip.2,129197,1.3799684814051931,94.4093592099301
target,Phip.3,0,-0.3263581058823301,26.82382128284564
target,Phip.4,4902,-0.2616165644310314,69.75137219930558
