type,shRNA,count,ZScore,nbRawCount
control,Bcl6,19737,-0.056457453452326105,90.16041068544084
control,Bcl6.2,16841,-0.07408434009080637,89.72375951722923
control,Bcl6.3,2984,-0.15842680146836893,85.04860849631763
control,CD4.1,8150,-0.12698325990262682,87.74054869428119
control,CD4.2,2016,-0.16431866136686646,84.01776413187801
control,CD4.3,37047,0.04890214865820342,91.89730762064747
control,CD4.4,84470,0.33754850399544445,94.14904376996468
control,CDK9.1,52205,0.14116331843240368,92.84076246612838
control,CDK9.2,19591,-0.057346101742801976,90.13996204488147
control,CDK9.3,83464,0.3314253520761381,94.11682357742374
control,Ccnt1,2257212,13.562229763893546,99.9096862460758
control,Ccnt1.2,147757,0.7227531913882279,95.6195151320584
control,Ccnt1.3,81999,0.32250843601074664,94.06915988422887
control,Ccnt1.4,141106,0.6822710011145635,95.50146519152851
control,Cd14,19894,-0.05550185220845821,90.18223354470656
control,Cd14.2,6085,-0.1395521552439465,86.95059269746798
control,Cd19,10099,-0.11512041388798662,88.32357870020677
control,Cd19.3,0,-0.17658931173398534,65.14400204668351
control,Cd19.4,26,-0.1764310592986951,73.40744509782145
control,Fosb,0,-0.17658931173398534,65.14400204668351
control,Fosb.2,0,-0.17658931173398534,65.14400204668351
control,Hes1,7,-0.1765467053090995,70.57895040477288
control,Hes1.2,4934,-0.14655786882160216,86.38719506648506
control,Hes1.3,0,-0.17658931173398534,65.14400204668351
control,Id2,0,-0.17658931173398534,65.14400204668351
control,Id2.2,1,-0.17658322510185878,67.1754386017639
control,Id2.3,16319,-0.07726156206086394,89.63721698533243
control,Id2.4,0,-0.17658931173398534,65.14400204668351
control,Id2.5,0,-0.17658931173398534,65.14400204668351
control,Id3,588,-0.17301037204357567,80.85610187540631
control,Id3.2,0,-0.17658931173398534,65.14400204668351
control,Id3.3,0,-0.17658931173398534,65.14400204668351
control,Id3.4,930,-0.17092874385629658,82.0186247065807
control,Id3.5,465,-0.17375902779514096,80.26741625581747
control,Klf12,5699,-0.14190159524479368,86.77417739647491
control,Klf12.4,0,-0.17658931173398534,65.14400204668351
control,Klf12.5,12324,-0.10157765740641943,88.86727684479513
control,Klf2,579,-0.17306515173271458,80.81727790059293
control,Klf2.2,1,-0.17658322510185878,67.1754386017639
control,Klf2.3,0,-0.17658931173398534,65.14400204668351
control,Klf2.4,0,-0.17658931173398534,65.14400204668351
control,Klf2.5,0,-0.17658931173398534,65.14400204668351
control,Klf2.6,43,-0.1763275865525438,74.55012278442695
control,Klf2.7,5,-0.1765588785733526,69.90262698565456
control,Ms4a1,87806,0.3578535087696054,94.25304859509215
control,Ms4a1.2,19,-0.17647366572358095,72.70925726270438
control,Nfatc3.2,112659,0.5091245770106794,94.91555711485596
control,Nfatc3.3,5,-0.1765588785733526,69.90262698565456
control,Nfatc3.7,0,-0.17658931173398534,65.14400204668351
control,Nfatc3.8,0,-0.17658931173398534,65.14400204668351
target,Rpa3.1,148,-0.17568849017925636,77.45893995891308
target,Rpa3.2,167,-0.17557284416885197,77.75022688125594
target,Rpa3.3,1,-0.17658322510185878,67.1754386017639
target,Rpa3.4,63,-0.17620585391001287,75.43439497613325
control,Runx3,0,-0.17658931173398534,65.14400204668351
control,Runx3.2,3016,-0.15823202924031943,85.07680974924529
control,Runx3.3,747,-0.17204259753545467,81.46093266570473
target,Satb1.1,897,-0.17112960271647262,81.92641188978756
