type,shRNA,count,ZScore,nbRawCount
control,Bcl6,141666,2.708307108136227,97.10276272112284
control,Bcl6.2,8656,-0.2872747432953798,62.30575938599892
control,Bcl6.3,26538,0.1154543347235661,78.12942542688958
control,CD4.1,2,-0.4821756179836673,9.64287396682878
control,CD4.2,1079,-0.4579199856703688,38.98602143256082
control,CD4.3,6232,-0.3418668071091548,58.002224881618304
control,CD4.4,31528,0.22783651229400229,80.58474724676947
control,CDK9.1,50432,0.6535825413103401,86.96840747436848
control,CDK9.2,0,-0.4822206609406094,7.0087147077449705
control,CDK9.3,7688,-0.30907553445533614,60.7276539662106
control,Ccnt1,19186,-0.050123574995441296,73.45721786304799
control,Ccnt1.2,9703,-0.2636947553362121,63.84989394986893
control,Ccnt1.3,79,-0.4804414641413981,21.305938623795996
control,Ccnt1.4,9,-0.4820179676343701,13.035729404996474
control,Cd14,1,-0.48219813946213835,8.638498558565196
control,Cd14.2,10,-0.4819954461558991,13.338834002599848
control,Cd19,1,-0.48219813946213835,8.638498558565196
control,Cd19.3,0,-0.4822206609406094,7.0087147077449705
control,Cd19.4,3,-0.4821530965051963,10.39030170348573
control,Fosb,0,-0.4822206609406094,7.0087147077449705
control,Fosb.2,0,-0.4822206609406094,7.0087147077449705
control,Hes1,0,-0.4822206609406094,7.0087147077449705
control,Hes1.2,379,-0.47368502060008927,30.61785427472851
control,Hes1.3,1,-0.48219813946213835,8.638498558565196
control,Id2,0,-0.4822206609406094,7.0087147077449705
control,Id2.2,1,-0.48219813946213835,8.638498558565196
control,Id2.3,7774,-0.30713868730682764,60.87452960094664
control,Id2.4,0,-0.4822206609406094,7.0087147077449705
control,Id2.5,0,-0.4822206609406094,7.0087147077449705
control,Id3,20384,-0.023142843787148197,74.3301510267365
control,Id3.2,5,-0.48210805354825426,11.505616111761844
control,Id3.3,344,-0.4744732723465753,29.93898729843081
control,Id3.4,344,-0.4744732723465753,29.93898729843081
control,Id3.5,0,-0.4822206609406094,7.0087147077449705
target,Jmjd5.1,2242,-0.4317275062085617,46.100817250765836
target,Jmjd5.2,1161,-0.4560732244357444,39.648745721271744
target,Jmjd5.3,79404,1.3060748155730009,92.29211707712997
target,Jmjd5.4,22268,0.019287621652271,75.60504278916402
target,Jmjd6.1,10558,-0.24443889124348206,65.00655192852885
target,Jmjd6.2,76258,1.2352222443031426,91.8655405526917
target,Jmjd6.3,2071,-0.43557867902710773,45.27406956070296
target,Jmjd6.4,1215,-0.45485706459830877,40.06549501590461
target,Jmjd8.1,0,-0.4822206609406094,7.0087147077449705
target,Jmjd8.2,1,-0.48219813946213835,8.638498558565196
target,Jmjd8.3,0,-0.4822206609406094,7.0087147077449705
target,Kat2a.1,3,-0.4821530965051963,10.39030170348573
target,Kat2a.2,0,-0.4822206609406094,7.0087147077449705
target,Kat2a.3,28074,0.1500473256550671,78.93490370994523
target,Kat2b.1,3633,-0.4004001296553599,51.4306034277019
target,Kat2b.2,193299,3.871158606030883,98.6150312144294
target,Kat2b.3,59535,0.8585955598321198,89.03958287403
target,Kat2b.4,454,-0.4719959097147621,31.923902525744662
target,Kat5.1,14085,-0.16500563667616175,69.03573561161282
target,Kat5.2,113468,2.073246458210143,95.56152031728013
target,Kat5.3,380,-0.47366249912161823,30.636528052966337
target,Kat5.4,117714,2.1688726557981335,95.84356075360549
target,Kdm1a.1,21251,-0.003616721952765795,74.93085273133316
