type,shRNA,count,ZScore,nbRawCount
control,Bcl6,4175,-0.31988209613923585,61.715269144203376
control,Bcl6.2,4236,-0.3191079173233734,61.83767581285924
control,Bcl6.3,666,-0.3644164152353234,47.91576127105747
control,CD4.1,23,-0.37257702144187355,30.118958772322845
control,CD4.2,126,-0.37126980147410577,38.04522176445933
control,CD4.3,775,-0.3630330465315692,48.932335814851534
control,CD4.4,5679,-0.3007941463186272,64.3566669417983
control,CDK9.1,12974,-0.20820997481507666,71.89154622830853
control,CDK9.2,2198,-0.34497310464677794,56.51381662066925
control,CDK9.3,4337,-0.3178260802676011,62.03697615204575
control,Ccnt1,430,-0.3674115988507913,45.097138426504905
control,Ccnt1.2,12148,-0.2186931174692141,71.27023877335859
control,Ccnt1.3,25348,-0.051165898298978704,78.36561012089138
control,Ccnt1.4,30186,0.01023536581811212,80.07967024750552
control,Cd14,10496,-0.23965940277748904,69.90177519461113
control,Cd14.2,18967,-0.13215007902059023,75.53516276750806
control,Cd19,17255,-0.15387785168872986,74.61945630009707
control,Cd19.3,419,-0.36755120486676646,44.93545201698838
control,Cd19.4,8852,-0.260524156437782,68.32940633388672
control,Fosb,560,-0.3657617095710844,46.77863396933298
control,Fosb.2,0,-0.37286892492982165,18.182959573203693
control,Hes1,17,-0.37265317017786,28.913842274261164
control,Hes1.2,156,-0.3708890577941734,39.18646101813999
control,Hes1.3,412,-0.3676400450587507,44.83064556553065
control,Id2,103,-0.37156170496205393,36.99957023733319
control,Id2.2,2814,-0.3371551677521669,58.467571651661196
control,Id2.3,1030,-0.35979672525214423,50.89750433103505
control,Id2.4,2127,-0.3458741980226178,56.25877536577734
control,Id2.5,3188,-0.33240856320901024,59.47782401036616
control,Id3,67,-0.37201859737797277,34.86729254424345
control,Id3.2,0,-0.37286892492982165,18.182959573203693
control,Id3.3,90,-0.3717266938900246,36.316285120326185
control,Id3.4,2172,-0.3453030825027193,56.42126533885586
control,Id3.5,553,-0.36585054976306863,46.69716868497107
control,Klf12,1562,-0.3530448706613438,53.91319323374428
control,Klf12.4,86175,0.720817295675863,90.01072169804162
control,Klf12.5,2212,-0.3447954242628095,56.563257587818406
control,Klf2,2586,-0.34004881971965284,57.79245930840815
control,Klf2.2,573,-0.3655967206431137,46.92762338335588
control,Klf2.3,52,-0.37220896921793895,33.67173727803233
control,Klf2.4,0,-0.37286892492982165,18.182959573203693
control,Klf2.5,0,-0.37286892492982165,18.182959573203693
control,Klf2.6,55,-0.3721708948499457,33.932488687082454
control,Klf2.7,6561,-0.28960028212861605,65.62829602056988
control,Ms4a1,10253,-0.24274342658494108,69.6840967502467
control,Ms4a1.2,6105,-0.2953875860635878,64.99126493245802
control,Nfatc3.2,7880,-0.2728602516675902,67.270524776258
control,Nfatc3.3,9257,-0.2553841167586952,68.7398972600064
control,Nfatc3.7,1219,-0.3573980400685704,52.09745148180143
control,Nfatc3.8,0,-0.37286892492982165,18.182959573203693
target,Rpa3.1,5730,-0.3001468820627422,64.43482648483233
target,Rpa3.2,16073,-0.16887915267806458,73.93577659008042
target,Rpa3.3,6667,-0.288254987792855,65.77070739349918
target,Rpa3.4,19327,-0.127581154861402,75.71770101917056
control,Runx3,0,-0.37286892492982165,18.182959573203693
control,Runx3.2,0,-0.37286892492982165,18.182959573203693
control,Runx3.3,545,-0.36595208141105057,46.60296892036356
target,Satb1.1,33,-0.37245010688189606,31.636593702531336
target,Satb1.2,1623,-0.3522706918454814,54.19910497966327
target,Satb1.3,1450,-0.3544663137330913,53.362015959166506
target,Scmh1.1,13862,-0.196939961889079,72.52004314608229
target,Scmh1.2,73962,0.5658165435754019,88.65333021516929
target,Scmh1.3,6147,-0.2948545449116825,65.0516794613456
target,Scml2.1,18816,-0.13406648887624975,75.45761538419954
target,Scml2.2,45004,0.1982973607926991,83.98061759013908
target,Scml2.3,6285,-0.2931031239839937,65.24763009776865
target,Scml2.4,35635,0.0793911095498252,81.7070484398969
target,Scml4.1,3862,-0.3238545218665301,61.0612624582803
target,Scml4.2,50,-0.37223435212993444,33.49068885097745
target,Scml4.3,2898,-0.33608908544835636,58.70428192912951
target,Setd1a.1,0,-0.37286892492982165,18.182959573203693
target,Setd1a.2,619260,7.486442116233814,99.74640277354221
target,Setd1a.3,5434,-0.30390355303807476,63.97228255846089
target,Setd1a.4,11116,-0.23179070005888708,70.43703140361983
target,Setd2.1,202,-0.37030525081827714,40.61416527257896
target,Setd2.2,25843,-0.04488362758009488,78.55522455865274
target,Setd2.3,150782,1.540774193322181,94.43227873268528
target,Setd2.4,106487,0.9786061499020614,91.79785751232521
target,Setd3.1,125403,1.2186777315554078,93.08880102342101
target,Setd3.2,416,-0.3675892792347597,44.89072114759157
target,Setd3.3,96307,0.8494071278450163,90.96424032618852
target,Setd4.1,0,-0.37286892492982165,18.182959573203693
target,Setd4.2,162133,1.6848349103525857,94.9251721909099
target,Setd4.3,3238,-0.33177399040912303,59.60491753249237
target,Setd4.4,9209,-0.255993306646587,68.69210430993944
target,Setd5.1,0,-0.37286892492982165,18.182959573203693
target,Setd5.2,85655,0.7142177385570354,89.95793692669673
target,Setd5.3,0,-0.37286892492982165,18.182959573203693
