type,shRNA,count,ZScore,nbRawCount
target,Psip1.2,10715,0.004747787109620893,96.64700709040889
target,Mll3.2,9481,-0.006176987998379288,96.55179578448403
target,Prmt8.4,9302,-0.007761700108859054,96.53696418153676
target,Rbbp7.3,8830,-0.011940382321967714,96.49644426617596
target,L3mbtl1.3,6763,-0.030239823284882117,96.28898300075782
target,Pcgf6.3,6052,-0.03653440602539113,96.20261442496715
target,Pcmt1.4,5972,-0.03724265724795192,96.19226969089706
target,Kdm5c.1,5444,-0.04191711531685314,96.12032151143235
target,Kat5.4,4897,-0.04675978305111254,96.03804937296574
target,Mbd3.2,4386,-0.05128373773521958,95.9524655620338
target,Kdm5a.2,4382,-0.05131915029634762,95.95175717940037
target,Nap1l3.1,4358,-0.05153162566311586,95.94749331753074
target,Prmt2.4,4303,-0.0520185483786264,95.93763315878742
target,Pbrm1.2,4281,-0.052213317464830614,95.93365393095857
target,Phf8.2,4086,-0.05393967981982254,95.89746684465236
target,Morf4l1.2,4080,-0.0539927986615146,95.89632633012407
target,Paxip1.4,3963,-0.055028616074509755,95.87374634187998
target,Rbbp7.1,3791,-0.056551356203015456,95.83931786303074
target,Rbbp5.4,3782,-0.056631034465553544,95.8374738416776
target,Phf19.3,3666,-0.057657998738266686,95.81330775041957
target,Kat5.2,3512,-0.0590213823416962,95.78002256744817
target,Phc1.1,3024,-0.06334171479931702,95.66405106945965
target,Prdm1.2,2846,-0.06491757376951478,95.61705245554089
target,Mta2.2,2833,-0.06503266459318091,95.61350630205135
target,Kdm4d.2,2784,-0.0654664684669994,95.59999307666796
target,Mll2.1,2616,-0.06695379603437705,95.55179760466622
target,Mta3.1,2599,-0.06710429941917122,95.54675035988261
target,Ncoa1.1,2482,-0.06814011683216638,95.51109702930596
target,Mta2.1,2452,-0.06840571104062666,95.50168606171087
target,Ncor1.1,2320,-0.06957432555785197,95.45887092764428
target,Kdm4c.1,2273,-0.06999042315110644,95.44303938546706
target,Ring1.3,2249,-0.07020289851787467,95.43482930531115
target,Mll5.2,2184,-0.07077835263620531,95.41214881174196
target,Kdm3a.3,2149,-0.07108821254607565,95.3996568862167
target,Prmt5.2,2122,-0.07132724733368993,95.38988138464943
target,Mtf2.2,2116,-0.07138036617538199,95.38769227608587
target,Mll2.2,2101,-0.07151316327961213,95.38219241364386
target,Ncor1.4,2100,-0.07152201641989414,95.3818243710163
target,Ppargc1a.4,2078,-0.07171678550609836,95.37368307485892
target,Rbbp4.3,2046,-0.07200008599512267,95.36168704864109
target,L3mbtl1.4,1979,-0.07259324639401733,95.33595496683698
target,Kdm5d.3,1917,-0.07314214109150195,95.31136039765514
target,Kat2b.2,1882,-0.0734520010013723,95.29712511246865
target,Morf4l1.4,1821,-0.0739920425585749,95.27167476935996
target,Prdm5.1,1813,-0.07406286768083098,95.26827438669633
target,Jmjd6.2,1802,-0.07416025222393309,95.26357445061022
target,Kdm5c.2,1795,-0.07422222420590716,95.26056872508184
target,Myst4.1,1755,-0.07457634981718755,95.2431666466978
target,Parp1.3,1743,-0.07468258750057166,95.23786916371112
target,Psip1.3,1737,-0.07473570634226373,95.23520682532245
target,Kdm1a.2,1720,-0.0748862097270579,95.22761364870217
target,Pcmt1.1,1710,-0.074974741129878,95.22311218627662
target,Prdm15.4,1696,-0.07509868509382613,95.21676602845714
target,Prdm6.4,1629,-0.07569184549272079,95.18565657613645
target,Kdm1a.3,1621,-0.07576267061497687,95.18185741137285
target,Prdm1.4,1614,-0.07582464259695094,95.1785178403179
target,Kdm1b.1,1612,-0.07584234887751497,95.17756103581722
target,Prdm10.2,1609,-0.07586890829836099,95.17612361613558
target,Myst1.2,1555,-0.07634697787358952,95.14978479893288
target,L3mbtl4.2,1553,-0.07636468415415354,95.1487919331241
target,Prkaa2.3,1529,-0.07657715952092178,95.1367775205759
target,Kdm4c.2,1494,-0.07688701943079213,95.1189166085077
target,Prdm9.4,1463,-0.07716146677953444,95.10274657088024
target,Mbd4.1,1435,-0.07740935470743071,95.08784630255244
target,Mbd1.1,1428,-0.07747132668940478,95.0840761404011
target,Kdm2a.3,1421,-0.07753329867137884,95.08028758801893
target,Phf2.3,1405,-0.07767494891589101,95.07155800631928
target,Prmt3.3,1354,-0.0781264590702735,95.04305887376151
target,Kdm5d.1,1328,-0.07835664071760576,95.02811712986777
target,Msl3.3,1291,-0.07868420690804014,95.0063454853918
target,Kdm5a.1,1275,-0.07882585715255229,94.99673823740974
target,Jmjd5.3,1267,-0.07889668227480837,94.99188964830881
target,Psip1.1,1256,-0.07899406681791048,94.9851729901247
target,Mbd4.3,1222,-0.07929507358749881,94.9640370861692
target,Mtf2.1,1221,-0.07930392672778082,94.96340664249051
target,Myst1.3,1205,-0.07944557697229297,94.95324925194181
target,Mll1.2,1181,-0.07965805233906122,94.93775939842021
target,Kat2b.3,1170,-0.07975543688216333,94.93055518682593
target,Prkaa1.3,1143,-0.07999447166977759,94.91258316328071
target,Phf19.1,1114,-0.08025121273795588,94.8928044507367
target,Prdm8.1,1102,-0.08035745042134,94.88447027720203
target,Mll5.1,1061,-0.0807204291729024,94.85529972939834
target,Prmt1.2,1054,-0.08078240115487646,94.85020783115755
target,Prkcd.1,1041,-0.0808974919785426,94.84066178986629
target,Nap1l2.1,1041,-0.0808974919785426,94.84066178986629
target,Padi4.2,1005,-0.08121620502869495,94.81359606369686
target,Phf8.1,986,-0.08138441469405314,94.79892095027657
target,Padi4.3,981,-0.0814286803954632,94.79501243894995
target,Rnf20.2,979,-0.0814463866760272,94.7934434973493
target,Nap1l1.4,964,-0.08157918378025736,94.78157406501626
target,Mll2.4,961,-0.08160574320110339,94.77917820175885
target,Prkcd.3,944,-0.08175624658589756,94.76545988698905
target,Rbbp5.3,916,-0.08200413451379383,94.74232161635362
target,Morf4l1.3,913,-0.08203069393463985,94.73980101890355
target,Nap1l3.3,913,-0.08203069393463985,94.73980101890355
target,Padi1.2,878,-0.08234055384451021,94.70977137993857
target,Rbbp5.2,867,-0.08243793838761232,94.70008780306078
target,Mtf2.4,862,-0.08248220408902236,94.69564581836089
target,Rbbp7.2,855,-0.08254417607099643,94.68938390951274
target,Padi1.4,853,-0.08256188235156045,94.68758545013327
target,Nap1l2.4,851,-0.08257958863212447,94.68578280297953
target,Prmt5.3,842,-0.08265926689466256,94.67761853719259
target,Mll3.3,824,-0.08281862341973874,94.66102704056276
target,Mll3.4,798,-0.08304880506707099,94.63641561586537
target,Kat2a.3,789,-0.08312848332960908,94.62771057257837
target,Prkaa2.4,787,-0.0831461896101731,94.6257627462597
target,L3mbtl3.4,784,-0.08317274903101914,94.62283178156711
target,Mbd2.3,772,-0.08327898671440326,94.61099560972407
target,Padi6.4,768,-0.08331439927553129,94.60700963299
target,Ncoa3.2,765,-0.08334095869637732,94.60400661434454
target,Paxip1.1,757,-0.0834117838186334,94.59594109888924
target,Rbbp7.4,751,-0.08346490266032545,94.58983628808917
target,Padi6.1,748,-0.08349146208117149,94.58676571856088
target,Pcgf2.2,746,-0.08350916836173551,94.58471187890493
target,Paf1.3,731,-0.08364196546596565,94.56913172976601
target,Mbd4.4,725,-0.08369508430765772,94.56281070776194
target,Kdm1b.3,724,-0.08370393744793972,94.56175216239214
target,Kdm4d.1,706,-0.08386329397301591,94.54244628026994
target,Prkaa2.2,702,-0.08389870653414394,94.53808982343321
target,Ppargc1a.2,700,-0.08391641281470796,94.53590235463042
target,Pcgf1.2,675,-0.0841377413217582,94.50802354951125
target,Prdm10.1,645,-0.0844033355302185,94.47318475304549
target,Prmt7.3,641,-0.08443874809134655,94.46841860434103
target,Rbbp4.1,630,-0.08453613263444866,94.4551580327237
target,Phf20l1.1,628,-0.08455383891501267,94.45272237295949
target,Kdm4c.3,623,-0.08459810461642273,94.44659941252445
target,Phc1.2,622,-0.08460695775670474,94.44536897479267
target,Pcgf6.2,620,-0.08462466403726875,94.4429022037638
target,Phf20.4,619,-0.08463351717755076,94.44166585790926
target,Kdm3a.2,604,-0.08476631428178091,94.42287918608679
target,Ncoa1.2,563,-0.08512929303334331,94.3690670398182
target,Prmt3.1,555,-0.0852001181555994,94.3581151937918
target,Prmt3.4,554,-0.0852089712958814,94.35673522170288
target,Padi4.4,554,-0.0852089712958814,94.35673522170288
target,Kdm4d.4,544,-0.0852975026987015,94.34279806860843
target,Mta1.4,541,-0.08532406211954753,94.33856736417394
target,L3mbtl1.1,538,-0.08535062154039356,94.33431333704216
target,Kat5.3,526,-0.08545685922377769,94.31705874593158
target,Rnf217.1,522,-0.08549227178490572,94.31122038702905
target,Prmt2.1,511,-0.08558965632800783,94.29493326710457
target,Mbd1.4,503,-0.0856604814502639,94.28286828721637
target,Rnf40.4,503,-0.0856604814502639,94.28286828721637
target,Kdm2a.2,498,-0.08570474715167396,94.27523069688397
target,Orc1.2,489,-0.08578442541421205,94.26128947943216
target,Prdm5.4,486,-0.08581098483505807,94.25658582949306
target,L3mbtl1.2,482,-0.08584639739618612,94.25026932728271
target,Mta3.3,479,-0.08587295681703215,94.24549775845067
target,Jmjd5.2,469,-0.08596148821985224,94.22937581092924
target,Jmjd5.4,465,-0.08599690078098028,94.22283142686938
target,Pcmt1.3,463,-0.0860146070615443,94.21953828053657
target,Rnf40.2,456,-0.08607657904351837,94.20790018889775
target,Kdm6a.4,446,-0.08616511044633847,94.19096343552907
target,Phf20.2,437,-0.08624478870887656,94.17539540605735
target,Kdm2b.2,433,-0.0862802012700046,94.16837401170386
target,Ncoa1.3,426,-0.08634217325197867,94.15593045288273
