type,shRNA,count,nbRawCount
control,Bcl6,5175,49.57989846100803
control,Bcl6.2,5608,50.85881469493426
control,Bcl6.3,2419,38.71949513343536
control,CD4.1,2829,40.77141168869513
control,CD4.2,5443,50.3806386982928
control,CD4.3,3395,43.281121596215385
control,CD4.4,2860,40.91774915963436
control,CDK9.1,19774,73.43897190863385
control,CDK9.2,24600,77.5265757330849
control,CDK9.3,776,26.445512541246124
control,Ccnt1,13812,66.67944554691574
control,Ccnt1.2,10207,61.111796166434054
control,Ccnt1.3,36970,84.77174956118463
control,Ccnt1.4,13800,66.66319772482242
control,Cd14,118347,98.11055730798218
control,Cd14.2,10542,61.69641592083601
control,Cd19,4367,46.95969788666747
control,Cd19.3,71,11.732294714039769
control,Cd19.4,7180,54.942103372719366
control,Fosb,99371,97.032801585752
control,Fosb.2,941,28.22659103000032
control,Hes1,1,3.253139432337831
control,Hes1.2,1,3.253139432337831
control,Hes1.3,1959,36.1018694952359
control,Id2,23552,76.71811101909489
control,Id2.2,1450,32.64852363741932
control,Id2.3,4542,47.556177853204865
control,Id2.4,17786,71.43880992051945
control,Id2.5,2483,39.05520877751204
control,Id3,6804,54.034472167323166
control,Id3.2,920,28.0122501871149
control,Id3.3,4992,49.014894988280574
control,Id3.4,4110,46.050772547561515
control,Id3.5,4721,48.14884377024995
target,Jmjd5.1,20433,74.05663122711618
target,Jmjd5.2,1260,31.14455280449353
target,Jmjd5.3,11247,62.876194023447226
target,Jmjd5.4,99274,97.02584754908162
target,Jmjd6.1,1084,29.606441371879015
target,Jmjd6.2,40908,86.4384062683345
target,Jmjd6.3,6087,52.18840000342555
target,Jmjd6.4,42525,87.05791457040324
target,Jmjd8.1,0,2.42318140993552
target,Jmjd8.2,0,2.42318140993552
target,Jmjd8.3,2,3.810243940723803
target,Kat2a.1,3,4.245243993106578
target,Kat2a.2,0,2.42318140993552
target,Kat2a.3,60667,92.14546699509295
target,Kat2b.1,4188,46.33096492184493
target,Kat2b.2,18680,72.36503021543935
target,Kat2b.3,78376,95.02504173489913
target,Kat2b.4,6832,54.10341006450032
target,Kat5.1,5779,51.343152900858016
target,Kat5.2,22197,75.61168480943073
target,Kat5.3,2683,40.06645287134844
target,Kat5.4,105454,97.43604144378644
target,Kdm1a.1,13530,66.29413986221766
target,Kdm1a.2,5281,49.90028894844705
target,Kdm1a.3,80178,95.24518255489048
target,Kdm1a.4,46348,88.39252540647774
target,Kdm1b.1,42897,87.19556981857505
target,Kdm1b.2,4618,47.8099040754472
target,Kdm1b.3,1864,35.508928326071164
target,Kdm1b.4,18004,71.66891421298762
target,Kdm2a.1,462,22.180101990489288
target,Kdm2a.3,2651,39.90832167655156
target,Kdm2a.4,79825,95.20291217629358
target,Kdm2b.1,32450,82.53284909481607
target,Kdm2b.2,39165,85.72982510986316
target,Kdm2b.3,40038,86.09022308865427
target,Kdm2b.4,97449,96.89170772350862
target,Kdm3a.1,33084,82.87083846196683
target,Kdm3a.2,36298,84.4626478443073
target,Kdm3a.3,194402,99.66208327133486
target,Kdm3a.4,8644,58.148740120947984
target,Kdm3b.2,9771,60.32590751534528
target,Kdm3b.3,16040,69.48842532970386
target,Kdm3b.4,5606,50.85308338096092
target,Kdm4a.1,16168,69.6382945239024
target,Kdm4a.2,20381,74.00865508529655
target,Kdm4a.3,4701,48.083465584830165
target,Kdm4a.4,741,26.035561631258958
target,Kdm4b.1,2,3.810243940723803
target,Kdm4b.2,0,2.42318140993552
target,Kdm4b.3,24,8.14430584841856
target,Kdm4c.1,95142,96.7127914477941
target,Kdm4c.2,8111,57.03620136527795
target,Kdm4c.3,3200,42.452917029768585
target,Kdm4c.4,20187,73.8285285400313
target,Kdm4d.1,10261,61.207133074282815
target,Kdm4d.2,11081,62.604302916844944
target,Kdm4d.3,8013,56.82518787687528
target,Kdm4d.4,5769,51.315133879909624
target,Kdm5a.1,11221,62.8338407832232
target,Kdm5a.2,53584,90.49982042685284
target,Kdm5a.3,37999,85.23044621029956
target,Kdm5a.4,657,24.995663824746423
target,Kdm5b.1,4,4.608735476462381
target,Kdm5b.2,3831,45.01537416350896
target,Kdm5b.3,84542,95.73550273682169
target,Kdm5b.4,1338,31.77954085385311
target,Kdm5c.1,57711,91.5018470886717
target,Kdm5c.3,3781,44.82402733713843
target,Kdm5c.4,11973,64.02545181900378
target,Kdm5d.1,91065,96.36897296318386
target,Kdm5d.2,2973,41.44179029674099
target,Kdm5d.3,2078,36.81705213977464
target,Kdm5d.4,78,12.112389261801514
target,Kdm6a.1,2209,37.57206394007132
target,Kdm6a.2,50501,89.66182519098692
target,Kdm6a.3,592,24.128061661323365
target,Kdm6a.4,765,26.318033227642246
target,Kdm6b.1,3496,43.69665001135167
target,Kdm6b.2,15592,68.95465509841556
target,Kdm6b.3,11955,63.99771058103985
target,Kdm6b.4,12077,64.18501331628424
control,Klf12,32306,82.45489957096636
control,Klf12.4,12334,64.57412945948732
control,Klf12.5,16947,70.52625433792701
control,Klf2,78669,95.06158294565971
control,Klf2.2,12665,65.06473751336522
control,Klf2.3,3472,43.598705513522276
control,Klf2.4,7,5.460193443782936
control,Klf2.5,339,19.96431226039861
control,Klf2.6,22536,75.89529301860449
control,Klf2.7,54283,90.67871156372556
target,L3mbtl1.1,6261,52.65138033723813
target,L3mbtl1.2,22246,75.65296800598557
target,L3mbtl1.3,36378,84.49985192283657
target,L3mbtl1.4,4292,46.6986262425185
target,L3mbtl2.1,248,17.949805546506532
target,L3mbtl2.3,3364,43.151792511469985
target,L3mbtl2.4,5302,49.96318278874613
target,L3mbtl3.1,41223,86.56185637350103
target,L3mbtl3.2,4059,45.86544571647132
target,L3mbtl3.3,921,28.02253134019741
target,L3mbtl3.4,5582,50.784185339353094
target,L3mbtl4.1,18439,72.11982072153327
target,L3mbtl4.2,13736,66.57632206325934
target,L3mbtl4.3,9184,59.21971481568483
target,L3mbtl4.4,559,23.663027556066524
target,Mbd1.1,27646,79.66994451025988
target,Mbd1.2,38380,85.39595038936072
target,Mbd1.3,25711,78.34221258407129
target,Mbd1.4,15755,69.15054675358044
target,Mbd2.2,79143,95.12007656414376
target,Mbd2.3,15551,68.90507314506709
target,Mbd2.4,20867,74.4521075389259
target,Mbd3.1,8781,58.42558105048343
target,Mbd3.2,23367,76.57123433188588
target,Mbd3.3,6118,52.27162985548557
target,Mbd3.4,6724,53.83626780198717
target,Mbd4.1,14139,67.11724965023971
target,Mbd4.2,4912,48.762984888615165
target,Mbd4.3,31364,81.93383480915384
target,Mbd4.4,2500,39.143356015972294
target,Mecom.1,2920,41.19780344042265
target,Mecom.2,943,28.246835423635268
target,Mecom.3,891,27.710759863751388
target,Mecom.4,473,22.358126294197636
target,Mecp2.1,0,2.42318140993552
target,Mecp2.2,0,2.42318140993552
target,Mecp2.3,1,3.253139432337831
target,Men1.1,48239,88.99195060072383
target,Men1.3,17650,71.29382666046229
target,Men1.4,4457,47.26863269780018
target,Mll1.1,5028,49.12726374157543
target,Mll1.2,128371,98.50453281120252
target,Mll1.3,32228,82.41249128389065
target,Mll1.4,1099,29.74387418199736
target,Mll2.1,25353,78.08385334290841
target,Mll2.2,21661,75.15356122103177
target,Mll2.3,3011,41.61481848414641
target,Mll2.4,20747,74.34363300287178
target,Mll3.3,5119,49.40862565189161
target,Mll3.4,1562,33.47266700256878
target,Mll5.1,12657,65.05301646248738
target,Mll5.2,81326,95.3798617866861
target,Mll5.3,479,22.45407109391893
target,Mll5.4,28405,80.16109586851555
target,Morf4l1.2,44839,87.88632396636022
target,Morf4l1.3,2665,39.977669550346214
target,Morf4l1.4,28186,80.02100677477011
control,Ms4a1,30351,81.35104877987874
control,Ms4a1.2,6603,53.53293137387386
target,Msl3.1,488,22.596499347601068
target,Msl3.2,452,22.01579744139152
target,Msl3.3,8957,58.77604107033788
target,Msl3.4,1166,30.342666643415505
target,Mta1.1,9522,59.86367660121824
target,Mta1.2,15368,68.6822351700063
target,Mta1.3,8780,58.423573265408734
target,Mta1.4,23338,76.54809375182802
target,Mta2.1,13491,66.24027330791512
target,Mta2.2,11975,64.02853189402573
target,Mta2.3,472,22.342056857854367
target,Mta2.4,2935,41.26717487977929
target,Mta3.1,20776,74.36990831337535
target,Mta3.2,295,19.041947887081314
target,Mta3.3,350,20.182356672890887
target,Mta3.4,1874,35.572316750911654
target,Mtf2.1,4368,46.96315632667458
target,Mtf2.3,37619,85.06306835265201
target,Mtf2.4,3239,42.62140945598934
target,Myst1.1,1749,34.76244551700002
target,Myst1.2,13574,66.35474169134264
target,Myst1.3,30324,81.33518499258197
target,Myst1.4,11311,62.98008491524135
target,Myst2.1,4175,46.284534878687836
target,Myst2.2,6791,54.002389263052585
target,Myst2.3,7316,55.261111041711196
target,Myst2.4,14406,67.46780646342427
target,Myst3.1,923,28.043071073710724
target,Myst3.2,6505,53.28404210647156
target,Myst3.3,532,23.26871871875386
target,Myst3.4,143,14.88253686434362
target,Myst4.1,9006,58.8725964592188
target,Myst4.3,25546,78.22365265141423
target,Myst4.4,38027,85.24268760754897
target,Nap1l1.1,1845,35.38783809829198
target,Nap1l1.2,8524,57.9032674601094
target,Nap1l1.3,174,15.910135899993449
target,Nap1l1.4,10003,60.747710164588995
target,Nap1l2.1,11156,62.7275818704264
target,Nap1l2.2,1313,31.578834780647146
target,Nap1l2.3,6106,52.23945068232759
target,Nap1l2.4,6158,52.37854170480898
target,Nap1l3.1,162111,99.30732382309512
target,Nap1l3.2,13118,65.71777086819294
target,Nap1l3.3,29417,80.79192452567602
target,Nap1l3.4,4935,48.83572325572284
target,Ncoa1.1,49094,89.250964546864
target,Ncoa1.2,21087,74.64927329132942
target,Ncoa1.3,19403,73.08176753271799
target,Ncoa1.4,49645,89.41409837801676
target,Ncoa3.1,2346,38.32885238442101
target,Ncoa3.2,16363,69.86441722859095
target,Ncoa3.3,1957,36.08959456967423
target,Ncoa3.4,16509,70.03201263971035
target,Ncor1.1,16435,69.94724803628698
target,Ncor1.3,1645,34.057574716454134
target,Ncor1.4,25894,78.47268636862223
