type,shRNA,count,pctg
target,Chd1.1,27810,3.0342639427755933
target,Asxl2.4,23895,2.6071102809285436
target,Cbx3.4,11857,1.2936809625850487
target,Cbx3.1,10837,1.182391885935243
target,Hells.4,10223,1.1154002260695752
target,Elp4.4,7569,0.8258304129042958
target,Chd1.3,6619,0.7221788219069274
target,Asxl3.1,5679,0.6196183002884788
target,Baz1b.2,5477,0.5975786988343015
target,Jarid2.2,4683,0.5109477901480799
target,Hdac8.1,4506,0.4916358621412018
target,Chd8.2,4375,0.4773428532773542
target,Chd3.1,3573,0.38983908908799697
target,Brd1.2,3285,0.3584162909751105
target,Hdac2.3,3013,0.3287392038684956
target,Asxl2.1,2907,0.3171738684519471
target,Baz2b.1,2756,0.30069872083026017
target,Arid2.2,2679,0.2922974866125787
target,Brwd3.2,2612,0.28498732177381697
target,Cbx3.3,2584,0.2819323275128419
target,Dnmt3b.2,2578,0.28127768588549007
target,Ehmt1.3,2559,0.27920465406554273
target,Jmjd1c.2,2335,0.25476469997774215
target,Hltf.3,2276,0.24832739064211615
target,Carm1.2,2215,0.2416718674307062
target,Hat1.1,2039,0.22246904636172007
target,Brd8.3,1977,0.21570441621241812
target,Aurkb.1,1938,0.2114492456346314
target,Cbx7.1,1922,0.20970353462835994
target,Bmi1.4,1909,0.20828514443576437
target,Ash1l.3,1865,0.20348443916851783
target,Dnmt1.2,1811,0.19759266452235164
target,Jmjd1c.4,1712,0.18679107767104697
target,Hells.2,1645,0.17948091283228518
target,Baz1a.4,1644,0.17937180589439322
target,Brd3.2,1562,0.17042503698725195
target,Atr.3,1552,0.16933396760833228
target,Dnmt3a.4,1528,0.16671540109892508
target,Hdac10.2,1521,0.1659516525336813
target,Brwd1.1,1516,0.1654061178442215
target,Hira.4,1504,0.16409683458951788
target,Atm.2,1486,0.16213290970746247
target,Epc1.3,1471,0.160496305639083
target,Dot1l.1,1435,0.15656845587497217
target,Ash1l.1,1389,0.15154953673194171
target,Brd9.2,1322,0.14423937189317995
target,Cbx1.4,1298,0.14162080538377275
target,Dub2a.1,1287,0.1404206290669611
target,Cxxc1.4,1280,0.13965688050171735
target,Cbx2.2,1245,0.13583813767549852
target,Ing4.3,1241,0.13540170992393064
target,Dnmt3a.3,1164,0.1270004757062492
target,Cbx5.1,1163,0.12689136876835724
target,Hdac8.4,1134,0.1237272675694902
target,Chd1.4,1128,0.1230726259421384
target,Chd8.1,1098,0.11979941780537941
target,Fbxl19.2,1081,0.11794459986121597
target,Chd9.4,1072,0.11696263742018828
target,Chd9.3,1061,0.11576246110337665
target,Atad2b.1,1057,0.11532603335180878
target,Chaf1b.1,1049,0.11445317784867304
target,Cbx4.2,1026,0.11194371827715781
target,Ing2.2,1024,0.11172550440137388
target,Brwd1.3,1006,0.10976157951931846
target,Aff4.3,996,0.10867051014039882
target,Ing3.3,987,0.10768854769937111
target,Chd4.4,978,0.10670658525834341
target,Cbx1.2,952,0.10386980487315227
target,Brwd3.1,950,0.10365159099736834
target,Brd8.4,939,0.10245141468055671
target,Asxl1.4,937,0.10223320080477277
target,Brd2.1,889,0.09699606778595837
target,Crebbp.3,888,0.09688696084806642
target,Gtf3c4.4,867,0.0945957151523351
target,Hdac6.4,858,0.09361375271130741
target,Cbx8.2,847,0.09241357639449577
target,Ino80.1,828,0.0903405445745484
target,Ehmt2.2,815,0.08892215438195283
target,Ing2.4,798,0.08706733643778941
target,Cbx7.3,794,0.08663090868622154
target,Chd9.1,765,0.08346680748735451
target,Cbx4.4,762,0.0831394866736786
target,Ing5.2,736,0.08030270628848747
target,Jarid2.3,727,0.07932074384745978
target,Chd2.4,716,0.07812056753064814
target,Atad2.3,715,0.07801146059275618
target,Elp4.2,703,0.07670217733805257
target,Ing4.4,698,0.07615664264859275
target,Gtf2f1.4,697,0.07604753571070078
target,Hes6.3,691,0.07539289408334897
target,Ash1l.2,656,0.07157415125713014
target,Baz2a.1,654,0.07135593738134621
target,Bptf.2,647,0.07059218881610244
target,Asxl2.3,618,0.0674280876172354
target,Atm.3,618,0.0674280876172354
target,Ezh1.2,613,0.06688255292777556
target,Ing2.1,597,0.06513684192150411
target,Aff1.3,555,0.060554350530041504
target,Cbx5.2,554,0.06044524359214954
target,Chd2.1,550,0.060008815840581674
target,Dnmt3a.1,546,0.0595723880890138
target,Atr.1,519,0.056626500765930704
target,Hdac2.1,515,0.05619007301436283
target,Elp4.3,502,0.05477168282176727
target,Baz2a.4,478,0.05215311631236007
target,Ehmt2.3,474,0.05171668856079221
target,Jarid2.1,474,0.05171668856079221
target,Cbx8.3,472,0.05149847468500827
target,Gadd45a.4,464,0.050625619181872535
target,Ezh2.4,460,0.05018919143030467
target,Chd8.3,458,0.049970977554520735
target,Ino80.2,453,0.0494254428650609
target,Hells.1,440,0.048007052672465335
target,Ing3.2,437,0.04767973185878943
target,Ing3.1,434,0.047352411045113535
target,Ep400.1,424,0.04626134166619387
target,Brd9.3,414,0.0451702722872742
target,Brd4.4,409,0.044624737597814365
