Protein1,Protein2,Score
7403|KDM6A|O15550,58508|MLL3|Q8NEZ4,103.0052755
57492|ARID1B|Q8NFD5,6604|SMARCD3|Q6STE5,102.0044086
8289|ARID1A|O14497,86|ACTL6A|O96019,100.8097497
8289|ARID1A|O14497,6601|SMARCC2|Q8TAQ2,100.7288512
6601|SMARCC2|Q8TAQ2,6597|SMARCA4|P51532,99.88919902
6599|SMARCC1|Q92922,6604|SMARCD3|Q6STE5,99.85265566
57492|ARID1B|Q8NFD5,6602|SMARCD1|Q96GM5,99.81075232
86|ACTL6A|O96019,6595|SMARCA2|P51531,99.75703504
6595|SMARCA2|P51531,6601|SMARCC2|Q8TAQ2,99.62755261
8289|ARID1A|O14497,57492|ARID1B|Q8NFD5,99.52562501
83746|L3MBTL2|Q969R5,84108|PCGF6|Q9BYE7,98.90767694
84148|KAT8|Q9H7Z6,10943|MSL3|Q8N5Y2,97.0556133
6597|SMARCA4|P51532,6604|SMARCD3|Q6STE5,96.81033096
7403|KDM6A|O15550,22976|PAXIP1|Q6ZW49,92.68574799
86|ACTL6A|O96019,6599|SMARCC1|Q92922,92.66063998
86|ACTL6A|O96019,6601|SMARCC2|Q8TAQ2,90.3408799
27154|BRPF3|Q9ULD4,51147|ING4|Q9UNL4,90.33374565
9219|MTA2|O94776,9112|MTA1|Q13330,89.71011575
6603|SMARCD2|Q92925,57492|ARID1B|Q8NFD5,89.57093567
11091|WDR5|P61964,30827|CXXC1|Q9P0U4,88.62450055
86|ACTL6A|O96019,6597|SMARCA4|P51532,88.34026342
6015|RING1|Q06587,84108|PCGF6|Q9BYE7,88.13705935
9070|ASH2L|Q9UBL3,8085|MLL2|O14686,88.01548073
57332|CBX8|Q9HC52,648|BMI1|P35226,87.38236924
5929|RBBP5|Q15291,84661|DPY30|Q9C005,86.68614635
6605|SMARCE1|Q969G3,57492|ARID1B|Q8NFD5,85.57610243
9739|SETD1A|O15047,9070|ASH2L|Q9UBL3,85.37490888
86|ACTL6A|O96019,6604|SMARCD3|Q6STE5,85.06454574
6601|SMARCC2|Q8TAQ2,6604|SMARCD3|Q6STE5,84.99693976
53615|MBD3|O95983,9219|MTA2|O94776,84.03921206
11143|KAT7|O95251,84289|ING5|Q8WYH8,82.52590779
23512|SUZ12|Q15022,5928|RBBP4|Q09028,82.01368422
23774|BRD1|O95696,23522|KAT6B|Q8WYB5,80.9322666
9070|ASH2L|Q9UBL3,58508|MLL3|Q8NEZ4,80.1255035
11335|CBX3|Q13185,83746|L3MBTL2|Q969R5,79.86602782
5929|RBBP5|Q15291,30827|CXXC1|Q9P0U4,79.53984736
7862|BRPF1|P55201,7994|KAT6A|Q92794,78.97847725
6598|SMARCB1|Q12824,29117|BRD7|Q9NPI1,78.18315554
6015|RING1|Q06587,57332|CBX8|Q9HC52,77.74634152
5929|RBBP5|Q15291,8085|MLL2|O14686,77.48889566
11091|WDR5|P61964,84661|DPY30|Q9C005,76.78961569
9112|MTA1|Q13330,5928|RBBP4|Q09028,76.60379519
7703|PCGF2|P35227,648|BMI1|P35226,76.60330569
23512|SUZ12|Q15022,2145|EZH1|Q92800,75.87472312
6599|SMARCC1|Q92922,57492|ARID1B|Q8NFD5,74.44555708
84289|ING5|Q8WYH8,7862|BRPF1|P55201,73.61914241
27154|BRPF3|Q9ULD4,7994|KAT6A|Q92794,73.56545596
27154|BRPF3|Q9ULD4,7862|BRPF1|P55201,73.47675525
11335|CBX3|Q13185,84108|PCGF6|Q9BYE7,73.39692412
23309|SIN3B|O75182,10933|MORF4L1|Q9UBU8,73.30119912
53615|MBD3|O95983,9112|MTA1|Q13330,73.09104911
56981|PRDM11|Q9NQV5,2962|GTF2F1|P35269,72.81025232
5928|RBBP4|Q09028,2146|EZH2|Q15910,72.61316737
53615|MBD3|O95983,5928|RBBP4|Q09028,72.59908677
8726|EED|O75530,2145|EZH1|Q92800,72.55595504
6605|SMARCE1|Q969G3,29117|BRD7|Q9NPI1,72.44814137
5927|KDM5A|P29375,10933|MORF4L1|Q9UBU8,72.18298526
8726|EED|O75530,5928|RBBP4|Q09028,71.82874714
6597|SMARCA4|P51532,57492|ARID1B|Q8NFD5,71.82258884
7862|BRPF1|P55201,51147|ING4|Q9UNL4,71.47548774
22823|MTF2|Q9Y483,5252|PHF1|O43189,71.21490281
84289|ING5|Q8WYH8,23522|KAT6B|Q8WYB5,70.4324723
84456|L3MBTL3|Q96JM7,51460|SFMBT1|Q9UHJ3,69.80852546
387893|SETD8|Q9NQR1,10951|CBX1|P83916,69.49720903
58508|MLL3|Q8NEZ4,8085|MLL2|O14686,68.59988162
22823|MTF2|Q9Y483,2145|EZH1|Q92800,68.4104348
6015|RING1|Q06587,84759|PCGF1|Q9BSM1,67.65323223
57332|CBX8|Q9HC52,22955|SCMH1|Q96GD3,67.272362
23468|CBX5|P45973,8208|CHAF1B|Q13112,67.25805471
6604|SMARCD3|Q6STE5,29117|BRD7|Q9NPI1,67.1607709
84759|PCGF1|Q9BSM1,84333|PCGF5|Q86SE9,66.96999806
51147|ING4|Q9UNL4,7994|KAT6A|Q92794,66.93311698
57332|CBX8|Q9HC52,6045|RNF2|Q99496,66.64473068
6602|SMARCD1|Q96GM5,29117|BRD7|Q9NPI1,66.52833643
9070|ASH2L|Q9UBL3,22976|PAXIP1|Q6ZW49,66.38009133
6015|RING1|Q06587,7703|PCGF2|P35227,66.2406488
5929|RBBP5|Q15291,58508|MLL3|Q8NEZ4,65.95571905
6603|SMARCD2|Q92925,29117|BRD7|Q9NPI1,65.86767554
79813|EHMT1|Q9H9B1,10919|EHMT2|Q96KQ7,65.54888684
84333|PCGF5|Q86SE9,648|BMI1|P35226,65.51601859
6595|SMARCA2|P51531,29117|BRD7|Q9NPI1,65.29048253
22823|MTF2|Q9Y483,5928|RBBP4|Q09028,64.89154743
84759|PCGF1|Q9BSM1,648|BMI1|P35226,64.64463642
84289|ING5|Q8WYH8,7994|KAT6A|Q92794,64.6405443
6601|SMARCC2|Q8TAQ2,57492|ARID1B|Q8NFD5,64.27677923
9739|SETD1A|O15047,30827|CXXC1|Q9P0U4,63.73085905
7703|PCGF2|P35227,84759|PCGF1|Q9BSM1,63.52070495
6015|RING1|Q06587,84333|PCGF5|Q86SE9,63.14785295
8289|ARID1A|O14497,29117|BRD7|Q9NPI1,62.79512352
84678|KDM2B|Q8NHM5,84759|PCGF1|Q9BSM1,62.2762681
57332|CBX8|Q9HC52,7703|PCGF2|P35227,62.17027594
7862|BRPF1|P55201,23774|BRD1|O95696,61.60370002
27154|BRPF3|Q9ULD4,23774|BRD1|O95696,61.44123518
10036|CHAF1A|Q13111,23468|CBX5|P45973,61.38033219
