Protein1,Protein2,Score
9112|MTA1|Q13330,2146|EZH2|Q15910,28.3209322
9219|MTA2|O94776,1107|CHD3|Q12873,28.28051386
6015|RING1|Q06587,11091|WDR5|P61964,28.10442122
8932|MBD2|Q9UBB5,3066|HDAC2|Q92769,27.98329353
8726|EED|O75530,9112|MTA1|Q13330,27.96668055
5929|RBBP5|Q15291,3054|HCFC1|P51610,27.90473976
57332|CBX8|Q9HC52,84108|PCGF6|Q9BYE7,27.89590802
22823|MTF2|Q9Y483,9112|MTA1|Q13330,27.83712896
5252|PHF1|O43189,9219|MTA2|O94776,27.82186993
23468|CBX5|P45973,10919|EHMT2|Q96KQ7,27.72885606
84289|ING5|Q8WYH8,51147|ING4|Q9UNL4,27.51741305
7403|KDM6A|O15550,3054|HCFC1|P51610,27.46990256
1108|CHD4|Q14839,2186|BPTF|Q12830,27.22661411
65980|BRD9|Q9H8M2,6604|SMARCD3|Q6STE5,27.04481068
55274|PHF10|Q8WUB8,6604|SMARCD3|Q6STE5,26.88806551
2145|EZH1|Q92800,2146|EZH2|Q15910,26.72914684
5252|PHF1|O43189,2186|BPTF|Q12830,26.56767277
9739|SETD1A|O15047,80335|WDR82|Q6UXN9,26.5035116
6595|SMARCA2|P51531,65980|BRD9|Q9H8M2,26.34478656
4221|MEN1|O00255,58508|MLL3|Q8NEZ4,26.2612977
84733|CBX2|Q14781,22955|SCMH1|Q96GD3,26.21419943
6605|SMARCE1|Q969G3,55274|PHF10|Q8WUB8,26.19642427
25942|SIN3A|Q96ST3,2186|BPTF|Q12830,26.18138228
23466|CBX6|O95503,80012|PHC3|Q8NDX5,26.17430238
23468|CBX5|P45973,6839|SUV39H1|O43463,26.16640511
25942|SIN3A|Q96ST3,9112|MTA1|Q13330,26.02988152
6045|RNF2|Q99496,80012|PHC3|Q8NDX5,26.01458297
11335|CBX3|Q13185,10919|EHMT2|Q96KQ7,25.85314111
6015|RING1|Q06587,22955|SCMH1|Q96GD3,25.82909052
65980|BRD9|Q9H8M2,29117|BRD7|Q9NPI1,25.81286373
5929|RBBP5|Q15291,22992|KDM2A|Q9Y2K7,25.80652981
5929|RBBP5|Q15291,4221|MEN1|O00255,25.74390289
84733|CBX2|Q14781,7703|PCGF2|P35227,25.65901159
6595|SMARCA2|P51531,55274|PHF10|Q8WUB8,25.64419759
53615|MBD3|O95983,1107|CHD3|Q12873,25.62198777
6602|SMARCD1|Q96GM5,65980|BRD9|Q9H8M2,25.47993202
8289|ARID1A|O14497,65980|BRD9|Q9H8M2,25.40741666
4221|MEN1|O00255,7403|KDM6A|O15550,25.3745964
8932|MBD2|Q9UBB5,8467|SMARCA5|O60264,25.3301445
196528|ARID2|Q68CP9,65980|BRD9|Q9H8M2,25.21605158
4221|MEN1|O00255,11091|WDR5|P61964,25.19532428
57504|MTA3|Q9BTC8,8467|SMARCA5|O60264,25.16972107
1108|CHD4|Q14839,3066|HDAC2|Q92769,25.06003572
8932|MBD2|Q9UBB5,84661|DPY30|Q9C005,24.99641006
6599|SMARCC1|Q92922,55274|PHF10|Q8WUB8,24.91748761
1911|PHC1|P78364,6045|RNF2|Q99496,24.85192276
57504|MTA3|Q9BTC8,84661|DPY30|Q9C005,24.82458161
57492|ARID1B|Q8NFD5,65980|BRD9|Q9H8M2,24.77114433
84733|CBX2|Q14781,23466|CBX6|O95503,24.73865425
57332|CBX8|Q9HC52,8535|CBX4|O00257,24.73400707
79960|PHF17|Q6IE81,23774|BRD1|O95696,24.68773309
23512|SUZ12|Q15022,1108|CHD4|Q14839,24.66384725
23468|CBX5|P45973,1108|CHD4|Q14839,24.63415896
53615|MBD3|O95983,5252|PHF1|O43189,24.54999504
84759|PCGF1|Q9BSM1,1911|PHC1|P78364,24.26663865
57713|SFMBT2|Q5VUG0,84456|L3MBTL3|Q96JM7,24.02195574
8289|ARID1A|O14497,55274|PHF10|Q8WUB8,24.01309639
4221|MEN1|O00255,22976|PAXIP1|Q6ZW49,23.97646277
53615|MBD3|O95983,3065|HDAC1|Q13547,23.90965325
84733|CBX2|Q14781,1911|PHC1|P78364,23.77725455
5928|RBBP4|Q09028,1107|CHD3|Q12873,23.76932609
30827|CXXC1|Q9P0U4,80335|WDR82|Q6UXN9,23.657448
7703|PCGF2|P35227,8535|CBX4|O00257,23.58046285
3431|SP110|Q9HB58,23411|SIRT1|Q96EB6,23.57124282
23466|CBX6|O95503,6045|RNF2|Q99496,23.54699306
84733|CBX2|Q14781,57332|CBX8|Q9HC52,23.31989585
84733|CBX2|Q14781,80012|PHC3|Q8NDX5,23.2848772
84733|CBX2|Q14781,648|BMI1|P35226,23.22656466
10919|EHMT2|Q96KQ7,10951|CBX1|P83916,23.19146738
57332|CBX8|Q9HC52,84678|KDM2B|Q8NHM5,23.18462274
58508|MLL3|Q8NEZ4,30827|CXXC1|Q9P0U4,23.16795373
389856|USP27X|A6NNY8,8850|KAT2B|Q92831,23.1310854
57492|ARID1B|Q8NFD5,55274|PHF10|Q8WUB8,22.91523086
9112|MTA1|Q13330,1107|CHD3|Q12873,22.87166421
6603|SMARCD2|Q92925,65980|BRD9|Q9H8M2,22.86314077
5252|PHF1|O43189,1107|CHD3|Q12873,22.84121721
2186|BPTF|Q12830,8467|SMARCA5|O60264,22.82725316
1911|PHC1|P78364,84333|PCGF5|Q86SE9,22.78984021
9219|MTA2|O94776,8467|SMARCA5|O60264,22.78067626
53615|MBD3|O95983,8520|HAT1|O14929,22.70854281
4221|MEN1|O00255,8085|MLL2|O14686,22.70538072
58508|MLL3|Q8NEZ4,3054|HCFC1|P51610,22.64378789
9219|MTA2|O94776,8520|HAT1|O14929,22.59263265
3066|HDAC2|Q92769,2186|BPTF|Q12830,22.57327653
6594|SMARCA1|P28370,2186|BPTF|Q12830,22.52449168
1107|CHD3|Q12873,6594|SMARCA1|P28370,22.51119662
84678|KDM2B|Q8NHM5,1911|PHC1|P78364,22.4790494
11335|CBX3|Q13185,23466|CBX6|O95503,22.38050561
9219|MTA2|O94776,84661|DPY30|Q9C005,22.26970491
8932|MBD2|Q9UBB5,6594|SMARCA1|P28370,22.2694341
84333|PCGF5|Q86SE9,80012|PHC3|Q8NDX5,22.24306926
57504|MTA3|Q9BTC8,6594|SMARCA1|P28370,22.17269971
9112|MTA1|Q13330,8520|HAT1|O14929,22.15423976
11335|CBX3|Q13185,6839|SUV39H1|O43463,22.12581648
1108|CHD4|Q14839,2146|EZH2|Q15910,21.98062159
23492|CBX7|O95931,648|BMI1|P35226,21.87572439
79960|PHF17|Q6IE81,23522|KAT6B|Q8WYB5,21.80547919
84333|PCGF5|Q86SE9,6045|RNF2|Q99496,21.78052779
86|ACTL6A|O96019,55274|PHF10|Q8WUB8,21.76375362
84733|CBX2|Q14781,84759|PCGF1|Q9BSM1,21.75448867
6601|SMARCC2|Q8TAQ2,55274|PHF10|Q8WUB8,21.72593027
23309|SIN3B|O75182,10902|BRD8|Q9H0E9,21.64907832
6598|SMARCB1|Q12824,65980|BRD9|Q9H8M2,21.52234779
3720|JARID2|Q92833,23512|SUZ12|Q15022,21.52119456
10933|MORF4L1|Q9UBU8,3066|HDAC2|Q92769,21.40832325
8726|EED|O75530,1107|CHD3|Q12873,21.3580798
22823|MTF2|Q9Y483,1107|CHD3|Q12873,21.27676623
22976|PAXIP1|Q6ZW49,30827|CXXC1|Q9P0U4,21.22185041
5252|PHF1|O43189,9112|MTA1|Q13330,21.19171148
1912|PHC2|Q8IXK0,23466|CBX6|O95503,21.07636528
6015|RING1|Q06587,23466|CBX6|O95503,21.06071343
23468|CBX5|P45973,79813|EHMT1|Q9H9B1,20.8549137
1108|CHD4|Q14839,1107|CHD3|Q12873,20.79661735
22976|PAXIP1|Q6ZW49,3054|HCFC1|P51610,20.75491661
84333|PCGF5|Q86SE9,11335|CBX3|Q13185,20.7460607
9219|MTA2|O94776,6594|SMARCA1|P28370,20.7253607
4204|MECP2|P51608,6672|SP100|P23497,20.68109544
11335|CBX3|Q13185,6045|RNF2|Q99496,20.60971998
84759|PCGF1|Q9BSM1,80012|PHC3|Q8NDX5,20.53540378
53615|MBD3|O95983,84661|DPY30|Q9C005,20.50108929
9739|SETD1A|O15047,58508|MLL3|Q8NEZ4,20.44950556
5931|RBBP7|Q16576,2145|EZH1|Q92800,20.37406994
150572|SMYD1|Q8NB12,11335|CBX3|Q13185,20.32566388
84733|CBX2|Q14781,6045|RNF2|Q99496,20.30774024
84661|DPY30|Q9C005,2186|BPTF|Q12830,20.06794887
6597|SMARCA4|P51532,55274|PHF10|Q8WUB8,20.05687448
8085|MLL2|O14686,30827|CXXC1|Q9P0U4,19.9638661
8726|EED|O75530,1108|CHD4|Q14839,19.929096
2146|EZH2|Q15910,1107|CHD3|Q12873,19.81216905
79813|EHMT1|Q9H9B1,10951|CBX1|P83916,19.80693557
22823|MTF2|Q9Y483,1108|CHD4|Q14839,19.80587671
6015|RING1|Q06587,8535|CBX4|O00257,19.74602657
84759|PCGF1|Q9BSM1,11335|CBX3|Q13185,19.6979853
3720|JARID2|Q92833,8726|EED|O75530,19.64950807
84733|CBX2|Q14781,84333|PCGF5|Q86SE9,19.6456768
23028|KDM1A|O60341,3066|HDAC2|Q92769,19.6299478
8085|MLL2|O14686,3054|HCFC1|P51610,19.49957804
9112|MTA1|Q13330,8467|SMARCA5|O60264,19.46745651
648|BMI1|P35226,11335|CBX3|Q13185,19.44727505
84759|PCGF1|Q9BSM1,1912|PHC2|Q8IXK0,19.4278917
23309|SIN3B|O75182,3066|HDAC2|Q92769,19.33008159
22955|SCMH1|Q96GD3,23466|CBX6|O95503,19.14643156
5927|KDM5A|P29375,5931|RBBP7|Q16576,19.14287118
8535|CBX4|O00257,80335|WDR82|Q6UXN9,19.08140379
648|BMI1|P35226,8535|CBX4|O00257,19.07934668
84333|PCGF5|Q86SE9,1912|PHC2|Q8IXK0,19.05491535
53615|MBD3|O95983,8467|SMARCA5|O60264,19.0402812
84678|KDM2B|Q8NHM5,80012|PHC3|Q8NDX5,18.93869696
5931|RBBP7|Q16576,10933|MORF4L1|Q9UBU8,18.87318525
23512|SUZ12|Q15022,1107|CHD3|Q12873,18.83915762
9739|SETD1A|O15047,22976|PAXIP1|Q6ZW49,18.7997318
84733|CBX2|Q14781,1912|PHC2|Q8IXK0,18.7977922
84787|SUV420H2|Q86Y97,11335|CBX3|Q13185,18.74817433
7703|PCGF2|P35227,23466|CBX6|O95503,18.60833476
53615|MBD3|O95983,6594|SMARCA1|P28370,18.42784543
7703|PCGF2|P35227,11335|CBX3|Q13185,18.42141795
6599|SMARCC1|Q92922,65980|BRD9|Q9H8M2,18.24426341
65980|BRD9|Q9H8M2,55193|PBRM1|Q86U86,18.2081715
64754|SMYD3|Q9H7B4,150572|SMYD1|Q8NB12,18.20581383
23512|SUZ12|Q15022,3066|HDAC2|Q92769,18.10035797
11091|WDR5|P61964,10951|CBX1|P83916,17.98382527
25942|SIN3A|Q96ST3,3066|HDAC2|Q92769,17.97511002
8520|HAT1|O14929,2186|BPTF|Q12830,17.9608596
8520|HAT1|O14929,1107|CHD3|Q12873,17.94843268
6594|SMARCA1|P28370,8467|SMARCA5|O60264,17.93023291
57332|CBX8|Q9HC52,11335|CBX3|Q13185,17.92663701
8932|MBD2|Q9UBB5,8520|HAT1|O14929,17.70847776
57504|MTA3|Q9BTC8,8520|HAT1|O14929,17.61341884
6597|SMARCA4|P51532,65980|BRD9|Q9H8M2,17.59414013
9739|SETD1A|O15047,8085|MLL2|O14686,17.55705259
7290|HIRA|P54198,5931|RBBP7|Q16576,17.52183528
1911|PHC1|P78364,23466|CBX6|O95503,17.48426662
65980|BRD9|Q9H8M2,55274|PHF10|Q8WUB8,17.45847607
26013|L3MBTL1|Q9Y468,91133|L3MBTL4|Q8NA19,17.38613769
51105|PHF20L1|A8MW92,51230|PHF20|Q9BVI0,17.30648546
84333|PCGF5|Q86SE9,83746|L3MBTL2|Q969R5,17.3019743
25942|SIN3A|Q96ST3,1108|CHD4|Q14839,17.13047982
84456|L3MBTL3|Q96JM7,91133|L3MBTL4|Q8NA19,17.1137732
3065|HDAC1|Q13547,5928|RBBP4|Q09028,17.06044356
84733|CBX2|Q14781,84678|KDM2B|Q8NHM5,17.04256239
84148|KAT8|Q9H7Z6,11091|WDR5|P61964,17.02817809
10036|CHAF1A|Q13111,2186|BPTF|Q12830,17.0165658
10036|CHAF1A|Q13111,1107|CHD3|Q12873,17.00420324
25942|SIN3A|Q96ST3,1107|CHD3|Q12873,16.99471983
84787|SUV420H2|Q86Y97,80335|WDR82|Q6UXN9,16.90613948
8850|KAT2B|Q92831,158880|USP51|Q70EK9,16.86653153
51147|ING4|Q9UNL4,84661|DPY30|Q9C005,16.79969678
25942|SIN3A|Q96ST3,5931|RBBP7|Q16576,16.7687
10036|CHAF1A|Q13111,8932|MBD2|Q9UBB5,16.76773926
6605|SMARCE1|Q969G3,65980|BRD9|Q9H8M2,16.74387286
1911|PHC1|P78364,84108|PCGF6|Q9BYE7,16.67854498
57504|MTA3|Q9BTC8,10036|CHAF1A|Q13111,16.67047267
8726|EED|O75530,25942|SIN3A|Q96ST3,16.59360402
22823|MTF2|Q9Y483,25942|SIN3A|Q96ST3,16.48213432
546|ATRX|P46100,8520|HAT1|O14929,16.44423367
51105|PHF20L1|A8MW92,11091|WDR5|P61964,16.34224067
51230|PHF20|Q9BVI0,11091|WDR5|P61964,16.31854073
11091|WDR5|P61964,22992|KDM2A|Q9Y2K7,16.3161122
8208|CHAF1B|Q13112,2186|BPTF|Q12830,16.27441467
8208|CHAF1B|Q13112,1107|CHD3|Q12873,16.26210964
26147|PHF19|Q5T6S3,2146|EZH2|Q15910,16.25318817
10036|CHAF1A|Q13111,10919|EHMT2|Q96KQ7,16.21382251
3066|HDAC2|Q92769,2146|EZH2|Q15910,16.18759576
9112|MTA1|Q13330,84661|DPY30|Q9C005,16.18397977
23309|SIN3B|O75182,5931|RBBP7|Q16576,16.07675902
9112|MTA1|Q13330,6594|SMARCA1|P28370,16.06286194
84661|DPY30|Q9C005,3054|HCFC1|P51610,16.05110232
84333|PCGF5|Q86SE9,8535|CBX4|O00257,16.04725041
5252|PHF1|O43189,6594|SMARCA1|P28370,16.03676671
8932|MBD2|Q9UBB5,8208|CHAF1B|Q13112,16.02361362
57504|MTA3|Q9BTC8,8208|CHAF1B|Q13112,15.9295302
11091|WDR5|P61964,6045|RNF2|Q99496,15.86043357
57504|MTA3|Q9BTC8,3065|HDAC1|Q13547,15.81813596
57504|MTA3|Q9BTC8,5931|RBBP7|Q16576,15.78691605
7703|PCGF2|P35227,83746|L3MBTL2|Q969R5,15.72146421
4221|MEN1|O00255,84661|DPY30|Q9C005,15.68423998
23309|SIN3B|O75182,2186|BPTF|Q12830,15.60943289
23326|USP22|Q9UPT9,2648|KAT2A|Q92830,15.60209939
23309|SIN3B|O75182,1107|CHD3|Q12873,15.60043618
84733|CBX2|Q14781,84108|PCGF6|Q9BYE7,15.59382659
84759|PCGF1|Q9BSM1,23466|CBX6|O95503,15.52676932
84759|PCGF1|Q9BSM1,8535|CBX4|O00257,15.45208708
23309|SIN3B|O75182,5928|RBBP4|Q09028,15.43839044
23309|SIN3B|O75182,8932|MBD2|Q9UBB5,15.42828466
1912|PHC2|Q8IXK0,8535|CBX4|O00257,15.41481063
25942|SIN3A|Q96ST3,5928|RBBP4|Q09028,15.40551101
8208|CHAF1B|Q13112,10919|EHMT2|Q96KQ7,15.3838734
84148|KAT8|Q9H7Z6,30827|CXXC1|Q9P0U4,15.36512993
23309|SIN3B|O75182,57504|MTA3|Q9BTC8,15.35940541
84759|PCGF1|Q9BSM1,83746|L3MBTL2|Q969R5,15.34897784
84678|KDM2B|Q8NHM5,11335|CBX3|Q13185,15.26907139
10036|CHAF1A|Q13111,9219|MTA2|O94776,15.26235037
84678|KDM2B|Q8NHM5,1912|PHC2|Q8IXK0,15.22830935
5928|RBBP4|Q09028,10951|CBX1|P83916,15.20326337
5929|RBBP5|Q15291,80335|WDR82|Q6UXN9,15.16600829
1108|CHD4|Q14839,84108|PCGF6|Q9BYE7,15.12412906
86|ACTL6A|O96019,65980|BRD9|Q9H8M2,15.09692318
6601|SMARCC2|Q8TAQ2,65980|BRD9|Q9H8M2,15.08261828
25942|SIN3A|Q96ST3,23512|SUZ12|Q15022,15.05855432
5252|PHF1|O43189,1108|CHD4|Q14839,15.0350598
84148|KAT8|Q9H7Z6,3054|HCFC1|P51610,15.01650478
23492|CBX7|O95931,1912|PHC2|Q8IXK0,14.95873162
22955|SCMH1|Q96GD3,8535|CBX4|O00257,14.90408511
1911|PHC1|P78364,8535|CBX4|O00257,14.87368702
8726|EED|O75530,3066|HDAC2|Q92769,14.85703554
10036|CHAF1A|Q13111,79813|EHMT1|Q9H9B1,14.83936648
5927|KDM5A|P29375,23613|ZMYND8|Q9ULU4,14.83659172
8726|EED|O75530,6594|SMARCA1|P28370,14.76837646
26147|PHF19|Q5T6S3,5252|PHF1|O43189,14.76613974
22823|MTF2|Q9Y483,3066|HDAC2|Q92769,14.74102933
3720|JARID2|Q92833,2146|EZH2|Q15910,14.70898434
22823|MTF2|Q9Y483,6594|SMARCA1|P28370,14.69900504
1107|CHD3|Q12873,8467|SMARCA5|O60264,14.59537177
9219|MTA2|O94776,8208|CHAF1B|Q13112,14.52671805
25942|SIN3A|Q96ST3,2146|EZH2|Q15910,14.49799863
51105|PHF20L1|A8MW92,4221|MEN1|O00255,14.41595932
3066|HDAC2|Q92769,1107|CHD3|Q12873,14.41425246
4221|MEN1|O00255,51230|PHF20|Q9BVI0,14.40397407
6015|RING1|Q06587,10951|CBX1|P83916,14.37334943
84733|CBX2|Q14781,6015|RING1|Q06587,14.36711251
23309|SIN3B|O75182,9219|MTA2|O94776,14.32902329
10389|SCML2|Q9UQR0,22955|SCMH1|Q96GD3,14.31260474
23492|CBX7|O95931,1911|PHC1|P78364,14.30530548
10765|KDM5B|Q9UGL1,9682|KDM4A|O75164,14.24079171
84333|PCGF5|Q86SE9,23466|CBX6|O95503,14.17842107
3065|HDAC1|Q13547,8932|MBD2|Q9UBB5,14.17777365
84787|SUV420H2|Q86Y97,8535|CBX4|O00257,14.16486155
5252|PHF1|O43189,25942|SIN3A|Q96ST3,14.15133515
3275|PRMT2|P55345,2965|GTF2H1|P32780,14.10923142
8932|MBD2|Q9UBB5,5931|RBBP7|Q16576,14.10736891
79813|EHMT1|Q9H9B1,8208|CHAF1B|Q13112,14.1064997
79960|PHF17|Q6IE81,84289|ING5|Q8WYH8,14.06682483
3720|JARID2|Q92833,2145|EZH1|Q92800,14.04275916
23492|CBX7|O95931,80012|PHC3|Q8NDX5,13.99893355
10036|CHAF1A|Q13111,6594|SMARCA1|P28370,13.83771256
26147|PHF19|Q5T6S3,8726|EED|O75530,13.83763134
8208|CHAF1B|Q13112,84108|PCGF6|Q9BYE7,13.83122628
22823|MTF2|Q9Y483,26147|PHF19|Q5T6S3,13.78865589
84108|PCGF6|Q9BYE7,80012|PHC3|Q8NDX5,13.78282488
5927|KDM5A|P29375,3066|HDAC2|Q92769,13.77038611
3054|HCFC1|P51610,80335|WDR82|Q6UXN9,13.75238717
9739|SETD1A|O15047,84148|KAT8|Q9H7Z6,13.55783781
84678|KDM2B|Q8NHM5,83746|L3MBTL2|Q969R5,13.55065223
2146|EZH2|Q15910,6594|SMARCA1|P28370,13.45296023
25942|SIN3A|Q96ST3,6594|SMARCA1|P28370,13.44204396
10155|TRIM28|Q13263,10951|CBX1|P83916,13.33761615
51105|PHF20L1|A8MW92,84148|KAT8|Q9H7Z6,13.29874781
51230|PHF20|Q9BVI0,84148|KAT8|Q9H7Z6,13.28642128
23309|SIN3B|O75182,6594|SMARCA1|P28370,13.28248507
8726|EED|O75530,8467|SMARCA5|O60264,13.27569118
22823|MTF2|Q9Y483,8467|SMARCA5|O60264,13.16953266
3720|JARID2|Q92833,26147|PHF19|Q5T6S3,13.11752858
8208|CHAF1B|Q13112,6594|SMARCA1|P28370,13.11466152
23468|CBX5|P45973,10155|TRIM28|Q13263,13.08569374
648|BMI1|P35226,83746|L3MBTL2|Q969R5,13.04351261
53615|MBD3|O95983,10036|CHAF1A|Q13111,13.03977016
51105|PHF20L1|A8MW92,30827|CXXC1|Q9P0U4,13.02458015
10036|CHAF1A|Q13111,84108|PCGF6|Q9BYE7,13.02435134
51230|PHF20|Q9BVI0,30827|CXXC1|Q9P0U4,13.0122682
84787|SUV420H2|Q86Y97,1106|CHD2|O14647,12.95381395
23135|KDM6B|O15054,80853|JHDM1D|Q6ZMT4,12.92007608
3275|PRMT2|P55345,2962|GTF2F1|P35269,12.80916008
51105|PHF20L1|A8MW92,3054|HCFC1|P51610,12.78813384
51230|PHF20|Q9BVI0,3054|HCFC1|P51610,12.77583532
5931|RBBP7|Q16576,3066|HDAC2|Q92769,12.7501335
23309|SIN3B|O75182,53615|MBD3|O95983,12.69441802
3720|JARID2|Q92833,5252|PHF1|O43189,12.65435192
4221|MEN1|O00255,80335|WDR82|Q6UXN9,12.64902148
83746|L3MBTL2|Q969R5,387893|SETD8|Q9NQR1,12.63595575
84661|DPY30|Q9C005,1107|CHD3|Q12873,12.63292633
23512|SUZ12|Q15022,6594|SMARCA1|P28370,12.62922268
23468|CBX5|P45973,5928|RBBP4|Q09028,12.58173697
5927|KDM5A|P29375,10902|BRD8|Q9H0E9,12.57726924
26147|PHF19|Q5T6S3,2145|EZH1|Q92800,12.55391969
25942|SIN3A|Q96ST3,8520|HAT1|O14929,12.47034471
22955|SCMH1|Q96GD3,84333|PCGF5|Q86SE9,12.41916518
8535|CBX4|O00257,80012|PHC3|Q8NDX5,12.41697219
53615|MBD3|O95983,8208|CHAF1B|Q13112,12.32278978
26147|PHF19|Q5T6S3,23512|SUZ12|Q15022,12.25945164
84661|DPY30|Q9C005,8520|HAT1|O14929,12.22253554
51105|PHF20L1|A8MW92,58508|MLL3|Q8NEZ4,12.07288656
51230|PHF20|Q9BVI0,58508|MLL3|Q8NEZ4,12.06063403
8520|HAT1|O14929,6594|SMARCA1|P28370,11.96744162
6119|RPA3|P35244,23210|JMJD6|Q6NYC1,11.95920602
2186|BPTF|Q12830,26038|CHD5|Q8TDI0,11.93624616
23028|KDM1A|O60341,3065|HDAC1|Q13547,11.93088106
1107|CHD3|Q12873,26038|CHD5|Q8TDI0,11.93079393
5928|RBBP4|Q09028,6594|SMARCA1|P28370,11.89831987
9031|BAZ1B|Q9UIG0,8467|SMARCA5|O60264,11.87918559
22823|MTF2|Q9Y483,3720|JARID2|Q92833,11.86897625
8932|MBD2|Q9UBB5,26038|CHD5|Q8TDI0,11.82644263
9739|SETD1A|O15047,51105|PHF20L1|A8MW92,11.79628218
57504|MTA3|Q9BTC8,26038|CHD5|Q8TDI0,11.78467822
9739|SETD1A|O15047,51230|PHF20|Q9BVI0,11.78404873
3065|HDAC1|Q13547,25942|SIN3A|Q96ST3,11.7327007
1108|CHD4|Q14839,6594|SMARCA1|P28370,11.70735505
23028|KDM1A|O60341,84456|L3MBTL3|Q96JM7,11.69721822
84678|KDM2B|Q8NHM5,23466|CBX6|O95503,11.6828662
84733|CBX2|Q14781,8535|CBX4|O00257,11.67987725
5252|PHF1|O43189,8520|HAT1|O14929,11.65256125
1108|CHD4|Q14839,8467|SMARCA5|O60264,11.62961728
8520|HAT1|O14929,5928|RBBP4|Q09028,11.5912349
3065|HDAC1|Q13547,1108|CHD4|Q14839,11.58487206
5929|RBBP5|Q15291,84148|KAT8|Q9H7Z6,11.46037547
5252|PHF1|O43189,8467|SMARCA5|O60264,11.37649248
83746|L3MBTL2|Q969R5,6839|SUV39H1|O43463,11.34464519
11143|KAT7|O95251,84661|DPY30|Q9C005,11.32465739
1108|CHD4|Q14839,8520|HAT1|O14929,11.31292003
7403|KDM6A|O15550,80335|WDR82|Q6UXN9,11.31028253
84759|PCGF1|Q9BSM1,22955|SCMH1|Q96GD3,11.30806717
2146|EZH2|Q15910,8467|SMARCA5|O60264,11.28851724
7403|KDM6A|O15550,84148|KAT8|Q9H7Z6,11.24909656
8208|CHAF1B|Q13112,26038|CHD5|Q8TDI0,11.2056869
5252|PHF1|O43189,3066|HDAC2|Q92769,11.16068519
9219|MTA2|O94776,26038|CHD5|Q8TDI0,11.15898205
1911|PHC1|P78364,83746|L3MBTL2|Q969R5,11.13152492
10771|ZMYND11|Q15326,80335|WDR82|Q6UXN9,11.1085126
1912|PHC2|Q8IXK0,84108|PCGF6|Q9BYE7,11.05909
3065|HDAC1|Q13547,2186|BPTF|Q12830,11.0286556
23309|SIN3B|O75182,9112|MTA1|Q13330,11.01387945
23309|SIN3B|O75182,26038|CHD5|Q8TDI0,11.00592232
5931|RBBP7|Q16576,2186|BPTF|Q12830,11.00499371
23309|SIN3B|O75182,5252|PHF1|O43189,10.99535208
11108|PRDM4|Q9UKN5,3276|PRMT1|Q99873,10.94204948
8208|CHAF1B|Q13112,8520|HAT1|O14929,10.90823494
10036|CHAF1A|Q13111,9112|MTA1|Q13330,10.78894224
10036|CHAF1A|Q13111,5252|PHF1|O43189,10.76432636
84333|PCGF5|Q86SE9,11091|WDR5|P61964,10.74512435
2145|EZH1|Q92800,2186|BPTF|Q12830,10.73010489
2145|EZH1|Q92800,1107|CHD3|Q12873,10.72299608
83746|L3MBTL2|Q969R5,80012|PHC3|Q8NDX5,10.69261131
8726|EED|O75530,84661|DPY30|Q9C005,10.62369145
8932|MBD2|Q9UBB5,2145|EZH1|Q92800,10.58652086
9070|ASH2L|Q9UBL3,84148|KAT8|Q9H7Z6,10.56846324
25942|SIN3A|Q96ST3,8467|SMARCA5|O60264,10.55863719
57504|MTA3|Q9BTC8,2145|EZH1|Q92800,10.53213258
22823|MTF2|Q9Y483,84661|DPY30|Q9C005,10.52347215
6594|SMARCA1|P28370,26038|CHD5|Q8TDI0,10.52141223
1108|CHD4|Q14839,5931|RBBP7|Q16576,10.51450306
8726|EED|O75530,8520|HAT1|O14929,10.44555348
4221|MEN1|O00255,84148|KAT8|Q9H7Z6,10.44046683
23512|SUZ12|Q15022,8520|HAT1|O14929,10.38440898
22823|MTF2|Q9Y483,8520|HAT1|O14929,10.37990128
5929|RBBP5|Q15291,51105|PHF20L1|A8MW92,10.35755181
5929|RBBP5|Q15291,51230|PHF20|Q9BVI0,10.34545059
84678|KDM2B|Q8NHM5,22955|SCMH1|Q96GD3,10.27468637
11176|BAZ2A|Q9UIF9,8467|SMARCA5|O60264,10.22189375
2145|EZH1|Q92800,10951|CBX1|P83916,10.21955797
51105|PHF20L1|A8MW92,7403|KDM6A|O15550,10.20985272
7403|KDM6A|O15550,51230|PHF20|Q9BVI0,10.19957475
53615|MBD3|O95983,26038|CHD5|Q8TDI0,10.16205902
10036|CHAF1A|Q13111,83746|L3MBTL2|Q969R5,10.13490644
23309|SIN3B|O75182,8726|EED|O75530,10.09532273
9112|MTA1|Q13330,8208|CHAF1B|Q13112,10.09462196
23309|SIN3B|O75182,8520|HAT1|O14929,10.08982968
23512|SUZ12|Q15022,8467|SMARCA5|O60264,10.0754026
5252|PHF1|O43189,8208|CHAF1B|Q13112,10.0703279
23309|SIN3B|O75182,22823|MTF2|Q9Y483,10.04612957
84289|ING5|Q8WYH8,84661|DPY30|Q9C005,9.942210296
10419|PRMT5|O14744,56979|PRDM9|Q9NQV7,9.916132871
546|ATRX|P46100,84661|DPY30|Q9C005,9.882642023
11335|CBX3|Q13185,79813|EHMT1|Q9H9B1,9.873404997
10902|BRD8|Q9H0E9,3066|HDAC2|Q92769,9.820914808
57634|EP400|Q96L91,10933|MORF4L1|Q9UBU8,9.778471348
84733|CBX2|Q14781,83746|L3MBTL2|Q969R5,9.74973588
51105|PHF20L1|A8MW92,9070|ASH2L|Q9UBL3,9.738115962
