Well,GeoMean BV605-A of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_Tim3
B02,4740.44387168104,4161.70751907536,96.6955405838948,2753.19189057464
B03,3190.86573503286,5619.08313731984,86.6595517609392,1337.97973348777
B04,2056.51353042506,4125.04764584318,85.4892044349348,1260.343326972
B05,1349.38475404923,5884.20767860868,86.5869177907865,1369.25962825528
B06,3139.47293803916,4982.05465829593,90.9090909090909,1655.30978320814
B07,3449.46526568314,4020.72042290738,83.3525124664365,1076.74364954592
B08,1967.9108849886,4751.0485605065,90.9008189262966,2014.11662742789
B09,1638.65868007753,4404.01657392048,82.1138211382114,1050.71950232456
B10,2116.76696311379,3143.04218229238,90.5191873589165,2173.93854647311
B11,3205.30816040061,3272.58723823352,93.1243926141885,1826.21114363446
C02,2662.66758606075,4224.31174064542,92.9376854599406,1678.56833844985
C03,3725.95966875324,5490.72560879235,88.6297977713578,1570.06084362011
C04,3569.11240271136,4536.97152319464,90.3128533735394,1754.56434478672
C05,2600.12386610666,5002.02407708048,90.0964295022153,1547.52487942304
C06,3404.94748493345,4887.26291582085,84.1279241930708,1134.9720714985
C07,2979.48653825881,5379.01091842283,88.5604337939479,1390.92478227957
C08,1612.23277662209,4577.86294006075,65.4014392549739,474.225195278802
C09,2285.79019301752,4859.26284859257,81.7864416642421,828.726441140969
C10,2023.47650898211,4404.19322895829,93.5433070866142,2160.60115204765
C11,2190.90632843703,4411.09248834442,92.9896344789962,1988.96388453252
D02,1393.768741509,3385.60574395041,85.7514539332721,1742.42065619697
D03,1907.27977592924,4334.56632162055,87.5,1431.49591840505
D04,2705.48814779836,5059.49528709937,88.231981981982,1449.08453362015
D05,1878.06222392177,4446.19771394912,61.5384615384615,482.643549170601
D06,2940.53927693551,5660.57806090859,84.5944103612815,1064.1951260543
D07,2817.88656710412,5070.74152033982,88.607101053453,1436.8544566068
D08,3001.44469844088,5883.88871089015,87.3910899227355,1420.17840401332
D09,2662.75654535593,4899.68934794995,86.5450399087799,1273.92471978352
D10,3375.85628326112,4776.87804639488,96.2003820844831,2477.69915865539
D11,3517.18319090397,4720.5192988123,83.020030816641,1086.32586556239
E02,3165.6503883872,4851.60179498542,91.7531718569781,2169.44442196089
E03,2351.96688925944,6023.87661985405,80.5660377358491,1011.98320991789
E04,3404.12326726827,4795.66211584118,93.0979643765903,2311.4879889871
E05,2688.60920783628,5644.9918647597,86.4992447129909,1279.46417147887
E06,1741.23916107928,6449.13666557363,86.7965962119133,1331.56006528148
E07,3051.95153125594,5101.95822131664,79.7040801076072,827.610774379282
E08,2972.1054529917,5259.9971441136,85.1151515151515,1221.48578978145
E09,2998.26456319777,5129.38805801805,90.4717853839038,1591.55712270304
E10,3728.54716548323,4592.0549340784,84.4350803265736,1106.44840051404
E11,3301.18778988246,5271.34582195732,86.3955823293173,1245.32305697495
F02,2082.34345612152,5920.66322322017,59.4295251099985,348.206110134384
F03,2435.36076648945,5175.51122895129,87.6153011394465,1441.74134272144
F04,3570.45312424171,5821.86776259146,88.7856780949164,1475.38602073264
F05,2687.19421309536,5717.16751805346,83.5876568328247,1005.35698982891
F06,2392.79059647314,3737.59867902816,74.468085106383,432.265250112098
F07,3411.90166066091,5196.32222351339,85.6350420811017,1075.58690092219
F08,2404.41616607116,4955.41918415578,85.2024017044354,1243.16285814587
F09,2479.12276452996,5264.51424801489,89.5591647331786,1605.97637543633
F10,2650.61333519647,5059.65621257978,90.5505341002465,1566.60524336335
F11,2845.40690004896,3346.99286347643,94.0773809523809,2111.35803322149
G02,2805.97008506558,4764.1769101628,90.614981055086,1799.096657628
G03,2907.09677027904,5219.04380036757,85.592972181552,1170.86482710861
G04,2436.02125788302,4672.26379207911,90.0445765230312,1805.37843857642
G05,2858.89969678329,4855.27087938609,88.2789317507418,1326.10925414095
G06,2628.92316097007,4358.86727278151,89.4453507340946,1598.07354934125
G07,2366.54406606511,4875.84574159078,85.2994970278921,1118.85155818562
G08,1850.10197906395,4398.85708259876,80.2549498237049,914.55441142397
G09,3406.23941683508,5773.71522649794,76.0410830999066,677.398797098183
G10,2397.97933472493,4056.20020818127,86.1059954982607,1184.0741428218
G11,2151.19829936238,3701.58215883998,77.2493573264781,821.101382525616
