Well,GeoMean BV605-A of Amet+_PD1,GeoMean PerCP-Cy5-5-A of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A of Amet+_Tim3
B02,773.367705279592,1274.14258058607,63.5729058945191,439.036277558815
B03,602.52952852371,2108.08057116964,57.286432160804,296.115183543999
B04,614.520026473442,2787.58342916235,67.0418006430868,465.364538143314
B05,681.581209297148,3631.64236936911,65.7122405153901,429.758749206773
B06,577.718243176128,2369.65717151273,62.9418695993716,390.692097171656
B07,586.19614788642,2556.93815323017,66.6815144766147,438.796148730091
B08,911.422074301539,2758.38975475719,60.7043815862451,362.731456794289
B09,1079.68310924683,2500.15241082129,58.6369770580297,338.236608584197
B10,756.944865140083,2764.42366201432,62.549141320091,385.938580160654
B11,556.445530408241,2491.12519158726,65.7607811228641,445.911502457032
C02,582.103453935437,2224.42485711412,75.2646638054363,733.31420432323
C03,555.380731773126,2829.39527507865,65.2957069948964,471.525063003469
C04,609.781485008767,2600.74956794413,55.5897633249952,296.378867544988
C05,405.652278183028,2523.91399701405,56.2940778668728,314.634710270087
C06,769.55141489363,1743.01941211526,32.8125,133.994866222283
C07,595.909244945288,2689.32153619325,55.8107577542207,304.881130245178
C08,684.228032762179,2542.02985275849,72.5490196078431,611.01924450793
C09,583.331750264338,2867.07662770184,68.9402538437726,549.310910706085
C10,805.895117585947,3778.91297665438,74.545665007524,752.75987885791
C11,554.532844801319,2790.10073445423,66.6739750054813,484.799742977583
D02,885.737348927781,2649.5565700439,71.4807863281636,540.242508288944
D03,750.325572903765,2230.69174861398,59.3029350104822,312.274418984939
D04,884.916163671646,3581.73231833164,59.2103033384172,338.386811891471
D05,638.057863365802,3201.92354683616,57.2131365509906,316.103092626978
D06,876.984871609009,2909.61346360932,60.5364705882353,347.459213809402
D07,762.37425635163,3514.31360086622,60.4910418049104,349.740872253143
D08,619.76450123783,3267.67474014538,61.8760973162779,352.221020094846
D09,600.657482949821,2660.23775491947,64.4331935764576,419.834314630639
D10,751.501943995392,3048.4263539301,63.9646145513631,415.105892398282
D11,831.789564274021,3278.90263717151,63.3022774327122,414.079509324534
E02,578.042104689173,2411.97379018807,61.4334982756035,371.494297212762
E03,612.676551347661,2397.17032893594,59.5424631776872,329.334448460317
E04,704.888975472142,3316.2652729098,65.267210560088,427.398062008442
E05,737.895109607956,3664.1157927832,67.4109837054919,510.748178390037
E06,637.288526800601,2407.76018718035,55.1716715100635,276.163832182187
E07,858.757171825654,2719.76739151994,65.9355416293644,421.49328972146
E08,796.000387558298,2430.89984502948,62.3537391894183,359.612375193159
E09,504.371900685609,2012.26233425165,38.4319472430848,136.058119763269
E10,871.109625178358,3018.81761861866,61.2241349330551,373.18720664409
E11,824.155814283778,2078.02294897568,47.72109387494,207.761695022612
F02,678.261832860952,2449.80589550774,71.2196395925829,559.276651637554
F03,519.577788689085,2967.30982473631,68.5535248041775,519.785657604172
F04,831.463701004772,3247.98842612962,65.7003851611595,481.379684254544
F05,927.631717859816,4075.24990826816,63.7213378121805,444.921307824089
F06,688.642856398981,3084.27457261269,65.2931529315293,445.607065072365
F07,484.907998895031,2392.43432074998,56.7252880533657,299.782362385901
F08,520.700853898081,2115.15317834061,58.8997555012225,325.248115756409
F09,799.705298424831,3977.56468249271,62.7927812619992,400.636525336189
F10,837.150265745963,3802.85406589385,68.7,499.885556146586
F11,758.038671493655,2450.66430854388,65.8961272891024,454.517588108812
G02,435.816974237774,1236.0463049155,63.5320742937412,410.072346499556
G03,536.452497472889,2044.10990874216,65.9079151577858,452.79519376557
G04,625.239047712812,2022.48203481651,66.3398692810458,441.708991781554
G05,462.183914742924,2238.91380792827,63.7336024217962,401.405495330934
G06,816.025018459743,2710.08497808645,65.6419213973799,436.252911537471
G07,692.795311778475,2664.19152953746,59.9730276466622,354.159531744903
G08,1152.75395799314,2912.71380080864,57.1428571428571,245.811735945765
G09,874.814345064809,3094.58564582182,66.6545454545455,511.268222099478
G10,1149.55096361036,2400.48957975735,63.3281168492436,378.197577004781
G11,597.060991725909,2283.49085387532,58.005994636378,323.681088248637
