Pool,Gene,nbPctgShift
P8-14,Mll1,11.75337538436764
P8-14,Mll2,16.95444710176211
P8-14,Mll3,-8.421988063074835
P8-14,Mll5,3.519147861152715
P8-14,Morf4l1,-17.909301653752753
P8-14,Ms4a1,2.0597596155739026
P8-14,Msl3,-10.146408310536454
P8-14,Mta1,14.730791575839202
P8-14,Mta2,1.9300360893445916
P8-14,Mta3,6.124856752163113
P8-14,Mtf2,7.268223831507136
P8-14,Myst1,0.16863997671701547
P8-14,Myst2,14.403029441054667
P8-14,Myst3,7.9930421178408295
P8-14,Myst4,11.944886868473212
P8-14,Nap1l1,-0.8465398584071409
P8-14,Nap1l2,-2.43558997887771
P8-14,Nap1l3,-3.6211256653629036
P8-14,Ncoa1,13.429270927065474
P8-14,Ncoa3,-5.167052865600471
P8-14,Ncor1,-7.23614343901171
P8-14,Ncor2,-6.708866186674733
P8-14,Nfatc3,14.294703297001922
P8-14,Nsd1,8.546159873530712
P8-14,Orc1,2.5972330929759515
P8-14,Padi1,-1.5642050080373124
P8-14,Padi4,-0.8683499531263177
P8-14,Padi6,0.5983129280672053
P8-14,Parp1,11.83523848124329
P8-14,Paxip1,-10.252083564013187
P8-14,Pbrm1,-5.92117770673898
P8-14,Pcgf1,-7.685585261365317
P8-14,Pcgf2,40.969467508192444
P8-14,Pcgf5,9.07378085637365
P8-14,Pcgf6,-16.037441794329848
P8-14,Pcmt1,-16.566127905017396
P8-14,Phc1,10.18622206247679
P8-14,Phf1,12.812441483337011
P8-14,Phf19,10.810235122779183
P8-14,Phf2,3.9309758483971233
P8-14,Phf20,2.047872793341341
P8-14,Phf20l1,9.307184355034218
P8-14,Phf8,17.598781504370933
P8-14,Phip,0.914524209134747
P8-14,Polr2b,24.160468949554236
P8-14,Ppargc1a,-5.628391898833158
P8-14,Prdm1,-3.4745580626305195
P8-14,Prdm10,2.098760388270639
P8-14,Prdm11,10.366497190071314
P8-14,Prdm12,-4.608594041906414
P8-14,Prdm13,13.061598842350064
P8-14,Prdm14,14.063885472916951
P8-14,Prdm15,-2.244842679859371
P8-14,Prdm2,10.267863149974287
P8-14,Prdm4,-1.433132550382683
P8-14,Prdm5,20.6654396480088
P8-14,Prdm6,15.839007068083674
P8-14,Prdm8,4.410589343910038
P8-14,Prdm9,-1.5327806590065407
P8-14,Prkaa1,8.875608096249044
P8-14,Prkaa2,-8.062736502011278
P8-14,Prkcd,1.3102270329821242
P8-14,Prmt1,9.94133135392144
P8-14,Prmt2,0.9842610871114186
P8-14,Prmt3,-4.995948194069214
P8-14,Prmt5,16.622999045583143
P8-14,Prmt6,2.086259519924761
P8-14,Prmt7,13.615108892827603
P8-14,Prmt8,3.0114139427000004
P8-14,Psip1,-5.319826472864132
P8-14,Rbbp4,9.198174883146006
P8-14,Rbbp5,-14.284328715388499
P8-14,Rbbp7,-13.629472137745699
P8-14,Ring1,22.179210330098474
P8-14,Rnf20,-6.270181751693746
P8-14,Rnf217,2.9918320936740006
P8-14,Rnf40,7.172864373675633
P8-14,Runx3,33.51705497230118
P8-14,Sgk1,15.457535655827883
P8-14,Tbx21,16.56264486047527
P15-21,Arid1a,5.975261959430533
P15-21,Arid1b,-2.4065544912688233
P15-21,Bcl6,-27.67194143218599
P15-21,Brd7,22.954741942799966
P15-21,Brdt,-19.837234090483566
P15-21,CD4,-18.830608613833867
P15-21,Cbx2,-1.1951309462669453
P15-21,Cd14,9.650588215594553
P15-21,Cd4,72.90318819103122
P15-21,Cecr2,-16.22527076700883
P15-21,Chd7,-6.3153149646811215
P15-21,Clock,-16.25811163213535
P15-21,Dpy30,5.070789701621781
P15-21,Eaf1,13.750897912524309
P15-21,Fbxo17,32.636976217141886
P15-21,Fkbp2,5.407970718895356
P15-21,Fkbp5,2.0310936053379103
P15-21,Fosb,2.979536137068532
P15-21,Gtf2h1,17.680070456227273
P15-21,H2afz,-7.311954997096549
P15-21,Hdac11,-5.083225806977867
P15-21,Hdac5,8.17824726166365
P15-21,Hes1,46.73205199877228
P15-21,Hes6,6.106938413537911
P15-21,Id2,4.436288965741479
P15-21,Id3,3.980952424812963
P15-21,Iws1,-1.5267937585259759
P15-21,Jmjd8,-19.51477156663388
P15-21,Kdm4b,3.7418680817999763
P15-21,Klf12,21.770258923397318
P15-21,Klf2,21.54501930714888
P15-21,Mecp2,-21.38586882682019
P15-21,Nfatc3,26.903340023159437
P15-21,Padi2,0.7337948057107534
P15-21,Paf1,-2.874247253387882
P15-21,Parp2,-11.377010960695719
P15-21,Phc2,-13.90804243220445
P15-21,Phc3,21.050563834099563
P15-21,Phf10,5.668366960950212
P15-21,Phf17,0.4364955632781111
P15-21,Prdm16,19.984521243284195
P15-21,Rnf2,-3.5190484575988137
P15-21,Rpa3,35.73436965494113
P15-21,Runx3,25.62199571824276
P15-21,Satb1,-19.164398446883144
P15-21,Scmh1,8.535429739519357
P15-21,Scml2,15.328615689612931
P15-21,Scml4,5.22795966383116
P15-21,Setd1a,9.839067346104592
P15-21,Setd2,8.797336356224681
P15-21,Setd3,19.24186271288995
P15-21,Setd4,18.194428325141633
P15-21,Setd5,-4.9140147181169525
P15-21,Setd7,26.729419638288046
P15-21,Setd8,24.745766254551384
P15-21,Setdb1,2.205001453570221
P15-21,Setdb2,5.782488702753403
P15-21,Setmar,12.82657644009949
P15-21,Sfmbt1,15.65235763709087
P15-21,Sfmbt2,16.81462300524286
P15-21,Sgk1,-22.423812442433103
P15-21,Sin3a,18.895781663459356
P15-21,Sin3b,18.7780852265864
P15-21,Sirt1,1.101951009022417
P15-21,Sirt3,14.466575944117587
P15-21,Sirt4,29.488543988955172
P15-21,Sirt5,12.695694795554592
P15-21,Sirt6,-3.318921307922426
P15-21,Sirt7,-3.1826828843116655
P15-21,Smarca1,14.42260761032167
P15-21,Smarca2,0.20187740959929337
P15-21,Smarca4,2.7222216640194254
P15-21,Smarca5,27.386804827799022
P15-21,Smarcc1,16.03738142445489
P15-21,Smarcc2,13.582334980401882
P15-21,Smarcd1,3.160440815509143
P15-21,Smarcd2,24.79873453227965
P15-21,Smarcd3,-2.3590036702397565
P15-21,Smarce1,5.491328382747601
P15-21,Smyd1,-5.961690171621501
P15-21,Smyd2,14.585111027819588
P15-21,Smyd3,16.24823419876957
P15-21,Smyd4,-17.399652841955604
P15-21,Smyd5,14.626640425714891
P15-21,Sp100,4.82904815697984
P15-21,Sp110,7.61808337069222
P15-21,Sp140,-2.5981814918205917
P15-21,Ssrp1,3.946150976315215
P15-21,Supt16h,20.63629142223374
P15-21,Suv39h1,-1.328491519224384
P15-21,Suv39h2,-2.5244008467549826
P15-21,Suv420h1,11.197519763073926
P15-21,Suv420h2,30.956223017038383
P15-21,Suz12,9.575817085887131
P15-21,Taf1,6.719797045430201
P15-21,Taf3,6.68115035003985
P15-21,Tbx21,-4.7585182809644095
P15-21,Tcea1,7.401537731183568
P15-21,Tdg,4.858411688884946
P15-21,Tet1,14.829724987529632
P15-21,Tet2,0.6734119573465414
P15-21,Tet3,19.278672192941624
P15-21,Trim24,-14.316700876341176
P15-21,Trim28,-10.178122738997489
P15-21,Trim33,-17.480591073127812
P15-21,Trim66,1.7806998142482644
P15-21,Ube2a,-10.600559914141698
P15-21,Ube2b,-19.79647782288639
P15-21,Ube2e1,11.814413602071717
