GeneName,q4minusq1_nbPctg
Bcl6,9.969854652557762
CD4,-5.09847457372674
CDK9,-33.89472836776148
Ccnt1,-20.44230437755886
Cd14,3.399220869164438
Cd19,-5.090621945091027
Fosb,-8.543580688630627
Hes1,0.997815109778268
Id2,10.491311228563232
Id3,-14.994714431962038
Klf12,-0.039995444392542844
Klf2,-12.719008114379864
Ms4a1,10.174978026293356
Nfatc3,-6.924212323097235
Rpa3,5.182957844170705
Runx3,-13.39656034144366
Satb1,0.026244920611948903
Scmh1,-4.776372795326985
Scml2,-1.5381661945409348
Scml4,2.720579493671463
Setd1a,-8.408752772526078
Setd2,-2.239559994459695
Setd3,4.047376392183385
Setd4,0.8320705709911049
Setd5,-4.196691333379295
Setd7,-27.9431644685107
Setd8,0.5594106704217952
Setdb1,1.505500383514173
Setdb2,7.450783311769106
Setmar,0.5264320633960136
Sfmbt1,-4.919360833742932
Sfmbt2,-20.96298838967854
Sgk1,12.283787003696787
Sin3a,7.482382510702181
Sin3b,-5.29145348139435
Sirt1,-0.9312370724837109
Sirt3,-12.97354170561037
Sirt4,-14.168352135760491
Sirt5,-11.644243502602553
Sirt6,-5.602200707652578
Sirt7,-13.195928959782842
Smarca1,3.4905883967950952
Smarca2,2.7323108426612897
Smarca4,6.946763702150627
Smarca5,2.539388273616769
Smarcc1,1.2341673232322965
Smarcc2,-7.0830118117362275
Smarcd1,-10.64582231066676
Smarcd2,18.221850544253936
Smarcd3,-18.588071505720983
Smarce1,17.76757908874106
Smyd1,1.1435494208591213
Smyd2,-20.48510811154002
Smyd3,-15.226186623667092
Smyd4,10.442740691549822
Smyd5,4.554884258214594
Sp100,16.084922368653068
Sp110,-6.68413029602155
Sp140,6.552923240029184
Ssrp1,-11.306655685628389
Supt16h,0.8564130025385754
Suv39h1,-8.311354353669444
Suv39h2,-13.209971605339033
Suv420h1,-7.77476412138748
Suv420h2,2.9369147926084747
Suz12,4.3897679779790835
Taf1,-6.158239459648531
Taf3,-16.40065243672631
Tbx21,5.7401462734891
Tcea1,-5.215037563118292
Tdg,-3.5673049063520423
Tet1,-8.766844934464967
Tet2,4.685572914462245
Tet3,-10.363083437419776
Trim24,-1.3227686533319538
Trim28,5.126968494962044
Trim33,-1.6802054447131454
Trim66,-8.997735086682008
Ube2a,0.8199707789985666
Ube2b,-5.549914883486885
Ube2e1,-7.072973756587049
Ube2i,-5.615771269898129
Uhrf1,-12.284974838555875
Usp22,-0.5461514375883674
Usp27x,-4.215248242860959
Usp51,-1.4003663803548019
Wbp7,-2.964690501962126
Wdr5,-12.176451262212929
Wdr82,-4.00388549243476
Whsc1,7.145649090358518
Whsc1l1,2.8709213620711984
Zmynd11,-3.46749891322645
Zmynd8,13.515066823146467
