type,shRNA,count,pctg,nbPctg
target,Asxl2.4,446491,7.071570967297958,99.92976825710143
target,Elp4.4,379741,6.014377514200048,99.86344642171655
target,Hltf.3,350640,5.553472844857692,99.8164621884051
target,Asxl3.1,341465,5.408158239132249,99.7983544780417
target,Hat1.3,304992,4.830495065876218,99.70552489201783
target,Hells.4,141136,2.2353266696093863,98.12485800318333
target,Ezh1.2,103079,1.6325759393539985,96.9101587471646
target,Cbx3.1,101517,1.6078368206462992,96.84266975531528
target,Epc2.4,99330,1.573198886834687,96.74510356539491
target,Bmi1.4,88458,1.401007018339099,96.20052218089349
target,Gtf2b.1,83811,1.3274073482784852,95.93293250733679
target,Dnmt3a.4,76497,1.2115674544064536,95.4607388598434
target,Chd8.2,61665,0.9766566934124732,94.25671730420714
target,Brd3.2,61216,0.969545384641822,94.21385670662427
target,Arid2.2,60865,0.9639862100794646,94.18004266755133
target,Hdac8.4,59975,0.9498902973714924,94.09306577721861
target,Chd9.4,59114,0.9362536896843419,94.00719612971238
target,Hdac2.1,55998,0.8869021571022732,93.68143860506024
target,Asxl3.2,55118,0.8729646254359636,93.58492905835782
target,Atad2b.1,55010,0.8712541101860075,93.57294495850951
target,Ing3.3,52168,0.8262422181454941,93.24566232289543
target,Baz1b.1,48907,0.7745941604593177,92.83971713788473
target,Asxl3.4,48188,0.7632065635637761,92.74543063232173
target,Ing5.2,44511,0.7049698545444352,92.23327538597276
target,Crebbp.3,42531,0.6736104082952388,91.9347126378752
target,Fkbp1a.1,41982,0.6649152891079616,91.8488352560887
target,Ercc5.1,41757,0.6613517156705528,91.81323013637797
target,Fkbp1a.4,41490,0.6571229418581612,91.77067098109558
target,Jarid2.1,37646,0.5962412694430547,91.11791696556134
target,Atr.3,36054,0.5710270076103674,90.82343183839208
target,Ehmt2.1,35868,0.5680811202354429,90.78800900320626
target,Baz1a.2,34506,0.5465096223609957,90.52177544828093
target,Asxl2.1,33182,0.5255399724448664,90.2507796868527
target,Cbx5.2,32057,0.507722105257823,90.01037307149502
target,Ing2.1,31960,0.5061858091536957,89.98917449797909
target,Hira.4,31717,0.5023371498412943,89.93577304492133
target,Baz1b.2,31549,0.4996763483413625,89.89856614990987
target,Jmjd1c.4,31171,0.49368954496651585,89.81400846891475
target,Fbxl19.1,30633,0.48516864492506756,89.69159663217286
target,Epc2.3,30363,0.4808923568001771,89.6292313466171
target,Atad2b.3,30099,0.47671109730028427,89.56763246008936
target,Arid2.1,29001,0.4593208589257299,89.30460503804555
target,Dnmt3b.2,28993,0.4591941540923998,89.30265808749529
target,Epc2.2,28948,0.4584814394049181,89.29162963951498
target,Ash1l.1,28430,0.450277301446795,89.16331255403458
target,Dnmt1.2,27756,0.43960241923873516,88.99232450456665
target,Jarid2.2,27695,0.43863629488459327,88.9766205440232
target,Brd9.3,27566,0.43659317944714565,88.9432794343955
target,Ing4.3,26643,0.42197460930168695,88.6994638064204
target,Atad2.3,25483,0.40360240846882434,88.37930958239023
target,Chd1.3,24888,0.39417873648989915,88.2087417184458
target,Chd3.1,24495,0.3879543615525587,88.09360220526457
target,Hdac2.3,24113,0.38190420576104706,87.97971526808094
target,Gadd45b.2,23680,0.3750463066570561,87.84819835197271
target,Brpf3.1,22772,0.36066530807409125,87.56366440447854
target,Hat1.1,21914,0.3470762146994395,87.28323088271642
target,Jmjd4.2,21666,0.34314836486620687,87.19995252985275
target,Aff4.2,21661,0.34306917434537554,87.19826704037716
target,Cbx3.3,21560,0.3414695258245832,87.16404146087096
target,Jmjd1c.2,20978,0.3322517491998194,86.96343716110353
target,Cbx1.4,20916,0.33126978674151125,86.9417151197711
target,Chd5.1,20847,0.3301769575540392,86.91745646924794
target,Chaf1b.1,20557,0.3255839073458236,86.81456835342613
target,Gtf3c4.1,19972,0.31631861640856096,86.60222026959602
target,Gtf3c4.4,19933,0.3157009303460768,86.58782101906058
target,Epc1.3,19812,0.31378451974195926,86.54298740921321
target,Ep400.1,19662,0.31140880411702015,86.48698399794945
target,Ezh1.3,19653,0.31126626117952383,86.48362268887232
target,Brd1.2,19153,0.3033472090963934,86.29354834782245
target,Asxl1.4,19084,0.3022543799089214,86.26690191571102
target,Ctsl.1,18948,0.30010039774230995,86.21408979985024
target,Bop1.2,18280,0.2895205441592477,85.94874722928989
target,Jhdm1d.1,17863,0.28291605472191694,85.77790294788755
target,Ctsl.2,17680,0.2800176816594912,85.70158244046515
target,Baz2a.1,17624,0.27913074782618064,85.6780655767123
target,Epc2.1,17538,0.2777686708678822,85.64180277526422
target,Dnmt3a.1,17268,0.27349238274299176,85.52673762077451
target,Atrx.3,17027,0.2696753996389229,85.4224288160305
target,Ino80.2,16646,0.26364108195157754,85.25436210988794
target,Brd1.1,16595,0.26283333863909825,85.2315540009441
target,Cbx5.4,16534,0.2618672142849563,85.20419032826341
target,Dnmt3a.3,16220,0.25689404957675044,85.06164636322879
target,Ehmt2.3,15923,0.25219013263937096,84.92416307050435
target,Ash2l.1,15868,0.2513190369102266,84.89841628210358
target,Cbx3.4,15537,0.24607662443119427,84.74146460398191
target,Ezh2.4,15320,0.2426397558271157,84.63669889925733
target,Chd2.4,15008,0.2376982673272423,84.48338982124928
target,Gtf2f1.3,14761,0.2337862555981759,84.35967587493349
target,Hdac9.2,14387,0.22786280463999434,84.16824986417288
target,Dub2a.4,14371,0.22760939497333418,84.15996189688818
target,Aff4.4,14339,0.22710257564001382,84.14332499079684
target,Ep400.2,14020,0.22205022041097666,83.97545112392405
target,Fbxo44.1,13844,0.21926271407771472,83.88113845718298
target,Atrx.4,13719,0.21728295105693216,83.81341716958022
target,Gadd45b.4,13678,0.21663358878611544,83.79108347326219
target,Eed.4,13284,0.21039337574460867,83.5728280154834
target,Cbx4.2,13055,0.20676644989053497,83.44294170400805
target,Elp4.1,12858,0.20364634336978155,83.32936085472033
target,Brwd3.1,12684,0.2008905132448522,83.22756488550081
target,Baz1a.4,12447,0.19713688255744835,83.08662634428245
target,Brd8.4,12396,0.19632913924496906,83.05597714216046
target,Hdac2.2,11854,0.18774488678685572,82.72188870418111
target,Atad2.1,11643,0.18440304680777467,82.58772928966393
target,Atr.2,11294,0.17887554845374964,82.36034147317271
target,Chd1l.3,11195,0.17730757614128984,82.29457090284671
target,Cbx8.2,10656,0.16877083799567524,81.92604571189773
target,Ing3.4,10582,0.16759881828737194,81.87401828225991
