,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 11,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:15:40 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
B02,Nap1l2.1,B02,Sample,97.37991266,68.18181818,66.66666667,49.9272198,34.33014354,31.043257,8312.359464,1506.752358,1257.716569,293.1256341,188.4584565,126.057799,339.5614329,512.8033763,304.4182859,24.01746725,27.27272727,27.2264631,2138.006037,1257.604695,1050.635013,1356.388715,466.7673032,335.9518199,9328,6472,1374,836,393,4729
B03,Padi1.1,B03,Sample,98.07497467,75.11811024,62.72040302,50.35460993,44.72440945,28.71536524,9764.678644,2452.698212,1146.855982,342.0727755,339.099604,110.4115513,111.5310965,145.7247303,402.2021837,29.68591692,33.85826772,30.47858942,1681.286777,1208.500896,1051.390047,1299.824952,433.8329163,238.1516117,7255,5294,987,635,397,3769
B04,Padi4.1,B04,Sample,96.42857143,60.70460705,68.32579186,41.86507937,34.14634146,34.84162896,7321.064271,1452.144135,1594.060231,189.6908521,209.4726512,217.2319432,254.9989501,653.2175928,294.9153553,30.15873016,37.12737127,34.84162896,1428.859614,1203.134808,969.5306813,795.5554994,337.7373029,268.9831504,8233,5941,504,369,663,4401
B05,Orc1.1,B05,Sample,98.79275654,80.25276461,71.49837134,58.55130785,41.70616114,40.87947883,10593.77472,2940.385408,1962.445161,543.6138147,253.0634902,228.8405961,297.5269137,634.3965394,385.3865147,31.69014085,40.91627172,34.8534202,2290.898521,1946.464772,1388.78797,1282.907524,624.2623131,281.9352247,10580,7252,994,633,614,5660
B06,Ncoa1.1,B06,Sample,99.05397885,80.35555556,74.52692868,58.04117974,46.4,35.95342067,10193.86185,3419.982282,2128.326088,456.4569292,302.3010229,209.7118458,206.8016758,387.5208937,366.7199804,24.81914302,35.46666667,33.18777293,2277.75908,1732.046756,1431.011072,1409.943399,549.4746151,316.6527205,14538,9578,1797,1125,687,7670
B07,Pcgf1.1,B07,Sample,98.97372742,72.25031606,72.11055276,56.23973727,43.04677623,33.29145729,11147.75052,2181.918213,1802.738349,388.9172553,271.1127628,200.0248468,139.9337252,341.8390646,366.8998572,20.73070608,27.56005057,31.65829146,2070.197465,1475.532492,1295.248475,1271.941384,464.474299,274.4681991,17683,11924,2436,1582,796,9351
B08,Parp1.1,B08,Sample,98.55491329,72.84946237,67.94871795,61.79190751,41.4874552,36.79487179,8729.733468,2096.39826,1515.195388,541.4884911,245.6557384,221.8724604,129.4463564,369.8411114,336.0182646,26.3583815,31.81003584,32.69230769,1900.313719,1804.094267,1384.233491,1304.470285,521.4336523,316.3071335,14469,9771,1730,1116,780,7580
B09,Ncor2.1,B09,Sample,98.40525328,72.99578059,74.03100775,49.81238274,38.46694796,41.08527132,8593.565465,2104.834213,2012.514689,276.0165806,207.9025254,257.1737964,243.6929872,607.3185847,244.3793243,27.67354597,38.8185654,33.20413437,2094.004763,1645.498961,1255.88806,1375.171556,549.0285993,328.8016157,16765,11211,2132,1422,774,8731
B10,Nap1l3.1,B10,Sample,100,70,70.53976102,59.64912281,38.33333333,37.33003708,7460.825201,1333.103258,1763.810719,442.0129125,191.2354888,205.5006784,199.1450102,962.6517487,280.250822,35.0877193,36.66666667,36.54717759,1853.919035,1300.938573,1409.702364,1108.875335,547.2518316,353.059072,17253,11773,57,60,2427,8788
