Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Pcgf2.1,87.5,62.5,4170.599389,1611.945827,1449.889701,50,2366.521026,2260.635191
B03,Phf20.1,97.46258946,56.86402082,8316.631084,372.7362698,390.3379782,32.98633702,2111.729058,1650.151983
B04,Phf20l1.1,98.08890735,65.10178646,7764.32445,644.8962633,193.1036313,33.69339427,2223.98236,1928.850942
B05,Phf2.1,97.34432234,44.41391941,7273.331699,192.5391642,145.8422004,32.41758242,1995.632298,1250.41741
B06,Pcgf6.1,97.65297569,57.25062867,6864.323242,456.7739283,222.1520801,27.66135792,2032.574668,1521.441173
B07,Prdm1.1,97.99461971,45.65908535,7445.772589,224.7871892,206.3108011,26.80361947,2309.795416,1344.717989
B08,Phip.1,98.22134387,64.47628458,8343.212139,684.0301355,158.2151855,25.44466403,2028.386423,1366.41347
B09,Phf1.1,97.27371865,41.54852781,6693.403079,177.5742856,300.01535,37.84078517,2327.518546,1364.77122
B10,Pcgf5.1,97.54318618,41.45873321,7519.503525,184.2165048,174.130869,39.07869482,1940.739028,1535.888171
B11,Polr2b.1,95.3817734,41.19458128,6285.632918,165.8111588,196.6152634,25.24630542,1951.029657,936.6838121
C02,Phip.2,98.18181818,50.26737968,7466.366978,295.6356394,131.9484562,37.11229947,1842.596744,1708.687334
C03,Pcmt1.1,97.37182249,52.26195605,6509.527057,339.0578152,213.8247762,38.64713486,2022.10544,1433.363931
C04,Pcgf2.2,96.71474359,52.32371795,5890.190708,354.3579025,247.544671,35.41666667,1969.495539,1543.984515
C05,Polr2b.2,96.58273381,56.47482014,6634.337867,480.1438935,272.853285,30.75539568,1856.482808,1052.575748
C06,Phf8.1,98.32214765,55.20134228,8218.729095,414.8884481,195.3173442,24.32885906,2176.037222,1308.403368
C07,Phf20l1.2,96.16541353,52.48120301,6212.568827,361.5681059,270.6044126,31.12781955,2239.824764,1217.895261
C08,Pcgf6.2,96.06634063,42.93004465,5716.989553,233.05205,223.6345482,23.49564108,2160.710984,818.3430527
C09,Ppargc1a.1,97.75805698,50.2568893,8234.054785,321.2956459,204.1203197,25.40868753,1781.173908,1093.688448
C10,Phf20.2,96.81892333,52.28384992,7089.067771,358.7910043,241.6998922,28.14029364,1773.676744,970.0127617
C11,Phf19.1,98.1521272,48.81822089,8622.212116,276.8764986,252.5830088,20.88525999,2303.984947,1264.037654
D02,Pcgf5.2,98.16326531,51.36054422,6906.022081,384.8615807,157.7869523,42.58503401,1970.116112,1321.48885
D03,Ppargc1a.2,97.46308217,59.48504354,8219.001582,541.9834636,212.818284,32.97993184,2254.738934,1468.737125
D04,Phf20.3,97.10344828,72.27586207,6890.394969,1048.398265,233.907443,32.82758621,2405.682558,1542.557443
D05,Phc1.1,98.30124575,59.34314836,8379.86879,505.0829642,204.8518784,35.33408834,2114.276278,1780.919926
D06,Pcmt1.2,95,50,6050.287129,495.8554311,341.1566547,55,2384.159145,569.9760473
D07,Ppargc1a.3,98.17813765,56.57894737,7994.973001,435.7560054,207.4612021,35.52631579,2151.965554,1228.773079
D08,Phf8.2,97.26134585,58.45070423,6517.908302,495.5991868,186.0504473,30.98591549,2019.696658,1227.455458
D09,Phf1.2,96.4556962,52.82700422,6605.62244,363.2351471,183.2858053,29.02953586,1962.473212,1145.009882
D10,Pcgf2.3,97.86204115,56.75675676,7589.535499,478.3234226,238.0555641,30.09277935,2346.5349,1234.752461
D11,Prdm1.2,98.12593703,41.15442279,8957.882433,175.2486797,159.6601902,28.73563218,2144.273178,979.6042436
E02,Phf19.2,98.54251012,57.5708502,8247.960838,557.817924,175.8918073,37.81376518,2090.443442,1179.969886
E03,Phf2.2,98.80668258,52.2673031,8094.965692,391.640141,186.6400648,41.76610979,1802.629673,1251.601722
E04,Pcgf2.4,97.51116784,57.49840459,5976.940924,497.1484257,161.0726938,44.03318443,1815.452639,1333.124629
E05,Phip.3,96.2962963,41.97530864,5385.389884,270.6428707,124.9010279,36.96844993,1651.694216,1059.09218
E06,Phf20l1.3,96.3036963,44.25574426,5212.805635,329.9270371,182.2671811,38.56143856,1632.605919,1249.836187
E07,Phc1.2,96.62527857,58.2298631,5853.873302,524.0379658,208.3457117,37.15377268,2077.41131,1325.03371
E08,Pcgf5.3,96.44539615,39.48608137,4941.655328,247.9790539,171.2849891,37.60171306,1531.311797,1024.422884
E09,Polr2b.3,97.89303079,53.97082658,8365.143663,434.0590386,207.8651965,31.03727715,2208.809767,1151.366411
E10,Phf8.3,96.7525196,52.51959686,7239.903076,340.2774061,186.7218434,25.75587906,2153.629015,1144.954061
