,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 12,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:15:10 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
B02,Pcgf2.1,B02,Sample,87.5,80,70.79261672,62.5,40,40.98805646,4170.599389,2949.41198,1762.863874,1611.945827,407.6254931,212.8164819,1449.889701,455.3998392,235.660523,50,80,35.93919653,2366.521026,1742.296314,1347.981933,2260.635191,272.5101436,449.3908293,18288,13320,8,5,1842,9965
B03,Phf20.1,B03,Sample,97.46258946,72.52851711,72.06385405,56.86402082,37.92775665,36.94412771,8316.631084,1981.545335,1775.729449,372.7362698,217.636626,192.394946,390.3379782,677.7427296,245.575066,32.98633702,37.07224335,38.19840365,2111.729058,1322.933136,1212.100676,1650.151983,572.7939643,384.1570123,15979,11539,1537,1052,877,8482
B04,Phf20l1.1,B04,Sample,98.08890735,74.06483791,68.13495783,65.10178646,50,40.67478913,7764.32445,1983.945094,1431.203581,644.8962633,381.2486258,211.1785923,193.1036313,339.0330119,237.980496,33.69339427,41.20947631,34.67666354,2223.98236,1830.105189,1263.24264,1928.850942,689.3799099,367.8738142,18522,12502,2407,1604,1067,9540
B05,Phf2.1,B05,Sample,97.34432234,69.94301994,65.37530266,44.41391941,38.88888889,36.46489104,7273.331699,1979.298722,1297.951053,192.5391642,172.4162748,161.3644726,145.8422004,348.0657784,287.125155,32.41758242,36.89458689,36.46489104,1995.632298,1413.107305,1353.487455,1250.41741,424.4641141,338.9264636,21957,15233,1092,702,2065,11524
B06,Pcgf6.1,B06,Sample,97.65297569,68.9258312,65.46961326,57.25062867,41.30434783,39.08839779,6864.323242,1803.138819,1603.922878,456.7739283,230.8594922,204.9223626,222.1520801,346.6269391,213.5663086,27.66135792,31.32992327,29.76519337,2032.574668,1423.777787,1153.171734,1521.441173,464.9996546,304.3131614,18078,12621,1193,782,1448,9370
B07,Prdm1.1,B07,Sample,97.99461971,65.85879874,64.1815235,45.65908535,29.29399368,34.84602917,7445.772589,1193.29666,1015.297202,224.7871892,109.0986627,150.4663358,206.3108011,451.6703291,144.3795962,26.80361947,36.98630137,39.22204214,2309.795416,1564.504639,1079.050483,1344.717989,545.7331123,275.2830152,19756,13530,4089,1898,617,9930
B08,Phip.1,B08,Sample,98.22134387,67.93154762,62.97435897,64.47628458,48.36309524,40.1025641,8343.212139,1845.195329,1349.946173,684.0301355,337.5487516,245.0555783,158.2151855,351.8943389,269.3945496,25.44466403,36.45833333,32.1025641,2028.386423,1623.350309,1264.308867,1366.41347,514.1267888,360.674261,17619,11620,2024,1344,975,8566
B09,Phf1.1,B09,Sample,97.27371865,67.0212766,61.93895871,41.54852781,37.33075435,37.79174147,6693.403079,1555.621091,1092.465585,177.5742856,228.4785001,222.5874827,300.01535,420.0577514,303.1168969,37.84078517,41.19922631,35.36804309,2327.518546,1533.971799,1241.338887,1364.77122,564.0167232,363.0185554,21569,14101,917,1034,2228,10240
B10,Pcgf5.1,B10,Sample,97.54318618,71.30905512,64.76079347,41.45873321,40.99409449,41.19019837,7519.503525,1766.186628,1262.547853,184.2165048,219.1052225,254.4963719,174.130869,304.3012657,281.9204132,39.07869482,42.17519685,40.14002334,1940.739028,1856.507256,1349.936916,1535.888171,579.0918497,448.4291003,17881,11956,2605,2032,857,8693
B11,Polr2b.1,B11,Sample,95.3817734,61.68009206,50.79178886,41.19458128,31.53049482,27.21407625,6285.632918,1042.813899,729.2482978,165.8111588,123.6850353,118.569871,196.6152634,392.0498408,354.7833025,25.24630542,30.72497123,32.4340176,1951.029657,1272.65246,1038.544962,936.6838121,385.1780101,254.2902358,21300,14778,1624,869,1705,10496
C02,Phip.2,C02,Sample,98.18181818,68.4073107,65.10067114,50.26737968,37.59791123,30.48897411,7466.366978,1409.340212,1156.322748,295.6356394,198.5624775,133.8076849,131.9484562,217.4144341,228.956251,37.11229947,42.81984334,41.03547459,1842.596744,1503.370734,1270.658334,1708.687334,683.4271218,385.4052889,14110,9929,935,766,1043,7122
C03,Pcmt1.1,C03,Sample,97.37182249,67.46987952,67.67810026,52.26195605,33.92517438,34.30079156,6509.527057,1585.830799,1429.076345,339.0578152,147.7158975,162.8065217,213.8247762,345.9912788,196.6594344,38.64713486,49.77805961,39.97361478,2022.10544,1619.611915,1376.570645,1433.363931,635.2124886,423.5574479,16698,11314,2321,1577,758,8117
C04,Pcgf2.2,C04,Sample,96.71474359,69.7292863,63.48837209,52.32371795,39.86874487,33.79844961,5890.190708,1707.922146,1103.800406,354.3579025,224.804411,172.1176423,247.544671,391.4090095,208.0465078,35.41666667,44.38063987,42.01550388,1969.495539,1746.576754,1184.951044,1543.984515,791.5554204,392.0971872,18067,12138,1248,1219,1290,8547
C05,Polr2b.2,C05,Sample,96.58273381,56.99373695,61.87535093,56.47482014,37.5782881,31.66760247,6634.337867,1096.317602,1202.56969,480.1438935,174.7226573,119.5161354,272.853285,377.9550134,265.6622214,30.75539568,38.8308977,42.22346996,1856.482808,1348.96929,1201.73375,1052.575748,487.9992426,316.5502981,17322,11533,556,479,1781,8364
C06,Phf8.1,C06,Sample,98.32214765,70.657277,68.16326531,55.20134228,41.62754304,36.53061224,8218.729095,1870.753636,1582.209693,414.8884481,231.9327762,160.6080349,195.3173442,422.3078133,321.3662382,24.32885906,34.97652582,32.04081633,2176.037222,1706.341045,1368.163188,1308.403368,670.1193959,425.1919861,14543,9563,2384,1278,490,7320
C07,Phf20l1.2,C07,Sample,96.16541353,60.49469965,56.13593455,52.48120301,31.51943463,30.89993707,6212.568827,1009.68408,875.1784443,361.5681059,119.2512356,143.0031177,270.6044126,559.6214814,246.1319102,31.12781955,37.87985866,35.93455003,2239.824764,1577.951694,1078.931588,1217.895261,392.5775347,271.6109994,19878,13644,1330,1415,1589,9750
