Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Mll1.1,98.42312746,51.21550591,10885.74051,283.433294,140.2167691,34.29697766,2198.332894,1386.099005
B03,Mta3.1,97.74951076,56.55577299,8653.941916,430.1333803,148.853673,37.81800391,1948.695689,1257.657665
B04,Mtf2.1,98.53946551,54.10192666,10149.34261,429.3627892,154.2458463,22.59167185,2307.534503,942.4386843
B05,Mta2.1,98.52539596,64.00873839,9999.288767,720.6627174,154.8779812,24.3036592,2310.337795,1131.64784
B06,Mll3.1,97.01492537,67.1641791,6658.636892,749.914128,207.0719883,46.26865672,2254.747953,1476.459838
B07,Nap1l1.1,97.87775891,58.38992643,7864.6157,479.1847243,279.9899418,21.87323147,1849.690736,1530.305311
B08,Myst2.1,93.16596932,44.63040446,5385.871026,232.8811278,272.4614022,27.05718271,1833.000961,1068.655277
B09,Msl3.1,97.45475113,60.35067873,8120.659827,500.9131731,252.9030507,35.69004525,2248.449481,1628.739161
B10,Mll2.1,82.27469238,56.90056535,2567.764499,416.2650193,345.9550324,41.66943798,1967.312302,1322.412942
B11,Myst3.1,98.18235995,75.44696067,7538.653207,1191.727883,135.8416188,23.30154946,2055.731105,1172.227463
C02,Myst2.2,96.75625579,68.48934198,8561.680097,957.3771083,309.6634453,39.24930491,2360.169465,1074.780081
C03,Mll5.1,99.39804364,61.66290444,13140.82881,611.2911215,94.95449061,30.39879609,2090.293101,1141.376991
C04,Mll1.2,98.76441516,66.18616145,9754.476129,780.8498922,203.6599799,28.37726524,2356.499823,1201.97267
C05,Myst3.2,98.09596344,55.36938309,9836.895927,466.9450148,276.81769,27.15156131,2292.105404,896.196755
C06,Myst1.1,99.04534606,61.4797136,13014.28959,581.1373702,84.92377682,22.72076372,1979.852434,1082.67478
C07,Mtf2.2,98.01980198,50,9736.266869,375.2026669,96.24061394,20.95709571,1846.388283,920.4049477
C08,Mll3.2,98.75827815,54.26324503,10085.7567,357.8652705,200.2561172,24.83443709,1710.325994,1642.547139
C09,Myst4.1,98.7699877,49.56949569,9734.912417,257.0134411,128.7992354,27.0602706,1891.259881,1507.207088
C10,Mta3.2,98.84805266,53.09928689,10073.75123,364.8657766,166.1651022,29.40208448,2174.045938,1304.508636
C11,Mta1.1,58.42992624,52.71338251,537.3435858,390.3538621,547.864117,46.86512118,1941.315407,1083.266218
D02,Mll2.2,72.72727273,60.60606061,1798.90346,652.7589654,430.1867535,48.48484848,2158.457765,1244.424723
