Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Prmt1.1,99.42575882,52.33798195,12895.45328,331.5868654,1494.513675,27.89171452,1679.420881,1280.567742
B03,Rbbp4.1,98.16933638,46.8344775,9052.705417,211.1667189,1141.386297,37.14721587,1510.652094,1492.548487
B04,Rbbp5.1,98.46517119,58.5596222,9258.391915,425.4998218,1095.591215,34.7107438,1720.868362,1100.658433
B05,Psip1.1,80,40,3854.619689,872.5273887,526.2481501,60,1212.854394,777.517117
B06,Prmt3.1,98.7012987,67.05146705,10577.75878,702.4224776,1111.326744,30.06253006,1603.673633,1429.518623
B07,Rnf40.1,98.94039735,63.48785872,12150.52531,582.9832141,1117.128309,31.61147903,1367.819732,1410.205129
B08,Ring1.1,96.68530351,49.12140575,7081.682724,335.7038156,922.6479003,37.61980831,1187.071036,1015.224524
B09,Prmt7.1,98.43937575,62.60504202,8809.626837,512.9250366,1018.88139,32.4729892,1483.360307,1427.687423
B10,Prmt2.1,96.56209712,56.1237645,7726.870792,405.2365123,1347.223709,30.16759777,1451.461026,1054.043612
B11,Rnf20.1,97.18820862,55.60090703,9228.041881,370.8402238,1141.310041,36.55328798,1598.011681,1145.758674
C02,Ring1.2,98.4863774,61.15035318,11781.61125,455.783389,1210.887221,31.78607467,1746.123669,1383.750673
C03,Prmt5.1,99.21962096,60.2006689,11165.97677,458.6232341,1150.670683,25.4180602,1706.544791,1138.339528
C04,Prmt1.2,98.60383944,59.5113438,10262.60432,442.0024226,848.0445184,27.39965096,1376.758623,964.0804401
C05,Rnf20.2,97.82003711,63.17254174,7472.957003,588.8469401,916.1858144,46.84601113,1285.564264,1442.347672
C06,Rbbp7.1,98.48357203,60.90985678,10034.02529,507.9052499,778.8431833,38.12131424,1628.679456,1032.77505
C07,Rbbp5.2,97.49478079,64.66597077,9048.639988,621.4382176,1103.476151,36.89979123,2138.330489,1374.70885
C08,Prmt3.2,99.14977109,59.58142577,9829.583173,472.776337,887.4510368,47.67822106,1701.777684,1282.176106
C09,Rnf217.1,96.73348181,53.67483296,8673.912357,360.9365425,702.8103245,42.01930215,1331.047134,1097.129966
C10,Rbbp4.2,97.04797048,61.80811808,9027.916751,605.4962731,546.3090928,41.14391144,1497.218993,828.3937663
C11,Prmt8.1,99.11075182,61.84316896,10571.08476,622.6735488,802.879136,32.25545675,1621.591249,1092.762384
D02,Prmt2.2,98.76695438,59.18618989,11283.45236,451.5426253,739.0906838,35.51171393,1666.071553,1385.077066
D03,Rnf217.2,99.26565875,71.14470842,14872.08055,894.0559975,1380.271783,30.58315335,1466.010569,1215.019196
D04,Rbbp4.3,92.01841903,57.40598619,4830.15113,477.1286504,629.4070157,29.00997698,1962.181777,1322.506327
D05,Prmt6.1,97,51.34782609,7568.772396,310.5919749,1161.897077,51.47826087,1437.695392,1118.112365
D06,Prmt5.2,99.10946197,54.95361781,9917.533728,359.123204,923.083179,46.67903525,1577.097978,1175.98762
D07,Rnf217.3,95.14563107,64.02912621,7993.212821,581.2257946,828.2053523,51.50485437,1873.412597,1450.762889
D08,Rbbp7.2,98.71345029,67.60233918,10110.23639,740.9706176,620.1878768,39.29824561,1644.156483,804.0992787
D09,Prmt7.2,98.17739976,57.59416768,9196.649739,396.4446232,778.0714553,42.60834346,1569.312828,1407.69717
D10,Prmt1.3,98.18256919,66.50144568,10327.03607,731.7051393,933.8462401,40.10739364,1833.461384,1089.949165
D11,Rnf40.2,98.37869137,50.95541401,9682.521015,243.9362482,932.8679606,43.02258251,1982.900696,1111.409799
E02,Prmt8.2,97.84263959,64.4035533,9822.259631,661.5984473,735.4807744,37.94416244,1708.322869,1304.846128
E03,Psip1.2,99.18819188,57.04797048,11010.46976,396.0625624,896.3760243,33.13653137,1694.368906,1150.277799
E04,Prmt1.4,98.74664279,62.48880931,9345.315754,534.519599,950.2889634,36.61593554,1821.021579,1453.864754
E05,Ring1.3,98.7434555,71.44851658,10303.21291,1026.185998,809.7687648,34.2408377,1289.442103,874.6343577
E06,Rbbp5.3,96.84579439,58.11915888,7612.199683,502.9429813,608.6427271,41.82242991,1606.276412,1158.669395
E07,Prmt6.2,97.14652132,53.73517153,7779.677992,360.4970495,941.8220741,42.54568772,1587.230586,1031.397167
E08,Prmt2.3,98.3310153,65.43810848,9975.50864,687.8248661,929.9211734,45.68845619,1774.606189,1268.049192
E09,Rnf20.3,98.58525689,69.32241251,10638.70347,877.1299033,1068.213551,45.49516009,1514.393269,1102.007013
E10,Rbbp7.3,97.8021978,56.8986569,9432.921448,394.4903835,802.3969509,52.13675214,1819.465046,1114.279901
E11,Prmt7.3,98.74008399,45.87027531,12027.18901,203.3977881,1122.080511,38.45076995,2149.583436,923.0192209
F02,Prmt3.3,99.04076739,56.83453237,11594.82503,440.0188998,810.2815285,42.20623501,1914.680089,947.6919393
F03,Rnf40.3,98.91657638,77.24810401,13707.13453,1312.102405,811.329049,27.51895991,2082.18534,1043.90156
F04,Rbbp5.4,98.10366625,54.55120101,9112.65014,394.2876295,604.7602882,35.90391909,1643.651694,941.6161033
F05,Prmt6.3,99.13275517,63.24216144,11832.78405,584.846916,614.9516983,35.95730487,1501.043821,851.7445684
F06,Prmt5.3,98.93483709,53.88471178,10652.52922,306.912471,676.299049,38.4085213,1945.758834,1071.129087
F07,Ring1.4,99.20098341,38.19913952,14649.60408,147.602083,437.8102799,21.88076214,998.261009,623.261521
F08,Psip1.3,98.54906453,39.28980527,11481.34197,191.189177,574.0799417,22.22222222,1711.702285,675.4117163
F09,Prmt8.3,98.98167006,55.532926,10256.91121,379.9864558,853.1656676,40.80108622,1862.972071,1099.915247
F10,Prmt5.4,98.69240349,57.84557908,9693.209417,453.4112691,707.4760855,29.5765878,1851.2651,1068.737348
F11,Rnf20.4,98.88080582,64.46558478,10696.47813,559.2578865,755.8417193,43.42473419,1748.41007,1248.601237
G02,Rbbp7.4,50,20,489.0557733,81.27130981,53.16314836,50,629.2562272,155.488192
G03,Prmt8.4,98.11594203,62.31884058,7672.986297,527.8265195,940.3122355,32.97101449,1661.517152,1110.139406
G04,Prmt2.4,98.81320949,65.58307534,9502.933576,705.4784944,627.2093631,28.94736842,1826.461128,794.5705188
G05,Rnf40.4,,,,,,,,
G06,Rnf217.4,,,,,,,,
G07,Prmt6.4,,,,,,,,
G08,Prmt3.4,,,,,,,,
G09,Rbbp4.4,,,,,,,,
G10,Prmt7.4,,,,,,,,
G11,Psip1.4,,,,,,,,
