,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 8,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:17:25 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
B02,Jmjd5.1,B02,Sample,97.67634855,60.98113208,59.94550409,57.26141079,42.41509434,26.70299728,7227.908639,1430.62592,1414.824676,453.6760597,254.9954549,126.232878,268.8866238,683.961019,449.859827,35.6846473,36,37.8746594,2308.309092,1699.559404,1184.145288,886.0407406,304.5299634,229.522909,13306,9405,2410,1325,734,6713
B03,Kdm2b.1,B03,Sample,94.73684211,51.69491525,59.4015366,59.64912281,32.20338983,33.72422159,6018.145414,836.9688962,1087.174909,350.6690302,149.9815019,150.9911404,156.2749471,339.7780824,413.3594158,56.14035088,38.98305085,39.58754549,1715.114834,1050.784794,1193.771269,1257.835065,259.7564478,293.5920495,14061,9622,57,118,2473,6701
B04,Kdm3a.1,B04,Sample,97.23849372,61.92703461,62.87964004,65.35564854,43.2647334,35.65804274,7362.939625,1251.635784,1244.388047,678.628229,278.9381277,225.0142511,287.0534694,567.2008752,371.5725546,41.12970711,40.7857811,38.92013498,2123.15653,1543.106062,1215.808229,1452.416031,521.7522094,296.543574,15961,10579,2390,2138,889,7546
B05,Kdm2a.1,B05,Sample,98.50746269,63.15789474,65.04941599,64.65671642,34.98074454,30.90745732,8346.925877,1362.661543,1394.063522,700.2066531,179.3362343,147.7835491,425.8733253,1017.993165,504.8810483,36.05970149,42.55455712,39.89218329,2545.324683,1755.396149,1294.817438,1205.511683,458.1944457,270.5994685,15158,10333,1675,1558,1113,7417
B06,Kat2a.1,B06,Sample,98.64479315,68.46321923,67.31651376,64.47931526,35.54260743,33.48623853,9222.333898,1836.204619,1582.617566,707.834028,176.7876301,153.4054403,378.192582,557.9505986,459.7026846,41.79743224,39.69410051,40.71100917,2294.355171,1771.408321,1414.99737,1270.274527,432.2312569,366.0667277,12814,9075,1402,1373,872,6766
B07,Kdm5a.1,B07,Sample,98.30009807,64.35424354,64.85981308,52.20660347,36.82656827,31.58878505,8787.403314,1346.029089,1326.736344,312.7984558,168.9666499,146.127297,319.5325032,782.1660579,446.259394,43.9686172,40.5904059,40,2197.321132,1788.650085,1334.389652,1603.885334,549.4260259,361.5949948,17088,10897,3059,2710,535,8026
B08,Kdm4a.1,B08,Sample,98.59038143,70.6185567,54.48430493,64.53841902,45.91065292,21.97309417,10678.89662,1935.74536,869.2960846,684.9422089,335.0443736,133.8938873,103.4758175,167.7312107,854.7426547,35.93145384,38.7628866,37.44394619,1943.240512,1538.942675,1612.077844,1498.784466,414.6628859,229.5992852,18299,11732,3618,2910,446,8557
B09,Kdm1a.1,B09,Sample,98.68708972,65.80572712,63.32982086,70.07658643,43.23413812,37.19704953,7504.274686,1273.28357,1400.281242,886.9502801,221.817976,225.1203763,463.413381,1453.514248,303.5823483,42.77899344,53.73385738,42.04425711,2397.721544,2257.950334,1417.225887,1453.638721,611.0020607,378.7100715,15184,10438,1828,1781,949,7839
B10,Jmjd6.1,B10,Sample,97.72348695,60.31662269,56.13275613,56.07995558,37.83641161,33.40548341,8011.51692,1182.110448,930.5547178,427.5461349,199.4089096,168.610462,255.7081842,700.0307195,372.7448434,37.86785119,37.25593668,37.44588745,2124.199635,1680.379339,1175.630109,1130.812373,412.9692269,278.6413838,17899,11439,1801,1895,1386,8159
