shRNA,Q1,Q2,Q3,Q4,exp
Atad2b.4,-2409.254601,16646.70431,-2699.807143,1863.405439,P1-7_rep1
Atm.1,10686.01203,9382.526097,10934.55412,-3249.765799,P1-7_rep1
Atm.2,-2571.271937,2441.378163,125117.3972,3075.390573,P1-7_rep1
Atm.3,53473.12778,5632.594346,48848.29732,-7022.34659,P1-7_rep1
Atm.4,-5701.859231,3842.644586,-8095.250319,-2933.202147,P1-7_rep1
Atr.1,-45146.66726,-41909.19074,44074.27141,-32205.5775,P1-7_rep1
Atr.2,-332114.5206,-317493.9389,-65615.85247,-330427.2535,P1-7_rep1
Atr.3,4988.717849,11723.59222,128197.6922,-1891.730883,P1-7_rep1
Atr.4,2075.317267,13803.56115,-9537.226359,-6824.53723,P1-7_rep1
Atrx.1,42.15395256,0,-3315.594007,0,P1-7_rep1
Atrx.2,6594.421488,-611.8227347,-17181.19499,5204.170815,P1-7_rep1
Atrx.3,-18754.21574,-39101.55231,29068.72077,-35293.61416,P1-7_rep1
Atrx.4,802.9980096,-11509.23194,-9760.079966,-2526.525198,P1-7_rep1
Aurkb.1,-34906.32256,-36264.41726,158185.5012,-61263.58108,P1-7_rep1
Aurkb.2,-221567.3161,-221612.8473,-24581.7616,-221584.4164,P1-7_rep1
Aurkb.3,-5896.396972,-5896.396972,-30623.32013,-5438.113293,P1-7_rep1
Aurkb.4,-2685.962929,-3109.864777,-5283.503784,468.6737486,P1-7_rep1
Baz1a.1,4472.593401,1088.338202,-2065.846947,3442.80894,P1-7_rep1
Baz1a.2,-553323.4707,-556921.2367,2603.888281,-555174.8796,P1-7_rep1
Baz1a.3,0,0,-2571.768649,0,P1-7_rep1
Baz1a.4,228.3414008,-3386.102006,123406.0175,3611.956912,P1-7_rep1
Baz1b.1,5825.091305,20778.22488,783.876779,263.7545888,P1-7_rep1
Baz1b.2,96884.35609,52764.89281,-612201.7972,30068.89038,P1-7_rep1
Baz1b.3,-3487.281843,-5159.263408,31874.64424,-10481.57589,P1-7_rep1
Baz1b.4,497.1132245,291.7220299,0,-79.63365633,P1-7_rep1
Baz2a.1,-6447.610352,-231.4943076,56862.33513,1889.332969,P1-7_rep1
Baz2a.3,0,0,0,0,P1-7_rep1
Baz2a.4,3726.037817,-1969.343725,40876.69559,3543.01161,P1-7_rep1
Baz2b.1,64500.37796,37042.45622,240040.4892,-6519.848191,P1-7_rep1
Baz2b.2,6522.413876,10298.34972,2299.319066,18608.13852,P1-7_rep1
Baz2b.3,25126.583,355.5822199,-115744.0886,694.595538,P1-7_rep1
Baz2b.4,10042.60749,13098.95763,22406.11603,13181.88592,P1-7_rep1
Bcl6,19457.01365,35516.79591,12492173.97,107019.4107,P1-7_rep1
Bcl6.2,-10866.05233,-9242.298414,9444425.719,1386.731116,P1-7_rep1
Bcl6.3,-14.31462171,-20.25516565,-1496.685033,-5.085344614,P1-7_rep1
Bmi1.1,-6381.463917,24225.67591,-28783.36557,4280.641894,P1-7_rep1
Bmi1.2,-7023.991042,-7576.132637,-26838.44478,-8465.732198,P1-7_rep1
Bmi1.3,-1923.285874,4423.120921,-11316.98663,-4022.555772,P1-7_rep1
Bmi1.4,-1362562.368,-1431567.015,165275.1998,-1416254.99,P1-7_rep1
Bop1.1,-2872.285369,1172.863312,-25047.81027,-3409.873777,P1-7_rep1
Bop1.2,-1201.172082,1728.820497,-686.1192124,-3299.580737,P1-7_rep1
Bop1.3,122.8415074,-95.25295083,9097.046069,-91.03240248,P1-7_rep1
Bop1.4,-13.05163077,-18.02899058,-2824.729499,-27.10294829,P1-7_rep1
Bptf.1,-1975.893378,-1837.957107,-2954.221363,-3453.835845,P1-7_rep1
Bptf.2,3355.04354,-4031.741852,56324.92772,1763.521245,P1-7_rep1
Bptf.3,7762.164802,2972.66408,-8504.537188,3327.938464,P1-7_rep1
Bptf.4,495.4628154,605.970812,-15612.53871,5685.603326,P1-7_rep1
Brd1.1,3406.686979,2445.321519,19701.40283,4362.097135,P1-7_rep1
Brd1.2,-5333.28726,131931.0415,285687.4,42777.6941,P1-7_rep1
Brd1.3,3441.126628,-226.3946254,-8021.508135,31.9142395,P1-7_rep1
Brd1.4,134.9076732,-452.2525278,-3053.598841,2548.108759,P1-7_rep1
Brd2.1,1855.834832,-957.7092208,64278.65348,-103.5407617,P1-7_rep1
Brd2.2,-138054.8915,-141298.6342,-1274.445143,-141328.3336,P1-7_rep1
Brd2.3,6136.661406,-4596.413098,-16142.22129,-1853.441157,P1-7_rep1
Brd2.4,2518.606288,8032.669378,8169.384981,714.2528583,P1-7_rep1
Brd3.1,-1829.71597,-757.6702245,-4693.565086,4921.825977,P1-7_rep1
Brd3.2,-713.0781843,15237.77983,-142695.6075,-24504.46961,P1-7_rep1
Brd3.3,-998.7612901,-4056.240944,510.7040825,-4602.428266,P1-7_rep1
Brd3.4,-2324.906789,-2292.331547,-1096.163686,-397.3420134,P1-7_rep1
Brd4.1,-9046.006038,-8146.739433,-46427.58472,-2133.088809,P1-7_rep1
Brd4.2,-125901.532,-123943.0565,-27894.95667,-121099.9447,P1-7_rep1
Brd4.3,-6598.652862,-7319.118025,-3556.509103,-7074.621595,P1-7_rep1
Brd4.4,-26239.48841,-9100.530209,32060.31275,9767.920618,P1-7_rep1
Brd7.1,-33189.26764,-31648.20705,-1972.492348,-33548.35227,P1-7_rep1
Brd7.2,0,0,-74286.16982,0,P1-7_rep1
Brd7.3,2.08167667,2.474715738,-6038.168893,0.695422882,P1-7_rep1
Brd8.1,-193436.2346,-191269.7848,31006.68148,-176444.0387,P1-7_rep1
Brd8.2,970.839387,8244.336806,-193755.7459,-3138.324023,P1-7_rep1
Brd8.3,3411.964513,-10873.35025,167650.3496,2509.46873,P1-7_rep1
Brd8.4,-3620.675795,-2759.565412,81784.47727,555.0542289,P1-7_rep1
Brd9.2,-61681.27652,-67892.96702,100549.3572,-67838.51993,P1-7_rep1
Brd9.3,1933.868275,-1129.178631,-161187.8915,1823.552254,P1-7_rep1
Brd9.4,-12.33381587,2292.747071,-2472.391172,891.4383771,P1-7_rep1
Brdt.1,8.958202152,25.86024491,-18171.02111,4.638212999,P1-7_rep1
Brdt.2,0.520419167,0.824905246,-11572.95892,0,P1-7_rep1
Brdt.3,1.040838335,0.824905246,414.4070285,0.695422882,P1-7_rep1
Brpf1.1,-1414.33535,-1391.453936,-5330.246497,-1414.680766,P1-7_rep1
Brpf1.2,-14229.58026,-6043.323507,-104093.9419,-13867.74029,P1-7_rep1
Brpf1.3,-18262.17104,-15107.82333,15620.31824,-4637.805532,P1-7_rep1
Brpf1.4,4830.754379,6493.141403,255.2693823,19.87155603,P1-7_rep1
Brpf3.1,4537.285834,3900.301576,-64664.62318,1931.646686,P1-7_rep1
Brpf3.2,-5203.766071,-5203.766071,-13253.34171,-5203.766071,P1-7_rep1
Brpf3.3,-382.0144036,6114.923621,-11654.26776,5613.45135,P1-7_rep1
