Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,412.691015692401,2348.39236156938,59.4990548204159,329.273948635348
B03,433.512822423676,2611.50092217831,57.9545454545455,335.3076833006
B04,512.375199948715,2778.48600949594,64.7502601456816,448.944720964384
B05,468.051432127728,2145.93856981159,56.0288335517693,278.481620956897
B06,661.263698868745,2555.47490358668,69.2692067457839,547.149882929637
B07,423.420401317696,2598.03491765808,63.1042219049561,387.095390354646
B08,671.58139658044,2972.03047371769,62.5045770779934,411.805150160247
B09,688.213442649524,2859.75354373975,62.5755013288234,386.744730100869
B10,481.92118604633,2266.38895794792,58.6761048402525,324.984648475175
B11,539.007204447442,2247.62810541039,50.3257328990228,219.816884925511
C02,258.962265623172,1563.1951066499,56.4077826017044,310.960645055288
C03,198.43573711075,1347.69781394238,54.3455078645694,296.697614629349
C04,477.481575944232,2378.49077572832,57.8566256335988,300.137683157024
C05,378.584735805795,2524.3024212567,70.4168534289556,594.39802890912
C06,669.251816379876,3936.70294976324,57.9649708090075,324.262579594571
C07,508.529642287444,2221.31749367603,60.904071773637,379.124899380592
C08,613.820166258826,2623.65231031299,54.0511727078891,254.969161295934
C09,623.695800954044,2287.86288978288,44.7240132096242,172.80302909577
C10,471.694821770689,3104.77453772725,52.1489971346705,244.928585500265
C11,434.371819657108,2966.86049874242,46.3758819756254,195.897486995761
D02,432.862291227378,1816.95534044956,56.7858892699657,326.207859995899
D03,445.738963103651,1949.21648199553,57.6576576576577,342.114873684581
D04,578.527214791445,2700.2928930611,59.6606648199446,363.264327236023
D05,458.247253872005,2746.1971361398,40.0724399078037,149.392611644328
D06,429.322201678085,2111.22693317947,47.9149959903769,230.32889759846
D07,637.884537862079,1893.47980896028,42.3117338003503,159.406283714767
D08,517.645087122508,2909.9744410076,48.895474137931,221.49024752928
D09,600.488969839675,2146.21294321265,38.9778534923339,167.501842668134
D10,558.000094290422,2281.50382979128,56.3996859049863,307.090310435491
D11,483.329728407557,1885.38979336834,51.5065913370998,224.986627470019
E02,131.64463138019,400.435250697139,42.5196850393701,168.096666547348
E03,154.239082223935,684.172575304685,26.0404280618312,83.0886387248472
E04,239.6581795587,1066.86511091275,45.5450874831763,198.995895070792
E05,218.476599540637,1442.42138104262,54.8660832670379,294.589368732778
E06,651.603394020757,2930.18544780578,60.7142857142857,386.291916630758
E07,510.67689725775,3666.3344995185,61.0101549973276,379.953244858087
E08,591.623336754563,3350.76609744513,58.75,330.69837886033
E09,447.36888644941,2653.51773190618,56.79490097883,304.171199131621
E10,841.333007764408,2673.83648515185,67.1549479166667,481.00727639234
E11,842.203547227861,2663.62228089707,57.9978237214363,279.132442506101
F02,129.422540080932,865.736756601377,19.6763941057498,55.3887169873763
F03,201.459231492162,1458.24494954586,37.3526993696903,117.178756351214
F04,178.011388387762,972.565089627968,31.2624584717608,95.3020671107422
F05,164.5617573943,362.042693153703,42.8571428571429,300.148757935313
F06,454.913009141643,2959.0570428519,65.2344652344652,437.407813253104
F07,435.675864791176,2927.68743054887,57.9831932773109,323.354724495969
F08,443.880996511593,2457.96382345786,54.8735436203467,287.971838768261
F09,516.248361111858,2110.92617977178,53.5682426404996,243.620631433557
F10,675.024157750275,1284.01920516463,33.3333333333333,67.3476507430809
F11,1184.95510585969,907.567235060796,0,57.236442147835
G02,406.681510253692,2534.06143327047,59.7262247838617,328.417258355156
G03,198.523694372296,364.631239081394,39.4272263632797,160.644240953406
G04,203.027287373131,420.036556829444,36.657433056325,122.561236898602
G05,239.119632013642,902.226183865378,48.6831913245546,215.233096158755
G06,1003.48073417599,2789.66072918783,45.9521094640821,205.289479809131
G07,949.411341357684,2512.38819076699,40.2916073968706,160.455684423409
G08,558.286895745593,3485.43971599895,39.811457577955,161.903390293476
G09,1396.48914629894,1240.19086104105,48.7136465324385,240.006477933649
G10,460.257023040776,765.692360422112,50,93.0405388921078
G11,485.457734596733,2362.39010260749,70.6484641638225,679.240613232529
