"Experiment: Panel 2 100U 3-24-15","Analysis: panel2","User: Admin","Plate: control","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 6:33:09 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"B02","Sample",43694,4232,5005,6456,412.691015692401,867.218587506047,928.212543625173,2348.39236156938,3396.0268796946,3447.61877595216,59.4990548204159,88.4115884115884,113.104414856342,88.4138785625775,329.273948635348,1344.77153303079,1356.20296227531
"B03","Sample",43139,264,373,10213,433.512822423676,1124.19617277069,970.379072244315,2611.50092217831,3391.47820158068,3603.14393295762,57.9545454545455,86.8632707774799,111.010869565217,90.0812689709194,335.3076833006,1317.52884873645,1449.62048872485
"B04","Sample",42963,3844,3944,7612,512.375199948715,1079.47173134196,1093.54152495154,2778.48600949594,3747.29296550376,3618.32093417897,64.7502601456816,91.5821501014199,111.449487554905,89.7267472411981,448.944720964384,1714.14826143537,1420.3528766002
"B05","Sample",39676,3052,2683,6118,468.051432127728,1064.31644007088,986.903196611628,2145.93856981159,3172.17955667874,3350.89507308109,56.0288335517693,86.7685426761088,112.174550788412,89.1467799934619,278.481620956897,1189.93587750809,1336.30039514655
"B06","Sample",39551,6404,5463,3982,661.263698868745,1569.92362636688,1205.31272956332,2555.47490358668,3290.2172296754,3321.26976500947,69.2692067457839,93.5749588138385,110.703363914373,90.3314917127072,547.149882929637,1858.70405566373,1415.71849351322
"B07","Sample",41152,4903,4282,6158,423.420401317696,1143.22872545722,1187.60208504605,2598.03491765808,2993.1325080723,3472.14914147223,63.1042219049561,92.1531994395142,110.003572704537,90.9061383566093,387.095390354646,1568.697769474,1463.90479124092
"B08","Sample",50524,2731,3308,9891,671.58139658044,1440.34559564944,1155.16396711832,2972.03047371769,3296.47553908979,3148.91659271124,62.5045770779934,92.1402660217654,112.833675564682,88.6260236578708,411.805150160247,1660.96700518912,1239.92319631669
"B09","Sample",45612,8278,8275,4204,688.213442649524,1606.58536848296,1142.34511945492,2859.75354373975,3725.39832470765,3439.56524231271,62.5755013288234,92.2900302114804,109.908496732026,90.9847764034253,386.744730100869,1511.47090287772,1386.65674655645
"B10","Sample",38539,5227,5094,4589,481.92118604633,1150.89367846702,1038.07521806594,2266.38895794792,2961.50109184308,3249.12100662367,58.6761048402525,88.5944248135061,108.769850675516,91.9372412290259,324.984648475175,1208.9393311477,1383.23250948733
"B11","Sample",46219,1228,12041,11549,539.007204447442,700.082561091381,660.496470591757,2247.62810541039,1642.6189623342,2287.74478279632,50.3257328990228,59.8621376962046,162.091228070175,61.6936531301411,219.816884925511,338.593133491106,376.901882984656
"C02","Sample",36339,6219,7247,3270,258.962265623172,913.292678396106,1110.05264671062,1563.1951066499,2389.08281429022,3494.23895471312,56.4077826017044,90.1890437422382,114.375655823715,87.4311926605505,310.960645055288,1996.08418526881,1282.39854433779
"C03","Sample",34186,7502,8796,2244,198.43573711075,699.675959077981,997.132236292858,1347.69781394238,2182.74429861368,3489.36947913406,54.3455078645694,89.4270122783083,110.433070866142,90.5525846702317,296.697614629349,2143.54724213261,1537.24000277655
"C04","Sample",36587,2762,3743,7212,477.481575944232,1450.68270908248,1263.65526246148,2378.49077572832,3512.075602386,3876.88452683325,57.8566256335988,88.7523376970345,112.581954417733,88.8241819190238,300.137683157024,1504.37613287413,1364.60908697938
"C05","Sample",38377,4462,5093,6462,378.584735805795,1171.95644025187,1335.12525040504,2524.3024212567,3380.84321082484,4061.60425734721,70.4168534289556,93.7561358727665,110.764484058965,90.281646549056,594.39802890912,2252.05920040264,1513.45490047972
