type,shRNA,count
control,Bcl6,25660
control,Bcl6.2,7737
control,Bcl6.3,24911
control,CD4.1,36109
control,CD4.2,0
control,CD4.3,2161
control,CD4.4,17573
control,CDK9.1,197629
control,CDK9.2,14002
control,CDK9.3,32098
control,Ccnt1,48258
control,Ccnt1.2,217999
control,Ccnt1.3,9930
control,Ccnt1.4,132014
control,Cd14,4556
control,Cd14.2,3
control,Cd19,0
control,Cd19.3,0
control,Cd19.4,5
control,Fosb,2
control,Fosb.2,1
control,Hes1,0
control,Hes1.2,2
control,Hes1.3,2
control,Id2,0
control,Id2.2,0
control,Id2.3,13
control,Id2.4,0
control,Id2.5,0
control,Id3,68294
control,Id3.2,0
control,Id3.3,2
control,Id3.4,7218
control,Id3.5,1
target,Jmjd5.1,2594
target,Jmjd5.2,2614
target,Jmjd5.3,58832
target,Jmjd5.4,14256
target,Jmjd6.1,8905
target,Jmjd6.2,63307
target,Jmjd6.3,11300
target,Jmjd6.4,543
target,Jmjd8.1,0
target,Jmjd8.2,3
target,Jmjd8.3,5
target,Kat2a.1,4
target,Kat2a.2,0
target,Kat2a.3,45739
target,Kat2b.1,2019
target,Kat2b.2,86813
target,Kat2b.3,52516
target,Kat2b.4,7511
target,Kat5.1,8853
target,Kat5.2,72749
target,Kat5.3,3281
target,Kat5.4,75923
target,Kdm1a.1,10071
target,Kdm1a.2,21530
target,Kdm1a.3,177541
target,Kdm1a.4,14922
target,Kdm1b.1,101426
target,Kdm1b.2,14333
target,Kdm1b.3,5229
target,Kdm1b.4,1002
target,Kdm2a.1,2307
target,Kdm2a.2,26859
target,Kdm2a.3,12366
target,Kdm2a.4,3114
target,Kdm2b.1,0
target,Kdm2b.2,7375
target,Kdm2b.3,176
target,Kdm2b.4,1643
target,Kdm3a.1,10772
target,Kdm3a.2,19937
target,Kdm3a.3,77589
target,Kdm3a.4,23107
target,Kdm3b.2,11488
target,Kdm3b.3,6253
target,Kdm3b.4,2807
target,Kdm4a.1,43562
target,Kdm4a.2,689
target,Kdm4a.3,30003
target,Kdm4a.4,3354
target,Kdm4b.1,1
target,Kdm4b.2,0
target,Kdm4b.3,0
target,Kdm4c.1,193057
target,Kdm4c.2,28435
target,Kdm4c.3,28876
target,Kdm4c.4,2529
target,Kdm4d.1,69157
target,Kdm4d.2,13587
target,Kdm4d.3,1910
target,Kdm4d.4,43509
target,Kdm5a.1,75141
target,Kdm5a.2,266048
