gene_name,PageRankScore
AAR2,0.001318421641505682
AARS,0.00016475087342736355
ABCD1,6.981618343533437e-05
ABCD2,1.9591519241464952e-05
ABCD3,0.000175767645123138
ABCE1,0.000556568799549962
ABCF1,0.00015434424149346035
ABCF2,0.00015602955681061454
ABCF3,8.847699871868955e-05
ABHD14B,3.036570679310165e-05
ABI1,0.00016081946181748598
ABL1,0.0003742045582713873
ABL2,7.484926246740934e-05
ABLIM1,0.00015634758187136466
ACACA,0.0001910031367877507
ABHD11,5.9573032970155896e-05
ACAD8,4.535565556115838e-05
ACAD9,0.00015056725307280782
ACADSB,4.670506460783973e-05
ACAT1,0.00019088423826435388
ABCB7,0.00010531097396575946
ACAA2,0.00018066917945498825
ACAT2,0.00012114446243377178
ACIN1,0.000258745125228268
ACLY,0.0002178051610765217
ACO2,0.0003127810445152141
ACOT1,4.758789224600735e-05
ACOT2,5.1952137464456796e-05
ACP1,0.00012270401950376504
ABRACL,4.105735916631568e-05
15-SEP,5.422443560399408e-05
ACP5,7.22711607000488e-05
ACSL3,7.914811030905174e-05
ACSL4,9.08568896246674e-05
ABCG1,3.217982190969809e-05
ACTA1,0.0007128897807887999
ACTB,0.00101118963759463
ACD,0.00015082691915280252
ACTBL2,0.0007582948162053442
ACTN1,0.00031562559186636233
ACTN2,0.0001362086389342716
ACTN4,0.0002880358528435512
ACTR10,0.00010834885618396133
ACTR1A,0.00020529555267835716
ACTR1B,0.00015399742023390386
ACTR2,0.00033837418479936034
ACTR3,0.0002533997797548023
ACTL6A,0.0003470678362547663
ACTR5,0.00010460150763396623
ACTR8,8.201681528851344e-05
ADA,7.167824951643615e-05
ADAT2,3.6440424493423204e-05
ADAT3,2.561995763710385e-05
ADCK3,9.736422471958792e-05
ADCK4,8.236388989700096e-05
ADD1,0.00016070592363734212
ADD3,8.32215870193257e-05
ADI1,8.633621518110261e-05
ABCB8,5.270593879959264e-05
ADPGK,9.673264668319879e-05
ADPRH,4.57173634342222e-05
ADRBK1,0.00012411711317864173
ADSL,0.0002368220118701095
ACBD3,9.054488286411133e-05
ADSS,0.0002014488166466516
AASDHPPT,7.709976594073089e-05
ADSSL1,2.4578463772687057e-05
AAMP,8.939518296827623e-05
AEN,6.284821102543242e-05
AES,0.0002534649466569942
AFF1,7.251143713454607e-05
AFF4,8.905158666633336e-05
AGAP2,0.00038632177195859125
AGFG1,0.00010312033315775159
AGFG2,4.141111402263161e-05
AGO1,0.0001347517363305514
AGO2,0.000276936850447539
AGO3,0.0001674798388774575
AGPS,8.372413220885344e-05
AHCY,0.00018691930673605072
AHCYL1,0.000350499205135647
AHCYL2,0.00012641650401526194
AHNAK,0.00024446859729381734
ACADM,0.0001451246386101111
AHSA1,0.00039840471751558643
AIFM1,0.0002617688459612469
ACAD10,5.537875361071807e-05
AIMP1,0.00019345099023013407
AIMP2,0.0002016458805995609
AIP,0.00010824536802839874
AK2,0.00011364826243052689
ABCC5,2.8662071958165454e-05
AFG3L2,0.0001840831154809004
AK3,4.9580203308560684e-05
AKIRIN1,2.9755180233156296e-05
AKIRIN2,4.742717446123638e-05
AKR1B10,6.242638600337124e-05
AKT1,0.0006907753604548176
ACAP1,4.691355220910791e-05
AKT1S1,5.661604098801106e-05
AKT2,0.0001669348092192916
AKT3,6.972350002910521e-05
ALAD,7.211263608345494e-05
ALDH1A1,2.5290036780761498e-05
ALDH2,0.0001090641300300269
ADH5,8.053416279666482e-05
ALDH4A1,8.348885024443489e-05
ALDH1B1,0.00013767341951947297
ALDH5A1,6.858599658614279e-05
ALDH6A1,7.279357227616979e-05
ACOT7,0.00010333526914662924
ALDH9A1,6.842453438446827e-05
ALDOA,0.00032994839034429415
ALDOC,0.00020189185731083885
ALOX5,0.00015329489256885273
ALPL,3.8973253134726675e-05
ALYREF,0.00036188607733902804
AMBRA1,0.00020457389178763126
AMFR,0.00025301718972242356
ALB,0.0002862201322421444
AMPD3,3.122155358781624e-05
ANAPC1,0.0001346549214740026
