Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Hdac7.1,2459.782127,4709.655061,40.75895994,26.96358057,4.075895994,0.702740689,55.98860124
B03,Ing4.1,2729.359737,4728.337182,42.07650273,40.79203252,6.060606061,1.192250373,50.97240449
B04,Ing5.1,2856.807616,4935.969618,32.36772803,28.73387361,2.968637778,0.670337563,63.57389813
B05,Ing3.1,2640.021991,5571.358675,40.82535004,37.41507581,4.937361828,1.179071481,77.69150183
B06,Hdac9.1,5603.897858,14597.68985,43.75,51.37853726,6.25,0,136.9556205
B07,Jmjd4.1,3067.872741,6292.418829,31.43408981,29.89237744,3.814582327,0.386286818,76.60695369
B08,Jarid2.1,2665.598313,6114.055812,40.9173361,33.42973983,2.928219746,0.544182431,70.98502837
B09,Hltf.1,2678.667976,6338.645313,32.44416873,33.17162576,5.64516129,0.620347395,84.82843281
B10,Hdac8.1,1672.688225,6637.338005,28.31091181,35.19698028,3.467862481,0.717488789,67.40009136
B11,Jhdm1d.1,2660.590883,5716.818683,35.65008987,43.60015237,3.295386459,0.419412822,75.00199549
C02,Jarid2.2,3380.933128,7944.643971,41.64556962,22.98021801,2.53164557,0.632911392,99.72801755
C03,Hells.1,2431.787961,3905.911713,36.45240033,29.59182545,4.637917006,0.759425007,58.56292963
C04,Hdac7.2,3128.194452,6120.811159,40.17769003,27.60951917,3.027311616,0.493583416,69.71941221
C05,Jhdm1d.2,2877.328775,6288.134028,36.17914626,36.01858556,4.828551435,0.699790063,69.84019945
C06,Ino80.1,3088.111064,5964.836779,34.69716495,38.8306624,2.609536082,0.257731959,69.31129537
C07,Ing5.2,2478.193164,6306.804413,34.9537037,34.05773757,4.089506173,0.925925926,56.73055071
C08,Hdac9.2,2926.187243,5041.488427,32.69012486,23.06610263,2.686341279,0.56753689,51.78423772
C09,Jmjd1c.1,3107.413548,6036.502388,44.44444444,132.5333819,22.22222222,0,205.8240657
C10,Ing4.2,2640.18193,6268.559077,33.19415449,25.13806651,3.027139875,0.417536534,60.50750284
C11,Ing2.1,2484.886914,4563.678267,33.56508304,31.12351759,3.398995751,0.579374276,115.4021086
D02,Hdac8.2,3101.216251,5612.332676,46.5013587,24.17506843,2.34375,0.441576087,58.0674953
D03,Jmjd1c.2,3215.885431,6602.863488,44.03418803,32.204525,3.829059829,0.820512821,72.39580698
D04,Ing4.3,2761.266502,3143.689636,42.19791945,43.23727049,6.108295545,0.720192051,44.68941689
D05,Hira.1,4144.003774,7059.0603,29.16145181,25.54604701,3.973717146,1.032540676,54.4134067
D06,Hells.2,3377.418807,5400.993801,42.86180987,37.57472476,3.397582489,0.457366874,76.67411597
D07,Jmjd1c.3,4367.032494,7880.880099,31.25,71.02382463,12.5,0,178.8468928
D08,Ino80.2,3401.66065,4920.053773,35.34940744,29.85589603,3.473641193,0.939926441,39.57721764
D09,Hltf.2,3161.073517,7266.241057,31.74740484,39.79694316,5.233564014,0.908304498,82.37803853
D10,Hdac7.3,2847.715718,6010.268278,34.54545455,32.82663466,4.121212121,0.96969697,73.37568756
D11,Jmjd4.2,2622.319484,6356.760721,31.97969543,37.54138414,3.248730964,0.456852792,68.22089771
E02,Ing2.2,2505.999998,4642.588866,36.31010795,24.38916543,4.514229637,0.392541708,56.77699645
E03,Ing3.2,3187.799843,5816.047005,39.28952043,38.98217698,5.150976909,0.959147425,53.22036561
E04,Hdac7.4,3242.641571,6762.622669,39.7875257,32.94560017,2.981494174,0.274160384,55.80336395
E05,Jarid2.3,2618.373726,6049.530938,41.14319738,29.80404819,3.453408753,0.535873772,56.94980762
E06,Ing5.3,3844.633132,6485.452515,36.74568966,44.69073189,3.933189655,0.808189655,72.23613597
E07,Hira.2,3281.496512,4844.322973,37.91977612,41.70292645,4.524253731,0.932835821,56.90533555
E08,Hdac8.3,2771.34783,6825.907035,36.67529107,40.12590254,4.333764554,0.388098318,75.30643352
E09,Jhdm1d.3,2441.114222,5524.766141,31.85474043,33.79813775,2.412868633,0.365586156,78.44846513
E10,Ino80.3,2909.057558,7980.709159,33.62573099,27.50770204,1.695906433,0.497076023,61.88315605
E11,Hltf.3,2807.867148,6159.956769,37.38207547,34.98596959,2.633647799,0.589622642,69.09849634
F02,Hdac9.3,2941.690303,5922.372539,46.67662435,21.67666107,2.240477969,0.448095594,54.78451323
F03,Jmjd4.3,3099.314681,6419.769173,42.63959391,25.74629945,2.717229024,0.298596596,62.84189221
F04,Ing5.4,2701.907136,5182.015979,37.088,28.4027777,3.872,0.736,57.99807105
F05,Hira.3,2741.995734,5224.360443,48.99882214,39.55109635,3.415783274,0.294464075,59.38581146
F06,Hells.3,2535.056511,5912.713237,40.65751144,27.43395765,3.454015814,0.624219725,69.09421559
F07,Jarid2.4,3810.63488,6119.611749,43.49533628,27.92026776,1.76730486,0.360006546,65.42163132
F08,Ing3.3,2803.465003,7179.20499,39.71471471,32.31353159,3.078078078,0.600600601,73.15338609
F09,Ing2.3,2054.108025,5325.805912,25.45207957,35.4429779,4.430379747,0.813743219,58.7164796
F10,Hells.4,2814.51931,7454.364178,35.37712895,31.12002421,2.96836983,0.389294404,79.75426047
F11,Jhdm1d.4,3009.846976,7734.831778,32.48069498,34.93060062,2.461389961,0.386100386,82.04831488
G02,Ino80.4,3206.183452,6155.012514,41.30434783,21.36102793,3.050490884,1.437587658,52.51813485
G03,Ing2.4,2895.817998,6222.291897,38.89655172,29.68309024,3.889655172,0.386206897,62.82240695
G04,Hdac8.4,3101.001388,5339.27493,42.81842818,30.17763915,3.726287263,0.293586269,49.03010603
G05,Jmjd4.4,3469.699571,9105.905684,42.76147959,25.24156359,2.710459184,0.223214286,78.60035231
