,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 5,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:25:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
C04,Dub2a.2,C04,Sample,19955,410,728,5960,4270.511974,3213.959439,3342.432255,2727.946186,7924.12937,7074.193168,2256.176469,16.82926829,41.07142857,44.58053691,30.44826614,71.40132181,22.42178532,18.98612503,91.50839796,12.92682927,2.60989011,2.046979866,14.92340945,1.951219512,0.686813187,0.436241611,0.78000188,36.94470973,58.05012381,51.59704243,33.81651688
C05,Ezh2.2,C05,Sample,18780,4358,4342,2457,5361.217759,3543.823443,3649.853016,2268.062856,8278.032431,7310.115307,2258.989032,26.98485544,44.72593275,48.35164835,30.20228672,87.61579218,21.39674431,19.43711084,123.4654436,15.14456173,2.947950253,1.465201465,17.51978892,1.147315282,0.552740673,0.284900285,0.914687775,49.01283564,70.70879687,47.04532932,40.17054603
C06,Ercc5.1,C06,Sample,16871,2822,2898,2709,4949.978015,3650.357178,3462.03262,2513.851398,8095.609972,7472.658812,2202.756499,23.84833451,39.95859213,41.01144334,27.84485361,69.07052461,17.83640227,15.83111961,91.26209011,12.54429483,2.7605245,1.365817645,15.62028373,0.566973777,0.517598344,0.332225914,1.071536372,39.5965784,62.95079304,50.41241439,35.11440444
C07,Epc2.2,C07,Sample,15616,1711,1484,3600,4898.87829,3243.6963,3200.101013,1422.562284,7561.642095,6849.239058,2030.935344,14.66978375,28.03234501,30.44444444,19.54749859,93.49639253,32.4182244,24.85252186,107.0340463,14.6113384,5.458221024,1.75,14.27768409,1.636469901,1.347708895,0.583333333,1.250702642,43.11467181,68.94985605,57.63299756,40.48150653
C08,Ehmt1.2,C08,Sample,13999,2408,2351,2141,4334.718354,2906.943319,3290.274125,2112.781491,7162.974037,7451.883985,2164.396556,20.05813953,34.8362399,39.00046707,25.03706449,88.39317676,21.13974227,17.94313946,87.62308342,14.49335548,3.913228413,0.887435778,13.62120089,0.664451827,0.723096555,0.280242877,0.945144552,50.7545089,83.69910208,53.52417154,39.65249843
C09,Fbxl19.1,C09,Sample,16101,4181,3296,1872,5473.028357,3691.272652,3487.402535,2563.109234,8304.154929,7445.142806,2198.619408,20.0430519,35.4065534,39.36965812,23.85428907,71.37500576,24.39251471,23.97255214,93.01865513,9.901937336,2.214805825,1.549145299,12.74970623,0.502272184,0.606796117,0.534188034,0.861731297,52.35973013,83.87367279,66.88429959,46.90782658
C10,Epc1.2,C10,Sample,16508,1182,1240,3838,5496.671076,3362.733861,3432.648379,2451.943783,10712.817,8455.080877,2496.017911,19.45854484,36.61290323,36.52944242,21.48474738,72.64154485,28.66302933,25.69080276,94.99092747,9.983079526,2.177419355,1.433038041,11.77311725,0.338409475,0.322580645,0.416883794,0.726882745,64.52916154,95.00266616,74.69555352,54.08612763
C11,Ep300.1,C11,Sample,15655,12,7,4001,2637.849853,2028.310894,2817.248489,1616.773633,11454.31472,9054.873362,2770.719885,41.66666667,42.85714286,31.79205199,18.44301157,202.4657351,8.438420035,20.99429475,95.45738749,25,0,2.449387653,12.45970036,0,0,0.449887528,1.014602693,19.90126503,32.32955013,58.00699511,39.7325191
D02,Eed.2,D02,Sample,17279,1056,1381,3836,3853.154917,2260.807609,3254.792969,1947.799392,7025.808973,8082.667475,2317.552552,17.32954545,33.81607531,33.99374348,20.47908232,135.1089573,24.16065922,20.86930682,94.65696882,19.6969697,3.475742216,1.955161627,15.15969411,1.515151515,1.086169442,0.31282586,1.034637877,39.10901484,53.10344659,59.46130379,38.94629143
D03,Fbxl19.2,D03,Sample,16908,2821,2667,2815,5409.896743,3695.605123,3410.004585,2609.240068,9070.359665,7923.113161,2334.17867,23.04147465,39.55755531,37.15808171,22.00030262,69.54583916,19.53275641,17.32481051,110.0230028,13.47040057,3.824521935,1.918294849,17.33999092,1.098901099,1.049868766,0.568383659,1.286124981,43.12810262,68.99736964,52.02715588,35.15993631
D04,Epc1.3,D04,Sample,16309,3370,2804,2379,4641.908966,2520.26031,3087.892547,1847.590247,7990.025993,7539.6245,2273.638492,20.26706231,37.19686163,37.07440101,20.98161579,80.73901799,19.97761146,16.08201721,138.1104808,17.35905045,5.313837375,1.345102984,20.52622702,1.602373887,1.105563481,0.378310214,1.146905043,42.17215419,77.63946298,42.9486101,34.45993586
D05,Elp3.1,D05,Sample,13763,1982,2451,2497,4568.246225,2677.061919,2937.390553,3026.895228,9550.281333,8074.010537,2431.945844,15.74167508,28.55977152,31.83820585,18.38398814,89.42652199,16.15338469,15.28916949,124.7282504,16.85166498,3.671970624,1.361633961,18.29132691,1.513622603,0.856793146,0.360432519,1.501111935,37.56019356,58.5133011,46.43037804,34.01809951
D06,Ehmt2.2,D06,Sample,13436,1761,1797,2628,4261.157096,2673.636974,3033.665706,1931.281521,8387.43877,8857.320168,2554.005239,17.43327655,31.21869783,33.40943683,19.9184921,85.68165806,15.25469247,12.28148658,100.7349113,16.46791596,4.618809126,1.560121766,15.8430973,1.078932425,0.556483027,0.418569254,1.392426558,33.44854625,59.35687598,56.36242903,36.38682599
D07,Fbxl19.3,D07,Sample,14320,994,1451,3696,5100.399931,3468.413983,3168.600553,2791.290114,10414.38549,7886.181927,2273.921552,19.11468813,43.00482426,32.65692641,20.56726351,88.0806074,25.00417849,24.10603969,135.6718587,15.09054326,5.031013094,2.137445887,17.19220409,1.408450704,0.551343901,0.487012987,1.156710505,47.67997708,92.66155819,59.64721881,38.29838361
D08,Ercc5.2,D08,Sample,13620,874,1054,3422,4637.098206,3082.022973,3069.908894,1975.378632,7089.57159,8054.192141,2222.200086,18.42105263,35.57874763,30.42080655,19.71788715,94.95112941,22.65445739,19.83417398,118.0251113,15.33180778,4.933586338,1.870251315,16.2364946,0.686498856,0.474383302,0.526008182,1.365546218,44.11169306,71.97074197,56.81136091,40.49505878
D09,Elp4.2,D09,Sample,17138,2566,3229,2935,3722.488719,2493.439031,3158.301433,2764.894508,9863.435855,8043.830972,2221.269422,13.52299299,25.98327656,29.13117547,16.20547542,221.3968935,31.55992826,27.1857631,186.536327,27.63055339,4.738309074,1.942078365,22.69649691,2.572096648,1.145865593,0.851788756,2.310862526,47.61273932,73.57000624,67.43499699,45.71719595
