,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:26:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Fbxw9.1,B02,Sample,21288,3060,2859,3329,4113.847872,2646.940261,2683.03904,2002.594943,6158.490973,5201.993346,1570.75886,23.69281046,37.18083246,38.23971163,25.86479541,68.54602196,33.25432628,32.16944739,103.3055316,8.333333333,3.392794683,1.291679183,12.67048824,0.620915033,0.594613501,0.450585761,0.909270607,53.48349495,79.02875128,68.48055657,50.73372464
B03,Hcfc1.1,B03,Sample,20329,1319,1177,5001,3781.650332,2374.37777,2688.051655,1562.060379,3822.562076,5818.794109,1784.885835,18.6504928,30.92608326,37.73245351,25.05024667,128.3350182,33.61499319,29.3038088,100.2523333,16.22441243,3.568394223,1.559688062,11.63895487,1.137225171,1.274426508,0.419916017,0.612095743,48.16968696,66.87413433,70.68647319,50.38839596
B04,Hdac1.1,B04,Sample,19410,4337,3539,2230,3544.514117,2532.796762,2632.131381,1914.441112,5328.302753,5647.439808,1816.18097,23.10352778,38.40067816,36.59192825,22.7503778,86.81134392,32.53984274,32.00970696,108.9311837,10.51418031,2.373551851,0.986547085,13.98543756,1.844593037,0.621644532,0.224215247,0.8105509,63.86259424,83.42795798,69.18326898,50.50009363
B05,Hat1.1,B05,Sample,21404,4941,3838,2452,3689.841247,2537.068411,2439.831813,2037.87724,6444.269194,5501.566001,1673.303018,16.69702489,28.92131318,33.40130506,23.26196777,71.50235964,26.48038436,22.16248668,96.58231117,9.411050395,3.178738927,1.101141925,13.06230455,0.890507994,0.573215216,0.244698206,1.070483522,52.66271917,95.81611431,61.5325024,43.07751464
B06,Gadd45a.1,B06,Sample,21557,2297,1738,4382,2863.553042,2058.883679,2524.555048,1678.104627,5316.341375,5462.749876,1756.290364,18.41532434,39.75834292,32.63350068,20.56325823,83.38005112,28.14236531,21.42794514,81.01763168,12.36395298,4.257767549,1.802829758,10.64991334,0.261210274,0.460299194,0.182565039,0.814558059,45.08270678,76.85851363,57.43943636,40.71780065
B07,Hdac6.1,B07,Sample,19891,1495,1240,4237,3615.361377,2182.947175,2443.848137,2149.489602,6582.53058,6086.359609,1861.761075,15.58528428,31.12903226,34.22232712,19.33982969,74.16475594,21.57441955,22.79489038,95.0613007,9.030100334,2.983870968,1.557705924,11.90413484,0.602006689,0.564516129,0.236016049,0.711087701,44.1777317,61.19671312,51.97337222,40.42589935
B08,Hdac2.1,B08,Sample,20369,4736,3260,2294,3464.244372,2613.676338,2765.782216,1928.151664,5624.896929,6060.447077,1938.412707,16.68074324,32.17791411,26.41673932,17.03832753,85.97739663,24.62385686,27.49960798,107.2101787,11.61317568,3.128834356,1.612903226,14.15795587,2.090371622,0.797546012,0.305143854,1.18466899,58.70855945,79.40396758,62.98983102,46.45900149
B09,Gtf2f1.1,B09,Sample,24590,2206,2013,5127,3958.675996,2601.870926,2539.490697,1968.340994,5825.110437,5517.557398,1598.678469,18.26835902,29.70690512,28.32065535,16.26927416,72.50757667,27.1091617,25.3626158,102.1659727,9.202175884,2.881271734,1.599375853,13.80218127,1.269265639,0.695479384,0.409596255,1.421587063,40.95785367,70.01810922,59.02279901,41.81527135
B10,Fkbp1a.1,B10,Sample,21270,3336,2290,3078,4381.573643,2702.175545,2675.361281,2227.633517,6783.475701,6051.01822,1884.051627,15.28776978,28.38427948,28.29759584,17.36961848,64.65475154,22.87493425,24.34999578,86.92987854,7.613908873,2.008733624,1.461988304,10.88554428,0.329736211,0.218340611,0.227420403,1.015050753,39.80650164,57.28325652,54.07168321,38.60808772
