Well,shRNA,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_CD127
B02,Bptf.1,2219.571992,7369.362551,42.88199478,18.20539099,1.826616411,0.492896492,40.51718741
B03,Bptf.2,1776.757144,8719.692647,47.57709251,24.13411387,1.762114537,0.881057269,55.43617301
B04,Bptf.3,1821.397283,8060.851177,38.39208942,22.13182205,2.622527945,0.644883921,53.16905765
B05,Bptf.4,1616.998452,4638.426406,31.30193906,24.81863161,3.545706371,0.831024931,49.86553303
B06,Whsc1.1,968.0670869,7572.647668,34.91773309,19.33188772,2.037085401,0.757377905,56.7487804
B07,Whsc1.2,1273.919964,6890.437217,32.08722741,17.59126913,1.973001038,0.62305296,40.84316454
B08,Whsc1.3,858.4257167,7921.859313,34.29855217,19.35639232,1.997004493,0.599101348,44.57012573
B09,Whsc1.4,730.7340137,6695.980198,37.7426559,15.93791842,1.700738705,0.498196186,48.178403
B10,shCd4.1,1801.162375,6275.730569,29.14454277,20.28780984,2.241887906,0.560471976,36.22351376
B11,shCd4.1,2677.162783,2262.401495,17.55071375,144.3322377,18.25694966,1.62283997,31.65922482
C02,mll2.1,2480.500187,10517.93689,42.78129817,16.83043372,1.489981161,1.301592738,49.90633527
C03,mll2.2,2062.910765,10734.32253,47.98520786,15.72219735,0.943636827,2.002040296,55.19363362
C04,mll2.3,1630.686694,7686.557907,42.32121923,21.23549245,3.985932005,1.348182884,60.92268868
C05,mll2.4,2269.394744,9224.510691,42.17623079,17.39920206,0.815302603,0.407651301,57.37599801
C06,Brd8.1,1895.000426,4415.039063,36.53715065,33.8718626,5.248807089,2.999318337,57.3925228
C07,Brd8.2,1806.469596,7794.091511,40.90069284,18.62543397,1.847575058,0.554272517,47.33167189
C08,Brd8.3,1761.536007,3704.962273,35.38611926,24.87860381,3.812316716,0.928641251,50.2821878
