Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Chd3.1,3372.352617,1416.830937,19.47565543,140.8097704,19.60049938,0.998751561,46.94299433
B03,Cxxc1.1,2775.637494,1713.526942,12.07289294,88.67381924,11.73120729,1.366742597,46.03231913
B04,Dmap1.1,5945.589619,1530.628989,15.45454545,198.0161719,30,0.606060606,66.08249278
B05,Ctsl.1,4644.698406,1942.127945,22.13114754,53.45588539,11.8852459,0.819672131,36.57336685
B06,Chd5.1,4502.026204,1456.52215,15.33196441,114.2363901,14.51060917,1.300479124,43.73573603
B07,Dot1l.1,4689.052263,1922.489215,16.19156214,55.36285985,9.692132269,0.684150513,40.1949447
B08,Dnmt3a.1,4369.133807,2292.868181,15.40962289,94.05558923,15.01950585,0.975292588,41.27589446
B09,Chd9.1,4475.768167,1980.229656,17.08975521,95.22727108,13.73526745,0.543970988,42.3425411
B10,Chd4.1,4739.025956,3601.88506,19.39501779,66.05492323,11.74377224,3.914590747,52.42469006
B11,Dnmt3b.1,3770.12057,2319.4035,12.35343384,110.35125,15.49413735,0.963149079,36.18618493
C02,Dnmt3a.2,4180.751695,2122.25564,9.843081312,76.82557003,17.68901569,1.355206847,37.04888162
C03,Chd6.1,4863.210112,2071.998955,18.02083333,66.19027732,13.4375,0.208333333,39.82560864
C04,Chd3.2,4852.797212,2312.177002,17.8807947,86.66162183,15.23178808,0.993377483,45.76511798
C05,Dnmt3b.2,3949.67782,1908.759376,11.01398601,77.64941909,12.67482517,0.524475524,34.3476907
C06,Dnmt1.1,4275.412088,2049.872125,10.55702918,103.5243429,16.28647215,1.326259947,35.20624924
C07,Dmap1.2,5932.972612,1078.387845,17.89737171,179.9896716,29.03629537,3.003754693,49.23226853
C08,Chd5.2,5029.980182,2401.514096,17.57656458,104.1045582,15.84553928,0.932090546,41.7798163
C09,Dnmt3l.1,4787.728594,2029.819104,14.84962406,94.01187567,14.47368421,1.065162907,32.44957948
C10,Cxxc1.2,4136.003411,5426.234161,25,54.80059154,8.333333333,0,49.19570475
C11,Crebbp.1,4036.864482,2054.869965,22.13706041,321.3665434,33.0477908,2.344454463,45.64212538
D02,Chd4.2,4558.471159,2959.284819,17.93669402,47.88396624,10.1992966,1.289566237,51.79571525
D03,Dnmt3l.2,5192.030938,1780.793371,14.15662651,128.2790432,21.38554217,1.40562249,49.03300809
D04,Cxxc1.3,3223.441207,1824.249594,15.08515815,131.1051894,15.93673966,1.703163017,48.00057011
D05,Chd8.1,5610.62076,2815.268281,18.59903382,101.0074707,16.37681159,0.628019324,45.96712758
D06,Chd6.2,5046.889636,2228.612364,16.54894046,110.9540101,16.75075681,0.605449041,53.16711379
D07,Dnmt3l.3,4014.525066,2209.10037,22.21343874,190.1760097,23.47826087,1.501976285,39.13608479
D08,Dnmt1.2,4225.802876,2308.872175,14.38152012,122.4146594,17.36214605,1.788375559,45.61102707
D09,Chd9.2,4645.727455,2453.26793,18.20689655,120.3635708,15.44827586,1.517241379,43.7329577
D10,Chd3.3,4253.729223,2371.79694,20.9486166,113.8332536,16.60079051,0.658761528,37.75778705
D11,Dot1l.2,4390.98842,1040.529215,18.67388363,178.3301204,28.28146143,3.247631935,48.69906762
E02,Crebbp.2,4797.581381,2551.661645,21.08843537,168.2314664,21.99546485,2.040816327,61.9843176
E03,Ctsl.2,4274.739695,542.7900158,13.87720774,147.5024749,26.57695542,3.784693019,50.8181458
E04,Chd3.4,4925.736232,2480.964,11.91836735,135.7536592,20.57142857,2.12244898,61.94293213
E05,Dnmt3a.3,5137.580556,2759.159937,14.57142857,92.59001389,16.42857143,0.428571429,40.88369615
E06,Dmap1.3,5532.817104,1154.413738,18.2194617,153.5426101,23.80952381,1.035196687,39.2911587
E07,Chd8.2,5839.08515,3014.814838,15.4723127,116.855491,20.68403909,0.488599349,58.1488477
E08,Chd4.3,4707.217352,2438.420875,13.8427464,213.0628619,25.63676633,1.605758583,41.23707566
E09,Dnmt3b.3,4692.637774,2047.350078,16.80194805,147.4244687,21.18506494,1.542207792,46.37576671
E10,Dnmt1.3,5117.809901,2348.375124,18.04195804,85.21771896,17.9020979,0.41958042,44.63512781
E11,Chd9.3,4288.294765,2770.28381,12.23544974,104.0716333,15.47619048,1.521164021,44.43431173
F02,Chd5.3,4830.781908,1744.806345,17.07931179,74.88976235,11.07847251,0.713386488,48.93883146
F03,Dot1l.3,4808.806468,2720.32364,17.19876416,63.79826864,11.12255407,0.411946447,48.73469266
F04,Dmap1.4,5667.554401,2238.529146,15.89595376,66.57641871,10.63583815,0.751445087,50.87916148
F05,Chd8.3,3638.876089,1893.432347,17.48492679,116.6965354,16.96813092,0.689061154,46.03038834
F06,Chd6.3,5037.19664,2158.224483,20.3968254,155.4883631,22.61904762,2.063492063,51.87687935
F07,Dnmt3a.4,5244.859602,2884.102587,16.96914701,117.5380607,16.33393829,0.725952813,45.52089834
F08,Ctsl.3,4336.387719,4214.7289,21.15971516,158.4576601,23.70295015,1.729399797,48.4491405
F09,Crebbp.3,4975.527008,2595.577855,21.78734508,100.5519343,17.15590346,0.717547293,49.54792298
F10,Chd6.4,5761.082708,2665.566812,21.20418848,67.44890293,10.83769634,0.942408377,50.51749291
F11,Dnmt3b.4,4259.624197,1907.885991,13.77118644,147.1852608,21.61016949,0.847457627,50.91032323
G02,Dnmt1.4,4422.136794,2193.753397,6.936026936,177.0227455,22.35690236,3.838383838,50.99844718
G03,Crebbp.4,4876.747625,3099.552338,18.53411963,84.5687094,14.23757372,0.926705981,57.30687398
G04,Chd4.4,4351.788641,3209.144965,10.36144578,98.37137621,15.6626506,2.891566265,59.70537469
G05,Dot1l.4,4944.735759,2646.346371,18.9435337,183.3386622,25.2276867,2.276867031,46.52300594
G06,Dnmt3l.4,4493.6714,1791.601171,12.52747253,86.78363478,15.27472527,0.43956044,45.33218196
G07,Chd8.4,6319.009948,2982.241706,16.53279786,77.82415612,14.65863454,0.535475234,64.47761659
G08,Chd5.4,5205.535618,1896.738895,14.85573972,86.90960452,16.63597299,0.73664825,53.16224256
G09,Cxxc1.4,1989.417636,2238.981909,9.726962457,292.6873307,21.95676906,3.868031854,43.79144965
G10,Chd9.4,4852.921808,2402.826492,17.98627002,115.8410786,16.61327231,0.686498856,44.79764029
G11,Ctsl.4,5353.387023,3368.516304,15.0401837,59.31659594,9.223115193,0.535782625,48.32450308
