Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Brwd1.1,3443.518988,2067.399892,17.39488871,100.3830125,15.66364386,1.566364386,32.47018052
B03,Cbx7.1,4412.98303,1640.554592,18.21192053,69.66293097,11.09271523,1.158940397,34.96456515
B04,Cbx8.1,4417.644935,2182.015625,17.8343949,73.08086941,13.43949045,0.828025478,33.78730661
B05,Cbx6.1,4850.686695,2121.781285,18.50220264,60.17755727,9.691629956,1.762114537,35.5702196
B06,Carm1.1,3835.693927,1900.783833,12.72384543,160.4708601,23.18567389,1.50801131,39.31854341
B07,Chd2.1,3655.620267,1692.444555,15.4028436,142.7201688,20.9478673,1.090047393,30.31740582
B08,Chaf1b.1,4848.34614,2863.366327,16.03466956,104.2246925,17.3347779,1.679306609,43.81937849
B09,Cbx4.1,4850.536181,2214.24983,19.71830986,59.69926417,10.06036217,0.871898055,40.76618916
B10,Brwd3.1,4594.905122,2998.826964,17.22643554,36.82437104,5.525460455,0.758396533,44.30386078
B11,Chd1.1,3720.633238,1635.931018,13.9334638,72.44491616,10.45009785,0.547945205,33.69587708
C02,Chaf1b.2,3502.793181,4443.684167,12.79069767,214.2977685,38.37209302,8.139534884,66.91095444
C03,Cbx1.1,3902.766253,1397.075791,16.95402299,123.7775062,20.11494253,1.436781609,35.79301401
C04,Brwd1.2,4228.272274,2291.03279,17.76155718,119.3330209,17.27493917,0.243309002,44.5360319
C05,Chd1.2,5214.601781,2113.683679,23.73472949,169.094539,25.30541012,1.919720768,46.73526988
C06,Chaf1a.1,3963.767417,3825.964718,13.48484848,183.7548561,21.36363636,6.515151515,66.79265215
C07,Cbx8.2,5138.280643,2135.330087,15.26347668,130.8727213,18.11023622,0.847970927,50.85992165
C08,Carm1.2,3977.394354,1845.776987,17.49885479,127.0579272,19.69766377,1.007787448,42.54790054
C09,Chd1l.1,3637.486183,2019.88231,19.24778761,169.0710741,21.01769912,0.516224189,38.27644411
C10,Cbx7.2,3668.695764,1690.257815,17.87610619,73.95443003,13.62831858,0.707964602,30.62357106
C11,Cbx5.1,4097.24535,2154.409022,13.80813953,67.04435308,11.19186047,0.363372093,37.59155435
D02,Brwd3.2,3640.942203,1796.249546,14.34159061,119.71695,16.55801825,0.782268579,39.88785162
D03,Chd1l.2,4149.406142,2171.570251,15.77261809,132.6680417,20.41633307,2.081665332,42.76133021
D04,Cbx7.3,5025.474224,2131.00635,15.43209877,133.0282162,19.13580247,0.617283951,37.10615243
D05,Cbx3.1,3570.71838,1699.196183,17.7852349,179.5269613,24.16107383,0.838926174,40.44473907
D06,Cbx1.2,4528.626305,2160.038817,21.34268537,106.3962571,15.13026052,0.200400802,41.31739365
D07,Chd1l.3,4495.996609,1685.199651,23.88059701,81.50752837,8.208955224,0,29.64981311
D08,Chaf1a.2,4422.124866,2193.500853,13.97139714,95.61769164,12.98129813,1.760176018,55.13063586
D09,Cbx4.2,4935.784092,1969.39093,16.97127937,48.04658203,9.203655352,0.848563969,51.35410427
D10,Brwd1.3,4485.437865,2470.598969,13.39889367,139.1418719,21.86027453,0.389264495,36.04939771
D11,Chd2.2,4525.838368,2526.948714,13.34156887,77.10516484,14.76219889,0.741198271,40.8997019
E02,Cbx5.2,4303.916206,2454.635784,19.75308642,115.1502284,16.22574956,0.176366843,34.85951079
E03,Cbx6.2,4533.188618,2357.853981,19.1689008,210.7253469,27.3458445,0.670241287,38.73559725
E04,Brwd1.4,3342.346062,2261.669551,16.83848797,158.1074817,22.50859107,0.687285223,42.45068056
