shRNA,value,pool
Actl6b.1,18.37353417814127,p1
Actl6b.2,-5.050832037942953,p1
Actl6b.3,-4.123328670618463,p1
Actl6b.4,-2.317917799807333,p1
Aff1.1,-2.9628566774254352,p1
Aff1.2,15.633066009439858,p1
Aff1.3,12.053384304638058,p1
Aff1.4,-0.9265125285266009,p1
Aff4.1,23.5449747118638,p1
Aff4.2,-8.604129588469362,p1
Aff4.3,-8.470569168846595,p1
Aff4.4,-10.774030645953417,p1
Arid2.1,4.338047601517346,p1
Arid2.2,-8.69034214630409,p1
Arid2.3,6.482400744127503,p1
Arid2.4,-7.759998663633041,p1
Ash1l.1,-6.687270451938133,p1
Ash1l.2,-1.7765235519065783,p1
Ash1l.3,-10.019155247247241,p1
Ash1l.4,-7.248449564970301,p1
Ash2l.1,-9.126246858618629,p1
Ash2l.2,-3.9647143387624624,p1
Ash2l.3,-4.386630555188987,p1
Ash2l.4,-11.66242906316171,p1
Asxl1.1,-1.0295625436963007,p1
Asxl1.2,-4.070297093483134,p1
Asxl1.3,5.23948680351068,p1
Asxl1.4,-6.659988576344318,p1
Asxl2.1,3.5540537182322396,p1
Asxl2.2,-4.993092903767533,p1
Asxl2.3,-4.575105212752959,p1
Asxl2.4,-4.008941567575661,p1
Asxl3.1,0.8227387117177329,p1
Asxl3.2,-9.141776730445784,p1
Asxl3.3,-8.093224899197153,p1
Asxl3.4,-9.419524597009683,p1
Atad2.1,0.7181745162543223,p1
Atad2.2,-4.335414068648959,p1
Atad2.3,-5.515370970591434,p1
Atad2.4,-4.694108866428863,p1
Atad2b.1,-4.666784345638462,p1
Atad2b.2,-7.741907596703186,p1
Atad2b.3,-8.719762743807664,p1
Atad2b.4,-5.450872682546887,p1
Atm.1,-6.991018696493569,p1
Atm.2,-4.849336900294716,p1
Atm.3,-6.8914647554572355,p1
Atm.4,-4.087029147170455,p1
Atr.1,2.956702477541299,p1
Atr.2,7.169394232439032,p1
Atr.3,-8.185007510157007,p1
Atr.4,-2.988397615123475,p1
Atrx.1,-9.92555706574555,p1
Atrx.2,-4.93163240392532,p1
Atrx.3,-2.9099646010836153,p1
Atrx.4,-5.166953205182622,p1
Aurkb.1,-0.8788741627164285,p1
Aurkb.2,26.883903822338127,p1
Aurkb.3,-3.448441289817012,p1
Aurkb.4,-2.839382232484553,p1
Baz1a.1,-28.978754751691184,p1
Baz1a.2,5.498280199425352,p1
Baz1a.3,0,p1
Baz1a.4,-6.447894529854821,p1
Baz1b.1,-8.991925159527185,p1
Baz1b.2,-5.518385902966074,p1
Baz1b.3,-4.761910459735404,p1
Baz1b.4,-5.603695664091219,p1
Baz2a.1,-5.693737569678291,p1
Baz2a.3,0,p1
Baz2a.4,-4.29717405001783,p1
Baz2b.1,-4.816142130423273,p1
Baz2b.2,-7.808353629003179,p1
Baz2b.3,-9.338435026912691,p1
Baz2b.4,-8.416511209341607,p1
Bcl6.2,-7.84887450379469,p1
Bcl6.3,-9.741941213424013,p1
Bmi1.1,-7.4686795945201965,p1
Bmi1.2,1.7419932643478546,p1
Bmi1.3,-1.76202100382352,p1
Bmi1.4,4.173159319591377,p1
Bop1.1,-4.381679866140402,p1
Bop1.2,-7.614670774918324,p1
Bop1.3,-12.25376105695264,p1
Bop1.4,-5.046598544729548,p1
Bptf.1,-0.572579106718905,p1
Bptf.2,-3.5422710548292287,p1
Bptf.3,-10.370482222139117,p1
Bptf.4,-5.303828183762576,p1
Brd1.1,-8.52765201490297,p1
Brd1.2,-7.5215542134087485,p1
Brd1.3,-5.466350093094661,p1
Brd1.4,0.1734195040515374,p1
Brd2.1,-6.103390092735779,p1
Brd2.2,12.998876007718025,p1
Brd2.3,-2.003777864724981,p1
Brd2.4,-10.86971334730464,p1
Brd3.1,-3.714351683595936,p1
Brd3.2,-7.619111530453452,p1
Brd3.3,-3.4842010802138077,p1
Brd3.4,0.936460827191226,p1
Brd4.1,1.6747893273208518,p1
Brd4.2,13.599246908271084,p1
Brd4.3,3.3246171304543566,p1
Brd4.4,0.7628094555665825,p1
Brd8.1,8.323337999254008,p1
Brd8.2,-3.453041541780806,p1
Brd8.3,-4.64279030982253,p1
Brd8.4,-6.05287435770434,p1
Brd9.2,6.574317714033427,p1
Brd9.3,-10.623772372811857,p1
Brd9.4,-6.3137493056105285,p1
Brpf1.1,3.1452972189377135,p1
Brpf1.2,-3.5631934754863437,p1
Brpf1.3,-3.537329561048807,p1
Brpf1.4,-8.9447317525199,p1
Brpf3.1,-8.722059483084536,p1
Brpf3.2,27.14860678189659,p1
Brpf3.3,-5.739969037749191,p1
Brpf3.4,-6.336072773530688,p1
Brwd1.1,-5.438790700436158,p1
Brwd1.2,2.780621434758899,p1
Brwd1.3,-4.759017205093414,p1
Brwd1.4,-5.0294638358071495,p1
Brwd3.1,-8.874653828562487,p1
Brwd3.2,-5.010645592379234,p1
Brwd3.3,-0.6488516497559118,p1
Cd4.1,10.224569345552595,p1
Cd4.2,-4.67148913137207,p1
Cd4.3,2.6511654975588783,p1
Cd4.4,-11.055504312366793,p1
Carm1.1,-2.5693862375433127,p1
Carm1.2,-5.585622437468842,p1
Carm1.3,-5.516354344439094,p1
Carm1.4,2.548076642229802,p1
Cbx1.1,-1.8309711670585642,p1
Cbx1.2,-4.497078849515589,p1
Cbx1.3,-3.723818792197747,p1
