shRNA,value,pool
Actl6b.1,-12.423155501793786,p1
Actl6b.2,2.5709005429482943,p1
Actl6b.3,-3.1495295253267557,p1
Actl6b.4,-3.161423241887306,p1
Aff1.1,-1.7058705324097474,p1
Aff1.2,-0.3238582964785479,p1
Aff1.3,-2.1565756870573267,p1
Aff1.4,6.648723925929858,p1
Aff4.1,18.747498309140347,p1
Aff4.2,5.319939475682617,p1
Aff4.3,0.4575024792117546,p1
Aff4.4,-2.735236318876474,p1
Arid2.1,-0.22344455652959994,p1
Arid2.2,1.9668738686986842,p1
Arid2.3,-10.567681432235105,p1
Arid2.4,-17.252810933932466,p1
Ash1l.1,2.3676644219984553,p1
Ash1l.2,0.03356808788636556,p1
Ash1l.3,3.8393178661016663,p1
Ash1l.4,-1.4113721305810856,p1
Ash2l.1,-2.667265238317242,p1
Ash2l.2,-3.454626002334578,p1
Ash2l.3,2.649569174250445,p1
Ash2l.4,21.698031910020298,p1
Asxl1.1,-4.662178330841286,p1
Asxl1.2,-1.8943719481189873,p1
Asxl1.3,-28.18939737271232,p1
Asxl1.4,0.6266567237979928,p1
Asxl2.1,2.5560727045267555,p1
Asxl2.2,2.2547731115642335,p1
Asxl2.3,-3.811115647407945,p1
Asxl2.4,-0.43459309738032914,p1
Asxl3.1,-0.33674656646786616,p1
Asxl3.2,2.6296288229229248,p1
Asxl3.3,-5.564776193029672,p1
Asxl3.4,3.684472072367768,p1
Atad2.1,4.023115518493142,p1
Atad2.2,-0.9175600121983791,p1
Atad2.3,5.065075012322637,p1
Atad2.4,0.5967155868404745,p1
Atad2b.1,4.2963382820978495,p1
Atad2b.2,6.2138366597068,p1
Atad2b.3,1.089130812933874,p1
Atad2b.4,-3.454543588680366,p1
Atm.1,-4.338176202436443,p1
Atm.2,0.9838996386360037,p1
Atm.3,-3.8570126847352526,p1
Atm.4,3.773119561388924,p1
Atr.1,1.9132909731500831,p1
Atr.2,-0.0677494129072187,p1
Atr.3,0.719471581268806,p1
Atr.4,-6.694205085729209,p1
