shRNA,count,pctg,nbPctg
Bcl6.2,67555,1.0006315880529135,93.79139708954081
Bcl6.3,25146,0.372465130829377,81.17984783065026
CD4.1,3877,0.05742652160285909,53.950849726315596
CD4.2,85,0.001259028717111948,20.860322055770446
CD4.3,10170,0.15063908297680603,67.47569351220343
CD4.4,17300,0.2562493741886671,75.53582469344563
Cd14.2,126,0.001866324921836535,23.029849697807524
Cd4.5,1329,0.019685284294609164,41.52825326831628
Fosb.2,851,0.012605099273673738,37.173825668875
Hes1.2,1726,0.025565689008649674,44.29878648327353
Hes1.3,525,0.007776353840985562,32.94926835684728
Hes6.3,14,0.00020736943575961497,13.249516408279943
Id2.2,49,0.0007257930251586525,18.15666402164411
Id2.3,607,0.008990946250434735,34.16659792638181
Id2.4,1079,0.01598225865604461,39.435744692330275
Id2.5,107,0.001584894973305629,22.1004110936269
Id3.2,1799,0.026646972495110523,44.753040673844765
Id3.3,5359,0.07937805758826977,58.26648117820869
Id3.4,210,0.0031105415363942243,26.18435797177417
Id3.5,94,0.001392337640100272,21.393862298373385
Jmjd5.1,2179,0.032275571465728646,46.91042385134126
Jmjd5.2,2852,0.04224411648474442,50.09550462791642
Jmjd5.3,90627,1.342376418184759,96.29348187377656
Jmjd5.4,36799,0.5450705618941479,86.60981512682571
Jmjd6.1,7505,0.11116482966970788,63.00929949040582
Jmjd6.2,35830,0.5307176345190717,86.246329354963
Jmjd6.3,2242,0.033208733926646916,47.23902820203951
Jmjd6.4,779,0.011538627889767148,36.363113120690315
Kat2a.1,6,8.887261532554927e-05,10.692590848541535
Kat2a.2,0,0.0,3.1308102742370734
Kat2a.3,66236,0.981094424783847,93.59810770246533
Kat2b.1,5684,0.08419199091840368,59.07772027718292
Kat2b.3,76981,1.1402504667293514,94.99271220995833
Kat2b.4,1431,0.021196118755143503,42.29548866176061
Kat5.1,3731,0.0552639546299374,53.45588796324324
Kat5.3,780,0.011553439992321406,36.37489795730694
Kat5.4,118301,1.7522865442713007,97.92969220820069
Kdm1a.1,31169,0.4616784245136742,84.30114692801679
Kdm1a.2,28696,0.42504809489699363,83.11487664106734
Kdm1a.3,98384,1.45727389769814,96.86199574867153
Kdm1a.4,56089,0.830796020165789,91.85012777592515
Kdm1b.1,55560,0.8229604179145863,91.74441712572737
Kdm1b.2,8241,0.12206653714964193,64.36758708320514
Kdm1b.3,543,0.008042971686962209,33.22770372575011
Kdm1b.4,9389,0.13907083088193034,66.28665915091332
Kdm2a.1,5482,0.08119994620244352,58.57812347933693
Kdm2a.2,7074,0.10478081346882259,62.15922986591107
Kdm2a.3,12451,0.184425488903069,70.52280608073217
Kdm2a.4,1323,0.019596411679283617,41.48166640831025
Kdm2b.1,32,0.00047398728173626283,16.30760595863491
Kdm2b.2,6005,0.08894667583832057,59.84188618051973
Kdm2b.3,574,0.008502146866144214,33.693183362432
Kdm2b.4,3894,0.05767832734628148,54.00752981834825
Kdm3a.1,7259,0.10752105244136037,62.5295397064061
Kdm3a.2,42167,0.624581928405406,88.41247707480652
Kdm3a.3,101867,1.5088644508946214,97.08542073188706
Kdm3a.4,17426,0.2581156991105036,75.646517372077
Kdm3b.2,4783,0.07084628651701703,56.722049355018896
Kdm3b.3,9835,0.14567702862112952,66.9761756292218
Kdm3b.4,2117,0.031357221107364636,46.579765628108476
Kdm4a.1,39215,0.5808566016652359,87.46292957574965
Kdm4a.2,1777,0.026321106238916845,44.61799745772475
Kdm4a.3,23169,0.34318160407960857,79.96032585753798
Kdm4a.4,137,0.002029258049933375,23.51983612988807
Kdm4c.1,95103,1.4086753892176187,96.63421350789912
Kdm4c.2,24437,0.36196335011840797,80.75537344595826
Kdm4c.3,38627,0.5721470853633319,87.26197545617444
Kdm4c.4,6518,0.09654528444865504,60.99438265813772
Kdm4d.1,49972,0.7401903888413914,90.52027254375615
Kdm4d.2,32627,0.4832744700377827,84.94738116216962
Kdm4d.3,674,0.009983357121570035,35.07277360637758
Kdm4d.4,12558,0.18601038387637464,70.65258459727896
Kdm5a.1,57267,0.8482446769747051,92.07974796883082
Kdm5a.3,10255,0.15189811169391798,67.6000589390218
Kdm5a.4,2107,0.031209100081822056,46.525750658718955
Kdm5b.1,168,0.00248843322911538,24.75681320759206
Kdm5b.2,17595,0.26061894444217326,75.79371814290387
Kdm5b.3,38086,0.5641337378814784,87.07335261034798
Kdm5b.4,4806,0.07118696487576497,56.78646290407238
Kdm5c.1,33997,0.5035670505371165,85.52223725537125
Kdm5c.2,47584,0.7048190879418228,89.93012602929099
Kdm5c.3,2056,0.030453682851554885,46.24667226589226
Kdm5c.4,1707,0.025284259060118768,44.17827075685118
Kdm5d.1,21567,0.31945261578768686,78.8837310283266
Kdm5d.2,2818,0.04174050499789964,49.94959707977589
Kdm5d.3,17581,0.26041157500641365,75.78159964100338
Kdm5d.4,7,0.00010368471787980748,11.122094812557078
Kdm6a.1,2916,0.04319209104821695,50.366248726455154
Kdm6a.2,12296,0.182129613007159,70.33293097057445
Kdm6a.3,1278,0.018929867064341997,41.12724773185302
Kdm6a.4,3837,0.05683403750068876,53.816900428036085
Kdm6b.1,31,0.00045917517918200455,16.184867961113696
Kdm6b.2,313,0.004636188099482821,28.944498772462506
Kdm6b.3,4822,0.07142395851663311,56.83121313546135
Kdm6b.4,5243,0.07765985369197581,57.9667834436462
Klf12.4,18,0.0002666178459766478,14.110905374219474
Klf12.5,2701,0.04000748899905143,49.43700016011924
Klf2.2,54,0.0007998535379299435,18.60597153791992
Klf2.3,60,0.0008887261532554927,19.106831360905993
Klf2.4,1244,0.018426255577497216,40.85357099238013
Klf2.5,2,2.9624205108516427e-05,8.113749932760811
Klf2.6,603,0.008931697840217702,34.11041175811493
Klf2.7,2,2.9624205108516427e-05,8.113749932760811
L3mbtl1.1,174,0.002577305844440929,24.97642940420567
L3mbtl1.2,1437,0.021284991370469054,42.33885762887715
L3mbtl1.3,83473,1.2364106365115959,95.66634611819977
L3mbtl1.4,27189,0.4027262563477266,82.32979482134665
L3mbtl2.1,13243,0.1961566741260415,71.45927270678648
L3mbtl2.3,5,7.406051277129106e-05,10.239427131830947
L3mbtl2.4,3044,0.045088040175162,50.893873829358505
L3mbtl3.1,11251,0.16665096583795916,68.99100040547539
L3mbtl3.2,2962,0.04387344776571283,50.55784104673226
L3mbtl3.3,9268,0.1372785664728651,66.0945738902681
L3mbtl3.4,13499,0.1999485723799316,71.7505730547423
L3mbtl4.1,12593,0.18652880746577366,70.69477120749124
L3mbtl4.2,17793,0.2635517407479164,75.9643724107072
L3mbtl4.3,4118,0.06099623831843532,54.735704280656435
L3mbtl4.4,1005,0.014886163067029504,38.74541340225262
Mbd1.1,11190,0.16574742758214941,68.90917900562458
Mbd1.2,10251,0.15183886328370094,67.59415337883266
Mbd1.3,72,0.0010664713839065912,20.005304751676594
Mbd1.4,14989,0.22201860518577637,73.34668808212703
Mbd2.2,153,0.0022662516908015067,24.182088224225502
Mbd2.3,12542,0.1857733902355065,70.63324583952928
Mbd2.4,6057,0.08971690517114199,59.962380240970816
Mbd3.1,12817,0.18984671843792753,70.96238881328148
Mbd3.2,72302,1.0709446388779773,94.43334716267704
Mbd3.3,56,0.0008294777430384599,18.779266989296055
Mbd3.4,829,0.012279233017480058,36.93185882292519
Mbd4.1,79805,1.1820798443425766,95.29928756872977
Mbd4.2,11727,0.17370152665378605,69.61610836557514
Mbd4.3,21542,0.3190823132238304,78.86625640246604
Mbd4.4,4203,0.06225526703554727,55.00359729107876
Mecom.1,3124,0.046273008379502656,51.21473520683871
Mecom.2,665,0.009850048198581712,34.95548509975452
Mecom.3,8024,0.1188523108953679,63.97854596192265
Mecom.4,4745,0.07028342661995521,56.61482614374318
Men1.1,7231,0.10710631356984114,62.47399942130437
Men1.3,4983,0.07380870702786868,57.274859462103414
Men1.4,34513,0.5112100954551138,85.73110802517829
Mll1.1,3251,0.04815414540389345,51.710843913767505
Mll1.2,37472,0.5550391069131638,86.85488264294979
Mll1.3,52704,0.7806570530196248,91.14439497235756
Mll1.4,1016,0.015049096195126344,38.85048929842515
Mll2.1,68894,1.0204649933730654,93.98073349274584
Mll2.2,48925,0.724682117467083,90.26691875943546
Mll2.3,50,0.0007406051277129106,18.25042474079947
Mll2.4,14522,0.21510135329293775,72.86373559996925
Mll3.2,92429,1.3690678269875323,96.43504553665423
Mll3.3,12470,0.1847069188515999,70.54589080796997
Mll3.4,4520,0.06695070354524713,55.96518731538013
Mll5.1,20334,0.3011892933382865,77.99396933773093
Mll5.2,13649,0.20217038776307034,71.91881004493086
Mll5.3,5034,0.07456412425813584,57.4130143342651
Mll5.4,15794,0.23394234774195422,74.14540226631425
Morf4l1.3,47678,0.7062114255819231,89.95419270173497
Morf4l1.4,50008,0.7407236245333447,90.52883540480596
Ms4a1.2,1659,0.024573278137514375,43.86863266880381
Msl3.1,116,0.0017182038962939526,22.556313689437427
Msl3.2,3221,0.0477097823272657,51.59489295788195
Msl3.3,24060,0.3563791874554526,80.52394199521333
Msl3.4,1171,0.01734497209103637,40.24484570310094
Mta1.1,1164,0.01724128737315656,40.18539414355678
Mta1.2,817,0.012101487786828959,36.797671557662795
Mta1.3,4303,0.06373647729097309,55.313136915127906
Mta1.4,32785,0.48561478224135546,85.01521995522764
Mta2.1,12551,0.1859066991584948,70.64410123398585
Mta2.2,80139,1.1870270865956989,95.3341272180278
Mta2.3,327,0.0048435575352424355,29.263397884368864
Mta2.4,7692,0.11393469284735418,63.36505831446654
Mta3.1,84157,1.2465421146587083,95.7311709884435
Mta3.2,77,0.0011405318966778823,20.345861634016675
Mta3.3,777,0.011509003684658632,36.340296029810496
Mta3.4,3918,0.058033817807583675,54.087037575962384
Mtf2.1,14790,0.219070996777479,73.14268666258764
Mtf2.2,61423,0.9098037751902022,92.83071329091386
Mtf2.3,2149,0.031831208389100904,46.7514290451085
Mtf2.4,6839,0.10129996936857193,61.67675195403012
Myst1.1,160,0.002369936408681314,24.453760752582333
Myst1.2,61207,0.9066043610384824,92.79382349717828
Myst1.3,40339,0.5975054049362221,87.83584134013051
Myst1.4,7521,0.11140182331057602,63.04003717853245
Myst2.1,9866,0.14613620380031153,67.02302384333036
Myst2.2,2464,0.036497020693692234,48.34254376370807
Myst2.3,414,0.006132210457462901,31.046845663378818
Myst2.4,3612,0.05350131442598067,53.04099427695393
Myst3.1,696,0.010309223377763715,35.355328279870896
Myst3.2,38840,0.575302063207389,87.33525338774818
Myst3.3,4696,0.06955763359479657,56.4755111925058
Myst3.4,5,7.406051277129106e-05,10.239427131830947
Myst4.1,71980,1.066175141855506,94.39230280053323
Myst4.3,9941,0.1472471114918809,67.13587058579668
Myst4.4,831,0.012308857222588575,36.953580310373326
Nap1l1.1,14909,0.2208336369814357,73.26500813217778
Nap1l1.2,1297,0.0192112970128729,41.278244745200645
Nap1l1.3,3803,0.05633042601384398,53.701970337517494
Nap1l1.4,39696,0.587981222993834,87.62429590984061
Nap1l2.1,51298,0.7598312368283378,90.8296646426553
Nap1l2.2,198,0.0029327963057431262,25.799564149737886
Nap1l2.3,20320,0.30098192390252687,77.98350442618514
Nap1l2.4,32978,0.48847351803432737,85.09754545257901
Nap1l3.1,112465,1.6658431137646499,97.66497312668109
Nap1l3.2,15786,0.23382385092152017,74.13763274674888
Nap1l3.4,13539,0.20054105648210194,71.79564692096497
Ncoa1.1,51087,0.7567058831893893,90.7812567557785
Ncoa1.2,5445,0.08065189840793596,58.48495807316376
Ncoa1.3,24631,0.36483689801393404,80.87287546448599
Ncoa1.4,30,0.00044436307662774633,16.05021686242697
Ncoa3.1,4822,0.07142395851663311,56.83121313546135
Ncoa3.2,28203,0.41774572833774437,82.86353619020593
Ncoa3.3,8347,0.12363662002039331,64.55437054760316
Ncoa3.4,13096,0.19397929505056555,71.28958957981557
Ncor1.1,33657,0.49853093566866863,85.3823427209345
Ncor1.3,2128,0.03152015423546148,46.63902501608076
Ncor1.4,36137,0.535264950003229,86.36287224830222
Ncor2.1,12399,0.1836552595702476,70.45937826629115
Ncor2.2,4163,0.061662782933376944,54.87797202801429
Ncor2.3,73,0.0010812834864608496,20.075735723766698
Ncor2.4,4309,0.06382534990629865,55.3315510059023
Nfatc3.2,17113,0.2534795110110208,75.36997904024048
Nfatc3.3,234,0.003466031997696422,26.906828142801288
Nfatc3.7,6,8.887261532554927e-05,10.692590848541535
Nfatc3.8,377,0.005584162662955346,30.326935317805436
Nsd1.1,2703,0.04003711320415995,49.44602185938802
Nsd1.2,1039,0.015389774553874283,39.06689735391478
Nsd1.3,128,0.0018959491269450513,23.119311073885797
Nsd1.4,15280,0.22632892702906549,73.64018682899489
Orc1.1,5247,0.07771910210219285,57.97733655940276
Orc1.2,8928,0.13224245160441733,65.54251550276604
Orc1.3,1003,0.014856538861920987,38.72597859991246
