gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
CHD9,PRKCD,pp,2,1.4142135623730951
EP300,PRKCD,pp,58,7.615773105863909
BRD3,BRD4,pp,6,2.449489742783178
CHD7,SMARCA4,pp,18,4.242640687119285
KDM6B,SMARCC1,pp,16,4.0
KAT5,PSIP1,pp,30,5.477225575051661
BRWD1,SMARCA4,pp,1,1.0
KDM4A,SMARCA4,pp,9,3.0
SMARCA4,TRIM28,pp,60,7.745966692414834
CHD4,SIN3A,pp,60,7.745966692414834
SIN3A,TET2,pp,47,6.855654600401044
SMARCA4,SMARCC1,pp,60,7.745966692414834
SMARCD2,SMARCE1,pp,20,4.47213595499958
DNMT3B,DNMT3L,pp,33,5.744562646538029
PHC2,RING1,pp,23,4.795831523312719
PCGF5,RING1,pp,11,3.3166247903554
SIN3A,TAF1,pp,47,6.855654600401044
AFF4,EAF1,pp,3,1.7320508075688772
BRD4,KDM6B,pp,27,5.196152422706632
HCFC1,TRIM28,pp,32,5.656854249492381
BRD3,H2AFZ,pp,6,2.449489742783178
CHD4,SMARCC1,pp,60,7.745966692414834
SMARCA4,ZMYND8,pp,60,7.745966692414834
BRD4,KDM2B,pp,27,5.196152422706632
DNMT3B,SIN3A,pp,33,5.744562646538029
HCFC1,SIRT7,pp,32,5.656854249492381
HCFC1,RPA3,pp,32,5.656854249492381
EPC1,H2AFZ,pp,16,4.0
MTA3,PHF20L1,pp,22,4.69041575982343
CBX6,PCGF5,pp,16,4.0
KDM6B,SMARCA4,pp,16,4.0
DNMT3B,SMARCA5,pp,33,5.744562646538029
CHD4,HELLS,pp,60,7.745966692414834
PSIP1,RPA3,pp,7,2.6457513110645907
CBX6,PHC1,pp,16,4.0
SIN3A,SMARCE1,pp,47,6.855654600401044
BRD4,SIRT5,pp,27,5.196152422706632
EP300,NCOA3,pp,58,7.615773105863909
CHD4,PSIP1,pp,60,7.745966692414834
CHD4,SMARCA5,pp,60,7.745966692414834
INO80,SMARCA5,pp,6,2.449489742783178
CHD4,DNMT3B,pp,60,7.745966692414834
PCGF5,PHC2,pp,11,3.3166247903554
RPA3,TRIM28,pp,14,3.7416573867739413
EPC2,KAT5,pp,9,3.0
SIN3A,SMARCC1,pp,47,6.855654600401044
CHD4,TRIM28,pp,60,7.745966692414834
CHD1L,H2AFZ,pp,10,3.1622776601683795
BRD4,SMARCA4,pp,27,5.196152422706632
CBX6,CHAF1B,pp,16,4.0
CHD5,MTA3,pp,13,3.605551275463989
CHD4,SIRT6,pp,60,7.745966692414834
ARID1B,SMARCE1,pp,20,4.47213595499958
SIRT6,TRIM28,pp,17,4.123105625617661
CHD4,PHF20L1,pp,60,7.745966692414834
SIRT7,SMARCC1,pp,32,5.656854249492381
ARID1B,SMARCA4,pp,20,4.47213595499958
CHD4,RPA3,pp,60,7.745966692414834
SIN3A,SMARCA4,pp,47,6.855654600401044
BRD4,EP300,pp,27,5.196152422706632
DNMT3B,TRIM28,pp,33,5.744562646538029
HDAC9,SMARCA4,pp,11,3.3166247903554
KDM2B,SIN3A,pp,15,3.872983346207417
BRD4,CHD4,pp,27,5.196152422706632
ARID1B,KAT5,pp,20,4.47213595499958
POLR2B,ZMYND8,pp,11,3.3166247903554
SMARCA5,SMARCC1,pp,31,5.5677643628300215
PHC1,RING1,pp,20,4.47213595499958
CHD4,SMARCE1,pp,60,7.745966692414834
NSD1,SIRT7,pp,7,2.6457513110645907
KAT5,TRIM28,pp,30,5.477225575051661
SMARCC1,SMARCE1,pp,45,6.708203932499369
PHF8,TAF1,pp,6,2.449489742783178
CBX6,RING1,pp,16,4.0
SIN3A,TRIM28,pp,47,6.855654600401044
CHD4,EP300,pp,60,7.745966692414834
SMARCA4,SMARCE1,pp,60,7.745966692414834
CHD4,CHD5,pp,60,7.745966692414834
SMARCA4,SMARCD2,pp,60,7.745966692414834
CHD7,SIRT7,pp,18,4.242640687119285
CHD4,ZMYND8,pp,60,7.745966692414834
RPA3,SMARCA5,pp,14,3.7416573867739413
KAT5,PHC2,pp,30,5.477225575051661
MTA3,ZMYND8,pp,22,4.69041575982343
CHD7,SMARCE1,pp,18,4.242640687119285
EPC1,KAT5,pp,16,4.0
CHD7,SMARCC1,pp,18,4.242640687119285
HCFC1,SIN3A,pp,32,5.656854249492381
RNF40,SIRT6,pp,10,3.1622776601683795
SMARCC1,SMARCD2,pp,45,6.708203932499369
SIRT6,SMARCA5,pp,17,4.123105625617661
EP300,EPC1,pp,58,7.615773105863909
EP300,PRDM6,pp,58,7.615773105863909
CHD4,H2AFZ,pp,60,7.745966692414834
CHD4,SIRT7,pp,60,7.745966692414834
CHD1L,RPA3,pp,10,3.1622776601683795
SMARCA1,SMARCA5,pp,14,3.7416573867739413
ARID1B,SMARCD2,pp,20,4.47213595499958
CBX6,PHC2,pp,16,4.0
CHAF1B,TRIM28,pp,10,3.1622776601683795
ARID1B,SMARCA1,pp,20,4.47213595499958
HDAC9,SIN3A,pp,11,3.3166247903554
ARID1B,KDM4A,pp,20,4.47213595499958
H2AFZ,KAT5,pp,12,3.4641016151377544
KDM2B,RING1,pp,15,3.872983346207417
SMARCC1,TRIM28,pp,45,6.708203932499369
DNMT3B,HELLS,pp,33,5.744562646538029
CHD4,MTA3,pp,60,7.745966692414834
CHD4,SMARCA4,pp,60,7.745966692414834
HCFC1,PHF8,pp,32,5.656854249492381
ARID1B,SMARCC1,pp,20,4.47213595499958
SMARCA1,SMARCA4,pp,14,3.7416573867739413
PHC1,PHC2,pp,20,4.47213595499958
SIRT7,SMARCA4,pp,32,5.656854249492381
EPC1,PHC2,pp,16,4.0
SMARCA1,SMARCC1,pp,14,3.7416573867739413
EP300,KAT5,pp,58,7.615773105863909
SIN3A,SMARCA5,pp,47,6.855654600401044
