GeneName,inputMinusAvg_nbPctg
Bcl6,-23.51243674753969
CD4,11.72295994984141
CDK9,-9.635796957874264
Ccnt1,17.73874895052065
Cd14,-24.891539758085585
Cd19,-24.38028015340716
Fosb,21.677833350300503
Hes1,36.068668943498885
Id2,6.866536981402254
Id3,-3.056180622712317
Klf12,-7.119346259457285
Klf2,12.399645569358771
Ms4a1,7.985604665806903
Nfatc3,23.149062210941356
Rpa3,16.48977027033395
Runx3,48.203966224484226
Satb1,-8.870458012200567
Scmh1,-24.843794002841463
Scml2,-16.953945453135663
Scml4,-0.21711917834561234
Setd1a,2.1552087479400464
Setd2,-7.957258444831643
Setd3,-13.877477585739788
Setd4,7.391383283031894
Setd5,-6.538457552912646
Setd7,0.7070496096310919
Setd8,-7.614082773916618
Setdb1,-2.007702888438155
Setdb2,-12.812072006496903
Setmar,6.561587143080628
Sfmbt1,4.8086553544881765
Sfmbt2,12.32880662775195
Sgk1,-12.422926909971261
Sin3a,10.252470741358756
Sin3b,10.927366134529949
Sirt1,-6.364499224805169
Sirt3,-8.302896207489978
Sirt4,-3.2008701354334015
Sirt5,1.4079627912000996
Sirt6,-6.682251560247822
Sirt7,-12.407178476326628
Smarca1,-4.649391178007141
Smarca2,-20.859843074836718
Smarca4,-5.250229032253934
Smarca5,17.257838001451603
Smarcc1,-8.658813608579628
Smarcc2,-9.279562657655559
Smarcd1,5.734394108100699
Smarcd2,-29.36700638724801
Smarcd3,-16.090368355818143
Smarce1,-2.4033394542433606
Smyd1,-22.63736676750447
Smyd2,-16.14467464957658
Smyd3,-0.4933966673253387
Smyd4,-13.659896366976659
Smyd5,-16.06813620553542
Sp100,-6.808725459301378
Sp110,1.1316679674838053
Sp140,-6.214834353709852
Ssrp1,-10.067021793856489
Supt16h,-0.8925604155809808
Suv39h1,-3.173699324101115
Suv39h2,-13.917095724606027
Suv420h1,-10.574182618275005
Suv420h2,-3.015323007554758
Suz12,-4.673221493490454
Taf1,7.3265258189679345
Taf3,6.200813733466788
Tbx21,-6.609383900082776
Tcea1,-23.620232362497426
Tdg,-8.496654096884718
Tet1,-2.8481862414472197
Tet2,-13.350400198731641
Tet3,0.3046476561569425
Trim24,-22.956806137598853
Trim28,-12.370857101474867
Trim33,-14.548063868637954
Trim66,-27.904391412275928
Ube2a,-4.857186576569191
Ube2b,-11.520616672470943
Ube2e1,-10.67386450303104
Ube2i,-9.46639932555988
Uhrf1,-8.652276561714299
Usp22,-30.691183689801488
Usp27x,-18.787727049106635
Usp51,-18.9812187749053
Wbp7,-21.049286224197147
Wdr5,-8.603529308474654
Wdr82,-3.0555681165121285
Whsc1,-20.620164890463275
Whsc1l1,-16.452196522108746
Zmynd11,-11.042696693974461
Zmynd8,-16.65542541289029
