shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,nbPctg_input,inputMinusAvg_nbPctg
Bcl6,73.9500836670129,64.41142021861519,69.67977240628625,70.02292972467737,54.87496017203167,-14.641091332116254
Bcl6.2,77.07677009152951,76.90256369210404,77.22781589686834,78.52728368252579,75.36653385096163,-2.0670744897952886
Bcl6.3,69.87396091483986,63.09494270797775,79.49577274716108,67.86606711908773,52.98899500879614,-17.09369086347047
CD4.1,59.3564066199263,40.060105055184714,47.01071112217367,59.20154941589214,24.74915188153024,-26.65804117176397
CD4.2,53.498507521791716,73.7596331179866,68.62683437944777,51.51686817486881,59.94796406222155,-1.9024967363021688
CD4.3,71.28141941820874,67.00741160650293,73.90459407775474,66.01372038839457,65.48508978467821,-4.066696588037033
CD4.4,66.7141518875309,65.02970218576282,63.91051199170463,53.471954552527066,80.8405107580412,18.558930603659853
CDK9.1,81.11787081880162,71.16551586122564,78.79207357129742,66.24780866934837,69.11823978618375,-5.2125774439845145
CDK9.2,63.66726864452805,48.20206270109855,61.791429609298845,46.422061010410985,56.16528353517229,1.1445780438381803
CDK9.3,89.6343537058122,88.35430589918775,91.68469881648151,91.50811611223095,77.12489043078266,-13.170478202645455
Ccnt1,80.20384821348838,74.55959987844332,80.34434794971806,68.19488574989305,70.5809217280972,-5.244748719788504
Ccnt1.2,98.31404736065757,97.43337376088084,96.35003782079936,94.36818605140036,91.774721222853,-4.841690025581528
Ccnt1.3,87.6014073219722,85.81588871306163,81.82361043630812,81.688205778538,76.84310275786902,-7.389175304600968
Ccnt1.4,77.0062190532003,87.50779481493774,74.99878214391809,81.8129312986229,88.2029806513244,7.871548823654635
Cd14,83.55483516027552,79.24512454609115,82.8308857848526,76.25889814634233,64.8420339873401,-15.630401922050297
Cd14.2,76.89281092915255,79.12301048552408,70.164325226476,72.96667375119037,55.17099251370276,-19.61571258438299
Cd19,79.02568383732614,77.39631218506095,77.6114833414023,78.29927818964954,60.184422452545796,-17.89876693581393
Cd19.3,86.79633722851585,72.84255860439671,86.49074245882161,83.54780253427721,62.83586815931477,-19.583492047188074
Cd19.4,87.39720101085963,86.54444975652075,88.91756692354876,84.79360615619704,75.83501947772253,-11.078186484059017
Fosb,53.6149157748298,54.81113594582945,54.88460413712588,62.7933497234906,49.31093904689044,-7.215062348428489
Fosb.2,73.06168333357638,40.060105055184714,81.53505664544079,63.85469261038175,48.85161763090307,-15.776266780242842
Hes1,71.5433237638173,66.31841837808531,74.76994098193916,67.54364895916036,76.8060359178192,6.762202897068676
Hes1.2,84.02008736744125,76.64242612184997,85.77321837744508,80.67095847676067,75.82980700141879,-5.946865584455452
Hes1.3,77.06465741121959,79.69001871830467,78.69261882613505,76.3786527855108,59.310175871499226,-18.64631106379329
Id2,40.39461731333781,48.20206270109855,63.91051199170463,31.996020985172237,55.535733917942565,9.409930670114257
Id2.2,67.79190524657558,73.77327518796444,65.83592611576199,69.1262605601217,45.58416992672271,-23.54767185088322
Id2.3,81.69407542424774,87.98952501854768,79.15394784721222,71.93549740199448,55.93447982371704,-24.258781599283495
Id2.4,83.74240362488449,77.1706537142554,82.97178914789849,73.93687351981534,62.070372641685346,-17.385057360028078
Id2.5,75.08058407578068,74.10609407045492,69.82950713984154,64.12275889415133,64.14429429136152,-6.6404417536955975
Id3,80.94142898604298,81.4985800445295,79.67886215908403,78.88992929308262,61.466330145118,-18.785869975566776
Id3.2,85.83147826101761,90.93807363009769,86.05463474281721,90.68035303821766,79.75240094853336,-8.623733969504173
Id3.3,91.52672621346564,92.11508525041808,92.43421669095679,90.32029668720718,82.49855474298641,-9.100526467525498
Id3.4,74.13469530227773,62.68275614091081,70.61104185168074,69.32669532039887,98.82422778409288,29.63543063027585
Id3.5,51.84085026705151,40.060105055184714,69.15008307522935,55.424227055864385,82.30701938862374,28.18820302529125
Jmjd5.1,50.0860278058612,48.20206270109855,47.01071112217367,31.996020985172237,42.49691823040962,-1.8267874231667918
Jmjd5.2,55.35682234215235,40.060105055184714,47.01071112217367,40.07786574046974,53.13377825281973,7.50740218782461
